c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	0.420922339593397	-5	-5	0.527299866339773	-0.614500972847943	-5	-0.827718238544999	1.94935604251243	-0.266626163055293
Healthy	1.3854107076947	0.272340642245293	-5	0.150049945162385	-0.312506711255048	-5	-0.632196967250993	1.74462456359356	-1.11025022473596
Healthy	1.07077166602148	-5	-5	-5	-1.7680209731685	-5	-0.291324207273463	1.84810070904581	0.761782798918629
Healthy	1.23613552968257	-5	-5	-5	-1.77806440017199	-5	-0.133411418224968	1.76411057214773	0.855023401569893
Healthy	1.57366723433078	0.0755615592810349	-5	0.730517420590717	-1.67964596718233	-5	-1.4386600585411	1.6043401214296	-1.1253442674019
Healthy	1.44068479603106	-5	-5	-5	-1.26656197290894	-5	-1.1114274031424	1.81002063010515	0.473590604448907
Healthy	1.01115709631296	-0.632401836320167	-5	0.66482994114309	-0.237839297913818	-5	-1.44708854978349	1.84441000712758	0.801618402870708
Healthy	1.03464409575721	0.434388442735579	1.23550344900574	-5	-5	-5	-0.833066905128846	1.62280463482383	-0.978852064279005
Healthy	0.720720628024159	0.736743798962006	0.547602429785681	-5	-0.869827111107464	-5	0.169395196975156	0.286391343147528	1.89967569522853
Healthy	1.45599459811076	-0.12731939284807	-5	-2.09636748391576	-0.526542227184554	-5	-1.98171569157347	1.8012357228892	0.310674198718182
D015179	1.05062255296989	-0.627750985936044	-5	0.342223254392762	0.283262773843844	-5	-5	1.74447378414008	-0.0183127426170645
Healthy	1.48797178851542	-1.88706002391592	-5	0.896930011763117	-5	-5	-5	1.70747606876486	0.954119441900728
Healthy	1.74857987849733	0.410247323940247	-5	0.147960609057186	1.08418899343258	-5	0.58910475277915	1.27434700337415	-5
Healthy	1.63908099170895	0.698566791937309	-5	0.300127898364073	0.0754119076576232	-5	-0.662820374590166	0.870742663294291	-1.15645578805436
Healthy	1.33484102540248	-5	-1.16966800654804	-5	-5	-5	-0.973099191109745	1.83312510965263	-5
D015179	1.37689580920428	0.679076139208892	-0.257274868695302	0.639775258839238	-0.0536607448597061	-1.23448045690205	-0.4620424562927	1.70206571376293	0.193188624231412
Healthy	1.3597381818911	-5	0.483737027872602	0.183338186289204	-2.70774392864352	-0.242004572723122	-5	1.64097954636543	0.94718709417019
Healthy	1.61706736835744	-0.504997133561376	0.262472447950243	0.884927840363339	-0.153743320221921	-0.819845440546652	-1.10690433390377	1.24469661240851	0.276783384700269
Healthy	0.642475402199867	-0.485691374343224	-2.3585258894959	-1.19517932127884	-0.465237994969973	-5	-0.0108217012429983	1.82668575568211	0.00609363020820083
Healthy	0.903364048891955	0.080749110907479	-0.286727919126105	-0.195438069037582	-0.0678104461845136	-5	0.0936807835974929	1.49530395216766	-0.951519352526498
Healthy	1.56021985014056	0.723572234494289	1.40411516877084	0.677345019721607	-0.0862603017850711	-5	-1.07644514193245	1.30897098745708	-5
D015179	1.28618399586941	0.291987878194912	0.791136025815758	-0.00340077729983324	0.202128526463674	0.0706768256627655	0.229546184081546	1.39378940238255	-0.689158054835704
Healthy	1.19586009384911	0.138754129723719	-0.268604655755548	-1.88306035344924	-1.63413778459744	-1.57823159879308	-0.41999931041096	1.8275738990396	-1.74836177955179
Healthy	1.26322169366765	0.508095881195523	0.71558638787792	0.264165892216258	0.102519458368337	-0.299469343021408	-0.645833914968581	1.62909671283614	0.246786537772904
Healthy	-3.02227639471115	-1.64282774227697	-5	-5	-0.640297291725886	-5	-5	-1.28692967414436	1.9366017988212
Healthy	1.40732273783472	-5	-5	-5	-0.793470948317269	-5	-0.749604396942884	1.78802829919445	0.724212769403576
Healthy	-0.560398916165654	1.95902530881005	-2.07468790850035	-1.37212230542003	0.559402646841045	-5	-2.65757731917779	-1.71399287792053	0.65769916511523
