group	Lachnospirales	Oscillospirales	Erysipelotrichales	Enterobacterales	Coriobacteriales	Lactobacillales	Peptostreptococcales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	20.95243	5.56944	1.80524	0.81232	0	0.8025	0	0		57.9843	20.95243	5.56944	0	0	0.8025	0	0	3.19845	0
Healthy	38.42361	2.67302	0.05851	0.0911	3.76394	13.96801	0	0		19.00735	38.42361	2.67302	0	0	13.96801	3.06148	3.76394	0	0
Healthy	35.15934	0.04332	0.07394	4.14218	0.03904	1.56902	0.01366	0		0	35.15934	0.04332	6.5513	0	1.56902	0	0.03904	0	0
Healthy	22.27209	8.95456	0.06035	0.92321	0.13451	0.23032	0.17413	0		22.0643	22.27209	8.95456	1.21693	0	0.23032	0	0.13451	0	0
Healthy	0.65685	5.98487	0.49025	0.34649	0.7137	0.0582	0	0.66408		45.26359	0.65685	5.98487	2.97255	0.13239	0.0582	0	0.7137	0.06831	0.66408
Healthy	6.95679	2.22382	4.10863	2.71161	2.27129	17.16755	0	0		18.16766	6.95679	2.22382	2.40822	0	17.16755	0	2.27129	2.97004	0
Healthy	10.2726	8.33474	0	0.07952	0.11806	0.17892	0	0.06978		63.72663	10.2726	8.33474	0.05662	0	0.17892	0	0.11806	0	0.06978
Healthy	6.52439	6.31917	0.02407	0.08088	1.0791	0	0	0.00756		31.15761	6.52439	6.31917	12.9858	0.03307	0	0	1.0791	0	0.00756
Healthy	17.31738	17.86587	4.8168	0.16148	4.33288	0.27012	0.25	0		21.40224	17.31738	17.86587	4.61753	0	0.27012	0	4.33288	0	0
Healthy	0.38881	6.01991	0.13551	10.2181	1.34897	0	0	0.45505		13.2891	0.38881	6.01991	2.60171	43.9894	0	0	1.34897	0	0.45505
Healthy	3.13409	4.69076	0.0128	0	0.28366	0.05589	0	0.33848		65.75268	3.13409	4.69076	0	10.41	0.05589	0	0.28366	0.80514	0.33848
Healthy	8.78889	17.61636	0.40667	0.06381	0.83394	0.45117	0	0.00124		46.11877	8.78889	17.61636	5.94604	0.10078	0.45117	0	0.83394	0	0.00124
Healthy	1.4222	1.86091	0.02247	0.06157	0.00233	0	0	0		70.63059	1.4222	1.86091	5.89113	0	0	0	0.00233	0	0
Healthy	4.3198	6.73183	0.17455	0	0.70893	0	0.00258	0.1094		44.41535	4.3198	6.73183	17.72904	7.09147	0	0	0.70893	0	0.1094
Healthy	38.69933	3.63925	5.19517	0.0175	0.05945	0.01403	0	0		36.30805	38.69933	3.63925	0.00465	0	0.01403	0.02465	0.05945	0	0
Healthy	24.09166	30.65601	0	0	1.71217	0	0.92052	0		18.17723	24.09166	30.65601	5.0839	0	0	0	1.71217	0	0
Healthy	37.42848	3.37303	1.95468	0	0	0.00794	0	0		42.50091	37.42848	3.37303	0	0	0.00794	0	0	2.18475	0
Healthy	14.87514	1.47712	0.04651	0	0.23525	0	0	0.05044		63.68496	14.87514	1.47712	0.01411	0	0	0	0.23525	0	0.05044
Healthy	0.64545	1.54077	0	4.2841	0	0.01292	0	0		92.81289	0.64545	1.54077	0	0.55019	0.01292	0	0	0	0
Healthy	20.44622	11.96651	0.14758	0.01667	0.12868	0.36059	0	0.10707		49.73983	20.44622	11.96651	1.21706	0.38836	0.36059	0	0.12868	0.00113	0.10707
Healthy	11.94382	31.88632	0	0.47737	0	0.10367	0	0		51.54426	11.94382	31.88632	1.15201	0	0.10367	0	0	0	0
Healthy	2.68635	0.77931	0	2.0968	0	0	0	0.03142		71.0787	2.68635	0.77931	0	0	0	0	0	0	0.03142
Healthy	32.47023	13.63179	0	0	0	0	0	0		26.51604	32.47023	13.63179	5.62249	0	0	0	0	0	0
Healthy	51.48479	17.91611	1.34631	0.09698	0.16698	0.20263	0	0.08154		14.1769	51.48479	17.91611	0.00396	0.09373	0.20263	0.18576	0.16698	1.31009	0.08154
Healthy	4.28305	4.47132	0	0.02507	0.253	0	0	0.55816		58.04866	4.28305	4.47132	0.46112	8.71159	0	0	0.253	0	0.55816
