group	Phytobacter	Streptococcus	Ruminococcus_B	Dorea	Clostridium_A	Lactococcus	Longicatena	Rothia	Gordonibacter	Eggerthella	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Haemophilus_D	Ruminococcus_C
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.04301	0	0	0	0	0	0	0	0	44.60152	0.27629	0.04387	0	0	0.31065	0	0	0	0
Healthy	0	0	0	0.00989	0	0	0	0	0	0	44.6447	1.10457	0.37487	0	0	0.30954	0.00989	0	0	0
D065626	0.04492	6.41891	0.11669	1.26539	1.2995	0.01861	0.08758	0.0929	0	0.01078	0	8.70417	0.60943	0.07057	0.01489	0	1.26539	1.04629	8.65581	0
Healthy	0	0.9221	0	0.01748	0	0	0	0	0	0	0	0.03261	0.28899	1.40782	0.2328	0	0.01748	0.59193	3.85851	0
Healthy	0	0.15545	0.8993	0.04477	0.98862	0	0.59191	0	0.08424	0.0022	0	0.04471	1.12486	3.00802	0.39242	0.15921	0.04477	1.72021	0.00058	0
Healthy	0.88276	0.38092	0.57964	0	0	0	0.07364	0.00033	0.01546	0.0161	0	0.11433	0.98337	0.15216	1.00121	0	0	0.74149	0.14273	0.02732
Healthy	0	0	0	0.13158	0.0152	0	0	0	0	0	0	0.15385	0.41058	0.39885	0.12754	0	0.13158	0.15794	0.19515	0
Healthy	0	0.8025	0	0	0	0	0	0	0	0	56.7831	5.77681	0.07476	0	0	0	0	0	0.81232	0
Healthy	0	0	0	2.54844	0	0.20201	0	0	0	0	2.96841	0.25898	2.01212	5.83452	2.84013	0	2.54844	2.42031	0	0
Healthy	3.66846	1.28005	27.9887	0	0	0	0.07394	0	0	0.03904	0	0.35605	0.44703	0	0	0	0	0	0.32966	0
Healthy	0.121	0.20985	16.5662	0	0	0.02047	0.00254	0.0396	0	0.13451	0	1.25114	1.09541	0	2.43898	0	0	0	0.44799	0
Healthy	0.34649	0.0582	0	0.01852	0.13644	0	0.02371	0	0	0	0	0.1005	0.08203	0.08323	0.13568	0	0.01852	0.00936	0	0.07178
Healthy	2.66719	16.77604	0	0.79977	0	0	0	0	0	0	8.03986	0.36132	0.19451	0.86242	0.40834	0	0.79977	0	0	0.15842
Healthy	0.07952	0.17892	0.0303	0.17601	0	0	0	0	0	0	0.04001	1.07663	0.11559	0.27006	0.23597	0	0.17601	2.43132	0	0
Healthy	0.08088	0	0	0	0	0	0	0	0	0	0	2.25541	0.05055	0.02937	0	0.15503	0	0	0	0
Healthy	0.03375	0.25241	0	1.05475	0	0.01771	0.00403	0.04553	0	0.00776	5.62645	0.50233	3.12286	3.90154	1.28674	0.35896	1.05475	0.40929	0.12773	3.95234
Healthy	10.2181	0	0	0	0.02241	0	0.10487	0	0.14118	0.01097	0	0.00737	0.08032	0	0.15744	0	0	0	0	0
Healthy	0	0.05589	0	0	0	0	0	0	0	0	44.97245	0.31177	0.04111	0	0	0.25917	0	0	0	0
Healthy	0.06381	0.45117	0	0.22893	0	0	0	0	0	0	13.0904	0.41848	0.28181	0.48446	0.20733	0.73037	0.22893	0.37965	0	0.27903
Healthy	0.06157	0	0.55343	0.00637	0.17536	0	0.02247	0	0	0	0	0.03975	0.01072	0	0	0	0.00637	0	0	0
Healthy	0	0	0.00856	0.01205	0.06151	0	0	0	0.02894	0	0	0.17169	0.17447	0.07101	0.08157	0	0.01205	0	0	0
Healthy	0	0.01403	0	0.36276	0.01567	0	0.00342	0	0	0	16.1089	0.60007	0.4664	0.36709	0.25761	0	0.36276	0.01932	0.0175	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.4069	0.66465	2.07775	0.53567	0	0	0	0	2.72606
Healthy	0	0	0	0.42913	0	0	0	0	0	0	29.5744	0.08099	0.79934	1.01417	0.43257	0.84185	0.42913	0.52611	0	0
Healthy	0	0	0.0593	0.01714	0	0	0	0	0	0	0	1.01673	0.02036	0	0	0	0.01714	0	0	0.01323
Healthy	4.2841	0.01292	0	0	0	0	0	0	0	0	68.4668	0	0.61109	0	0	0	0	0	0	0
Healthy	0	0.34776	0.01544	0.10267	0.01418	0	0	0	0	0	0	0.41924	0.14405	0.16832	0.32221	0	0.10267	0.14366	0.01667	0.054
Healthy	0.24207	0.10367	0.00425	0.00131	0.25985	0	0	0	0	0	0	0.10179	0.45248	0	0	0	0.00131	0	0.20553	0.27168
Healthy	2.0968	0	0	0	0	0	0	0	0	0	0	0.02376	1.99695	0	0	0	0	0	0	0
Healthy	0	0	0	0.89458	0	0	0	0	0	0	0	3.65165	0.07968	0.82993	0.88487	0	0.89458	0.14314	0	0
Healthy	0.09698	0.01797	0	0.0981	0.00856	0	0	0	0	0	0	0.58388	0.36575	0.1047	0.26133	0.95887	0.0981	0.0218	0	0
Healthy	0.02507	0	0	0.01103	0	0	0	0	0	0	0	0.31967	0	0	0.01581	0	0.01103	0	0	0
Healthy	1.49435	0.34649	0	0	0	0	0	0	0.12466	0	0	1.06834	2.0934	0	0.83816	0	0	0	0	0
Healthy	0	0.45334	6.73804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.05485	0	0	0	0	0	0	0	0	0.10634	0.14842	0	0.02511	0	0	0.04991	0	0
Healthy	0	0	0.03057	0	0.55688	0	0.00069	0	0.01123	0.02293	0	0.02141	1.267	0.03732	0.02943	0	0	0.00606	0	0
Healthy	55.0788	0.00532	0.0105	0	0	0	0	0.11153	0	0.0026	0	0	0	0	0	0	0	0	0	0
Healthy	0.57325	0	0	0	0	0	0	0	0	0	2.12059	3.4149	1.22495	0	0	0.82044	0	0	0	0.00839
Healthy	0	0.7126	0	0.45702	0	0	0	0.00583	0	0	6.79792	9.01518	5.10983	0.26443	0.34818	0	0.45702	1.0676	0.91179	0
Healthy	33.3132	0	0	0.13819	0	0	0	0	0	0	0	0.55036	0.4649	0.17258	0.18999	5.3688	0.13819	0.10545	0	0
Healthy	5.37164	0.02733	0	0.13797	0	0	0	0	0	0	0	0.25141	0.27615	2.54507	0.60366	0	0.13797	0.32253	0	0
Healthy	0	0.04903	0	0.0541	0	0	0	0	0	0	31.28285	0.40435	0.6479	0	0.02905	0.12916	0.0541	0	0	0
Healthy	0	0.21686	0	0.14741	0	0	0	0	0	0	0	0.49241	0.33257	0.60179	0.29519	0.15027	0.14741	0.25544	0.09139	0
Healthy	1.15581	0	0.27628	0	0	0	0	0	0	0	0	0.20743	0.02275	0	0	0	0	0	0	0
Healthy	0.00483	0.02978	0.00977	0.07974	0	0.00202	0.00029	0	0	0.00709	0.0586	1.37903	0.44734	0.45317	0.4357	0	0.07974	0.34813	0.04679	0
Healthy	26.8642	1.2578	0.02066	0.23069	0.33886	0.01375	0.03372	0.01325	0.03839	0.00183	0	1.21669	0.25967	3.01429	0.71833	0.12661	0.23069	0.12998	0.01153	1.76167
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.0538	0.0491	0.0073	0	0.89577	0	0	0	0.03379
Healthy	0.18994	0.4968	0	0.49999	0.01117	0	0.00275	0.00101	0	0	21.8334	0.10851	2.00065	0.19956	0.38947	0.05402	0.49999	0.23984	0.57161	0.30472
D065626	2.01774	0.6257	0.68739	0.00851	0.32298	0.01644	0.07416	0	0.01504	0.14449	0	0.44371	12.90288	0	0.00674	0	0.00851	0.07891	0	0
Healthy	0	0.05237	0	0	0	0	0	0	0	0	45.2425	0.29819	0.05866	0	0	0.25049	0	0	0	0
Healthy	1.82775	8.13615	0.27636	0.59673	0.01793	0	0.00088	0.02079	0	0	0	0.04036	2.04222	0.16639	2.27022	0.22683	0.59673	0.50882	0.25338	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.97291	0	0	0	0	0	0	0	0
Healthy	0.09832	0.03648	0.08189	0	0.10545	0	0	0	0	0	0	0.0859	0.4271	0.01332	0.04375	0	0	0	0	0
Healthy	0	0	0	0.08596	0	0	0	0	0	0	0	0.02481	0	0.0201	0.04747	0	0.08596	0	0	0
Healthy	9.34072	0.01927	0.00957	0.00404	0.08739	0	0.02312	0.00982	0.04661	0.00059	0.00981	0.17879	1.15285	0.39557	0.06503	0	0.00404	0.04555	0	0
Healthy	0.38656	0.20842	0.00801	0	0.39264	0	0	0	0	0	0	0.14083	0.12766	0.00928	0.01191	0	0	0.01594	0	0
Healthy	2.74432	0.07356	0.02072	0.37376	0.04091	0	0	0	0	0	0	1.25518	8.90162	0	0.06956	0	0.37376	0	0	0
Healthy	0.09232	0.00636	0	0	0	0	0	0	0	0	0	0.17724	0	0.04734	0.1027	1.5988	0	0	0.0422	0
Healthy	5.3394	0.01463	0.00157	0.0093	0.04056	0	0.08912	0.00036	0.01014	0	0.00378	0.55596	0.70583	0.01762	0.12309	0	0.0093	0.05691	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.0681	0.05462	0.01828	0.00329	0.77136	0	0	0.00402	0.01788
Healthy	0.00681	0.09888	0	0.50902	0.0976	0	0.00529	0	0	0	5.62755	0.02935	0.87992	0.6216	0.24514	1.06194	0.50902	0.07445	0.001	0.0004
Healthy	0	1.60955	0.037	0.68709	0.00058	0	0	0	0	0	26.4025	0.05952	0.72787	1.08564	0.57152	2.04582	0.68709	0.16869	0	0
Healthy	1.88746	0	0	0.05316	0	0	0	0	0	0	0	0.81629	0.04296	1.43622	0.50349	0.18981	0.05316	0.62812	0	0.11252
Healthy	0	0	0	0	0	0	0	0	0	0	64.6746	0.92559	0.10527	0	0.11172	0.42302	0	0	0	0
Healthy	0	0	0	0.70136	0	0.40837	0	0	0	0	19.2902	0.06038	0.17693	0.97938	0.66603	0	0.70136	1.04312	0.02287	0
Healthy	2.54476	0.09803	0.02249	0.36225	0.04359	0	0	0	0	0	0	1.4595	8.3973	0	0.0708	0	0.36225	0	0	0
Healthy	0	0.6513	0	0.4027	0	0	0	0	0	0	0	0.78863	0.20308	1.09596	0.65927	1.02811	0.4027	0.13731	0.3539	0
Healthy	0.02159	0.03125	0	0.07206	0.01383	0	0	0	0	0	0	0.75001	0.26895	0.12368	0.17479	0	0.07206	0.0472	0.17004	0.06187
Healthy	0	0	0	0	0.07405	0	0	0	0	0	33.229	0.17982	0.65803	0	0	0.89632	0	0	0	0
Healthy	0.04198	0.02956	0.08768	0	0.12658	0	0	0	0	0	0	0.08724	0.39428	0.00512	0.04838	0	0	0	0	0
Healthy	0	0	0	0.02212	0.00883	0.0161	0	0	0	0	1.63861	0.02415	0.02566	0.01327	0.01696	0.0323	0.02212	0	0.03656	0
Healthy	0.13218	0.29615	0.02744	0.1375	0.12458	0	0.00486	0	0.10311	0.01249	0	0.24453	0.87453	0.19987	0.36115	0	0.1375	0.03714	0	0
Healthy	0.20678	0.31688	0.03811	0.17711	0	0	0	0	0	0	0.02165	0.85903	0.11748	0.77112	0.67249	0.25658	0.17711	0.05601	0.08566	0.38224
Healthy	0	0.02025	0	0	0.13817	0	0	0	0	0	0	1.62957	1.0797	0	0	0	0	0	0	0
Healthy	2.24934	0	0	0	0	0	0	0	0	0	0	0.04984	1.84129	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.92595	0.56117	0	10.386	0	0	0.11357	0	0	0	19.16408	4.60224	1.47994	5.61766	5.02823	0	10.386	2.15167	0	0.74382
Healthy	0	0.08341	0	0.03446	0	0	0	0	0	0	0	0.10122	0	0	0.13979	0	0.03446	0	0.06129	0
