g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	0.387210019684898	-5	-5	-0.759101459876509	-5	-5	-0.348721986001856	-2.59345981956604	-0.871213141357402	-1.40219515759571
Healthy	-0.867452157534419	-2.02826040911222	-1.7321245806811	-5	-5	-5	-5	-1.62488531530777	-5	-5
Healthy	-0.388967440075479	-5	-0.0970294604153512	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.62712480320661	0.385843908844363	-0.754437983344038	-5	-5	-1.23113999915704	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-0.316781800573771	-5	-5	-5	-5	-5
Healthy	0.109494176922207	-0.38795825535473	0.0231536515454869	-0.602042619896113	-0.964490214910441	-1.13537027545449	-0.893673088178034	-2.39361863488939	-2.10957898119909	-1.34160697372088
Healthy	-0.802857335027437	-5	-5	-5	-5	-5	-5	-0.979307321317972	-1.95939765988593	-5
Healthy	-5	-5	-5	-5	-1.0816026611563	-1.66958622665081	-5	-5	-5	-5
Healthy	-0.683316905800553	-0.42060515659833	-0.640278321516789	-5	-0.946460603547176	-0.642636969384857	-5	-5	-5	-5
Healthy	-5	-5	-2.19517932127884	-5	-5	-5	-5	-1.64820369310298	-5	-5
Healthy	-1.08841629901892	-5	-1.91865269219587	-2.58670023591875	-2.16557929631847	-1.60607399341416	-5	-5	-5	-5
Healthy	-0.589020424105431	-1.71376814597145	-0.440368634988914	-5	-0.231857884254335	-0.754734160542539	-1.75671385391655	-2.46470587995723	-5	-5
Healthy	-0.271094568022853	-5	-5	-0.0359620533064625	-0.482144581069971	-5	-5	-5	-5	-5
Healthy	-0.363933563700505	-0.278915188557255	-0.367401003133042	-5	-0.569570168200123	-1.29490638945213	-5	-5	-5	-5
Healthy	-5	-5	-1.76573587562121	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.491847506685055	-0.84263390823773	-0.988514140000594	-5	-0.184893989564753	-0.805957672113576	-1.77780395369828	-5	-5	-5
Healthy	-5	-5	-2.87942606879415	-5	-5	-5	-0.687103647808295	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0531156206822775	-0.844208647642382	-0.0483759608124702	-5	-0.36965349924576	-5	-5	-5	-5	-5
Healthy	-0.58279411323567	-1.6613443344213	-1.00828672428691	-5	-1.06889825436736	-0.785288578994616	-5	-5	-5	-5
Healthy	-1.80079352083834	-5	-1.95703092660682	-5	-1.82304101941309	-5	-5	-5	-5	-5
Healthy	-0.0766678876057536	-5	-5	-5	-5	-0.304465791064293	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.59998036493484	-1.30172542332563	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.53106219433454	-2.21681130892474	-5	-5	-5	-5	-5	-3.15490195998574	-1.63940658643475	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-2.58335949266172	-0.952569359844458
Healthy	-5	-5	-5	-5	-0.749579997691106	-5	-5	-5	-5	-5
Healthy	-0.458183705956146	0.0284126330477288	-0.34005529138128	0.645795484286742	-5	-0.0657541189769288	-0.0401004121340565	-5	-5	-2.2335871528876
Healthy	-0.721246399047171	-0.976912233004555	-0.85949195696182	-5	-5	-2.05109823902979	-5	-5	-5	-5
Healthy	-0.219200406320111	-0.491416418386712	-0.860183859389424	-5	-0.863723464339708	-0.901806374136712	-5	-5	-5	-5
Healthy	-1.536704390038	-5	-1.26672246606742	-5	-2.54363396687096	-5	-5	-5	-5	-5
Healthy	-0.529883646848996	-0.592694092981718	-0.831443593136275	-5	-0.680394320868767	-1.03231164954669	-1.03905380426617	-5	-5	-5
