group	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae		Lachnospiraceae	Rikenellaceae	Bifidobacteriaceae	Dialisteraceae	Coriobacteriaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Eggerthellaceae
Healthy	0	0	1.06366	0.07633	0.17433	0	0	0	0		56.88681	0.36649	1.2613	0	0.17433	1.06366	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0		12.1476	0	21.2371	0	0	0	0	0	0	0
Healthy	0	0.04301	0.03085	0	0.24373	0	0	0	0		2.9794	10.3322	0.14666	0	0.24373	0.03085	0	0	0	0
Healthy	0	0	0.19977	0.10067	0.63218	0	0	0	0		4.23484	9.98651	0	0	0.63218	0.19977	0	0	0	0
D065626	0.04492	6.43752	0.15816	0.0087	0	0.85506	0	0.07935	0.0929		20.0392	0.10874	2.99064	16.6957	0	0.15816	8.65581	0	0	0.07935
Healthy	0	0.9221	0.86835	0	0.3371	1.2947	0	0.0955	0		13.98492	1.62392	35.90039	0.19855	0.3371	0.86835	3.85851	0	1.16392	0.0955
Healthy	0	0.15545	0.98615	1.22214	1.97032	0	0	0.49385	0		22.45504	5.21067	0.03459	0	1.97032	0.98615	0.00058	0	0	0.49385
Healthy	0.88276	0.38092	0.07916	0.04188	0	0.05609	0.00868	0.18648	0.00033		25.21853	6.3769	0.24421	0	0	0.07916	0.14273	0.00868	0.28618	0.18648
Healthy	0	0	0	0	0.31569	0	0	0.01904	0		29.12875	4.58862	0	0	0.31569	0	0.19515	0	0.05986	0.01904
Healthy	0	0.8025	1.5817	0.22354	0	0	0	0	0		20.95243	0	0	0	0	1.5817	0.81232	0	0	0
Healthy	0.0911	0.20201	0.05851	0	3.24867	0	2.24067	0.51527	0		38.42361	4.0178	0.26781	0	3.24867	0.05851	0	2.24067	0	0.51527
Healthy	3.81252	1.28005	0.07394	0	0	6.23289	0	0.03904	0		35.15934	0	0	0.05242	0	0.07394	0.32966	0	0.01366	0.03904
Healthy	0.47522	0.23032	0.00254	0.05781	0	1.20495	0	0.13451	0.0396		22.27209	0	0.18712	0	0	0.00254	0.44799	0	0.17413	0.13451
Healthy	0.34649	0.0582	0.49025	0	0.6914	0	0	0.0223	0		0.65685	21.39859	1.20908	2.97255	0.6914	0.49025	0	0	0	0.0223
Healthy	2.71161	16.77604	1.19138	2.91725	2.27129	0	0.39151	0	0		6.95679	2.14488	1.62673	0	2.27129	1.19138	0	0.39151	0	0
Healthy	0.07952	0.17892	0	0	0	0.05662	0	0.11806	0		10.2726	0.92332	0.43785	0	0	0	0	0	0	0.11806
Healthy	0.08088	0	0	0.02407	1.0791	0	0	0	0		6.52439	8.27981	35.20264	12.9858	1.0791	0	0	0	0	0
Healthy	0.03375	0.27012	1.14247	3.67433	4.32512	0.0363	0	0.00776	0.04553		17.31738	0.57703	5.45267	4.58123	4.32512	1.14247	0.12773	0	0.25	0.00776
Healthy	10.2181	0	0.13551	0	1.19682	0	0	0.15215	0		0.38881	1.20878	0.0103	2.60171	1.19682	0.13551	0	0	0	0.15215
Healthy	0	0.05589	0.0128	0	0.28366	0	0	0	0		3.13409	9.70905	0.13383	0	0.28366	0.0128	0	0	0	0
Healthy	0.06381	0.45117	0.40667	0	0.7939	0	0	0.04004	0		8.78889	10.36282	2.43475	5.94604	0.7939	0.40667	0	0	0	0.04004
Healthy	0.06157	0	0.02247	0	0	0	0	0.00233	0		1.4222	14.5598	0.27682	5.89113	0	0.02247	0	0	0	0.00233
Healthy	0	0	0.17455	0	0.67999	0.02424	0	0.02894	0		4.3198	4.97954	5.34259	17.7048	0.67999	0.17455	0	0	0.00258	0.02894
Healthy	0	0.01403	1.34329	3.85188	0.05868	0.00465	0	0.00077	0		38.69933	1.25534	0.1995	0	0.05868	1.34329	0.0175	0	0	0.00077
Healthy	0	0	0	0	1.71217	0	0	0	0		24.09166	1.26871	5.93464	5.0839	1.71217	0	0	0	0.92052	0
Healthy	0	0	1.12109	0.83359	0	0	0.00794	0	0		37.42848	1.04566	0	0	0	1.12109	0	0.00794	0	0
Healthy	0	0	0.04651	0	0.20882	0	0	0.02643	0		14.87514	7.21136	0.92934	0.01411	0.20882	0.04651	0	0	0	0.02643
Healthy	4.2841	0.01292	0	0	0	0	0	0	0		0.64545	0	0	0	0	0	0	0	0	0
Healthy	0	0.34776	0.14758	0	0.12154	0	0.01283	0.00714	0		20.44622	10.80823	0.61728	1.21706	0.12154	0.14758	0.01667	0.01283	0	0.00714
Healthy	0.27184	0.10367	0	0	0	0.52418	0	0	0		11.94382	0	0.01142	0.62783	0	0	0.20553	0	0	0
