group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	1.86857	1.62082	0.07811	0	0.15919	0	0.08972	0	0	0	26.8096	2.20286	6.41941	0	0.55504	0	0.1397	0.0481	0.21457	0
Healthy	0.5278	0	0	0.01295	0	0	0	0.03569	0	0	11.2776	5.9434	3.32443	0	0	0	0	0.00861	0.0857	0.18101
Healthy	2.42985	0	0.16815	0	0	0	0	0	0	0	8.87042	1.22857	0	0	1.31168	0	2.15701	0.39177	0.04583	0.0137
Healthy	5.20293	0.78154	3.86265	1.80323	10.7882	8.25162	4.30303	0	0.44566	0	8.36194	0.2179	0	0	0	0.78176	0	0	0	0
Healthy	1.37117	5.02661	0	0.15331	0.00519	0	0.00997	0	0.10009	0	23.4089	8.81564	0.0024	0.15651	0	3.68885	0.00799	0.04008	0	0
Healthy	16.8393	0.51508	0.14689	0.34057	0.12538	0	0	0.08837	0.01725	0	0.97029	0.01232	0	0	1.39468	2.2582	0	0.12296	1.28454	0.00071
Healthy	1.56627	0.35942	0	0	0.0414	0	0.0164	0	0	0	18.5626	1.9013	3.23865	0	0	0	0.24095	0.01668	0.26069	0
Healthy	3.54818	0	0	0.00682	0	0	0	0	0	0	5.44304	0	0	0	0	1.65739	0.00624	0.57286	0.00459	0.09636
Healthy	2.14458	1.08327	0.75545	1.68544	1.82851	0.00881	0.5972	0.79813	0.24688	0.40562	23.1623	0.98909	0	0	1.1273	0	0	0	0.01474	0
Healthy	0.69262	0.03579	0	0	0	0	0	0	0	0	0	0	0	0.1002	0	0	0	0.06747	0	1.59455
Healthy	0.90956	1.95917	0.60527	0.9289	0.64062	0	0.45839	0.17136	0.2872	0.43583	2.06701	0.00416	0	0	1.03345	0	0	0.0234	0	0
Healthy	1.09293	0.91554	0.47844	0.23437	0.06819	0	0.06578	0	0	0	7.69883	0.79411	0	0	0	0	0	0	0.04035	0
Healthy	2.47447	0	0	0	0	0	0	0	0	0	31.5429	11.2187	0	0	0	0	0.04504	0.15397	0.08025	0.43714
Healthy	1.19569	14.9951	0.22579	0.18392	0.53306	0	0.26968	1.19933	0	0	1.48994	0.12664	4.25365	0	0	0	0	0	0	0
Healthy	2.64489	13.9084	0.00453	0.22336	0.21077	0.184	0.21694	0.22268	0.06373	0.12372	3.63927	0.11155	0	1.15039	1.1161	4.91021	0.01655	0.01676	0	0
Healthy	1.38269	5.15759	0	0.17054	0.0077	0	0.03229	0	0.09145	0	23.8213	8.55253	0	0.19017	0	3.6468	0	0.04544	0	0
