group	Lachnospiraceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Peptostreptococcaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Acutalibacteraceae	Dialisteraceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	2.05337	0.00291	0	0	0	0	0	0	0	0	36.92951	2.07785	2.48965	0	0	0	0	0.00721	0	0
Healthy	17.42598	1.47116	0.71644	0	0.90454	0	0.08093	0.13647	0.29137	0.00327	29.16371	0.02277	0.14204	0.00715	0.71644	0	0.13401	0.08954	0.29137	0.22887
Healthy	0.82468	0	0.68097	0	0	0	0.35675	0	0.01047	0	50.26182	0.57939	9.30256	0	0.68097	0	1.78574	0.17895	0.01047	0
Healthy	13.15289	0.02683	0.35797	0.19254	0	0	0	0	0.05276	0	25.14316	0.04283	0.26986	0.05897	0.35797	0.19254	0.01682	0.14804	0.05276	0
Healthy	29.97117	0	3.68311	0.2624	0	1.12381	1.933	0.26971	0	0	2.1963	32.4931	0	2.07917	3.68311	0.2624	0	0	0	0
Healthy	1.15799	0.21585	0.14868	0	0	0	0.02708	0	0	0	85.81464	0.37289	3.34381	0	0.14868	0	0.20572	0	0	0
Healthy	16.08956	0.04828	0.23323	0	0	0	0.43867	0.26029	0	0	51.51814	3.02639	1.41269	0	0.23323	0	0	0	0	0
Healthy	2.66517	0	0	0	0	0	0.01705	0	0.51129	0	62.86016	0	0	0	0	0	0.15639	0	0.51129	0.21743
Healthy	3.20391	0.00451	0	0	0	0	0.01215	0	0.7355	0	49.18147	0	0	0	0	0	2.66772	0	0.7355	0.24355
Healthy	22.52399	0	0	0	0.0073	0	0.0136	0	0.03641	0	37.50399	2.56626	5.34871	0	0	0	0.09915	0	0.03641	0
Healthy	23.50672	0	0.07736	0	0	0	0.05412	0	0	0	31.8271	0.27637	0	0	0.07736	0	0.2508	0.55153	0	0.0745
Healthy	5.27636	0.5783	0.03571	0	0	0	0	0	0	0	56.57897	0	4.62199	0	0.03571	0	0.1223	0	0	0
Healthy	0.74218	0	0	0	0	0	0	0	0.14686	0	13.35822	2.04324	0	0	0	0	0.18747	1.61864	0.14686	0
Healthy	4.66382	0.10271	1.46902	0	0	0.00448	0.00569	0	0.00802	0	1.71228	0.05402	0	0	1.46902	0	0.05913	0	0.00802	0
Healthy	20.07617	0.01597	0	0	0.02608	0.14062	0.00545	0.25312	0.01042	0	63.27551	1.5587	0	0	0	0	0.04607	0	0.01042	0
Healthy	20.8232	0	0	0	0	0	0	0.16683	0	0	50.98894	0.07901	5.07885	0	0	0	0.1339	0	0	0
Healthy	18.86342	0.78156	3.88243	1.40591	0	0	11.3576	0	0	0	17.48899	11.9056	0	0	3.88243	1.40591	0	0	0	0
Healthy	8.09311	0.60443	0.00219	0	0	0.00243	0.5723	0.01342	0.21516	0	6.53995	17.15839	1.99584	0	0.00219	0	0	0	0.21516	0
Healthy	18.30054	0	0.10638	0	0	0	0	0	0	0	67.63594	0.55983	0	0	0.10638	0	0	0	0	0.42578
Healthy	9.47397	0.00195	0	1.52523	0	0	0	0	0	0	25.70038	3.29959	0	0.57278	0	1.52523	1.53569	0.04203	0	0.16582
Healthy	11.74589	0.03976	0.07817	6.00307	0	0.55065	0.11145	0.39724	0	0	12.94768	0.47797	0	0.1514	0.07817	6.00307	0	0.03232	0	0.02847
Healthy	0.2867	0.04975	0.96563	0.02808	0	0	0.29282	0	0.00975	0	37.01449	0.68619	0.03571	0	0.96563	0.02808	2.15327	0.40307	0.00975	0.081
Healthy	1.01616	0.29215	1.24073	0.02259	0	0	0.56328	0	0	0	10.67673	5.62385	0.61502	0	1.24073	0.02259	0.53887	0.80581	0	0.01499
Healthy	25.34291	0.22287	0	0	0	0.01785	0.57913	0	0.08385	0	18.87722	0.68543	4.75712	0	0	0	0.27181	0	0.08385	0
Healthy	9.43879	0.02321	0.38018	0	0	0	0	0	0	0	46.32682	0.63357	0	0.0264	0.38018	0	0.09268	0.09289	0	0
Healthy	6.33331	0	0.22602	0	0	0.98088	0.28536	0.0182	0	0	27.71683	7.85793	0	0.50179	0.22602	0	0.03116	0.29804	0	0
Healthy	0.00094	0	0	0	0.22892	0	0	0	0	0	0.05164	0	0	0	0	0	0	0	0	0
Healthy	21.55607	0.09358	0.02688	0	0	0	0.0673	0	0.1511	0	34.59584	0	0	0	0.02688	0	0.19885	0.16147	0.1511	0.04561
Healthy	0	0.00367	0	0	3.58269	0	0.02798	0.02357	0.00219	0	0.00012	0	0	0	0	0	0.25159	0	0.00219	0
Healthy	1.72277	0	0	0	0	0	0	0	0	0	83.77259	0	0	0	0	0	0.08128	0	0	0
Healthy	1.17854	0	0.11605	0	0	0	0	0	0	0	23.28354	0.1764	0	0	0.11605	0	1.25366	0.03182	0	0
Healthy	4.22058	0.25024	0.571	0	0	0	0	0	0	0	28.01658	0	15.1182	0	0.571	0	0.25381	0.01125	0	0
Healthy	12.86174	0	0.14202	0	0	0	0.10518	0	0.00602	0	39.59788	0.07202	0	0	0.14202	0	0.08686	0.20998	0.00602	0.06628
Healthy	26.41081	0.00441	0.01375	0	0	0	0	0	0	0	57.95917	0.07529	3.44835	0	0.01375	0	0.10013	0	0	0
Healthy	5.7435	0.00552	0	0	0	0	0	0	0.00226	0	45.98027	0.96809	2.88164	0.0539	0	0	0.02179	0.07482	0.00226	0.02796
Healthy	1.35877	0.04713	0.13383	0	0	0	0.00711	0	0	0	64.4191	0.65772	0	0	0.13383	0	0.12854	0	0	0.00691
Healthy	26.62906	0.04653	0.24	0	0	0	0.02471	0.00354	0.05421	0	28.08373	2.3538	0	0	0.24	0	0.48259	0.05661	0.05421	0
Healthy	46.55662	0	0	0	0	8.60814	2.64033	0	0	0	16.79646	0	0	0	0	0	0	0	0	0
Healthy	25.0635	2.29794	0.23481	0	0.52882	0.84799	0.15335	0	0.03483	0	21.19058	1.70945	0	0	0.23481	0	0.01974	0.01742	0.03483	0
Healthy	56.88681	0	0.17433	8.81102	0	0.07633	1.06366	0	0	0	6.09663	5.97462	0	3.78245	0.17433	8.81102	0	0.01529	0	0
Healthy	12.1476	0	0	0	0	0	0	0	0	0	3.61561	0	0	0	0	0	0	0	0	0
Healthy	2.9794	0.04301	0.24373	0.86272	0	0	0.03085	0	0	0	52.81819	0	0	0	0.24373	0.86272	1.31228	0.31288	0	0.01168
Healthy	4.23484	0	0.63218	0.06803	0	0.10067	0.19977	0	0	0	60.23069	0.00984	0	0.09708	0.63218	0.06803	3.44475	1.50048	0	0
Healthy	13.98492	0.9221	0.3371	0	0	0	0.86835	1.16392	0.0955	0	21.04416	1.33345	0.19855	0	0.3371	0	0	0	0.0955	0
Healthy	22.45504	0.15545	1.97032	0	0	1.22214	0.98615	0	0.49385	0	3.37515	14.60672	0	0	1.97032	0	0.12738	0.00355	0.49385	0
Healthy	25.21853	0.38092	0	1.22966	0.00868	0.04188	0.07916	0.28618	0.18648	0.00033	37.40606	4.71234	0	1.82276	0	1.22966	0.06706	0.01117	0.18648	0
Healthy	29.12875	0	0.31569	0	0	0	0	0.05986	0.01904	0	44.30969	6.0946	0	0	0.31569	0	0.02712	0	0.01904	0
Healthy	20.95243	0.8025	0	3.19845	0	0.22354	1.5817	0	0	0	57.65788	4.21521	0	0	0	3.19845	0	0	0	0
Healthy	38.42361	0.20201	3.24867	0	2.24067	0	0.05851	0	0.51527	0	10.76303	0	0	3.06148	3.24867	0	0	0	0.51527	0
Healthy	35.15934	1.28005	0	0	0	0	0.07394	0.01366	0.03904	0	0	0	0.05242	0	0	0	0.04332	0	0.03904	0
Healthy	22.27209	0.23032	0	0	0	0.05781	0.00254	0.17413	0.13451	0.0396	22.0643	0	0	0	0	0	0	0	0.13451	0
Healthy	0.65685	0.0582	0.6914	0.06831	0	0	0.49025	0	0.0223	0	15.46975	2.25608	2.97255	0	0.6914	0.06831	1.13938	0.66408	0.0223	0.11682
Healthy	6.95679	16.77604	2.27129	2.97004	0.39151	2.91725	1.19138	0	0	0	15.45515	1.28553	0	0	2.27129	2.97004	0	0	0	0
Healthy	10.2726	0.17892	0	0	0	0	0	0	0.11806	0	58.28202	0	0	0	0	0	0.06439	0.06978	0.11806	0
Healthy	6.52439	0	1.0791	0	0	0.02407	0	0	0	0	19.05947	5.52631	12.9858	0	1.0791	0	0.07299	0.00756	0	0
Healthy	17.31738	0.27012	4.32512	0	0	3.67433	1.14247	0.25	0.00776	0.04553	14.09378	0.00231	4.58123	0	4.32512	0	0	0	0.00776	0.00357
Healthy	0.38881	0	1.19682	0	0	0	0.13551	0	0.15215	0	9.11642	1.98079	2.60171	0	1.19682	0	0.10104	0.45505	0.15215	0
Healthy	3.13409	0.05589	0.28366	0.80514	0	0	0.0128	0	0	0	53.17229	0	0	0	0.28366	0.80514	1.33726	0.33848	0	0.01321
Healthy	8.78889	0.45117	0.7939	0	0	0	0.40667	0	0.04004	0	31.38157	0.07926	5.94604	0	0.7939	0	0.05911	0.00124	0.04004	0.02264
Healthy	1.4222	0	0	0	0	0	0.02247	0	0.00233	0	54.35535	0.17536	5.89113	0	0	0	0.00889	0	0.00233	0
Healthy	4.3198	0	0.67999	0	0	0	0.17455	0.00258	0.02894	0	29.52946	4.53107	17.7048	0	0.67999	0	1.06876	0.1094	0.02894	0
Healthy	38.69933	0.01403	0.05868	0	0	3.85188	1.34329	0	0.00077	0	27.07981	0.10581	0	0.02465	0.05868	0	0.08893	0	0.00077	0
Healthy	24.09166	0	1.71217	0	0	0	0	0.92052	0	0	16.90852	11.7396	5.0839	0	1.71217	0	0	0	0	0
Healthy	37.42848	0	0	2.18475	0.00794	0.83359	1.12109	0	0	0	39.98426	3.13501	0	0	0	2.18475	0	0	0	0.49074
Healthy	14.87514	0	0.20882	0	0	0	0.04651	0	0.02643	0	51.95529	0	0.01411	0	0.20882	0	0.04979	0.05044	0.02643	0
Healthy	0.64545	0.01292	0	0	0	0	0	0	0	0	92.81289	0	0	0	0	0	0.08548	0	0	0
