group	Alistipes	Prevotella	Phascolarctobacterium	Phytobacter	Parasutterella	Alistipes_A	Paraprevotella	Bilophila	Coprobacter	Eggerthella	Bacteroides	Parabacteroides	Mediterraneibacter	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella	Holdemania
Healthy	0	40.07286	1.40714	0	0	0	0	0	0	0	0	0	1.73861	0	0	0	0	0	0	0
Healthy	1.60532	0.03222	0	0.02631	0.39081	0.00478	0	0	0	0.00763	44.14174	2.47829	0.00521	0	0	0.27357	0.00478	0	0.39081	0.12269
Healthy	0	0	0	0.42965	0.11156	0	0	0	0	0	76.31918	3.17839	0.06426	0	0	0.20572	0	0.37289	0.11156	0.02708
Healthy	0.00153	0	0	15.6337	0	0	0	0	0	0	0.0175	0.00463	0.00786	0	0	0	0	0	0	0
Healthy	0.07741	0	0	1.31886	0	0	0	0	0	0	83.40261	2.44765	0.33175	0	0	0	0	0	0	0
Healthy	3.7531	0	0	0	0.03569	0	0	0	0	0	27.78982	0.27114	0.17702	0	0	0	0	0	0.03569	0
Healthy	5.56369	0	0	2.36877	0	0	0	0	0	0	14.02877	1.18699	0.13705	0.26927	0	0	0	0	0	0
Healthy	0.63812	0	0	0	0	0	0	0	0.21743	0	31.70646	5.80673	0.14695	5.7003	0.9632	0.15639	0	0	0	0.01705
Healthy	0.8505	17.7119	3.79571	0	0	0	0	0	0	0	18.06008	0.06004	3.28568	0	0	0	0	0	0	0
Healthy	0.89891	0	0	0	0	0	0	0	0.24355	0	37.14727	6.68856	0.17457	7.09637	1.07873	0.23769	0	0	0	0.01215
D001528	21.76143	0.04228	0.00034	0.44415	0.63939	0.04272	0.22304	0.86982	0.03228	0	34.1179	2.55284	0.00112	0.00147	0.64103	0.0605	0.04272	0.0008	0.63939	0
Healthy	0.659	43.95133	0.29629	0	0.01552	0	0.18171	0	0	0	2.94878	1.45644	0.15484	0.83185	2.11166	0.01289	0	0.35155	0.01552	0
Healthy	0.87139	0	0	0.04705	0	0	0	0	0	0	10.10225	0.00304	0.22845	0	0.587	0.081	0	0	0	0.0136
Healthy	0.06141	0.62459	0	0.78469	0.24481	0	0	0.14777	0	0.00335	2.12968	0.76233	0.06766	0	0	0.00321	0	0	0.24481	0
Healthy	24.34596	0	0	0	0.38392	0.08903	0	0	0.0745	0	24.40483	6.3337	0.00558	2.59178	0.79485	0.1543	0.08903	0	0.38392	0.05412
Healthy	2.45469	0	0	0	0.05957	0.00312	0	0	0	0	41.147	6.04427	0.4621	6.27355	1.04245	0.0264	0.00312	0	0.05957	0
