group	Bacteroidota	Actinobacteriota	Proteobacteria		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	61.05334	0.03064	0.11734		61.05334	28.72613	0.03064	0.11734	3.44835	0.01073	0.00441	0	0	
Healthy	70.56182	4.3473	0.38901		70.56182	10.29137	4.3473	0.38901	2.88164	0.14766	0.00552	0.0539	0.07482	
Healthy	83.56988	0.19576	1.5313		83.56988	3.07896	0.19576	1.5313	0	0.83505	0.05424	0	0	
Healthy	37.34462	0.31581	2.8125		37.34462	47.58903	0.31581	2.8125	0	0.00071	0.07124	0	0.05661	
Healthy	20.76636	0	0.04874		20.76636	46.68091	0	0.04874	0	0	11.24847	0	0	
Healthy	49.42088	0.60735	0.54305		49.42088	32.10056	0.60735	0.54305	0.25302	0	3.8281	0	0.01742	
Healthy	7.28498	1.43563	0.04642		7.28498	67.15059	1.43563	0.04642	8.81102	0	1.13999	3.78245	0.01529	
Healthy	3.61561	21.2371	0		3.61561	75.1473	21.2371	0	0	0	0	0	0	
Healthy	65.94451	0.39039	0.11483		65.94451	7.72351	0.39039	0.11483	0.86272	10.5195	0.07386	0	0.31288	
Healthy	77.56292	0.63218	0		77.56292	9.8679	0.63218	0	0.06803	0	0.30044	0.09708	1.50048	
Healthy	22.77193	36.33299	3.91711		22.77193	22.14707	36.33299	3.91711	1.49325	0	1.86789	0	0	
Healthy	10.42839	2.50785	0.41904		10.42839	52.22403	2.50785	0.41904	0	6.51919	2.37947	0	0.00355	
Healthy	44.35637	0.437	2.88335		44.35637	38.38682	0.437	2.88335	1.28575	0.00699	0.87812	1.82276	0.01117	
Healthy	50.42891	0.33473	0.29535		50.42891	40.68505	0.33473	0.29535	0	0	0	0	0	
Healthy	57.9843	0	0.81232		57.9843	26.52187	0	0.81232	3.19845	0	2.60774	0	0	
Healthy	19.00735	4.03175	0.6764		19.00735	41.09663	4.03175	0.6764	0	0	14.02652	3.06148	0	
Healthy	0	0.03904	4.21267		0	35.21632	0.03904	4.21267	6.5513	0	1.64296	0	0	
Healthy	22.0643	0.36123	2.59823		22.0643	31.40078	0.36123	2.59823	1.21693	0	0.29067	0	0	
Healthy	45.26359	1.92278	0.35924		45.26359	6.64172	1.92278	0.35924	3.04086	0.13239	0.54845	0	0.66408	
Healthy	18.16766	3.89802	2.71161		18.16766	9.18061	3.89802	2.71161	7.94031	0	21.27618	0	0	
Healthy	63.72663	0.55591	0.07952		63.72663	18.60734	0.55591	0.07952	0.05662	0	0.17892	0	0.06978	
Healthy	31.15761	36.28174	0.10428		31.15761	12.84356	36.28174	0.10428	12.9858	0.03307	0.02407	0	0.00756	
Healthy	21.40224	9.87513	0.31866		21.40224	35.43325	9.87513	0.31866	4.61753	0	5.08692	0	0	
Healthy	13.2891	1.35927	10.50216		13.2891	6.40872	1.35927	10.50216	2.60171	43.9894	0.13551	0	0.45505	
Healthy	65.75268	0.41749	0.09557		65.75268	7.82485	0.41749	0.09557	0.80514	10.41	0.06869	0	0.33848	
Healthy	46.11877	3.26869	2.57426		46.11877	26.40525	3.26869	2.57426	5.97847	0.10078	0.85784	0	0.00124	
Healthy	70.63059	0.27915	0.17823		70.63059	3.28311	0.27915	0.17823	5.89113	0	0.02247	0	0	
Healthy	44.41535	6.05152	0.27735		44.41535	11.05421	6.05152	0.27735	17.72904	7.09147	0.17455	0	0.1094	
Healthy	36.30805	0.25895	0.02241		36.30805	42.33858	0.25895	0.02241	0.00465	0	5.2092	0.02465	0	
Healthy	18.17723	7.64681	0		18.17723	55.66819	7.64681	0	5.0839	0	0	0	0	
Healthy	42.50091	0	0		42.50091	40.80151	0	0	2.18475	0	1.96262	0	0	
Healthy	63.68496	1.16459	0.17416		63.68496	16.35226	1.16459	0.17416	0.01886	0	0.04651	0	0.05044	
Healthy	92.81289	0	4.2841		92.81289	2.18622	0	4.2841	0	0.55019	0.01292	0	0	
Healthy	49.73983	0.74596	2.56184		49.73983	32.41273	0.74596	2.56184	1.21819	0.38836	0.50817	0	0.10707	
Healthy	51.54426	0.01142	2.5813		51.54426	43.83014	0.01142	2.5813	1.15201	0	0.10367	0	0	
Healthy	71.0787	0	2.44306		71.0787	3.46566	0	2.44306	0	0	0	0	0.03142	
