group	Bacteroides_intestinalis_A	Bifidobacterium_pseudocatenulatum	Anaerotruncus_colihominis	Bacteroides_nordii	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	0	0.24598	0.02013	0	0	0	0.00802	0	0	0	0	0	0	0.01419	0.46926	0.09467	0.03654	0.02799	0.00113	0.03246
Healthy	0	0	0.00553	0	0.04022	0.01299	0	0.00344	0	0	0	1.5587	0	0	0.12008	0.0048	0.03955	0.17411	0.08828	0.04607
Healthy	0	0	0	0	0.07535	0.01122	0	0	0	0	0	0.0013	0	0	0	0	0.8906	0.04242	1.87455	0.1339
Healthy	0	0	0	0	0	0	0	0	0	0	0.23084	11.9056	1.08835	0	0.57718	0.72437	0	0	0	0
Healthy	0	0	0	0	0	0	0.01837	0	0	0	0.41566	17.0343	0	0	0.60249	0.43377	0.09151	0	0.05149	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.55983	0	0	0.79118	0.66445	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	6.49737	3.29959	0.10558	6.42389	0.9126	0.29839	0	0.00222	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.79257	0.10202	0.16735	0.64181	0.13232	0.1194	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.00171	12.8843	0.68619	2.88154	0.81698	0.00178	0.04908	0.00235	0.0042	0.00519	0.07836
Healthy	0	0	0	0	0	0	0	0	0	0	8.26862	5.08415	1.9336	0.57386	0.15205	0.32589	0	0	0	0
Healthy	0	0	0.00163	0	0.07178	0.01008	0.00992	0.05627	0	0	0.42444	0	0	0	4.4287	2.57677	0.23493	0	0.00485	0.05252
Healthy	0.91993	0.6233	0.03156	0	0	0	0	0	0	0	11.8498	0.63357	0	1.79012	0	0.23815	0	0.01784	0	0
Healthy	0.61272	0	0	0	0	0	0	0	0	0	6.71292	7.85793	3.19204	0.72177	0.31153	0.38828	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	12.8671	0	2.48727	4.0637	0	0.1208	0	0.20827	0	0.01664
Healthy	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0.25159
Healthy	0	0	0	0	0.28461	0.02802	0	0	0	0	1.1953	0	1.99692	0.21164	0	0	0.31864	0.58962	0.38907	0.039
Healthy	0	0	0	0	0.10694	0	0	0	0	0	15.4129	0	3.44508	0	0	0	0.98643	0	0.02266	1.17769
Healthy	0	0.07643	0	0	0	0	0	0	0	0	14.0751	0	12.6988	0	0	0.0369	0.02133	0	0	0.10917
Healthy	0.00524	0	0	0	0	0	0	0	0	0	4.23585	0.06967	4.55688	0.2255	0.9071	0.57222	0	0	0.02605	0.00252
Healthy	0	0	0	0	0	0	0	0	0	0	0.43198	0.07529	0.04919	0.3427	0.22621	0.1772	0	0	0	0
Healthy	0	0	0	0.02747	0	0	0	0	0	0	12.6468	0.96809	3.20915	1.68427	0.02999	0.03083	0	0.23778	0	0
Healthy	0	0	0	0.00061	0	0	0	0	0	0	1.60992	0.65772	4.11412	3.13785	0	0.00565	0	0	0	0.01706
Healthy	0.14581	0.0216	0	0	0.00756	0.03803	0.00348	0	0	0	3.83116	2.3538	0.52356	0	0.42331	0.29976	0.01131	0	0.01224	0.00382
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.15386	0	0.4936	0.13302	0	0.04874	0	0
Healthy	0	0	0	0.12319	0	0	0	0.04292	0	0	13.3171	1.63394	5.44263	3.17211	0.32437	0.42806	0	0	0	0
Healthy	0.00993	0	0	0	0	0	0	0	0	0	0.02436	5.97462	0.24568	0.20306	0.18274	0.21301	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.11472	0	0	0	0	0	0	0	0	0	4.24235	0	0.74068	2.32076	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.34472	0.00984	3.25057	3.71119	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.33345	0	0.88663	1.40782	0.2328	0	0.0586	0	0
Healthy	0.50547	0	0.16946	0	0.04142	0.00235	0.08424	0.0084	0	0	3.03243	13.6181	0.62205	1.67671	3.00802	0.31212	1.04231	0	0.00579	0.03893
Healthy	0	0	0	0.08049	0.03781	0	0.01546	0.02727	0.00033	0	5.3789	4.71234	0	0.69285	0.15216	0.99415	0.04571	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.74881	6.0794	0	1.06743	0.39885	0.12754	0	0.1002	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	4.21521	0.20778	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.91669	0	4.13991	1.57928	5.83452	2.84013	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17018	0.04332
Healthy	0	0.16174	0	0	0	0	0	0	0.0396	0	0	0	0	0	0	2.43898	1.09541	0	0.92036	0
Healthy	0	0	0.05211	0	0	0	0	0	0	0	17.0047	2.11964	2.14547	0.96341	0.08323	0.13568	0.01502	0.01275	0.02305	0.10445
Healthy	0	0	0	0	0	0	0	0	0	0	0.29245	1.28553	0	1.02652	0.86242	0.40834	0	0	0	0
Healthy	0.00469	0	0	0.02252	0.00188	0.00869	0	0	0	0	0	0	0	0.70518	0.27006	0.23099	0.01869	0	0	0.00594
Healthy	0	0	0	0	0	0	0	0	0	0	7.74784	5.52631	2.67909	0.18205	0.02937	0	0	0.0234	0	0.05866
Healthy	0	0	0.03246	0	0	0	0	0	0.04553	0	0	0.00231	3.83289	0	3.90154	1.28674	0	0	0	0
Healthy	0	0	0	0	0	0	0.14118	0	0	0	0.18465	1.95838	0	1.02413	0	0.15075	0.08032	0.00705	0.01988	0.01393
Healthy	0.07352	0	0	0	0	0	0	0	0	0	4.12456	0	0.76415	2.1584	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.01527	0	0	0	0	3.82611	0.07926	1.78582	2.49724	0.48446	0.20733	0	0	0	0.00771
Healthy	0	0	0	0	0	0	0	0	0	0	12.4605	0	0	1.835	0	0	0	0.11666	0	0
Healthy	0	0	0.20305	0	0.01451	0.00955	0.02894	0	0	0	0	4.46956	5.12769	0.77469	0.07101	0.08157	0.07188	0.27735	0	0.08755
Healthy	0	0	0	0.01122	0	0	0	0	0	0	0.7344	0.09014	0.39095	0.10148	0.36709	0.25761	0	0.00491	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.26871	11.7396	0	0	2.07775	0.53567	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.58806	3.13501	0.7484	0	1.01417	0.43257	0	0	0	0
