group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
Healthy	0	0	0	0	0	0		51.51814	16.08956	3.7531	4.91281	0.27114	3.02639	0	0.23323	0	0
Healthy	0	0	0	0	0	0		62.86016	2.66517	0.63812	8.9483	5.80673	0	0	0	0.15639	0
Healthy	0	0	0	0	0	0		49.18147	3.20391	0.89891	11.35242	6.68856	0	0	0	2.66772	0
Healthy	0.04705	0	0	0.028	0	0		37.50399	22.52399	0.87139	12.27917	0.00304	2.56626	1.24513	0	0.09915	0
Healthy	0	0	0	0	0	0		31.8271	23.50672	24.43499	3.55185	6.3337	0.27637	1.10334	0.07736	0.2508	0.55153
Healthy	0	0	0	0	0	0		56.57897	5.27636	2.45781	4.86156	6.04427	0	3.76568	0.03571	0.1223	0
D007234	55.4011	5.34689	11.6677	1.14436	3.98269	0.17034		0	0	0	0	0	0	0	0	0	0
D007234	0.07348	0.06597	0.54327	0.03264	0.03887	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.04178	0	0	0	0	0		13.35822	0.74218	17.06665	7.68045	5.2338	2.04324	6.29834	0	0.18747	1.61864
Healthy	78.76377	0	0.58176	0	0	0		1.71228	4.66382	0.1997	0.47981	0.02172	0.05402	0	1.46902	0.05913	0
Healthy	1.82617	0	0	0.008	0	0		63.27551	20.07617	0	6.64148	0	1.5587	0	0	0.04607	0
D007234	0	9.06102	0	51.4517	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	2.4214	0	0	2.80187	0	0		50.98894	20.8232	0	9.53526	0	0.07901	0	0	0.1339	0
Healthy	0	0	0	0	0	0		17.48899	18.86342	0.23084	25.28152	0	11.9056	1.08835	3.88243	0	0
D007234	24.20241	27.0468	21.1694	0	0	0		0	0	0	0	0	0	0	0	0	0
D007234	81.4682	9.37489	0	0	0.00419	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.06974	0	0	0		6.53995	8.09311	0.61624	18.29438	0.26959	17.15839	0	0.00219	0	0
Healthy	0	0	0	0	0	0		67.63594	18.30054	0.03482	2.75889	0	0.55983	0	0.10638	0	0
Healthy	0	0	0	0	0	0		25.70038	9.47397	15.23831	8.58561	0.73403	3.29959	0.10558	0	1.53569	0.04203
Healthy	0.71302	0	0.963	0	0	0		12.94768	11.74589	2.87028	28.78528	0.84661	0.47797	0.16735	0.07817	0	0.03232
D007234	40.1105	2.19536	0.12664	0.01385	0.35132	0		0.00102	0	0	0	0	0	0	0	0	0
Healthy	1.00992	0	0	0	0	0		37.01449	0.2867	20.00155	1.26394	6.32032	0.68619	2.88154	0.96563	2.15327	0.40307
Healthy	0.1118	0	0	0	0	0		10.67673	1.01616	14.67782	0.82616	3.97953	5.62385	1.9336	1.24073	0.53887	0.80581
Healthy	0	0	0	0	0	0.00072		18.87722	25.34291	0.42444	10.02603	1.06739	0.68543	0	0	0.27181	0
Healthy	0	0	0	0.01308	0	0		46.32682	9.43879	13.99989	5.53352	4.96493	0.63357	0	0.38018	0.09268	0.09289
D007234	79.09001	0	0	0.0013	0.29661	0		0.0067	0	0	0	0	0	0	0	0	0
Healthy	0.61563	0	0	0	0	0		27.71683	6.33331	8.47845	4.09189	0.96468	7.85793	3.19204	0.22602	0.03116	0.29804
Healthy	86.41751	0	0	0	0	0		0.05164	0.00094	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		34.59584	21.55607	20.27064	3.79106	3.1482	0	2.48727	0.02688	0.19885	0.16147
Healthy	3.966	0.57192	0	0.04244	0.00682	0.90076		0.00012	0	0.01919	0	0	0	0	0	0.25159	0
D007234	72.77777	0.06148	0.10056	0.0151	0.01943	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.09795	0	0	0	0	0		83.77259	1.72277	1.42524	1.07413	5.73289	0	1.99692	0	0.08128	0
Healthy	0	0	0	0	0	0		23.28354	1.17854	15.98344	0.74249	0	0.1764	3.44508	0.11605	1.25366	0.03182
Healthy	0	0	0.02363	0	0	0		28.01658	4.22058	15.10948	0.81966	0	0	12.6988	0.571	0.25381	0.01125
D007234	85.9453	0	0.00286	0.02586	0.02504	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.08321	0	0	0	0	0		39.59788	12.86174	5.89204	10.96303	2.04418	0.07202	4.55688	0.14202	0.08686	0.20998
Healthy	0	0	0	0	0	0		57.95917	26.41081	0.8965	2.1399	2.14848	0.07529	0.04919	0.01375	0.10013	0
Healthy	0.15123	0	0	0	0	0		45.98027	5.7435	16.07393	3.55799	4.49613	0.96809	3.20915	0	0.02179	0.07482
Healthy	0	0	0	0	0	0		64.4191	1.35877	6.16719	0.93393	8.71279	0.65772	4.11412	0.13383	0.12854	0
Healthy	2.8125	0	0	0	0	0		28.08373	26.62906	5.44351	18.12004	2.61407	2.3538	0.52356	0.24	0.48259	0.05661
Healthy	0	0	0	0	0	0		16.79646	46.55662	0	0.12429	3.81604	0	0.15386	0	0	0
D007234	70.5164	0	19.05841	0.0143	0.14931	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.25302	0	0		21.19058	25.0635	20.28008	5.30787	1.74419	1.70945	5.44263	0.23481	0.01974	0.01742
Healthy	0	0	0	0	0	0		6.09663	56.88681	0.36649	4.28916	0.57618	5.97462	0.24568	0.17433	0	0.01529
D007234	0	99.6671	0	0	0.02764	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		3.61561	12.1476	0	62.9997	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		52.81819	2.9794	10.3322	3.43183	0.92557	0	0.74068	0.24373	1.31228	0.31288
D007234	82.962	5.09266	0	0	0	0.72757		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		60.23069	4.23484	9.98651	2.17847	3.21554	0.00984	3.25057	0.63218	3.44475	1.50048
Healthy	0	0	0	1.2947	0	0		21.04416	13.98492	1.62392	5.66478	0.10385	1.33345	0	0.3371	0	0
D007234	74.8701	6.98848	0	0	0.89498	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0.32517	0	0	0	0.00741		3.37515	22.45504	5.21067	14.94631	0.98259	14.60672	0.62205	1.97032	0.12738	0.00355
D007234	0	0	0	10.4364	3.19396	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.88276	0.0872	0	0.05609	0	0.00598		37.40606	25.21853	6.3769	8.10271	0.57341	4.71234	0	0	0.06706	0.01117
Healthy	0	0	0	0	0	0		44.30969	29.12875	4.58862	5.37472	1.5306	6.0946	0	0.31569	0.02712	0
D007234	51.7171	8.19601	0.02609	0.00674	0	0		0	0	0	0	0	0	0	0	0	0
D007234	70.10612	0.11071	0	0.30033	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		57.65788	20.95243	0	1.35423	0.11864	4.21521	0.20778	0	0	0
