group	Lachnospiraceae	Barnesiellaceae	Methanobacteriaceae	Coprobacteraceae		Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	41.68406	1.3095	0.20726	0		41.68406	0.58348	1.83515	0	1.3095	1.65472	0.91179	0	4.42379	0
Healthy	11.91339	0.78884	0	0.03296		11.91339	0	0	0	0.78884	0.73283	0	0	0	0.03296
Healthy	26.02128	0.42416	2.44739	0		26.02128	0.13293	6.37725	0	0.42416	1.85933	0	0	0	0
Healthy	3.89694	1.96991	0.00825	0		3.89694	0.74931	3.65243	0	1.96991	0.06299	0	0	0	0
Healthy	57.26534	1.05127	0.21268	0.04616		57.26534	0	2.13859	0.36575	1.05127	0	0.09139	0.12587	0	0.04616
Healthy	2.30841	0	0	0		2.30841	0.1845	0	10.166	0	0	0	0	0	0
Healthy	64.4011	0	0	0		64.4011	0.0008	0	0.21431	0	0.00331	0.0471	0	0	0
Healthy	11.56562	2.89475	0	0		11.56562	2.76523	0.01779	0	2.89475	0.04376	0.01153	0.24361	0.20169	0
Healthy	1.72941	0	0	0		1.72941	1.21132	6.20307	0	0	0	0	0	0	0
Healthy	46.51861	0.52702	0	0.00196		46.51861	2.0393	0.92997	0	0.52702	0.00415	0.57161	0	0.1088	0.00196
Healthy	3.10588	0.79806	0	0.01366		3.10588	0.11984	0.95668	0	0.79806	0.00808	0	0	0	0.01366
Healthy	25.5392	0.83378	0.79834	0.03313		25.5392	1.01272	1.63737	0	0.83378	0.07986	0.25338	0.00811	0.07247	0.03313
Healthy	12.06107	0	0	0		12.06107	0	0.07931	0	0	0	0	0	0	0
Healthy	0.68422	2.03364	0	0.33205		0.68422	0.12056	3.13906	0	2.03364	0.03735	0	0	0	0.33205
Healthy	18.72938	2.7135	0	0.10525		18.72938	0	9.16059	0	2.7135	0.06825	0	0	0	0.10525
Healthy	5.48461	4.25885	0.07517	0.03318		5.48461	6.98625	1.7933	0	4.25885	0.8809	0	0	0.0581	0.03318
Healthy	1.21892	0	0	0		1.21892	0	3.22796	3.56415	0	0.02311	0	0	0	0
Healthy	11.90134	0	0	0		11.90134	0	35.1158	0	0	0	0	0	0	0
Healthy	6.58367	5.56533	0.17643	0.40654		6.58367	0.57014	9.79868	0.35415	5.56533	0.02486	0.0422	0	0	0.40654
Healthy	3.07898	8.0343	3.08044	0		3.07898	0.00488	0.00738	2.02896	8.0343	0.36328	0	0.00096	0.00271	0
Healthy	1.71238	0	0	0		1.71238	1.06722	5.73169	0	0	0	0.00402	0	0	0
Healthy	13.19326	7.4203	0	0.06417		13.19326	1.57348	3.9656	0	7.4203	1.03495	0.001	0.65963	0.08429	0.06417
Healthy	23.45088	0.11893	1.90301	0		23.45088	0	0.87545	0	0.11893	5.33684	0	0.04058	0.08412	0
Healthy	12.8256	0.59791	0.42914	0.39662		12.8256	29.09458	1.66492	0	0.59791	0	0	0	0	0.39662
Healthy	11.33591	0	0	0		11.33591	0	2.37585	0	0	0.43276	0	0	0	0
D050177	23.48317	7.25903	0.16537	0.24612		23.48317	2.80454	1.43775	0	7.25903	0.00779	0	0	0.35401	0.24612
Healthy	17.3938	1.35529	0	0		17.3938	1.11818	0.81371	0	1.35529	0.07146	0.02287	0	0.00613	0
Healthy	11.91696	0	0	0		11.91696	0	33.7481	0	0	0	0	0	0	0
Healthy	28.14546	1.7098	0.18105	0		28.14546	0.05685	4.42462	6.64189	1.7098	0	0.3539	0.10779	0.04315	0
D050177	21.74538	3.11892	0	0		21.74538	0.2571	1.2754	0	3.11892	0.19334	0.21717	0	0.0534	0
Healthy	20.27504	3.28842	0	0		20.27504	0.50648	1.35214	0	3.28842	0.1551	0.17004	0	0.03226	0
Healthy	1.00013	1.30868	0.02876	0		1.00013	0.11493	5.14978	0	1.30868	0	0	0	0	0
Healthy	0.6717	2.0715	0	0.35714		0.6717	0.09615	2.99748	0	2.0715	0.0243	0	0	0	0.35714
Healthy	19.14931	0	0	0		19.14931	0.00498	1.26302	0	0	0	0.03656	0	0	0
Healthy	6.12314	0	0.1953	0		6.12314	12.13953	6.27597	0	0	0.00486	0	0	0	0
