o	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Lactobacillales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales	Pseudomonadales	Bacteroidales	Burkholderiales
Healthy	0.00696636925290523	0.844408205051166	0.080749110907479	-0.286727919126105	-5	-0.534379244145795	-0.249267958658788	0.0936807835974929	-1.6458915608526	-5	-5	1.49530395216766	-5
Healthy	1.40385665264794	1.04073205533978	0.723572234494289	1.40411516877084	-5	-0.651928900920112	-0.224032943545995	-1.07644514193245	-5	-5	-5	1.30897098745708	-5
D015179	1.17000282220828	0.656740061467408	0.291987878194912	0.791136025815758	0.0706768256627655	-0.316817828902547	0.0450568429820544	0.229546184081546	-0.00340077729983324	-5	-1.59074334796109	1.39378940238255	-5
Healthy	0.974916783863191	0.796559070196858	0.138754129723719	-0.268604655755548	-1.57823159879308	-1.63413778459744	-5	-0.41999931041096	-5	-5	-5	1.8275738990396	-1.74836177955179
Healthy	0.801631431928032	1.07849270568042	0.508095881195523	0.71558638787792	-0.299469343021408	-5	0.102519458368337	-0.645833914968581	-5	-1.73969005420508	-5	1.62909671283614	-0.169206100295901
Healthy	-3.02227639471115	-5	-1.64282774227697	-5	-5	-0.640297291725886	-5	-5	-5	-5	-5	-1.28692967414436	-5
Healthy	1.33356978670234	0.600964187940667	-5	-5	-5	-1.02877055272376	-1.17192040944325	-0.749604396942884	-5	-5	-5	1.78802829919445	0.714520036294616
Healthy	-5	-0.599289363226769	1.95786132529501	-2.07468790850035	-5	0.555214195727336	-1.55299710153384	-2.65757731917779	-5	-1.62745619924093	-0.242657122385407	-1.71399287792053	-5
Healthy	0.236229821332926	0.062739880787584	-0.926831737734898	0.221849618204452	-5	-5	-5	-5	-5	-5	-5	1.96814495463693	-0.229420427959381
Healthy	0.0713480122005758	0.336971779279089	-5	-5	-5	-5	-5	-0.935317433771488	-5	-5	-5	1.63732748922239	-0.945885099489414
Healthy	0.625373165614261	0.0307939575095279	-0.361390954192885	-5	-5	-0.601625913848644	-5	-0.243356285962926	-5	-5	-1.62635252779078	1.75295206948262	-0.571136591700743
Healthy	1.10930006373877	1.04617976687076	0.122301089961987	0.0238900543559375	-5	-5	-0.97802554488994	-0.829591588274682	-5	-5	-5	1.71731485160876	-0.287501822878101
Healthy	1.4217818853397	0.364612899010632	-1.77211329538633	-1.96899571863646	-5	-2.35457773065091	-5	-1.86138156610051	-5	-5	-5	1.78570949869202	-0.930516906065389
D015179	0.542118033778885	0.822906536678876	0.569038987453727	1.73794770607166	0.806502860446278	-0.168347747229941	0.43207092726408	-5	-5	-0.179752551098124	-5	1.1224278933283	-5
Healthy	0.759177381552239	0.657808996907215	0.637994778390935	-0.830707725120064	-1.26833066817136	-2.2572748686953	-5	-2.64397414280688	-5	-5	-5	1.84856983556758	-0.623806413115715
D015179	1.32467499531888	1.19509255360311	-2.01099538430146	-5	-1.85418228550817	-1.4527176920367	-0.0564214033247758	-0.138806228686556	-5	-5	-5	1.59990424068579	0.398773054608859
Healthy	0.133149145827103	0.235578943330128	-1.20802879897923	-0.0782823188484275	-5	-1.32661042181169	-2.14752000636314	-0.873414072045662	-5	-5	-5	1.92204983052155	0.185063118628386
Healthy	1.42535599929959	1.32131750828927	-1.66534523311676	-3.14266750356873	-5	-1.33217362104929	-1.60695153358322	-0.531327808853853	-5	-2.44977164694491	-5	1.57222816092954	-5
Healthy	1.66798153638897	-0.905528871358355	-5	-5	-5	-5	1.051093840473	-5	-5	-5	-5	1.31736058768831	-1.31202537996544
Healthy	1.39904189135433	0.847391871115861	-0.471443219398817	-5	-5	0.451290473578162	0.000585902155538262	-0.569199575375819	-5	-5	-5	1.69391056216295	-0.335480245715309
Healthy	1.75501165718045	1.0113077576718	0.100821838946951	-5	0.577774343999618	-5	0.0569048513364726	-0.758602958350354	0.945026679940939	-5	-5	0.862428959956688	-1.33320131633383
Healthy	1.08449084041063	1.79933855031565	1.32709541653146	-5	-5	-5	-5	-5	-5	-5	-5	0.558182780051332	-5
Healthy	0.474130271085285	0.676155665743792	-0.833658708016502	1.02199551080134	-5	-1.36632959394856	-1.51060407827287	-0.613073193204431	-0.0641250998316844	-5	-5	1.81917871144198	-0.939906816175532
D015179	1.40164260971386	1.1831735762699	-0.538066496234887	-5	0.471988077734671	-0.218424122966083	0.107484709704392	-0.093287943057036	-5	-0.802168306671097	-0.693768035125043	1.54241034677249	-1.77159964129699
Healthy	0.626838032063187	0.750745148079811	-5	-5	-1.01282549891246	-5	-0.522227791650743	-0.199152378124986	-1.16723569505947	-5	-5	1.88965420652834	-5
Healthy	1.14566029690062	0.84498883224354	1.55509928748709	-5	-5	-0.0352172681616929	-0.0613001900303484	-0.363903445843243	-5	0.0659268621627721	-5	1.35740003085252	-1.23202827861838
Healthy	1.35131402643057	1.47247004224014	-1.37664731846201	0.81419430479598	-5	-0.808381336630531	0.344058072451302	0.39167242839155	-5	-5	-0.487876173277055	1.01821768096015	-1.04014804520039
Healthy	1.40171993995722	1.10998734039473	-0.601140261595739	-2.15490195998574	0.260731872147808	-0.120852490143188	-0.917035206222248	-0.729344451047015	0.0897885777744039	-0.543345545351551	-1.05943371350991	1.64695609540824	0.248137629211972
Healthy	1.46432199727374	1.06056375483841	-5	-5	-5	-5	-5	-0.475292388205987	-5	-1.22279074185432	-5	1.70267966728539	-0.999088937868777
Healthy	1.32123460567136	0.745812309400151	-5	-5	-5	-0.0955495471875633	0.25653735366673	-5	0.504940923792709	-5	-5	1.76331049352414	-5
Healthy	1.58459827858825	0.427003832965794	-0.572156994294466	-5	0.485932845201798	1.14513484820309	-1.23269568254673	0.575643845661616	-5	-5	-0.371958644583609	1.27892180034509	-0.794092237372614
Healthy	1.5460408375615	-1.36321131096562	-5	-5	-5	0.195631247417338	-1.13106182166709	-1.40837896178668	-5	-1.86423148543218	-1.16165473122401	-5	-2.79860287567955
D015179	0.527610569826198	0.295058843048842	-0.517412230473232	0.45534591431364	0.535044613944698	-1.28366271211045	-0.402491293654847	0.270755675019231	-5	-5	-0.585912848172467	1.79980010688859	-1.28895239613297
Healthy	1.34776116788335	0.952044735789634	-0.644491011975566	-5	-5	-0.637649492405152	-1.21925076889645	-0.871213141357402	-5	-0.759101459876509	-5	1.34369035064213	0.224022589711839
D015179	0.945207043390104	1.17780622701041	1.21677586209977	-1.13972190024776	0.826800828506992	-0.60920614984433	0.667751719421233	-0.01659474969244	0.207750127922011	-1.50891858657681	-5	1.26712806200589	-1.67571754470231
Healthy	-0.182527184026897	0.777055446996348	0.0824586292715335	-0.878112014896319	-5	-1.23500240071512	-0.309573539117544	-0.146478218173163	-1.16545214231905	-5	-5	1.65574909221612	-1.89414932561486
D015179	0.820571207933284	0.878839357740934	0.528380568308813	0.0868543599347791	1.05694713584589	-5	-0.457635244093874	-0.132520726833234	-5	0.328104259106516	-5	1.49123979408326	-5
Healthy	0.842409518070182	0.347101584670897	0.211318145691329	-5	-5	1.23470857391237	0.613698089944562	0.356274500903909	0.472763760610584	-5	-5	1.25929923269997	-5
Healthy	1.01168080042184	0.920892577739454	-0.358664727273591	-5	-5	-0.747316838067802	-5	-0.92786043676026	-5	-5	-5	1.80432102081899	-5
Healthy	0.814540579049336	0.800660726291882	1.54657535771273	-1.48043449911949	-5	-5	-1.61834351741421	0.0330657171185611	-5	-5	-5	1.49356427633227	-1.63059858630338
Healthy	1.23848243768063	1.25202441263091	0.743686895664305	-5	-5	-0.568427181414346	0.68275951582264	0.636777663647943	-5	-0.602042619896113	-1.15820270112564	1.33045943275192	-1.05685187064144
Healthy	-0.410251404069212	0.779590719864235	-1.98674133471648	1.64334813711979	-5	-5	-0.867996607013368	0.130005510862396	-5	-5	-5	1.12349589629023	-0.546574628728335
Healthy	0.496112849425274	0.671244138941686	-0.873414072045662	1.01745114670004	-5	-1.25258819211358	-1.89245087025531	-0.547186591322146	-0.0941232027331172	-5	-5	1.81791352489197	-1.01963297381522
D015179	0.911829046910526	1.17228993963174	0.226522575863549	1.21965026786962	-0.378709445238671	-0.769321218853525	0.0229353706809458	-0.222877798078428	0.116245681039472	-5	-5	1.19380418266443	-5
Healthy	0.943934523102862	1.24591642329382	0.386456158235409	-0.996582554797806	-5	-0.345650160093309	-0.390747185114997	-0.0788599869822159	-5	-5	-5	1.66387781019517	0.399753306006056
Healthy	0.152963727974303	0.269727703434182	-0.557786847277181	-5	-5	-5	-1.64820369310298	-2.63078414258986	-5	-5	-5	1.84899289555575	-0.933040802132878
Healthy	0.635464645480143	0.828133785268303	0.72775265980976	0.850736882398385	-5	-5	-0.758055266755733	-0.149390519078651	-5	-2.58670023591875	-5	1.6475331865481	-0.55695617135166
Healthy	1.58770355838319	0.561013084036811	-0.700035331375845	-5	-1.60800692774029	-1.85263289220621	0.715600599372018	-1.22577509513108	-5	-5	-5	1.56000304445673	-2.30803489723264
D015179	1.77834852003356	1.18637255420354	0.412774604324876	-5	-5	0.542331120231919	-1.33828194230534	0.313536102749275	-5	-2.86646109162978	-5	0.308397919884301	-1.18468795647564
Healthy	1.3818669057122	1.48651577073244	0.773395111234869	-5	-5	-5	-5	0.233549419743861	-5	-0.0359620533064625	-5	1.25952794138506	-5
