group	Dialisteraceae	Streptococcaceae	Peptostreptococcaceae	Oscillospiraceae	Eggerthellaceae	Coprobacteraceae	Lactobacillaceae		Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0.36575	0.21686	0	0	0	0.04616	0.12587		23.88824	57.26534	0.76115	0	0	0.03267	0.21268	0	0	0
Healthy	10.166	0	0	0.00677	0	0	0		65.70584	2.30841	0.10161	0	0	0	0	0	0	0
Healthy	0.21431	0.0318	0	0.00176	0.00709	0	0		7.7264	64.4011	14.5544	0	0	0	0	0.46959	0.00015	0.00709
Healthy	0	1.27155	0.20169	0.01155	0.2489	0	0.24361		14.2738	11.56562	8.48485	0.33886	0.00032	0	0	0.8622	0	0.2489
Healthy	0	0	0	0.03959	0	0	0		43.115	1.72941	1.79093	2.00529	3.84496	0.7445	0	0.1628	0	0
Healthy	0	0.4968	0.1088	0.00501	0.00141	0.00196	0		24.94261	46.51861	9.8181	0.01538	0.79342	0.06486	0	0.59158	0	0.00141
Healthy	0	0.05237	0	1.28496	0	0.01366	0		53.20443	3.10588	3.42493	0	10.3809	0.11834	0	0.22282	0.87857	0
Healthy	0	8.13615	0.07247	0.01016	0.01142	0.03313	0.00811		19.65803	25.5392	9.96325	10.99563	0	0.20459	0.79834	1.02795	0	0.01142
Healthy	0	0	0	0	0.89561	0	0		11.22645	12.06107	44.3123	3.49728	0	0	0	0.90246	0	0.89561
Healthy	0	0.03648	0	2.80825	0	0.33205	0		54.59408	0.68422	5.07443	0.10545	0	0.0657	0	0.03568	0	0
Healthy	0	0	0	0.35053	0.06162	0.10525	0		19.53527	18.72938	3.78617	0.35928	0	1.07337	0	0.0603	0	0.06162
Healthy	0	0.01927	0.0581	0.25382	0.06985	0.03318	0		12.59282	5.48461	2.97653	3.61899	0.3477	0.08959	0.07517	0.58354	0	0.06985
Healthy	3.56415	0.20842	0	0.13158	0	0	0		85.53744	1.21892	0.80297	0.39264	0	0.11966	0	0.13178	0	0
Healthy	0	0.07356	0	0.45575	0	0	0		44.79468	11.90134	0	0.04091	0	0.07877	0	0	0	0
Healthy	0.35415	0.00636	0	0.16672	0.03016	0.40654	0		32.48011	6.58367	6.18389	0.63795	0	1.39314	0.17643	0.15204	0	0.03016
Healthy	2.02896	0.01463	0.00271	0.06471	0.05899	0	0.00096		22.29547	3.07898	6.07336	2.62589	1.4567	0.03034	3.08044	0.00031	0	0.05899
Healthy	0	0	0	0.03207	0	0	0		50.05089	1.71238	1.69158	1.97063	3.57301	0.70225	0	0.1128	0	0
Healthy	0	0.09888	0.08429	0.42658	0	0.06417	0.65963		11.45445	13.19326	6.1481	0.0976	0.69873	0.88008	0	0.29588	22.5247	0
Healthy	0	1.60955	0.08412	0.00715	0	0	0.04058		53.10742	23.45088	1.00071	0.66502	0.01236	0.08336	1.90301	0.03785	1.47114	0
Healthy	0	0	0	0	0	0.39662	0		21.86425	12.8256	14.56236	3.92368	1.26245	1.38138	0.42914	1.00364	0	0
