o	Enterobacterales	Pseudomonadales	Staphylococcales	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	0.00429127312198067	-5	-5	1.82668575568211	-0.542557159271581	0.613144912492539	-0.485691374343224	-2.3585258894959	-2.37571790416433	-5	-0.533384432507628	-0.0108217012429983	-1.55144826079842	-0.394608750110711	-5
Healthy	-0.951519352526498	-5	-5	1.49530395216766	0.00696636925290523	0.844408205051166	0.080749110907479	-0.286727919126105	-5	-5	-0.249267958658788	0.0936807835974929	-1.6458915608526	-0.093761957868654	-5
Healthy	-5	-5	-5	1.30897098745708	1.40385665264794	1.04073205533978	0.723572234494289	1.40411516877084	-5	-5	-0.224032943545995	-1.07644514193245	-5	-5	-5
Healthy	-5	-5	-5	1.8275738990396	0.974916783863191	0.796559070196858	0.138754129723719	-0.268604655755548	-1.74836177955179	-1.57823159879308	-5	-0.41999931041096	-5	-1.03198428600636	-5
D007234	1.89812168536395	-5	-0.527799569434398	-2.17327747983101	-5	-5	-1.25539412458576	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0365730082852808	-5	-5	1.62909671283614	0.801631431928032	1.07849270568042	0.508095881195523	0.71558638787792	-0.169206100295901	-0.299469343021408	0.102519458368337	-0.645833914968581	-5	-0.525710873834504	-1.73969005420508
Healthy	1.9366017988212	-5	-5	-1.28692967414436	-3.02227639471115	-5	-1.64282774227697	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.931925510092352	-5	-5	1.78802829919445	1.33356978670234	0.600964187940667	-5	-5	0.714520036294616	-5	-1.17192040944325	-0.749604396942884	-5	-0.791881259261723	-5
Healthy	0.5993163737664	-0.242657122385407	-2.16557929631847	-1.71399287792053	-5	-0.599289363226769	1.95786132529501	-2.07468790850035	-5	-5	-1.55299710153384	-2.65757731917779	-5	-5	-1.62745619924093
D007234	1.86199880381336	-0.790350964631771	-1.71130373940974	-5	-5	-5	-5	-5	-2.11182050608167	-5	-1.69680394257951	-5	-5	-5	-5
Healthy	-1.00895122354732	-5	-5	1.96814495463693	0.236229821332926	0.062739880787584	-0.926831737734898	0.221849618204452	-0.229420427959381	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.63732748922239	0.0713480122005758	0.336971779279089	-5	-5	-0.945885099489414	-5	-5	-0.935317433771488	-5	-1.497163361379	-5
Healthy	-5	-1.62635252779078	-5	1.75295206948262	0.625373165614261	0.0307939575095279	-0.361390954192885	-5	-0.571136591700743	-5	-5	-0.243356285962926	-5	-1.94846160948467	-5
D007234	1.93422218239952	-2.54211810326601	-1.60119226979674	-5	-5	-5	-5	-5	-2.32422165832591	-5	-2.05700040663396	-5	-5	-5	-5
Healthy	-1.07977228854307	-5	-5	1.71731485160876	1.10930006373877	1.04617976687076	0.122301089961987	0.0238900543559375	-0.287501822878101	-5	-0.97802554488994	-0.829591588274682	-5	-0.677801386448108	-5
Healthy	-5	-5	-5	1.78570949869202	1.4217818853397	0.364612899010632	-1.77211329538633	-1.96899571863646	-0.930516906065389	-5	-5	-1.86138156610051	-5	-5	-5
Healthy	-0.820333331309502	-5	-5	1.84856983556758	0.759177381552239	0.657808996907215	0.637994778390935	-0.830707725120064	-0.623806413115715	-1.26833066817136	-5	-2.64397414280688	-5	-1.12592425477697	-5
Healthy	-5	-5	-5	1.92204983052155	0.133149145827103	0.235578943330128	-1.20802879897923	-0.0782823188484275	0.185063118628386	-5	-2.14752000636314	-0.873414072045662	-5	-5	-5
Healthy	0.449094075274832	-5	-5	1.57222816092954	1.42535599929959	1.32131750828927	-1.66534523311676	-3.14266750356873	-5	-5	-1.60695153358322	-0.531327808853853	-5	-1.24703013497092	-2.44977164694491
Healthy	-5	-5	-5	1.31736058768831	1.66798153638897	-0.905528871358355	-5	-5	-1.31202537996544	-5	1.051093840473	-5	-5	-5	-5
D007234	1.84829019419908	1.28008689348363	-0.825882018745733	-5	-5	-5	-5	-5	-2.7851561519523	-5	-2.22257317761069	-5	-5	-5	-5
Healthy	-1.09044397075882	-5	-5	1.69391056216295	1.39904189135433	0.847391871115861	-0.471443219398817	-5	-0.335480245715309	-5	0.000585902155538262	-0.569199575375819	-5	-1.75870261289001	-5
Healthy	-5	-5	-5	0.862428959956688	1.75501165718045	1.0113077576718	0.100821838946951	-5	-1.33320131633383	0.577774343999618	0.0569048513364726	-0.758602958350354	0.945026679940939	-1.8153085691824	-5
D007234	-5	1.99855186541205	-1.55830486435928	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.558182780051332	1.08449084041063	1.79933855031565	1.32709541653146	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.81917871144198	0.474130271085285	0.676155665743792	-0.833658708016502	1.02199551080134	-0.939906816175532	-5	-1.51060407827287	-0.613073193204431	-0.0641250998316844	-0.504608316733061	-5
D007234	1.91887926557643	0.70694553523325	-5	-5	-5	-5	-0.138119247498902	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.88965420652834	0.626838032063187	0.750745148079811	-5	-5	-5	-1.01282549891246	-0.522227791650743	-0.199152378124986	-1.16723569505947	0.176233105419458	-5
Healthy	0.586420755685396	-5	-5	1.35740003085252	1.14566029690062	0.84498883224354	1.55509928748709	-5	-1.23202827861838	-5	-0.0613001900303484	-0.363903445843243	-5	-5	0.0659268621627721
D007234	1.8743084711988	0.844383348061829	-0.0481818171635087	-5	-5	-5	-5	-5	-5	-5	-0.467080085747857	-5	-5	-5	-5
Healthy	-3.22914798835786	-0.487876173277055	-5	1.01821768096015	1.35131402643057	1.47247004224014	-1.37664731846201	0.81419430479598	-1.04014804520039	-5	0.344058072451302	0.39167242839155	-5	-2.44855000202712	-5
D007234	-5	-5	0.504330832624116	-5	-5	-5	1.86672265616352	-5	-5	-5	-5	-5	-5	-5	-5
