group	Bacteroidia	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Actinomycetia	Gammaproteobacteria	Negativicutes	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	56.61767	0.29207	0.01125		56.61767	5.29405	0.43511	0.29207	15.1182	0	0.25024	0	0.571	0.01125
Healthy	52.15726	0.59902	0.20998		52.15726	23.98365	1.32525	0.59902	0	1.05654	0.10518	0	0.14804	0.20998
Healthy	61.05334	0.11734	0		61.05334	28.72613	0.01689	0.11734	3.44835	0.01073	0.00441	0	0.01375	0
Healthy	70.56182	0.38901	0.07482		70.56182	10.29137	4.34504	0.38901	2.88164	0.14766	0.00552	0.0539	0.00226	0.07482
Healthy	83.56988	1.5313	0		83.56988	3.07896	0.06193	1.5313	0	0.83505	0.05424	0	0.13383	0
Healthy	37.34462	2.8125	0.05661		37.34462	47.58903	0.0216	2.8125	0	0.00071	0.07124	0	0.29421	0.05661
Healthy	20.76636	0.04874	0		20.76636	46.68091	0	0.04874	0	0	11.24847	0	0	0
Healthy	49.42088	0.54305	0.01742		49.42088	32.10056	0.33771	0.54305	0.25302	0	3.8281	0	0.26964	0.01742
Healthy	7.28498	0.04642	0.01529		7.28498	67.15059	1.2613	0.04642	8.81102	0	1.13999	3.78245	0.17433	0.01529
Healthy	3.61561	0	0		3.61561	75.1473	21.2371	0	0	0	0	0	0	0
Healthy	65.94451	0.11483	0.31288		65.94451	7.72351	0.14666	0.11483	0.86272	10.5195	0.07386	0	0.24373	0.31288
Healthy	77.56292	0	1.50048		77.56292	9.8679	0	0	0.06803	0	0.30044	0.09708	0.63218	1.50048
Healthy	22.77193	3.91711	0		22.77193	22.14707	35.90039	3.91711	1.49325	0	1.86789	0	0.4326	0
Healthy	10.42839	0.41691	0.00355		10.42839	52.22403	0.04368	0.41691	0	6.51919	2.37947	0	2.46417	0.00355
Healthy	44.35637	2.88335	0.01117		44.35637	38.38682	0.25052	2.88335	1.28575	0.00699	0.87812	1.82276	0.18648	0.01117
Healthy	50.42891	0.29535	0		50.42891	40.68505	0	0.29535	0	0	0	0	0.33473	0
Healthy	57.9843	0.81232	0		57.9843	26.52187	0	0.81232	3.19845	0	2.60774	0	0	0
Healthy	19.00735	0.6764	0		19.00735	41.09663	0.26781	0.6764	0	0	14.02652	3.06148	3.76394	0
Healthy	0	4.21267	0		0	35.21632	0	4.21267	6.5513	0	1.64296	0	0.03904	0
Healthy	22.0643	2.59823	0		22.0643	31.40078	0.22672	2.59823	1.21693	0	0.29067	0	0.13451	0
Healthy	45.26359	0.35924	0.66408		45.26359	6.64172	1.20908	0.35924	3.04086	0.13239	0.54845	0	0.7137	0.66408
Healthy	18.16766	2.71161	0		18.16766	9.18061	1.62673	2.71161	7.94031	0	21.27618	0	2.27129	0
Healthy	63.72663	0.07952	0.06978		63.72663	18.60734	0.43785	0.07952	0.05662	0	0.17892	0	0.11806	0.06978
Healthy	31.15761	0.10428	0.00756		31.15761	12.84356	35.20264	0.10428	12.9858	0.03307	0.02407	0	1.0791	0.00756
Healthy	21.40224	0.31866	0		21.40224	35.43325	5.54225	0.31866	4.61753	0	5.08692	0	4.33288	0
Healthy	13.2891	10.50216	0.45505		13.2891	6.40872	0.0103	10.50216	2.60171	43.9894	0.13551	0	1.34897	0.45505
Healthy	65.75268	0.09557	0.33848		65.75268	7.82485	0.13383	0.09557	0.80514	10.41	0.06869	0	0.28366	0.33848
Healthy	46.11877	2.57426	0.00124		46.11877	26.40525	2.43475	2.57426	5.97847	0.10078	0.85784	0	0.83394	0.00124
Healthy	70.63059	0.17823	0		70.63059	3.28311	0.27682	0.17823	5.89113	0	0.02247	0	0.00233	0
Healthy	44.41535	0.27735	0.1094		44.41535	11.05421	5.34259	0.27735	17.72904	7.09147	0.17455	0	0.70893	0.1094
Healthy	36.30805	0.02241	0		36.30805	42.33858	0.1995	0.02241	0.00465	0	5.2092	0.02465	0.05945	0
Healthy	18.17723	0	0		18.17723	55.66819	5.93464	0	5.0839	0	0	0	1.71217	0
Healthy	42.50091	0	0		42.50091	40.80151	0	0	2.18475	0	1.96262	0	0	0
Healthy	63.68496	0.17416	0.05044		63.68496	16.35226	0.92934	0.17416	0.01886	0	0.04651	0	0.23525	0.05044
Healthy	92.81289	4.2841	0		92.81289	2.18622	0	4.2841	0	0.55019	0.01292	0	0	0
Healthy	49.73983	2.56184	0.10707		49.73983	32.41273	0.61728	2.56184	1.21819	0.38836	0.50817	0	0.12868	0.10707
Healthy	51.54426	2.5813	0		51.54426	43.83014	0.01142	2.5813	1.15201	0	0.10367	0	0	0
Healthy	71.0787	2.44306	0.03142		71.0787	3.46566	0	2.44306	0	0	0	0	0	0.03142
Healthy	26.51604	0	0		26.51604	46.10202	10.94462	0	5.62249	0	0	0	0	0
Healthy	14.1769	0.72719	0.08154		14.1769	69.4009	0.53641	0.72719	1.31405	0.09373	1.54894	0.18576	0.16698	0.08154
Healthy	58.04866	0.53971	0.55816		58.04866	8.75437	0.49856	0.53971	0.46112	8.71159	0	0	0.253	0.55816
Healthy	22.14347	1.72334	0		22.14347	59.24397	0.40697	1.72334	1.07483	0	0.34649	0.11191	1.54102	0
D014607	86.33148	0.53342	0.01529		86.33148	8.64632	0.00237	0.53342	0.0546	0	0.00729	0	0.00322	0.01529
Healthy	0.35748	0	0		0.35748	7.13458	25.71221	0	0	0	0.45334	0	1.31584	0
Healthy	80.38068	0	0		80.38068	14.65223	0	0	0	0	0.53907	0	0	0
Healthy	20.33218	0.00056	0.19041		20.33218	47.61645	0.19456	0.00056	0	19.023	0.1903	0	3.69281	0.19041
Healthy	28.87276	55.0788	0		28.87276	0.25032	7.18306	55.0788	0.03501	0.00039	0.02015	0	0.0026	0
Healthy	38.75978	0.57325	0		38.75978	19.70734	10.5799	0.57325	0.01608	11.9695	1.18442	0	0.78351	0
Healthy	29.53286	0.98133	0		29.53286	53.46463	0.58931	0.98133	0.46493	2.81759	2.36732	0.20726	0.4209	0
Healthy	33.23081	35.06305	0		33.23081	15.15539	0	35.06305	0	0	0.73283	0	0.00433	0
Healthy	41.87328	7.37478	0		41.87328	30.2978	0.13293	7.37478	0	0.49181	1.88666	2.44739	0	0
Healthy	69.54234	2.99685	1.21704		69.54234	10.91526	0.74931	2.99685	0	0	0.22275	0.00825	0.64273	1.21704
Healthy	28.72289	0.12406	0		28.72289	58.02649	0	0.12406	0.38925	0	0.34273	0.21268	0	0
Healthy	65.70584	1.15581	0		65.70584	2.41679	0.1845	1.15581	11.06571	0	0	0	0	0
Healthy	7.75441	0.05193	0		7.75441	78.95978	0.0008	0.05193	0.21693	0	0.05588	0	0.47668	0
Healthy	25.16801	33.33013	0.0392		25.16801	20.60257	2.78827	33.33013	0.01516	0.00032	1.55892	0	1.11166	0.0392
Healthy	75.927	0.7445	0.0151		75.927	5.56522	1.21132	0.7445	0	3.84496	0.00174	0	0.1628	0.0151
Healthy	27.96087	1.15883	0		27.96087	56.4659	2.04031	1.15883	0.13564	0.79342	0.50095	0	0.59299	0
Healthy	66.09812	0.11834	0.33033		66.09812	7.81577	0.11984	0.11834	0.87857	10.3809	0.06045	0	0.22282	0.33033
Healthy	25.51014	2.30696	0.07805		25.51014	46.58071	1.03523	2.30696	0.2242	0	8.3062	0.79834	1.03937	0.07805
Healthy	18.16758	0	0		18.16758	59.87065	0	0	0	0	0	0	1.79807	0
Healthy	78.57875	0.16402	0.0016		78.57875	8.67235	0.12056	0.16402	0	0	0.07383	0	0.03568	0.0016
Healthy	64.93079	1.07337	0.40904		64.93079	23.22536	0	1.07337	0	0	0.06825	0	0.12192	0.40904
Healthy	39.03604	14.84018	0.18958		39.03604	12.4343	7.00796	14.84018	0.22665	0.3477	1.06066	0.07517	0.65339	0.18958
Healthy	88.7654	0.50622	0.00253		88.7654	2.54611	0	0.50622	3.58941	0	0.23153	0	0.13178	0.00253
Healthy	79.91048	2.98359	0.0383		79.91048	12.398	0	2.98359	0	0	0.0839	0	0	0.0383
Healthy	64.14272	1.52766	0.13826		64.14272	13.57223	0.57014	1.52766	0.38466	0	0.03122	0.17643	0.1822	0.13826
Healthy	38.36526	5.42452	0.35495		38.36526	11.91527	0.01179	5.42452	2.03817	1.4567	0.53138	3.08044	0.0593	0.35495
Healthy	80.84169	0.70627	0.02838		80.84169	5.40666	1.06722	0.70627	0	3.57301	0	0	0.1128	0.02838
Healthy	25.1195	0.89157	0.37016		25.1195	19.94983	1.57348	0.89157	22.53688	0.69873	1.80416	0	0.29588	0.37016
Healthy	55.82578	0.08336	0		55.82578	25.20788	0	0.08336	1.47114	0.01236	8.9778	1.90301	0.03785	0
Healthy	27.29133	3.26884	0.05407		27.29133	31.31164	29.09458	3.26884	0	1.26245	0	0.42914	1.00364	0.05407
Healthy	78.2146	0	0		78.2146	14.71251	0	0	0.39408	0	0.43276	0	0	0
Healthy	64.69453	2.03249	0.03475		64.69453	24.74316	1.11818	2.03249	0	0	0.50608	0	0.42331	0.03475
Healthy	79.61067	2.81094	0.04609		79.61067	12.34864	0	2.81094	0	0	0.10057	0	0	0.04609
Healthy	46.96026	0.3539	0		46.96026	33.81771	0.05685	0.3539	6.72967	0.6796	0.75909	0.18105	0	0
Healthy	33.30529	1.51551	0		33.30529	26.33504	0.50648	1.51551	0.28046	0	0.20791	0	0.27859	0
Healthy	69.58044	0.0624	1.64987		69.58044	6.24266	0.11493	0.0624	0	0	0.56566	0.02876	0.14886	1.64987
Healthy	77.68829	0.11479	0.00154		77.68829	9.09499	0.09615	0.11479	0	0	0.05386	0	0.05215	0.00154
Healthy	61.68826	0.39111	0		61.68826	26.7119	0.00498	0.39111	0.01957	0.6598	0.0161	0	0	0
Healthy	56.32307	0.13998	0.11107		56.32307	11.93575	12.13953	0.13998	0.00213	0	0.30101	0.1953	1.61836	0.11107
Healthy	54.50758	0.33854	0		54.50758	33.61109	0.20582	0.33854	1.89045	0	0.31688	0	0.08121	0
Healthy	43.3074	0.11856	0.03259		43.3074	4.84264	0	0.11856	0	0	0.02025	0	0.06576	0.03259
Healthy	72.56282	2.63869	0.05179		72.56282	3.38635	0	2.63869	0	0	0	0	0	0.05179
Healthy	22.69552	0	0		22.69552	10.37827	3.41848	0	0.31288	0	0	0	0	0
Healthy	19.20653	0.95059	0		19.20653	58.83414	0	0.95059	1.84595	0	12.89759	1.04804	2.23707	0
Healthy	61.23649	5.19171	0.14748		61.23649	24.96509	0	5.19171	0.00798	0	0.09399	0	0.16171	0.14748
Healthy	61.52382	5.3096	0.14814		61.52382	24.80483	0	5.3096	0	0	0.10133	0	0.19611	0.14814
Healthy	61.23341	7.97298	0.33399		61.23341	3.52411	0.018	7.97298	9.44246	0.79293	0	0	0.02368	0.33399
Healthy	60.29015	3.1175	0		60.29015	13.98414	0.73847	3.1175	0.42706	5.96611	0.55573	0	0	0
Healthy	60.90446	2.72043	0		60.90446	5.9238	0.54376	2.72043	0.23887	0.05654	0	0	0.00925	0
Healthy	38.99953	3.05793	0		38.99953	15.72849	0	3.05793	0.56786	0	9.84039	0	0	0
Healthy	16.03709	0.18887	0		16.03709	70.28277	0	0.18887	0	0	0.58813	0	1.21596	0
Healthy	72.96854	0	0		72.96854	3.65261	0	0	10.1396	0	0	0	0	0
Healthy	63.08919	5.14275	0.20481		63.08919	25.44041	0.00486	5.14275	0.00816	0	0.09355	0	0.13351	0.20481
Healthy	86.49669	1.86417	0.10238		86.49669	7.55228	0.21558	1.86417	0	0	0.11772	0	0	0.10238
Healthy	62.46336	0.00362	0.01272		62.46336	29.03576	0.27018	0.00362	0.21553	0.69377	0.06962	0	0.21112	0.01272
