g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-1.57121748850305	-2.33254704711005	-5	-5	-5	-1.36291072646967	-1.27761290582288	-5	-5	-5	-0.568845390947756	-1.22929523178422	0.269157891804425	-0.71545647704125	-0.980053318321157
Healthy	-5	-0.392941920993157	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.294706454624959	-5	-0.581019618754964	-5
Healthy	-0.665827827275394	-5	-0.428407616638693	-5	-0.41947416587067	-5	-5	-5	-5	-5	0.52424289104247	-5	-5	-5	-5
Healthy	-1.31614279459965	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.150049945162385	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.15782777061438	-5	-5	-0.291324207273463	-5	-5	-5	-5	-5	0.755898474554684	-5	-5
Healthy	-2.34486156518862	-5	-5	-1.04817696468409	-5	-5	-0.133411418224968	-5	-5	-5	-5	-5	0.851036863233541	-5	-5
Healthy	-5	-1.39826585173989	-5	-5	-5	-5	-1.4386600585411	-5	-5	-5	0.72824986361987	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.4135998098776	-5	-0.258422985219577
Healthy	-0.237839297913818	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.66482994114309	-5	0.797514055918472	-5	-5
Healthy	-5	-5	-0.0103677813619981	-5	-5	-0.683547373003344	-0.833066905128846	-5	-5	-5	-5	-5	-1.46243274284732	-5	0.149659344142463
Healthy	-0.988344989275222	-5	-1.2673650324608	-2.22841251911874	-1.6959405337824	-5	-5	-2.09528445472132	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.79642322502203	-5	-5	-2.57511836336893	-2.25649023527157	-5	-5	-5	-1.98171569157347	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.604673606930649	-1.10946720807226	-0.251060363668677	-5	-5	-5	-5	-5	-5	0.705766241561525	-5	0.768044332371872	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.147960609057186	-5
Healthy	-0.218646803094664	-5	-0.90622821850127	-5	-5	-5	-0.705974905904677	-1.73565449294991	-5	-5	0.300127898364073	-5	-5	-5	-5
Healthy	-5	-1.77520804350732	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.70774392864352	-5	-5	-5	-5	-1.3763372926438	-5	-5	-5	-5	-5	-0.242004572723122	0.940499053038156	0.183338186289204	-5
Healthy	-5	-5	-0.42485835907067	-5	-5	-1.49039429538844	-5	-5	-5	-5	-5	-0.819845440546652	-1.15094930943049	0.778374131016551	-5
Healthy	-1.30311962831724	-0.87331673661171	-5	-1.53536144090497	-5	-5	-5	-5	-5	-5	-1.44708854978349	-5	-5	-5	-0.394608750110711
Healthy	-0.534379244145795	-5	-0.267839535048396	-5	-5	-5	-5	-5	-5	-5	-0.211103699644598	-5	-5	-5	-0.175958819434716
Healthy	-0.651928900920112	-5	-0.164030555184257	-2.40120949323688	-2.7851561519523	-5	-1.13763006287712	-2.00305075150462	-2.95467702121334	-5	0.677345019721607	-5	-5	-5	-5
Healthy	-1.63413778459744	-5	-5	-5	-1.50072541810778	-1.03198428600636	-5	-5	-5	-5	-5	-1.57823159879308	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.299469343021408	-0.169206100295901	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.02877055272376	-5	-5	-5	-5	-5	-0.820706794422626	-5	-5	-5	-5	-5	0.696705780933917	-5	-0.791881259261723
Healthy	-2.43415218132648	-5	-5	-5	-5	-5	-5	-5	-2.65757731917779	-5	-5	-5	-5	-5	-5
