c	Clostridia	Actinomycetia	Coriobacteriia	Bacilli	Verrucomicrobiae	Bacteroidia	Gammaproteobacteria	Desulfovibrionia
Healthy	1.3854107076947	0.272340642245293	-0.632196967250993	-0.312506711255048	-5	1.74462456359356	-1.11025022473596	-5
Healthy	1.07077166602148	-5	-0.291324207273463	-1.7680209731685	-5	1.84810070904581	0.761782798918629	-5
D009765	1.89463114422824	0.789921105087488	0.3475778340325	0.585359194254901	-5	0.642044862287357	-5	-5
Healthy	1.23613552968257	-5	-0.133411418224968	-1.77806440017199	-5	1.76411057214773	0.855023401569893	-5
Healthy	1.57366723433078	0.0755615592810349	-1.4386600585411	-1.67964596718233	-5	1.6043401214296	-1.1253442674019	-5
Healthy	1.44068479603106	-5	-1.1114274031424	-1.26656197290894	-5	1.81002063010515	0.473590604448907	-0.258422985219577
Healthy	1.01115709631296	-0.632401836320167	-1.44708854978349	-0.237839297913818	-5	1.84441000712758	0.801618402870708	-5
D009765	1.16413119005394	-5	-5	-1.51088563062108	-5	1.70189561131773	-0.521015282587813	-5
D009765	1.53378857599999	1.31112463177574	1.46691312254574	-5	-5	-5	-5	-5
Healthy	1.03464409575721	0.434388442735579	-0.833066905128846	-5	1.23550344900574	1.62280463482383	-0.978852064279005	0.209152951593855
Healthy	0.720720628024159	0.736743798962006	0.169395196975156	-0.869827111107464	0.547602429785681	0.286391343147528	1.89967569522853	-5
Healthy	1.45599459811076	-0.12731939284807	-1.98171569157347	-0.526542227184554	-5	1.8012357228892	0.310674198718182	-5
Healthy	1.48797178851542	-1.88706002391592	-5	-5	-5	1.70747606876486	0.954119441900728	-5
Healthy	1.74857987849733	0.410247323940247	0.58910475277915	1.08418899343258	-5	1.27434700337415	-5	-5
Healthy	1.63908099170895	0.698566791937309	-0.662820374590166	0.0754119076576232	-5	0.870742663294291	-1.15645578805436	-5
Healthy	1.33484102540248	-5	-0.973099191109745	-5	-1.16966800654804	1.83312510965263	-5	-5
Healthy	1.3597381818911	-5	-5	-2.70774392864352	0.483737027872602	1.64097954636543	0.94718709417019	-1.3763372926438
Healthy	1.61706736835744	-0.504997133561376	-1.10690433390377	-0.153743320221921	0.262472447950243	1.24469661240851	0.276783384700269	-1.49039429538844
Healthy	0.642475402199867	-0.485691374343224	-0.0108217012429983	-0.465237994969973	-2.3585258894959	1.82668575568211	0.00609363020820083	-0.394608750110711
Healthy	0.903364048891955	0.080749110907479	0.0936807835974929	-0.0678104461845136	-0.286727919126105	1.49530395216766	-0.951519352526498	-0.093761957868654
Healthy	1.56021985014056	0.723572234494289	-1.07644514193245	-0.0862603017850711	1.40411516877084	1.30897098745708	-5	-5
D009765	1.58555333152353	0.785317731553271	0.53077837181555	-0.978645286918577	0.877285515269782	1.33170742227215	0.952680102629542	-0.896538377905295
Healthy	1.19586009384911	0.138754129723719	-0.41999931041096	-1.63413778459744	-0.268604655755548	1.8275738990396	-1.74836177955179	-1.03198428600636
Healthy	1.26322169366765	0.508095881195523	-0.645833914968581	0.102519458368337	0.71558638787792	1.62909671283614	0.246786537772904	-0.525710873834504
Healthy	-3.02227639471115	-1.64282774227697	-5	-0.640297291725886	-5	-1.28692967414436	1.9366017988212	-5
Healthy	1.40732273783472	-5	-0.749604396942884	-0.793470948317269	-5	1.78802829919445	0.724212769403576	-0.791881259261723
Healthy	-0.560398916165654	1.95902530881005	-2.65757731917779	0.559402646841045	-2.07468790850035	-1.71399287792053	0.65769916511523	-5
D009765	1.74602505919909	0.196250818671331	0.276077892851571	-0.0700398209373209	0.121832218636782	1.33233462082193	-5	-1.1683861446909
Healthy	0.4591194599369	-0.926831737734898	-5	-5	0.221849618204452	1.96814495463693	-0.162676764352586	-5
Healthy	0.525187387787583	-5	-0.935317433771488	-5	-5	1.63732748922239	-0.945885099489414	-1.497163361379
Healthy	0.723788859050945	-0.361390954192885	-0.243356285962926	-0.601625913848644	-5	1.75295206948262	-0.534498180058329	-1.94846160948467
Healthy	1.379915458851	0.122301089961987	-0.829591588274682	-0.97802554488994	0.0238900543559375	1.71731485160876	-0.222551427179631	-0.677801386448108
Healthy	1.45827727272622	-1.77211329538633	-1.86138156610051	-2.35457773065091	-1.96899571863646	1.78570949869202	-0.930516906065389	-5
Healthy	1.01247361443207	0.637994778390935	-2.64397414280688	-2.2572748686953	-0.830707725120064	1.84856983556758	-0.41002807048314	-1.12592425477697
Healthy	0.488405457367657	-1.20802879897923	-0.873414072045662	-1.26560025747943	-0.0782823188484275	1.92204983052155	0.185063118628386	-5
D009765	1.52858777113649	-0.258375742496188	0.412396700608175	0.132121948938854	-5	1.0196304898174	1.00729020532233	-5
Healthy	1.6775069439896	-1.66534523311676	-0.531327808853853	-1.14721513131945	-3.14266750356873	1.57222816092954	0.449094075274832	-1.24703013497092
Healthy	1.66913940664896	-5	-5	1.051093840473	-5	1.31736058768831	-1.31202537996544	-5
Healthy	1.50651274410758	-0.471443219398817	-0.569199575375819	0.582984408651994	-5	1.69391056216295	-0.265152184721705	-1.75870261289001
Healthy	1.82704989750399	0.100821838946951	-0.758602958350354	0.0569048513364726	-5	0.862428959956688	-1.33320131633383	-1.8153085691824
Healthy	1.87591343904048	1.32709541653146	-5	-5	-5	0.558182780051332	-5	-5
Healthy	0.887815275486838	-0.833658708016502	-0.613073193204431	-1.13153190097901	1.02199551080134	1.81917871144198	-0.939906816175532	-0.504608316733061
Healthy	0.994225179864961	-5	-0.199152378124986	-0.522227791650743	-5	1.88965420652834	-5	0.176233105419458
Healthy	1.3453164744199	1.55509928748709	-0.363903445843243	0.271353622102484	-5	1.35740003085252	0.592966876255435	-5
Healthy	1.71787046537739	-1.35961795529043	0.39167242839155	0.376482058819104	0.81419430479598	1.01821768096015	-0.379947270905605	-2.44855000202712
Healthy	1.5841822493836	-0.601140261595739	-0.729344451047015	-0.0564411855707237	-2.15490195998574	1.64695609540824	0.459898869322942	-1.9515581964496
Healthy	1.60943496080477	-5	-0.475292388205987	-5	-5	1.70267966728539	-0.529648320654182	-5
Healthy	1.42360430573151	-5	-5	0.416265954074958	-5	1.76331049352414	-0.0902675076251021	-5
Healthy	1.61380631605831	-0.572156994294466	0.575643845661616	1.146950244924	-5	1.27892180034509	-0.169789980446389	-5
Healthy	1.54674409485113	-5	-1.40837896178668	0.215629633457334	-5	-5	0.624558470873253	-5
Healthy	1.49694057445299	-0.644491011975566	-0.871213141357402	-0.536584848478778	-5	1.34369035064213	0.414679264466649	-5
D009765	1.10340070023501	-5	-5	0.869939512167392	-5	1.79595311163983	-5	-5
Healthy	0.822281216656299	0.0824586292715335	-0.146478218173163	-0.26085504067402	-0.878112014896319	1.65574909221612	-0.444603223193737	-0.177773059405061
Healthy	0.962872011646389	0.211318145691329	0.356274500903909	1.32789385998954	-5	1.25929923269997	0.433228828459711	-5
Healthy	1.26968452668662	-0.358664727273591	-0.92786043676026	-0.747316838067802	-5	1.80432102081899	-1.09946901754724	-1.15620680167409
Healthy	1.1086857570507	1.54657535771273	0.0330657171185611	-1.61834351741421	-1.48043449911949	1.49356427633227	-0.98175733254209	-2.12090412049993
Healthy	1.54941111098063	0.743686895664305	0.636777663647943	0.70645576145229	-5	1.33045943275192	-0.496658819638013	-5
D009765	1.30904112881196	0.926823814394094	0.722605133119632	-5	1.27754985284853	1.47276741621111	-0.791746806927315	-5
Healthy	0.806771975129058	-1.98674133471648	0.130005510862396	-0.867996607013368	1.64334813711979	1.12349589629023	1.02127904398954	-0.341931337516564
Healthy	0.89347657602406	-0.873414072045662	-0.547186591322146	-1.16304326294045	1.01745114670004	1.81791352489197	-1.01963297381522	-0.470454157138276
D009765	1.71443815215688	0.71518995061534	0.208701962420118	0.736261013140681	-2.42021640338319	0.76699473892671	-5	-5
Healthy	1.42169044813617	0.386456158235409	-0.0788599869822159	-0.0665886443976464	-0.996582554797806	1.66387781019517	0.410654095544502	-2.90308998699194
Healthy	0.516286756742558	-0.557786847277181	-2.63078414258986	-1.64820369310298	-5	1.84899289555575	-0.748994826506365	-5
Healthy	1.04352810361786	0.72775265980976	-0.149390519078651	-0.758055266755733	0.850736882398385	1.6475331865481	-0.55695617135166	-0.960942981966556
Healthy	1.62673639063625	-0.700035331375845	-1.22577509513108	0.716771865592201	-5	1.56000304445673	-1.64936439174105	-5
Healthy	1.74560717886567	0.773395111234869	0.233549419743861	-5	-5	1.25952794138506	-5	-5
Healthy	1.61067634238685	-5	-5	0.292838433016156	-5	1.62839833114676	-5	-5
Healthy	1.21357804935372	-0.0318206967250459	-0.62845190731615	-1.33236029394359	-5	1.80403694856363	-0.759026648159996	-1.29713882942707
D009765	1.31784425331396	0.995392097135678	0.55640503041624	0.000455769968616785	-5	1.51919551032391	-5	-5
D009765	1.23588785358195	-5	-5	0.0586689184688756	-5	1.79773981297222	-0.211654834847882	-5
Healthy	0.33969584950589	-5	-5	-1.88840147511961	-0.259479413946335	1.96760834270013	0.631860613368897	-5
Healthy	1.51071574552102	-0.209510758477563	-0.890455199121653	-0.293982431100993	-0.410754324947494	1.69670438392489	0.408553697586891	-0.970291637485105
Healthy	1.64177295694328	-1.94195376960472	-5	-0.984305011473482	-5	1.71218039327238	0.411840163863845	-5
D009765	1.7435549948489	-0.204321542060927	-0.546559340706441	-0.195322294404545	-0.260577983844213	1.4092732381833	-0.280594126857704	-1.38017649954272
Healthy	0.539787206963553	-5	-5	-5	-5	1.85173953724011	0.387935910763123	-1.50265561898242
Healthy	1.66372004899893	1.0392010841612	-5	-5	-5	1.42350882927382	-5	-5
D009765	1.52621116747522	0.511918103147758	0.729111309840761	-5	0.580093206767876	1.60416803524494	-0.0629738511603596	-1.10746019534136
Healthy	1.84136516505698	-0.27049503818861	-0.777309535288659	0.190037398989312	-1.02807505081581	1.15158158231486	-0.138346129786089	-1.08857603462371
Healthy	0.942225394038726	-0.302273857453656	-0.596862313373619	-5	0.940097926231087	1.76379227371666	-0.267831488311101	-0.253233509274442
Healthy	1.77264422665499	-0.390426932551334	0.187811093428112	-0.460296761052174	-5	1.34524587426771	0.236373488494027	-5
Healthy	0.853369020778802	1.41013957536425	0.119206384805907	-0.34356637993405	-5	-0.446736102130203	-5	-5
Healthy	1.16590402368497	-5	-5	-0.268346780304104	-5	1.90515172992153	-5	-5
D009765	1.08056371889788	0.423449043447104	-0.478247536593236	0.564852995482697	1.16191307400567	1.47964540773693	0.501427639744121	-5
Healthy	1.67775710506271	-0.71092412110178	0.567358139248078	-0.720538390742327	1.27927923620624	1.30818415943938	-3.24412514432751	-0.720287439179074
Healthy	-0.601487100636577	0.856310098713071	-2.58335949266172	-1.69550947222651	-3.39794000867204	1.46048845128655	1.74098454857805	-5
Healthy	1.29462822967002	1.02448197330695	-0.105949913325857	0.0735093989447644	1.07807637190583	1.58838141538367	-0.241648360659185	-5
Healthy	1.72806664688125	-0.229648819820771	-0.375810756140244	0.374258801735391	0.449879338623202	1.47030565369035	-0.00818049869410116	-5
Healthy	1.18056740329026	-5	-2.36251027048749	-0.13499083395651	-5	1.52154105801303	1.54484981487026	-5
Healthy	1.48141123776671	-0.876344325561878	-5	0.275695943772669	-0.308193814529736	1.62193708491111	0.867749658122785	-5
D009765	1.4616892203247	-0.319274793775845	-0.425760320935688	-0.786402563252641	-5	1.78044455690537	0.349943517710274	-5
Healthy	1.03803448288161	-0.125332675551212	-0.191964671555741	-0.652162790782278	-5	1.8422493624299	0.476666455108599	0.0853084206935297
Healthy	1.7636263758975	-5	-5	-0.465035207605334	-5	1.45822828621146	-0.906333217772097	-5
D009765	1.72783971157771	-0.392330563311757	0.211689078703427	0.325363756876719	-5	1.43418041997279	-1.15224231160767	-5
Healthy	0.383240712265224	-0.733980091146502	-5	-5	-5	1.81760403789488	0.0628902051108873	-5
Healthy	1.89740598462153	-3.09151498112135	-0.32176395860447	-1.25266589038409	-5	0.889549319851817	-1.28449805470672	-5
Healthy	1.31392160918484	0.445336383611427	0.0459758857632826	0.192826614678094	-3.48148606012211	1.40084905039548	1.52283713787594	-1.40660315769979
Healthy	0.745483117577596	0.0832624731640772	-0.788318923700861	-2.75696195131371	0.584892955610718	1.8803962977303	-0.128129464579834	-1.82073553566097
D009765	0.82958420433713	1.55158697431979	0.97066713167291	-0.123014737233513	1.28851102040867	0.50867109416138	-5	-5
Healthy	1.75178633158743	0.309698286707962	-0.226945306635737	-0.30019694972716	-0.100491382651709	1.44655083564052	0.0640234774529008	-5
Healthy	0.892972326282529	-0.921361961630327	-0.652026339721962	-1.2185318571582	1.01623542582996	1.82018917291727	-0.926831737734898	-0.481038835550238
Healthy	1.66820619715723	0.0150410440855053	0.0167743557683439	0.919402906871174	-5	1.40671301227427	0.363041946961852	-1.10757145305477
Healthy	1.77721404573176	-5	0.254809010414806	-5	-5	1.25929732031192	-5	-5
