group	Prevotella	Phytobacter	Ruminococcus_B	Streptococcus	Veillonella	Parasutterella	Faecalimonas	Muricomes	Longicatena	Rothia	Prevotella	Enterocloster	Phascolarctobacterium	Anaerostipes	Haemophilus_D	Flavonifractor	Intestinibacter	Parasutterella	Clostridium_Q	Gordonibacter
Healthy	8.03986	2.66719	0	16.77604	0	0	0	0	0	0	8.03986	0.19451	1.01512	0	0	0	0	0	0	0
Healthy	0.04001	0.07952	0.0303	0.17892	0.05662	0	0.01235	0.00123	0	0	0.04001	0.11559	0	2.43132	0	0.06439	0	0	0	0
Healthy	0	0.08088	0	0	0	0.0234	0	0	0	0	0	0.05055	0	0	0	0.07299	0	0.0234	0	0
Healthy	5.62645	0.03375	0	0.25241	0.0363	0	0	0.00189	0.00403	0.04553	5.62645	3.12286	0	0.40929	0.12773	0	0.25	0	0	0
Healthy	0	10.2181	0	0	0	0.00705	0	0.04164	0.10487	0	0	0.08032	0	0	0	0.05826	0	0.00705	0.01988	0.14118
Healthy	44.97245	0	0	0.05589	0	0	0	0	0	0	44.97245	0.04111	0.80514	0	0	1.33726	0	0	0	0
Healthy	13.0904	0.06381	0	0.45117	0	0	0	0	0	0	13.0904	0.28181	0	0.37965	0	0.05911	0	0	0	0
Healthy	0	0.06157	0.55343	0	0	0.11666	0	0	0.02247	0	0	0.01072	0	0	0	0.00889	0	0.11666	0	0
Healthy	0	0	0.00856	0	0.02424	0.27735	0	0.01123	0	0	0	0.17447	0	0	0	0.14954	0.00258	0.27735	0	0.02894
Healthy	16.1089	0	0	0.01403	0.00465	0.00491	0	0	0.00342	0	16.1089	0.4664	0	0.01932	0.0175	0.08893	0	0.00491	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.66465	0	0	0	0	0.92052	0	0	0
Healthy	29.5744	0	0	0	0	0	0	0	0	0	29.5744	0.79934	2.18475	0.52611	0	0	0	0	0	0
Healthy	0	0	0.0593	0	0	0	0	0.02943	0	0	0	0.02036	0	0	0	0.04979	0	0	0	0
Healthy	68.4668	4.2841	0	0.01292	0	0	0	0	0	0	68.4668	0.61109	0	0	0	0.08548	0	0	0.03436	0
Healthy	0	0	0.01544	0.34776	0	0.01433	0	0	0	0	0	0.14405	0.00113	0.14366	0.01667	0.06861	0	0.01433	0	0
Healthy	0	0.24207	0.00425	0.10367	0.52418	0.01751	0	0.14875	0	0	0	0.45248	0	0	0.20553	0.2382	0	0.01751	0.40084	0
