group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	79.20896	0	0	0	0	0	0		79.20896	1.62637	0.0863	3.23865	0	0.26069	0	0	0	0
Healthy	30.60738	6.37382	0.21411	0	0.05876	0.65549	0		30.60738	5.28558	0	0	20.014	0.03316	0.54614	0.05876	0	0
Healthy	56.25764	0	0.0223	0	0	0	0.09037		56.25764	2.42457	0	0	0.00383	0.01474	0	0	0	0.09037
Healthy	44.45977	0	0	0	0	0.05737	0		44.45977	2.55632	0	0	0	0.1002	0	0	0.102	0
Healthy	39.3006	0	0	0	0	0.02658	0		39.3006	1.23345	0.09522	0.59117	1.13725	0	15.6428	0	0.06941	0
Healthy	41.24657	16.4109	0	0	0.14265	0	0.35363		41.24657	3.76713	0	0	0	0.04035	0.32705	0.14265	0	0.35363
Healthy	86.758	1.67377	0.06243	0	0.04	0.09831	0		86.758	3.5952	0.22191	0	0	0.08025	0	0.04	0	0
Healthy	12.46553	0	0.11515	0	0	0	0		12.46553	9.34538	0	5.12865	0.00932	0	3.21156	0	0	0
Healthy	32.27683	0	0.23235	0	0	0.00189	0.28594		32.27683	8.07052	4.33814	0	0.46621	1.15039	0.11285	0	0.25072	0.28594
Healthy	64.17502	0	0	0	0.06868	0.06104	0		64.17502	3.06323	0.99456	0	0	0.19017	0	0.06868	0.25121	0
Healthy	76.44017	0.03895	0	0	0.14147	0.10029	0		76.44017	3.85686	0.6206	6.53381	0	0.29889	0	0.14147	0.19064	0
Healthy	9.7859	1.75061	15.71087	0	2.57172	0	0		9.7859	8.70302	22.56278	2.39552	0	0	1.04718	2.57172	2.82554	0
Healthy	42.18549	6.51836	0.46803	0.01561	1.6957	0.03635	0.04743		42.18549	4.12956	5.0595	0.00473	0	8.98905	0	1.6957	1.73487	0.04743
Healthy	42.13047	0.68054	0.48635	0	1.90703	0.0481	0		42.13047	8.65562	1.8504	1.95053	0.4713	2.89444	0.14447	1.90703	0.29517	0
Healthy	0	0	0	0	0	0	0		0	47.21609	4.24856	0	17.4263	0	0	0	3.58572	0
Healthy	32.80466	0.40379	0.11797	0	0	0	0.20194		32.80466	19.83051	0	5.37393	0	0	0.15253	0	0	0.20194
Healthy	68.34488	0	0	0	0.24099	0	0		68.34488	4.3862	0.38779	6.35013	0	0.12857	0	0.24099	0	0
Healthy	75.43383	0.01729	0	0	0.09705	0.20315	0		75.43383	2.11122	0.49252	0	0	5.95389	0	0.09705	0.31594	0
Healthy	56.49432	0.6727	0.00882	0	0.06302	0.03612	0.05314		56.49432	1.01702	0	0.00129	0	0.04209	0	0.06302	0.02957	0.05314
Healthy	33.84867	12.8542	0	0	0.2213	0	0		33.84867	7.10371	0	11.5958	0.54368	0.37574	0.60936	0.2213	0	0
Healthy	52.57168	0.00825	0.0109	0	0.0032	0.0924	0		52.57168	19.62191	0	0.22524	1.91855	1.42197	0.01981	0.0032	0.21172	0
Healthy	56.34078	2.29463	0.27467	0	0.04242	0	0.09932		56.34078	8.99262	5.17804	0.01956	0	0.0035	0	0.04242	0.00368	0.09932
Healthy	20.22819	0.21558	0.54071	0	0.08736	0.06614	0.0908		20.22819	14.11143	9.82654	4.07963	0	0.00678	0	0.08736	0.20396	0.0908
Healthy	68.44359	0.74512	0.86968	0	0	0	0.03828		68.44359	0	17.02573	0.13021	0	0.77874	0	0	4.0174	0.03828
Healthy	92.1473	4.12779	0	0	0	0	0		92.1473	1.47871	0	0	0.53649	0	0	0	0	0
Healthy	34.97998	0	2.28761	0	0.08713	0.28312	0		34.97998	17.74577	0.73193	0	0.87446	0.0093	0	0.08713	1.11002	0
Healthy	23.00519	1.83545	2.88264	0.25317	0	0	0		23.00519	16.13124	5.02245	1.29797	3.051	0	3.06931	0	0	0
Healthy	54.76138	0	0	0	0	0	0.12217		54.76138	7.44577	2.58432	0	1.83608	1.16431	0.54243	0	0.44391	0.12217
Healthy	66.122	2.77557	0.19801	0	0	0.01952	0		66.122	3.85957	0.50518	4.777	0	1.07698	0	0	0	0
Healthy	64.06188	0	0	0	0.0405	0.24434	0		64.06188	4.07635	0	0	0	3.18134	0	0.0405	0	0
Healthy	65.39898	0.12423	0	0	0	0	0		65.39898	4.49464	0	0	7.69718	0.10417	0	0	0	0
