group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.28013	0.68097	0.03647	0	0	0.01119	0.00279	0	0.08371	0	0.54292	0	0	2.67228	0.00976	0	0.17583	0	0.00678	0
Healthy	0.19726	0.35797	0	0	0	0.05435	0	0	0	0	0.04283	3.39254	0.28759	27.6619	0.86068	0.05897	0.01682	0	0.11158	0.05276
Healthy	0.85549	3.68311	0	0	0	0.0266	0	0	0	0	32.4931	6.59206	0	0	5.6824	1.97108	0	0	0.5795	0
Healthy	0.13561	0.14868	0.37289	0.43633	0	0.01424	0	0	0.38064	0	0	0.4289	0	0	0.06426	0	0.20572	0	0	0
Healthy	0.03017	0.23323	0	0	0	0	0	0	0	0	3.02639	2.44644	0	0.61967	0.17702	0	0	0	0.09662	0
Healthy	0.3291	0	0	0	0	0	0	0.06952	0	0	0	0.45853	0	2.4149	0.14695	0	0.15639	0	0	0.51129
Healthy	0.40561	0	0	0	0	0	0	0.08949	0	0	0	0.60269	0	3.31537	0.17457	0	0.23769	0	0	0.7355
Healthy	0.05507	0	0	0	0	0.00935	0	0	0	0	2.56626	2.4417	0	0	0.22845	0	0.081	0	0.03205	0.03641
Healthy	0	0.07736	0	0	0	0	0	0	0	0	0.27637	6.11913	0.21999	0	0.00558	0	0.1543	0.08903	0.01057	0
Healthy	0	0.03571	0	0	0	0	0	0	0	0	0	3.37977	0	0.17968	0.4621	0	0.0264	0.00312	0	0
Healthy	0.65934	0	0.9764	0	0	0	0	0	0	0	1.06684	0	0	0.92377	0.08284	0	0.04991	0	0	0.14686
Healthy	0.04138	1.46902	0.05402	0.00113	0	0.07356	0.00209	0.0059	0.02013	0	0	0	0	0	0.67689	0	0.05913	0.04022	0	0
Healthy	0.09799	0	0	0.08828	0.0228	0.09022	0.00545	0.00265	0.00553	0	1.5587	11.11801	0	0	0.00667	0	0.04607	0	0	0
Healthy	1.01141	0	0.07771	1.87455	0	0.00665	0	0.56096	0	0	0.0013	2.83763	0	0	0.03479	0	0.1339	0	0	0
Healthy	2.16324	3.88243	0	0	0	0	0	0	0	0.78156	11.9056	1.7108	0	0.62242	1.66588	0	0	0	0.28184	0
Healthy	0.09151	0.00219	0.12409	0.05149	0	0.09717	0.5723	0	0	0	17.0343	1.29313	0	0	0.01181	0	0	0	0	0.19679
Healthy	0.79534	0.10638	0	0	0	0	0	0	0	0	0.55983	1.83208	2.16684	0.14519	1.953	0	0	0	0.29771	0
Healthy	2.08235	0	0	0	0	0	0	0	0	0	3.29959	0.7731	0.2517	0.66989	0.09344	0.57278	1.53569	0.07651	0.3148	0
Healthy	0.50451	0.07817	0.37595	0	0	0	0	0	0	0.03976	0.10202	0.96719	8.02146	24.0999	0.03854	0.1514	0	0.01553	0.21873	0
Healthy	0.06154	0.96563	0	0.00519	0	0	0.01167	0.02914	0	0	0.68619	0.0468	0	0	0.01505	0	0.16651	0.32215	0	0
Healthy	0	1.24073	0.5397	0	0	0	0	0	0	0	5.08415	0.09596	0	0	0.0062	0	0.15037	0.36706	0	0
Healthy	10.72712	0	0.68543	0.00485	0	0.13052	0.52614	0.00396	0.00163	0	0	1.13283	0	0	0.10502	0	0.08746	0	0	0.07283
Healthy	0.39147	0.38018	0	0	0	0	0	0	0.03156	0	0.63357	1.93799	0	1.65937	0.74578	0.0264	0.09268	0	0	0
Healthy	1.36094	0.22602	0	0	0	0	0	0	0	0	7.85793	0.08468	0	0.14698	0.36996	0.50179	0.03116	0	0.09934	0
Healthy	0	0	0	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.02688	0	0	0	0	0	0	0	0	0	7.49386	6.25718	0	0.1845	0	0.14498	0.0063	0.023	0.1511
Healthy	0	0	0	0	0	0	0.02798	0	0	0	0	0	0	0	0	0	0.25159	0	0	0
Healthy	1.07384	0	0	0.38907	0	0	0	0.06906	0	0	0	0	0	0	0	0	0.08128	0	0	0
Healthy	1.09337	0.11605	0.1764	0.02266	0	0	0	0	0	0	0	0	0	0	0.01772	0	1.25366	0	0	0
Healthy	0.04741	0.571	0	0	0	0	0	0	0	0	0	0.33464	0	0	0.03468	0	0.25381	0	0	0
Healthy	0.58052	0.14202	0.00235	0.02605	0	0	0	0	0	0	0.06967	1.21237	0	0.01221	2.18279	0	0.08686	0.02574	0	0.00602
Healthy	0.47482	0.01375	0	0	0	0	0	0	0	0	0.07529	2.08953	8.60889	0	0.58787	0	0.10013	0	0.06872	0
Healthy	0.04264	0	0	0	0	0	0	0	0	0	0.96809	1.06926	0.63658	1.18221	0	0.0539	0.02179	0.02747	0	0.00226
Healthy	0.00963	0.13383	0	0	0	0.00185	0.00235	0	0	0	0.65772	0.00922	0	0	0.26184	0	0.1212	0.0285	0	0
Healthy	0.14049	0.24	0	0.01224	0.04977	0.0157	0.01801	0	0	0	2.3538	5.82136	4.43838	0.01813	0.00798	0	0.00865	0	0.11152	0
Healthy	0.30085	0	0	0	0	0	0	0	0	0	0	0.06896	6.45857	0	0.31804	0	0	0	0	0
Healthy	0.30949	0.23481	0.07551	0	0	0	0	0	0	0.13	1.63394	1.68837	4.84963	0.01772	1.24791	0	0.01974	0	0.23379	0.03483
Healthy	0.36316	0.17433	0	0	0.01282	0	0	0.01663	0	0	5.97462	0.5252	5.34157	1.11485	0.67365	3.7275	0	0.08691	0.07185	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
