s	Streptococcus_parasanguinis_D	Clostridium_Q_symbiosum	Enterocloster_clostridioformis_A	Muricomes_sp000509105	Enterocloster_asparagiformis	Schaedlerella_glycyrrhizinilyticum	Longicatena_innocuum	Gordonibacter_pamelaeae	Enterocloster_sp000155435	Eggerthella_lenta	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Parabacteroides_johnsonii	Paraprevotella_clara	Alistipes_A_indistinctus	Coprobacter_fastidiosus	Paraprevotella_xylaniphila
Healthy	-2.23136189875239	-1.39913596369016	-5	-1.62911698322239	-5	-2.30364361126667	-5	-5	-3.52287874528034	-3.56863623584101	-5	-5	-5	-0.498488868275975	-5	-5	-5	-0.748410442724219	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.25479475977255	-1.42181939037222	0.208758361685043	0.141528158831941	0.142370692176375	0.1126117035582	-5	-1.72978714510376	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.30893367360983	0.317616282741985	0.44306105227313	-0.0380049724146412	0.544653326921122	-0.503333221119951	0.919278449509963	-0.691691757001774	-5	-0.307311675613544
Healthy	-1.45234834164003	-2.08884239126002	-5	-2.31605286924849	-1.88941028970075	-1.40505526330492	-2.7851561519523	-1.20894125640817	-1.72839069862117	-3.24412514432751	0.92039676219917	-5	0.453769221661935	-5	-0.393489655682813	-5	-5	-1.37253172754029	-0.640392155202794	-5
Healthy	-5	-5	-1.4068247365219	-5	-2.13489602535887	-5	-2.55284196865778	-1.97963871735229	-1.72908836058952	-5	0.245453441801116	-0.265256160417462	-5	-0.134588040278472	-5	-5	-5	-5	-5	-5
Healthy	-2.22402566887063	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.774704511247851	-1.36815053784018	-0.291451634869439	-0.0335766540563069	0.0178677189635057	-5	-1.84345084866822	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.51179128078787	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.360174972704213	-5	-5	-1.11345287660889	-5	-5	-5	-1.90587840415944	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.480926328284688	-5	0.448004080951392	-0.143464440868166	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.15782777061438	-0.943705112923772	-5	-5	-5	-1.92154318194671	-5	-5	-5	-5	-0.196904947300362	-5	0.265730298348378	-5	-5	-0.662660560611581	-5
Healthy	-5	-5	-5	-1.04817696468409	-0.944010416614309	-5	-5	-5	-1.85047298624565	-5	-5	-5	-5	-0.0627178745145732	-5	0.310655084251761	-5	-5	-0.613394034617515	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.409302347027763	0.0952181850134257	-3.08092190762393	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.25812487697849	-0.558493387505885	0.0427132993461132	0.536882779809035	0.393266261779125	-5	-5	-1.05041484867335	-1.12778543660241	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.304220723635515	-5	0.575844565061737	-0.100650147031666	-0.036816829183588	-5	-5	-2.50445566245355	-5	-5
Healthy	-5	-5	-5	-5	-0.564187474954163	-5	-5	-5	-1.3829996588791	-5	1.08258827793917	0.0281033615503056	0.79922679076308	0.318893546714187	0.351051881993707	-5	-5	-5	-5	-5
Healthy	-5	-2.94309514866353	-2.31425826139774	-2.22841251911874	-5	-1.86934465097797	-5	-2.09528445472132	-5	-5	-5	-5	-5	-1.84771165561694	-5	-5	-5	-1.39544996742874	-5	-5
Healthy	-2.86646109162978	-1.05408848318073	-5	-2.57511836336893	-1.39544996742874	-1.81958736716168	-2.70996538863748	-5	-2.28066871301627	-1.98171569157347	-5	0.192765321657618	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	0.272899345665486	-2.24718356881173	-0.251060363668677	-1.12285911021518	-5	-5	-5	-1.54363396687096	-5	-5	-2.88272870434424	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.63667012111284	1.07575165197501	0.0367725719734856	-5	-5	-5	-5	-5	-5	-5
