group	Bacteroidales	Enterobacterales	Pseudomonadales	Lactobacillales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	70.56182	0.15123	0	0.00552		70.56182	5.7435	0.15123	0.14766	0.00552	0.23778	0	0	0	0
Healthy	83.56988	0	0	0.04713		83.56988	1.35877	0	0.83505	0.04713	1.5313	0.00711	0	0	0
Healthy	37.34462	2.8125	0	0.04653		37.34462	26.62906	2.8125	0.00071	0.04653	0	0.02471	0	0	0.00354
Healthy	20.76636	0	0	0		20.76636	46.55662	0	0	0	0.04874	11.24847	0	0	0
Healthy	49.42088	0.08119	0	2.82676		49.42088	25.0635	0.08119	0	2.82676	0.46186	1.00134	0	0	0
Healthy	7.28498	0	0	0		7.28498	56.88681	0	0	0	0.04642	1.13999	8.81102	0	0
Healthy	3.61561	0	0	0		3.61561	12.1476	0	0	0	0	0	0	0	0
Healthy	65.94451	0	0	0.04301		65.94451	2.9794	0	10.5195	0.04301	0.11483	0.03085	0.86272	0	0
Healthy	77.56292	0	0	0		77.56292	4.23484	0	0	0	0	0.30044	0.06803	0	0
Healthy	22.77193	3.85851	0	0.9221		22.77193	13.98492	3.85851	0	0.9221	0.0586	0.86835	0	0	1.16392
Healthy	10.42839	0.00058	0.32517	0.15545		10.42839	22.45504	0.00058	6.51919	0.15545	0.09116	2.20829	0	0.32517	0
Healthy	44.35637	1.02549	0.0872	0.75708		44.35637	25.21853	1.02549	0.00699	0.75708	1.77066	0.12104	1.22966	0.0872	0.28618
Healthy	50.42891	0.19515	0	0		50.42891	29.12875	0.19515	0	0	0.1002	0	0	0	0.05986
Healthy	57.9843	0.81232	0	0.8025		57.9843	20.95243	0.81232	0	0.8025	0	1.80524	3.19845	0	0
Healthy	19.00735	0.0911	0.42465	13.96801		19.00735	38.42361	0.0911	0	13.96801	0.16065	0.05851	0	0.42465	0
Healthy	0	4.14218	0.06891	1.56902		0	35.15934	4.14218	0	1.56902	0.00158	0.07394	0	0.06891	0.01366
Healthy	22.0643	0.92321	0	0.23032		22.0643	22.27209	0.92321	0	0.23032	1.67502	0.06035	0	0	0.17413
Healthy	45.26359	0.34649	0	0.0582		45.26359	0.65685	0.34649	0.13239	0.0582	0.01275	0.49025	0.06831	0	0
Healthy	18.16766	2.71161	0	17.16755		18.16766	6.95679	2.71161	0	17.16755	0	4.10863	2.97004	0	0
Healthy	63.72663	0.07952	0	0.17892		63.72663	10.2726	0.07952	0	0.17892	0	0	0	0	0
Healthy	31.15761	0.08088	0	0		31.15761	6.52439	0.08088	0.03307	0	0.0234	0.02407	0	0	0
Healthy	21.40224	0.16148	0.06946	0.27012		21.40224	17.31738	0.16148	0	0.27012	0.08772	4.8168	0	0.06946	0.25
Healthy	13.2891	10.2181	0	0		13.2891	0.38881	10.2181	43.9894	0	0.28406	0.13551	0	0	0
Healthy	65.75268	0	0	0.05589		65.75268	3.13409	0	10.41	0.05589	0.09557	0.0128	0.80514	0	0
Healthy	46.11877	0.06381	0	0.45117		46.11877	8.78889	0.06381	0.10078	0.45117	2.51045	0.40667	0	0	0
Healthy	70.63059	0.06157	0	0		70.63059	1.4222	0.06157	0	0	0.11666	0.02247	0	0	0
Healthy	44.41535	0	0	0		44.41535	4.3198	0	7.09147	0	0.27735	0.17455	0	0	0.00258
Healthy	36.30805	0.0175	0	0.01403		36.30805	38.69933	0.0175	0	0.01403	0.00491	5.19517	0	0	0
Healthy	18.17723	0	0	0		18.17723	24.09166	0	0	0	0	0	0	0	0.92052
Healthy	42.50091	0	0	0.00794		42.50091	37.42848	0	0	0.00794	0	1.95468	2.18475	0	0
Healthy	63.68496	0	0	0		63.68496	14.87514	0	0	0	0.17416	0.04651	0	0	0
Healthy	92.81289	4.2841	0	0.01292		92.81289	0.64545	4.2841	0.55019	0.01292	0	0	0	0	0
Healthy	49.73983	0.01667	0	0.36059		49.73983	20.44622	0.01667	0.38836	0.36059	2.54517	0.14758	0.00113	0	0
Healthy	51.54426	0.47737	0	0.10367		51.54426	11.94382	0.47737	0	0.10367	2.10393	0	0	0	0
Healthy	71.0787	2.0968	0	0		71.0787	2.68635	2.0968	0	0	0.34626	0	0	0	0
Healthy	26.51604	0	0	0		26.51604	32.47023	0	0	0	0	0	0	0	0
Healthy	14.1769	0.09698	0	0.20263		14.1769	51.48479	0.09698	0.09373	0.20263	0.63021	1.34631	1.31009	0	0
Healthy	58.04866	0.02507	0	0		58.04866	4.28305	0.02507	8.71159	0	0.51464	0	0	0	0
Healthy	22.14347	1.49435	0.22899	0.34649		22.14347	38.09029	1.49435	0	0.34649	0	0	1.07483	0.22899	0
Healthy	0.35748	0	0	0.45334		0.35748	6.73804	0	0	0.45334	0	0	0	0	0
Healthy	80.38068	0	0	0		80.38068	12.91336	0	0	0	0	0.53907	0	0	0
Healthy	20.33218	0	0	0		20.33218	21.6924	0	19.023	0	0.00056	0.1903	0	0	0
Healthy	28.87276	55.0788	0	0.00765		28.87276	0.0105	55.0788	0.00039	0.00765	0	0	0	0	0.23549
Healthy	38.75978	0.57325	0	0		38.75978	14.063	0.57325	11.9695	0	0	1.18442	0.01608	0	0
Healthy	29.53286	0.91179	0	0.7126		29.53286	41.68406	0.91179	2.81759	0.7126	0.06954	1.65472	0	0	4.42379
Healthy	33.23081	33.3132	1.74985	0		33.23081	11.91339	33.3132	0	0	0	0.73283	0	1.74985	0
Healthy	41.87328	5.37164	2.00314	0.02733		41.87328	26.02128	5.37164	0.49181	0.02733	0	1.85933	0	2.00314	0
Healthy	69.54234	0	0	0.04903		69.54234	3.89694	0	0	0.04903	2.99685	0.17372	0	0	0
Healthy	28.72289	0.09139	0	0.34273		28.72289	57.26534	0.09139	0	0.34273	0.03267	0	0	0	0
Healthy	65.70584	1.15581	0	0		65.70584	2.30841	1.15581	0	0	0	0	0	0	0
D014376	31.71693	0.01187	0	21.98726		31.71693	1.79668	0.01187	0	21.98726	0.02227	0.01533	0	0	0.11319
Healthy	7.75441	0.05193	0	0.0318		7.75441	64.4011	0.05193	0	0.0318	0	0.02408	0.00015	0	0
Healthy	25.16801	26.87573	6.4544	1.51516		25.16801	11.56562	26.87573	0.00032	1.51516	0	0.04376	0	6.4544	0.20169
