c	Gammaproteobacteria	Bacilli	Actinomycetia	Coriobacteriia	Bacteroidia	Methanobacteria	Desulfovibrionia
Healthy	-0.222551427179631	-0.97802554488994	0.122301089961987	-0.829591588274682	1.71731485160876	-5	-0.677801386448108
Healthy	-0.930516906065389	-2.35457773065091	-1.77211329538633	-1.86138156610051	1.78570949869202	-5	-5
Healthy	-0.41002807048314	-2.2572748686953	0.637994778390935	-2.64397414280688	1.84856983556758	-1.26833066817136	-1.12592425477697
Healthy	0.185063118628386	-1.26560025747943	-1.20802879897923	-0.873414072045662	1.92204983052155	-5	-5
Healthy	0.449094075274832	-1.14721513131945	-1.66534523311676	-0.531327808853853	1.57222816092954	-5	-1.24703013497092
Healthy	-1.31202537996544	1.051093840473	-5	-5	1.31736058768831	-5	-5
Healthy	-0.265152184721705	0.582984408651994	-0.471443219398817	-0.569199575375819	1.69391056216295	-5	-1.75870261289001
Healthy	-1.33320131633383	0.0569048513364726	0.100821838946951	-0.758602958350354	0.862428959956688	0.577774343999618	-1.8153085691824
Healthy	-5	-5	1.32709541653146	-5	0.558182780051332	-5	-5
Healthy	-0.939906816175532	-1.13153190097901	-0.833658708016502	-0.613073193204431	1.81917871144198	-5	-0.504608316733061
Healthy	-5	-0.522227791650743	-5	-0.199152378124986	1.88965420652834	-1.01282549891246	0.176233105419458
D065626	0.939556191038111	0.821746006956529	0.490678894744494	-0.847895199107132	1.27673906667565	-2.23062267392386	-5
Healthy	0.592966876255435	0.271353622102484	1.55509928748709	-0.363903445843243	1.35740003085252	-5	-5
Healthy	-0.379947270905605	0.376482058819104	-1.35961795529043	0.39167242839155	1.01821768096015	-5	-2.44855000202712
Healthy	0.459898869322942	-0.0564411855707237	-0.601140261595739	-0.729344451047015	1.64695609540824	0.260731872147808	-1.9515581964496
Healthy	-0.529648320654182	-5	-5	-0.475292388205987	1.70267966728539	-5	-5
Healthy	-0.0902675076251021	0.416265954074958	-5	-5	1.76331049352414	-5	-5
Healthy	-0.169789980446389	1.146950244924	-0.572156994294466	0.575643845661616	1.27892180034509	0.485932845201798	-5
Healthy	0.624558470873253	0.215629633457334	-5	-1.40837896178668	-5	-5	-5
Healthy	0.414679264466649	-0.536584848478778	-0.644491011975566	-0.871213141357402	1.34369035064213	-5	-5
Healthy	-0.444603223193737	-0.26085504067402	0.0824586292715335	-0.146478218173163	1.65574909221612	-5	-0.177773059405061
Healthy	0.433228828459711	1.32789385998954	0.211318145691329	0.356274500903909	1.25929923269997	-5	-5
Healthy	-1.09946901754724	-0.747316838067802	-0.358664727273591	-0.92786043676026	1.80432102081899	-5	-1.15620680167409
Healthy	-0.98175733254209	-1.61834351741421	1.54657535771273	0.0330657171185611	1.49356427633227	-5	-2.12090412049993
Healthy	-0.496658819638013	0.70645576145229	0.743686895664305	0.636777663647943	1.33045943275192	-5	-5
Healthy	1.02127904398954	-0.867996607013368	-1.98674133471648	0.130005510862396	1.12349589629023	-5	-0.341931337516564
Healthy	-1.01963297381522	-1.16304326294045	-0.873414072045662	-0.547186591322146	1.81791352489197	-5	-0.470454157138276
Healthy	0.410654095544502	-0.0665886443976464	0.386456158235409	-0.0788599869822159	1.66387781019517	-5	-2.90308998699194
Healthy	-0.748994826506365	-1.64820369310298	-0.557786847277181	-2.63078414258986	1.84899289555575	-5	-5
Healthy	-0.55695617135166	-0.758055266755733	0.72775265980976	-0.149390519078651	1.6475331865481	-5	-0.960942981966556
Healthy	-1.64936439174105	0.716771865592201	-0.700035331375845	-1.22577509513108	1.56000304445673	-1.60800692774029	-5
Healthy	-5	-5	0.773395111234869	0.233549419743861	1.25952794138506	-5	-5
Healthy	-5	0.292838433016156	-5	-5	1.62839833114676	-5	-5
Healthy	-0.759026648159996	-1.33236029394359	-0.0318206967250459	-0.62845190731615	1.80403694856363	-5	-1.29713882942707
Healthy	0.631860613368897	-1.88840147511961	-5	-5	1.96760834270013	-5	-5
Healthy	0.408553697586891	-0.293982431100993	-0.209510758477563	-0.890455199121653	1.69670438392489	-5	-0.970291637485105
Healthy	0.411840163863845	-0.984305011473482	-1.94195376960472	-5	1.71218039327238	-5	-5
Healthy	0.387935910763123	-5	-5	-5	1.85173953724011	-5	-1.50265561898242
Healthy	-5	-5	1.0392010841612	-5	1.42350882927382	-5	-5
Healthy	-0.138346129786089	0.190037398989312	-0.27049503818861	-0.777309535288659	1.15158158231486	-0.731024418902193	-1.08857603462371
Healthy	-0.267831488311101	-5	-0.302273857453656	-0.596862313373619	1.76379227371666	-5	-0.253233509274442
Healthy	0.236373488494027	-0.460296761052174	-0.390426932551334	0.187811093428112	1.34524587426771	-0.951092298516229	-5
