group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	18.97382	0	1.07413	0.09795	0	0	0	0.06906	0	0	0	1.07384	0	0	0	0	0.58962	0	0	0
Healthy	11.9362	0	0.74249	0	0	0	0	0	0	0	0	1.09337	0.11605	0	0	0	0	0	0	0
Healthy	13.79589	0	0.81966	0	0	0	0	0	0	0	0	0.04741	0.571	0	0.081	0	0	0	0	0
Healthy	17.70478	0	10.6545	0.08321	0	0	0	0	0	0	0	0.58052	0.14202	0	0.50664	0	0	0	0.00602	0
Healthy	10.51132	40.4897	2.10815	0	0	0	0	0	0	0	40.4897	0.47482	0.01375	0	0.089	0	0	0	0	0
Healthy	8.83403	0	2.37578	0.15123	0	0	0	0	0	0	0	0.04264	0	0	0	0	0.23778	0.02659	0.00226	0
Healthy	32.29022	0	0.93393	0	0.00185	0	0	0	0	0	0	0.00963	0.13383	0	0.00253	0	0	0	0	0.00195
Healthy	16.13012	3.81452	17.91	2.8125	0.0157	0	0.04977	0	0	0	3.81452	0.14049	0.24	0	0.01153	0.00354	0	0	0	0
Healthy	3.94452	6.31915	0.12429	0	0	0	0	0	0	0	6.31915	0.30085	0	2.64033	0	0	0.04874	0	0	0
Healthy	6.10688	0	5.23795	0	0	0.08119	0	0	0	0	0	0.30949	0.23481	0.15335	0.3205	0	0	0	0.03483	0
Healthy	0.6599	2.16791	2.62326	0	0	0	0.01282	0.01663	0	0	2.16791	0.36316	0.17433	1.06366	0	0	0	0.01529	0	0
Healthy	0	0	62.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.39884	44.60152	3.43183	0	0	0	0	0	0	0	44.60152	0.04387	0.24373	0	0	0	0	0.22933	0	0
Healthy	5.52146	44.6447	1.84929	0	0	0	0	0	0	0	44.6447	0.37487	0.63218	0.19497	0	0	0	0	0	0
Healthy	11.06781	0	5.51072	0	0	3.85851	0	0	0	0	0	0.28899	0.3371	0.86835	0.59193	1.16392	0.0586	0	0.0955	0
Healthy	1.1377	0	0.17685	0	0.8993	0.00058	1.15388	0.00591	0	0.0022	0	1.12486	1.97032	0	1.72021	0	0	0	0.40741	0.00996
Healthy	16.30022	0	6.71157	0.88276	0.57964	0.14273	0.31519	0.06166	0.00033	0.0161	0	0.98337	0	0	0.74149	0.28618	0	0	0.15492	0.03118
Healthy	27.07242	0	5.37472	0	0	0.19515	0	0	0	0	0	0.41058	0.31569	0	0.15794	0.05986	0.1002	0	0.01904	0
Healthy	0.44252	56.7831	0.53665	0	0	0.81232	0	0	0	0	56.7831	0.07476	0	1.5817	0	0	0	0	0	0
Healthy	3.32276	2.96841	2.67302	0	0	0	0	0	0	0	2.96841	2.01212	3.24867	0	2.42031	0	0	0	0.51527	0
Healthy	0	0	0	3.66846	27.9887	0.32966	2.02445	4.07451	0	0.03904	0	0.44703	0	0	0	0.01366	0	0	0	0
