s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-0.759101459876509	-5	-5	-5	-0.348721986001856	-1.50224128171273	-2.59345981956604	-0.733815358349093	-5	-1.40219515759571	-5	0.0973093802506316
Healthy	-5	-5	-5	-2.02826040911222	-5	-1.47095482923423	-2.27083521030723	-5	-5	-5	-5	-1.56992494444806
Healthy	-5	-1.20844969497267	-5	-5	-5	0.228941606019496	-5	-5	-5	-5	-5	-0.442095978942434
Healthy	-5	-5	-1.23113999915704	-1.35076252765039	-5	-2.26921772433361	-5	-2.75202673363819	-5	-5	-1.07017251876931	0.032070510958555
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.000356267564833315
Healthy	-0.602042619896113	-5	-1.13537027545449	-1.98171569157347	-0.893673088178034	-0.851335660017764	-2.39361863488939	-5	-5	-1.34160697372088	-0.140969839274539	-0.299002238747432
Healthy	-5	-5	-5	-5	-5	-5	-2.23284413391782	-5	-5	-5	-5	-2.13194363817696
Healthy	-5	-5	-1.66958622665081	-5	-5	-5	-5	-5	-5	-5	0.285851989203418	-1.05660442349105
Healthy	-5	-0.420342138406267	-0.642636969384857	-0.683295960299963	-5	-5	-5	-5	-5	-5	0.261926296933798	-0.687061390986865
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.58670023591875	-5	-1.60607399341416	-5	-5	-5	-5	-5	-5	-5	-0.0217281583893649	-0.845241380845823
Healthy	-5	-5	-0.754734160542539	-1.93704216591549	-1.75671385391655	-2.45345733652187	-5	-5	-5	-5	-0.133653577250398	-0.726350665276395
Healthy	-0.0359620533064625	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.48744900709579	-0.390501637029355
Healthy	-5	-5	-1.29490638945213	-0.486382926212125	-5	-5	-5	-5	-5	-5	-0.737905035325937	-1.09151498112135
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.617118832818565	0.0072099096567322
Healthy	-5	-1.88840147511961	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.632849159116921	-0.805957672113576	-0.998699066979582	-1.77780395369828	-1.75795576063045	-5	-5	-5	-5	-0.899491605498038	-2.6903698325741
Healthy	-5	-5	-5	-5	-0.687103647808295	-1.7562180839062	-5	-1.99610883376309	-5	-5	-5	-0.99225222199926
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.62397081827182
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.475351522928022
Healthy	-5	-5	-0.785288578994616	-2.5654310959658	-5	-5	-5	-5	-5	-5	-0.288800364768021	-0.692696549133235
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.127820470159487	-5
Healthy	-5	-1.07634157820669	-0.304465791064293	-5	-5	-5	-5	-5	-0.580655666326157	-5	-0.115595507059153	0.0287135543472535
Healthy	-5	-0.34356637993405	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.30172542332563	-5	-5	-5	-5	-5	-5	-5	-0.973262505761252
Healthy	-5	-5	-5	-2.26680273489343	-5	-5	-3.15490195998574	-5	-5	-5	-0.681248186142888	-1.66918053350416
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.952569359844458	-0.948693089182026	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.379770222517825
Healthy	0.645795484286742	-5	-0.0657541189769288	-0.396163041594598	-0.0401004121340565	-0.253217948183684	-5	-0.996582554797806	-5	-2.2335871528876	-0.337110011846725	0.187295054693738
Healthy	-5	-5	-2.05109823902979	-1.07007043991541	-5	-5	-5	-5	-5	-5	0.426589329759879	-2.1438755557577
Healthy	-5	-5	-0.901806374136712	-0.624153563690844	-5	-5	-5	-5	-5	-5	0.611841156777954	-0.59960017794618
Healthy	-5	-1.46508589557013	-5	-5	-5	-5	-5	-5	-5	-5	0.162397108203622	-1.50086300546262
Healthy	-5	-5	-1.03231164954669	-0.674710162792449	-1.03905380426617	-1.2498774732166	-5	-5	-5	-5	0.11831764526972	-0.746395489446656
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.683107496238705
Healthy	-5	-5	-5	-1.83209218999852	-1.32975414692588	-2.85387196432176	-5	-5	-2.28988263488818	-5	-5	-0.801260459895584
Healthy	-0.695294101787234	-5	-0.79772970226271	-1.19497515557019	-1.93779419118029	-1.36281057785124	-1.52287874528034	-5	-2.54975089168064	-1.87745647593125	0.333739392936023	-1.6416843599178
