group	Oscillospirales	Enterobacterales	Burkholderiales	Pseudomonadales	Coriobacteriales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	6.73183	0	0.27735	0	0.70893	0.1094		44.41535	4.3198	6.73183	17.72904	7.09147	0	0	0.70893	0.1094	0.00258
Healthy	3.63925	0.0175	0.00491	0	0.05945	0		36.30805	38.69933	3.63925	0.00465	0	0.01403	0.02465	0.05945	0	0
Healthy	30.65601	0	0	0	1.71217	0		18.17723	24.09166	30.65601	5.0839	0	0	0	1.71217	0	0.92052
Healthy	3.37303	0	0	0	0	0		42.50091	37.42848	3.37303	0	0	0.00794	0	0	0	0
Healthy	1.47712	0	0.17416	0	0.23525	0.05044		63.68496	14.87514	1.47712	0.01411	0	0	0	0.23525	0.05044	0
Healthy	1.54077	4.2841	0	0	0	0		92.81289	0.64545	1.54077	0	0.55019	0.01292	0	0	0	0
Healthy	11.96651	0.01667	2.54517	0	0.12868	0.10707		49.73983	20.44622	11.96651	1.21706	0.38836	0.36059	0	0.12868	0.10707	0
Healthy	31.88632	0.47737	2.10393	0	0	0		51.54426	11.94382	31.88632	1.15201	0	0.10367	0	0	0	0
D006973	42.4189	13.72825	0.00165	0	0.54606	0.00631		10.04985	3.85114	42.4189	0	0	0	0	0.54606	0.00631	0
D006973	0.92073	0.39174	1.56698	0.02019	0.02124	0.00179		2.54128	0.43794	0.92073	0	0	0	0	0.02124	0.00179	0
Healthy	0.77931	2.0968	0.34626	0	0	0.03142		71.0787	2.68635	0.77931	0	0	0	0	0	0.03142	0
Healthy	13.63179	0	0	0	0	0		26.51604	32.47023	13.63179	5.62249	0	0	0	0	0	0
Healthy	17.91611	0.09698	0.63021	0	0.16698	0.08154		14.1769	51.48479	17.91611	0.00396	0.09373	0.20263	0.18576	0.16698	0.08154	0
Healthy	4.47132	0.02507	0.51464	0	0.253	0.55816		58.04866	4.28305	4.47132	0.46112	8.71159	0	0	0.253	0.55816	0
Healthy	21.15368	1.49435	0	0.22899	1.54102	0		22.14347	38.09029	21.15368	0	0	0.34649	0.11191	1.54102	0	0
Healthy	0.39654	0	0	0	1.31584	0		0.35748	6.73804	0.39654	0	0	0.45334	0	1.31584	0	0
Healthy	1.73887	0	0	0	0	0		80.38068	12.91336	1.73887	0	0	0	0	0	0	0
Healthy	25.92229	0	0.00056	0	3.69281	0.19041		20.33218	21.6924	25.92229	0	19.023	0	0	3.69281	0.19041	0
Healthy	0.00433	55.0788	0	0	0.0026	0		28.87276	0.0105	0.00433	0.03501	0.00039	0.00765	0	0.0026	0	0.23549
Healthy	5.64434	0.57325	0	0	0.78351	0		38.75978	14.063	5.64434	0	11.9695	0	0	0.78351	0	0
Healthy	7.35678	0.91179	0.06954	0	0.4209	0		29.53286	41.68406	7.35678	0.46493	2.81759	0.7126	0.20726	0.4209	0	4.42379
Healthy	3.242	33.3132	0	1.74985	0.00433	0		33.23081	11.91339	3.242	0	0	0	0	0.00433	0	0
Healthy	4.27652	5.37164	0	2.00314	0	0		41.87328	26.02128	4.27652	0	0.49181	0.02733	2.44739	0	0	0
D006973	3.48754	0.53022	4.24834	0.05661	0.04138	0.12266		66.64401	0.31023	3.48754	0	0.05394	0	0	0.04138	0.12266	0
Healthy	7.01832	0	2.99685	0	0.64273	1.21704		69.54234	3.89694	7.01832	0	0	0.04903	0.00825	0.64273	1.21704	0
Healthy	0.76115	0.09139	0.03267	0	0	0		28.72289	57.26534	0.76115	0.38925	0	0.34273	0.21268	0	0	0
Healthy	0.10838	1.15581	0	0	0	0		65.70584	2.30841	0.10838	11.06571	0	0	0	0	0	0
Healthy	14.55616	0.05193	0	0	0.47668	0		7.75441	64.4011	14.55616	0.21678	0	0.0318	0	0.47668	0	0
Healthy	8.83526	26.87573	0	6.4544	1.11166	0.0392		25.16801	11.56562	8.83526	0.01516	0.00032	1.51516	0	1.11166	0.0392	0.20169
Healthy	3.83581	0	0.7445	0	0.1628	0.0151		75.927	1.72941	3.83581	0	3.84496	0	0	0.1628	0.0151	0
Healthy	9.83849	0.76155	0.06486	0.33242	0.59299	0		27.96087	46.51861	9.83849	0.13564	0.79342	0.4968	0	0.59299	0	0.1088
Healthy	4.70989	0	0.11834	0	0.22282	0.33033		66.09812	3.10588	4.70989	0	10.3809	0.05237	0	0.22282	0.33033	0
Healthy	20.96904	2.10237	0.20459	0	1.03937	0.07805		25.51014	25.5392	20.96904	0.2242	0	8.14983	0.79834	1.03937	0.07805	0.07247
Healthy	47.80958	0	0	0	1.79807	0		18.16758	12.06107	47.80958	0	0	0	0	1.79807	0	0
Healthy	7.98813	0.09832	0.0657	0	0.03568	0.0016		78.57875	0.68422	7.98813	0	0	0.03648	0	0.03568	0.0016	0
Healthy	4.49598	0	1.07337	0	0.12192	0.40904		64.93079	18.72938	4.49598	0	0	0	0	0.12192	0.40904	0
Healthy	6.84934	9.39904	0.21451	4.54617	0.65339	0.18958		39.03604	5.48461	6.84934	0.22665	0.3477	0.01927	0.07517	0.65339	0.18958	0.0581
Healthy	1.32719	0.38656	0.11966	0	0.13178	0.00253		88.7654	1.21892	1.32719	3.58941	0	0.20842	0	0.13178	0.00253	0
Healthy	0.49666	2.90482	0.07877	0	0	0.0383		79.91048	11.90134	0.49666	0	0	0.07356	0	0	0.0383	0
Healthy	6.98856	0.13452	1.39314	0	0.1822	0.13826		64.14272	6.58367	6.98856	0.38466	0	0.00636	0.17643	0.1822	0.13826	0
Healthy	8.76396	5.3394	0.03034	0.05478	0.0593	0.35495		38.36526	3.07898	8.76396	2.03817	1.4567	0.01559	3.08044	0.0593	0.35495	0.00271
Healthy	3.69428	0.00402	0.70225	0	0.1128	0.02838		80.84169	1.71238	3.69428	0	3.57301	0	0	0.1128	0.02838	0
Healthy	6.67228	0.00781	0.88008	0.00368	0.29588	0.37016		25.1195	13.19326	6.67228	0.01218	0.69873	0.75851	0	0.29588	0.37016	0.08429
Healthy	1.67288	0	0.08336	0	0.03785	0		55.82578	23.45088	1.67288	0	0.01236	1.65013	1.90301	0.03785	0	0.08412
Healthy	18.48604	1.88746	1.38138	0	1.00364	0.05407		27.29133	12.8256	18.48604	0	1.26245	0	0.42914	1.00364	0.05407	0
Healthy	3.19307	0	0	0	0	0		78.2146	11.33591	3.19307	0	0	0	0	0	0	0
Healthy	7.34323	1.46273	0.56976	0	0.42331	0.03475		64.69453	17.3938	7.34323	0	0	0.43462	0	0.42331	0.03475	0.00613
Healthy	0.43168	2.74832	0.06262	0	0	0.04609		79.61067	11.91696	0.43168	0	0	0.09803	0	0	0.04609	0
Healthy	5.6291	0.3539	0	0	0	0		46.96026	28.14546	5.6291	6.72967	0.6796	0.75909	0.18105	0	0	0.04315
Healthy	6.02774	0.24621	1.2693	0	0.27859	0		33.30529	20.27504	6.02774	0.01651	0	0.03125	0	0.27859	0	0.03226
Healthy	5.24253	0	0.0624	0	0.14886	1.64987		69.58044	1.00013	5.24253	0	0	0	0.02876	0.14886	1.64987	0
Healthy	8.42329	0.04198	0.07281	0	0.05215	0.00154		77.68829	0.6717	8.42329	0	0	0.02956	0	0.05215	0.00154	0
Healthy	7.56259	0.03656	0.05142	0.30313	0	0		61.68826	19.14931	7.56259	0.0072	0.6598	0.0161	0	0	0	0
Healthy	5.81261	0.13218	0.0078	0	1.61836	0.11107		56.32307	6.12314	5.81261	0.00213	0	0.29615	0.1953	1.61836	0.11107	0
Healthy	10.16045	0.29244	0.0461	0	0.08121	0		54.50758	23.11718	10.16045	0.0216	0	0.31688	0	0.08121	0	0.33346
Healthy	2.07704	0	0.11856	0	0.06576	0.03259		43.3074	2.7656	2.07704	0	0	0.02025	0	0.06576	0.03259	0
Healthy	0.81974	2.24934	0.38935	0	0	0.05179		72.56282	2.56661	0.81974	0	0	0	0	0	0.05179	0
Healthy	7.83319	0	0	0	0	0		22.69552	2.54508	7.83319	0.31288	0	0	0	0	0	0
Healthy	21.16104	0.95059	0	0	2.23707	0		19.20653	37.05151	21.16104	0.06109	0	0.56117	1.04804	2.23707	0	0.62159
Healthy	3.88874	0.06129	5.13042	0	0.16171	0.14748		61.23649	21.07635	3.88874	0.00798	0	0.08341	0	0.16171	0.14748	0
Healthy	3.86782	0.08635	5.22325	0	0.19611	0.14814		61.52382	20.93701	3.86782	0	0	0.05612	0	0.19611	0.14814	0
Healthy	1.34313	6.53906	1.43392	0	0.02368	0.33399		61.23341	2.18098	1.34313	9.44246	0.79293	0	0	0.02368	0.33399	0
D006973	6.664	0	0.12451	0.16886	2.11257	0.46861		54.19724	7.61616	6.664	0	2.51457	0	0.02404	2.11257	0.46861	0
Healthy	6.44804	0.80726	2.31024	0	0	0		60.29015	7.5361	6.44804	0.15883	5.96611	0.47816	0	0	0	0
Healthy	2.58247	0	2.72043	0	0.00925	0		60.90446	3.34133	2.58247	0.23887	0.05654	0	0	0.00925	0	0
Healthy	0.00369	3.05793	0	0	0	0		38.99953	15.7248	0.00369	0.56786	0	9.5205	0	0	0	0
Healthy	47.1683	0	0.18887	0	1.21596	0		16.03709	23.11447	47.1683	0	0	0.58813	0	1.21596	0	0
Healthy	0.86856	0	0	0	0	0		72.96854	2.78405	0.86856	10.1396	0	0	0	0	0	0
Healthy	3.83131	0.10077	5.04198	0	0.13351	0.20481		63.08919	21.6091	3.83131	0.00816	0	0.06844	0	0.13351	0.20481	0
Healthy	3.58157	1.79721	0.06696	0	0	0.10238		86.49669	3.97071	3.58157	0	0	0.09177	0	0	0.10238	0
