group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	10.37827	3.41848	0		22.69552	10.37827	3.41848	0	0	0	0	0	
Healthy	58.83414	2.23707	12.89759		19.20653	58.83414	2.23707	0.95059	0	12.89759	1.04804	0	
Healthy	24.96509	0.16171	0.09399		61.23649	24.96509	0.16171	5.19171	0	0.09399	0	0.14748	
Healthy	24.80483	0.19611	0.10133		61.52382	24.80483	0.19611	5.3096	0	0.10133	0	0.14814	
Healthy	3.52411	0.04168	0		61.23341	3.52411	0.04168	7.97298	0.79293	0	0	0.33399	
Healthy	13.98414	0.73847	0.55573		60.29015	13.98414	0.73847	3.1175	5.96611	0.55573	0	0	
Healthy	5.9238	0.55301	0		60.90446	5.9238	0.55301	2.72043	0.05654	0	0	0	
Healthy	15.72849	0	9.84039		38.99953	15.72849	0	3.05793	0	9.84039	0	0	
Healthy	70.28277	1.21596	0.58813		16.03709	70.28277	1.21596	0.18887	0	0.58813	0	0	
Healthy	3.65261	0	0		72.96854	3.65261	0	0	0	0	0	0	
Healthy	25.44041	0.13837	0.09355		63.08919	25.44041	0.13837	5.14275	0	0.09355	0	0.20481	
Healthy	7.55228	0.21558	0.11772		86.49669	7.55228	0.21558	1.86417	0	0.11772	0	0.10238	
Healthy	29.03576	0.4813	0.06962		62.46336	29.03576	0.4813	0.00362	0.69377	0.06962	0	0.01272	
D003093	36.75117	7.28939	0.1105		29.32974	36.75117	7.28939	0.05832	0	0.1105	0	0.05785	
Healthy	7.17953	1.64071	0.00781		50.72942	7.17953	1.64071	0.14916	12.3504	0.00781	0	0.97352	
Healthy	9.58365	0	0		65.12554	9.58365	0	11.30199	5.12023	0	0.54418	0.06167	
Healthy	6.585	1.84409	0.60805		45.519	6.585	1.84409	0.50545	0.14545	0.60805	0	0.65801	
Healthy	38.41428	0	0.52997		38.42566	38.41428	0	0.16798	0	0.52997	0	0.06499	
Healthy	24.69864	0	0.01933		57.43447	24.69864	0	6.45037	1.67518	0.01933	0.24888	0.05635	
Healthy	74.09152	0	0		25.9085	74.09152	0	0	0	0	0	0	
Healthy	10.21693	3.76883	0.1473		60.72875	10.21693	3.76883	0.31618	0.87803	0.1473	0.94585	0.37818	
Healthy	33.94672	4.62219	0.32918		39.65412	33.94672	4.62219	0.86213	0	0.32918	0	0.24869	
Healthy	2.18556	0.15458	0		68.11255	2.18556	0.15458	0.77609	0	0	0	0	
D003093	34.59093	13.51052	0.33611		36.60624	34.59093	13.51052	0	1.99999	0.33611	0	0.02708	
Healthy	35.94869	0.24924	0.06123		51.31828	35.94869	0.24924	0.23275	0.00032	0.06123	0	0.24608	
Healthy	24.05884	0	0.04515		61.20586	24.05884	0	0.03347	0	0.04515	0	0	
Healthy	44.31122	2.04517	1.51245		26.18248	44.31122	2.04517	2.13931	1.83282	1.51245	0	0	
Healthy	13.84086	0.84066	0.42758		60.2623	13.84086	0.84066	3.11694	5.82674	0.42758	0	0	
Healthy	28.15127	1.50592	0.18432		60.18214	28.15127	1.50592	2.40753	0	0.18432	0	0	
Healthy	58.24151	0	7.68274		11.533	58.24151	0	0	0	7.68274	0.64383	0	
Healthy	38.30841	0.23969	0.06627		42.72847	38.30841	0.23969	0.38855	0	0.06627	0	0	
Healthy	9.83535	3.26436	0.27666		74.81172	9.83535	3.26436	0.10798	0	0.27666	0	0.01841	
Healthy	7.13475	1.52105	0.13948		13.58487	7.13475	1.52105	10.57963	43.4724	0.13948	0	0.71462	
Healthy	10.51281	0.62671	0.00218		71.38515	10.51281	0.62671	2.92244	0.03469	0.00218	0	0.01487	
Healthy	54.55004	0.20475	4.25925		28.00834	54.55004	0.20475	0.22162	0	4.25925	0	0	
Healthy	40.72084	4.23432	0.81475		44.18307	40.72084	4.23432	0.66783	0	0.81475	0	0.00464	
D003093	15.21846	1.55951	0.74479		12.77641	15.21846	1.55951	0.21391	4.34835	0.74479	6.00091	0.10516	
Healthy	38.36376	1.97711	7.38281		33.10014	38.36376	1.97711	0.78459	0.63493	7.38281	0.68638	0.08871	
Healthy	10.06503	1.31334	0.51968		85.82224	10.06503	1.31334	0.64721	0.03989	0.51968	0	0	
Healthy	55.60858	1.93435	0.2306		33.90315	55.60858	1.93435	0.47933	0	0.2306	0	0.00376	
Healthy	16.2861	0.10602	2.01783		70.51977	16.2861	0.10602	0.83322	0.04755	2.01783	0	0.0186	
Healthy	17.06275	0.15998	0.03051		62.9367	17.06275	0.15998	2.23462	0.89222	0.03051	0	0	
Healthy	35.13694	0	1.6906		33.13465	35.13694	0	0.03779	0.00828	1.6906	0.65232	0	
