f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	-5	-5	1.89080416911335	-5	-0.395147804473172	-5	-5	-5	-5	-5	0.37210707661702	-0.338812239588677	-1.29662263148765	0.864631503951107	-5	-2.76447155309245	-5	-5	-1.23777171571353	-5	0.337089704196259	-0.2583127601914	-5
Healthy	1.24745106306378	0.652719068043096	1.13027167603051	0.393048466416778	-1.12807696811763	-5	-5	-1.28802414564824	-5	-5	-5	-5	-5	1.57623904279831	0.314581321448779	-0.600447413394065	0.608429750729264	-1.34399767931704	-5	-5	-1.12262865413023	0.160960472815158	-5
Healthy	1.11083271254755	0.172786766975598	-1.36774522331529	-0.0444709909632764	-5	-5	-5	-0.934719128897246	-5	-1.29439283659539	-5	-5	-5	1.66985657679159	0.654739507820202	0.509870257525625	-5	-5	-5	-5	-5	-5	-5
Healthy	1.45655155568522	0.802351536375885	1.02096216571365	0.874091995414124	-1.13164950035203	-5	-5	0.248960959759684	0.549118567851112	-5	-1.31470621861322	-5	-2.60380065290426	0.925464222656569	0.965469347204337	-0.105030771222133	-5	-1.10513034325475	-5	-1.89962945488244	-2.56383735295924	-5	-1.51541547071716
Healthy	1.14501357224712	0.92330775884668	-0.984598326297051	0.523966159042143	-0.747438213793671	-0.720036632541263	-0.297388545209053	-5	0.585133475333002	-5	-1.30303235925598	-5	-5	1.47307320789502	0.259801659866002	-0.0447501314674717	-5	-1.00603500180488	-0.0326158510874388	-5	-0.795988604538516	-2.31425826139774	-5
Healthy	1.32697658698471	0.841526522798673	-0.313605072495461	-1.90483064856824	-2.22112552799726	-1.86043573382415	-5	0.740620031418806	0.253689273386233	-1.23589862352377	0.0396361673420526	-5	-5	1.10115191652978	0.0986887101666308	-5	-5	0.151513876050073	-0.316556691209752	-1.64743161382069	-5	-1.90552887135835	-5
Healthy	1.29766532782319	0.806758421702446	0.393975096445539	-5	-5	-0.300812902691751	-5	0.74214280216862	0.355229239344489	-5	1.22703810241191	-5	-5	1.23899524129313	0.753411451864336	0.0154352054250808	-5	-5	-5	-5	-5	-5	-5
Healthy	1.31259663335331	1.40267260647622	-0.486076911675506	-1.61136603064821	-1.06570359318059	0.357871984039196	-2.3585258894959	-5	-5	-5	-1.30381841283148	-5	-5	1.39981973061662	0.719140619695214	-0.547922086510154	0.521164245234233	-1.6076548446388	0.104521252618329	-1.78887945874195	-1.25328797748334	-5	-5
Healthy	0.792191307435894	1.00806037456492	-5	-0.163068550109335	-5	-5	-5	0.766518433276982	-5	-5	-1.59142087459133	-5	-5	1.58969118064357	0.837224058796229	0.383400614175564	-5	-0.804017369311642	-5	-0.371795045398399	-5	-5	-0.620730750526353
Healthy	1.26187639673694	0.782903837869686	1.10882842935222	-1.65757731917779	0.091846264855252	-0.4678318683063	-5	0.218672021321886	0.290828977408293	-0.0989123766000521	1.33662401418808	0.150243577592424	-5	1.07148359866083	0.557983341397184	-0.0870131533003444	-5	-0.888233566947438	-0.0631445861152637	-5	-1.36101184065632	-0.461753115328017	-1.34208406317004
Healthy	1.72096452430419	0.470833699772881	-0.902256941055122	0.142746016913667	-5	-1.23980377054487	-0.630505837881901	-0.254597268087732	-5	-0.965732602961974	-2.08724669632868	-5	-5	1.28866408943709	0.356845841780746	0.204014110472264	-5	-0.821051814883198	0.484254271633615	-1.85917781989069	-5	-2.14086170270547	-5
D000236	1.58707488083916	0.70834185304544	0.955390423764001	1.38859154947012	0.46503319290856	-5	-5	0.0416492379234956	-5	-5	-5	-5	-5	0.440214600033986	-0.33877433972986	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.59537506542604	0.970598824129357	0.436447310914848	0.358808271489324	-0.559515979176601	-0.146356534676225	-5	-5	-5	-5	-5	-5	-5	1.09518156034197	-0.910094888560602	-1.6714165502858	0.49474716856849	-0.914495360573502	-5	-5	0.236479318104428	0.336385677323575	-5
