group	Lachnospiraceae	Coriobacteriaceae	Lactobacillaceae	Streptococcaceae	Erysipelotrichaceae	Methanobacteriaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	20.07617	0	0.02608	0.01597	0.00545	0	0.14062	0.01042	0.25312	0	20.07617	6.64148	0.74589	1.5587	0	0	0	0.04607	0	0.01042
Healthy	20.8232	0	0	0	0	0	0	0	0.16683	0	20.8232	9.53526	0.01296	0.07901	0	0	0	0.1339	0	0
Healthy	18.86342	3.88243	0	0.78156	11.3576	0	0	0	0	0	18.86342	25.28152	2.57185	11.9056	0	0	3.88243	0	0	0
Healthy	8.09311	0.00219	0	0.60443	0.5723	0	0.00243	0.21516	0.01342	0	8.09311	18.29438	4.99535	17.15839	0	0	0.00219	0	0	0.21516
Healthy	18.30054	0.10638	0	0	0	0	0	0	0	0	18.30054	2.75889	0	0.55983	0.06765	0	0.10638	0	0	0
D008545	26.96445	2.61425	1.05438	0.53805	0.15028	0	0	0.12042	1.51361	0.00043	26.96445	6.48294	1.62733	7.15131	0.00566	0	2.61425	0.80573	0.07806	0.12042
Healthy	9.47397	0	0	0.00195	0	0.57278	0	0	0	0	9.47397	8.58561	0	3.29959	3.04604	0.57278	0	1.53569	0.04203	0
Healthy	11.74589	0.07817	0	0.03976	0.11145	0.1514	0.55065	0	0.39724	0	11.74589	28.78528	0.3126	0.47797	1.83008	0.1514	0.07817	0	0.03232	0
Healthy	0.2867	0.96563	0	0.04975	0.29282	0	0	0.00975	0	0	0.2867	1.26394	0.32681	0.68619	0.00437	0	0.96563	2.15327	0.40307	0.00975
D008545	17.12432	0	0	0.01405	0.00264	0	0.12059	0.5823	0.32061	0	17.12432	1.36137	0	5.01675	0.00237	0	0	0.28539	0.12749	0.5823
Healthy	1.01616	1.24073	0	0.29215	0.56328	0	0	0	0	0	1.01616	0.82616	1.20433	5.62385	0.51673	0	1.24073	0.53887	0.80581	0
Healthy	25.34291	0	0	0.22287	0.57913	0	0.01785	0.08385	0	0	25.34291	10.02603	5.29069	0.68543	25.358	0	0	0.27181	0	0.08385
Healthy	9.43879	0.38018	0	0.02321	0	0.0264	0	0	0	0	9.43879	5.53352	1.37642	0.63357	0.53875	0.0264	0.38018	0.09268	0.09289	0
Healthy	6.33331	0.22602	0	0	0.28536	0.50179	0.98088	0	0.0182	0	6.33331	4.09189	3.22177	7.85793	5.195	0.50179	0.22602	0.03116	0.29804	0
Healthy	0.00094	0	0.22892	0	0	0	0	0	0	0	0.00094	0	0.02275	0	0	0	0	0	0	0
Healthy	21.55607	0.02688	0	0.09358	0.0673	0	0	0.1511	0	0	21.55607	3.79106	0	0	0	0	0.02688	0.19885	0.16147	0.1511
Healthy	0	0	3.58269	0.00367	0.02798	0	0	0.00219	0.02357	0	0	0	89.8523	0	0.00841	0	0	0.25159	0	0.00219
Healthy	1.72277	0	0	0	0	0	0	0	0	0	1.72277	1.07413	0.11834	0	1.66666	0	0	0.08128	0	0
Healthy	1.17854	0.11605	0	0	0	0	0	0	0	0	1.17854	0.74249	0	0.1764	0	0	0.11605	1.25366	0.03182	0
Healthy	4.22058	0.571	0	0.25024	0	0	0	0	0	0	4.22058	0.81966	0.43511	0	0	0	0.571	0.25381	0.01125	0
Healthy	12.86174	0.14202	0	0	0.10518	0	0	0.00602	0	0	12.86174	10.96303	1.32525	0.07202	1.05654	0	0.14202	0.08686	0.20998	0.00602
Healthy	26.41081	0.01375	0	0.00441	0	0	0	0	0	0	26.41081	2.1399	0.01689	0.07529	0.01073	0	0.01375	0.10013	0	0
Healthy	5.7435	0	0	0.00552	0	0.0539	0	0.00226	0	0	5.7435	3.55799	4.34504	0.96809	0.14766	0.0539	0	0.02179	0.07482	0.00226
Healthy	1.35877	0.13383	0	0.04713	0.00711	0	0	0	0	0	1.35877	0.93393	0.06193	0.65772	0.83505	0	0.13383	0.12854	0	0
Healthy	26.62906	0.24	0	0.04653	0.02471	0	0	0.05421	0.00354	0	26.62906	18.12004	0.0216	2.3538	0.00071	0	0.24	0.48259	0.05661	0.05421
Healthy	46.55662	0	0	0	2.64033	0	8.60814	0	0	0	46.55662	0.12429	0	0	0	0	0	0	0	0
Healthy	25.0635	0.23481	0.52882	2.29794	0.15335	0	0.84799	0.03483	0	0	25.0635	5.30787	0.33771	1.70945	0	0	0.23481	0.01974	0.01742	0.03483
Healthy	56.88681	0.17433	0	0	1.06366	3.78245	0.07633	0	0	0	56.88681	4.28916	1.2613	5.97462	0	3.78245	0.17433	0	0.01529	0
Healthy	12.1476	0	0	0	0	0	0	0	0	0	12.1476	62.9997	21.2371	0	0	0	0	0	0	0
Healthy	2.9794	0.24373	0	0.04301	0.03085	0	0	0	0	0	2.9794	3.43183	0.14666	0	10.5195	0	0.24373	1.31228	0.31288	0
Healthy	4.23484	0.63218	0	0	0.19977	0.09708	0.10067	0	0	0	4.23484	2.17847	0	0.00984	0	0.09708	0.63218	3.44475	1.50048	0
D008545	11.81337	1.84454	45.12751	6.63999	0	0	0	0	0	0	11.81337	4.64644	6.07237	0	0	0	1.84454	0.00856	0	0
Healthy	13.98492	0.3371	0	0.9221	0.86835	0	0	0.0955	1.16392	0	13.98492	5.66478	35.90039	1.33345	0	0	0.3371	0	0	0.0955
D008545	36.73839	2.57467	0	4.59151	0	0	0	0.13635	0	0	36.73839	0	0	8.27991	0	0	2.57467	0	0	0.13635
Healthy	22.45504	1.97032	0	0.15545	0.98615	0	1.22214	0.49385	0	0	22.45504	14.94631	0.03459	14.60672	6.51919	0	1.97032	0.12738	0.00355	0.49385
Healthy	25.21853	0	0.00868	0.38092	0.07916	1.82276	0.04188	0.18648	0.28618	0.00033	25.21853	8.10271	0.24421	4.71234	0.00699	1.82276	0	0.06706	0.01117	0.18648
Healthy	29.12875	0.31569	0	0	0	0	0	0.01904	0.05986	0	29.12875	5.37472	0	6.0946	0	0	0.31569	0.02712	0	0.01904
Healthy	20.95243	0	0	0.8025	1.5817	0	0.22354	0	0	0	20.95243	1.35423	0	4.21521	0	0	0	0	0	0
D008545	16.55165	0.00191	0.00249	0.09573	0.05952	0	0.03617	0.3469	0	0	16.55165	2.21145	0.00507	16.96653	3.28479	0	0.00191	1.34962	0	0.3469
Healthy	38.42361	3.24867	2.24067	0.20201	0.05851	3.06148	0	0.51527	0	0	38.42361	2.67302	0.26781	0	0	3.06148	3.24867	0	0	0.51527
Healthy	35.15934	0	0	1.28005	0.07394	0	0	0.03904	0.01366	0	35.15934	0	0	0	0	0	0	0.04332	0	0.03904
Healthy	22.27209	0	0	0.23032	0.00254	0	0.05781	0.13451	0.17413	0.0396	22.27209	8.95456	0.18712	0	0	0	0	0	0	0.13451
Healthy	0.65685	0.6914	0	0.0582	0.49025	0	0	0.0223	0	0	0.65685	2.58941	1.20908	2.25608	0.13239	0	0.6914	1.13938	0.66408	0.0223
Healthy	6.95679	2.27129	0.39151	16.77604	1.19138	0	2.91725	0	0	0	6.95679	0.93829	1.62673	1.28553	0	0	2.27129	0	0	0
Healthy	10.2726	0	0	0.17892	0	0	0	0.11806	0	0	10.2726	8.27035	0.43785	0	0	0	0	0.06439	0.06978	0.11806
Healthy	6.52439	1.0791	0	0	0	0	0.02407	0	0	0	6.52439	0.71987	35.20264	5.52631	0.03307	0	1.0791	0.07299	0.00756	0
Healthy	17.31738	4.32512	0	0.27012	1.14247	0	3.67433	0.00776	0.25	0.04553	17.31738	17.86356	5.45267	0.00231	0	0	4.32512	0	0	0.00776
Healthy	0.38881	1.19682	0	0	0.13551	0	0	0.15215	0	0	0.38881	3.93808	0.0103	1.98079	43.9894	0	1.19682	0.10104	0.45505	0.15215
Healthy	3.13409	0.28366	0	0.05589	0.0128	0	0	0	0	0	3.13409	3.3535	0.13383	0	10.41	0	0.28366	1.33726	0.33848	0
Healthy	8.78889	0.7939	0	0.45117	0.40667	0	0	0.04004	0	0	8.78889	17.47799	2.43475	0.07926	0.10078	0	0.7939	0.05911	0.00124	0.04004
Healthy	1.4222	0	0	0	0.02247	0	0	0.00233	0	0	1.4222	1.67666	0.27682	0.17536	0	0	0	0.00889	0	0.00233
Healthy	4.3198	0.67999	0	0	0.17455	0	0	0.02894	0.00258	0	4.3198	1.132	5.34259	4.53107	7.09147	0	0.67999	1.06876	0.1094	0.02894
Healthy	38.69933	0.05868	0	0.01403	1.34329	0.02465	3.85188	0.00077	0	0	38.69933	3.44451	0.1995	0.10581	0	0.02465	0.05868	0.08893	0	0.00077
Healthy	24.09166	1.71217	0	0	0	0	0	0	0.92052	0	24.09166	18.91641	5.93464	11.7396	0	0	1.71217	0	0	0
Healthy	37.42848	0	0.00794	0	1.12109	0	0.83359	0	0	0	37.42848	0.23802	0	3.13501	0	0	0	0	0	0
Healthy	14.87514	0.20882	0	0	0.04651	0	0	0.02643	0	0	14.87514	1.42733	0.92934	0	0	0	0.20882	0.04979	0.05044	0.02643
Healthy	0.64545	0	0	0.01292	0	0	0	0	0	0	0.64545	1.45529	0	0	0.55019	0	0	0.08548	0	0
Healthy	20.44622	0.12154	0.01283	0.34776	0.14758	0	0	0.00714	0	0	20.44622	11.38099	0.61728	0.49975	0.38836	0	0.12154	0.08577	0.10707	0.00714
Healthy	11.94382	0	0	0.10367	0	0	0	0	0	0	11.94382	31.38395	0.01142	0.25985	0	0	0	0.24252	0	0
Healthy	2.68635	0	0	0	0	0	0	0	0	0	2.68635	0.55691	0	0	0	0	0	0.2224	0.03142	0
Healthy	32.47023	0	0	0	0	0	0	0	0	0	32.47023	7.30624	10.94462	6.32555	0	0	0	0	0	0
Healthy	51.48479	0.15766	0.18466	0.01797	0.12328	0.18576	1.22303	0.00932	0	0	51.48479	16.07999	0.53641	1.73318	0.09373	0.18576	0.15766	0.10294	0.08154	0.00932
Healthy	4.28305	0.09721	0	0	0	0	0	0.15579	0	0	4.28305	4.35091	0.49856	0.12041	8.71159	0	0.09721	0	0.55816	0.15579
