group	Bacteroidota	Proteobacteria	Desulfobacterota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	70.56182	0.38901	0.07482		70.56182	10.29137	4.3473	0.38901	0.14766	0.00552	0.0539	0.07482	
Healthy	64.07224	0.16367	0		64.07224	31.97915	0.45638	0.16367	0	0.04243	0	0	
Healthy	83.56988	1.5313	0		83.56988	3.07896	0.19576	1.5313	0.83505	0.05424	0	0	
Healthy	37.34462	2.8125	0.05661		37.34462	47.58903	0.31581	2.8125	0.00071	0.07124	0	0.05661	
Healthy	20.76636	0.04874	0		20.76636	46.68091	0	0.04874	0	11.24847	0	0	
Healthy	13.76706	0.11785	0.11021		13.76706	30.58217	2.18797	0.11785	0	0.11229	0	0.11021	
Healthy	46.47794	8.07395	0		46.47794	26.44987	0.95593	8.07395	0.02587	0.60722	0	0	
Healthy	49.42088	0.54305	0.01742		49.42088	32.10056	0.60735	0.54305	0	3.8281	0	0.01742	
Healthy	45.03545	0.02496	0.01113		45.03545	27.14749	0.43579	0.02496	1.81914	0	9.02686	0.01113	
D001943	42.50646	3.84381	0.00523		42.50646	11.03258	0.08139	3.84381	0.51073	0.07173	0	0.00523	
Healthy	7.28498	0.04642	0.01529		7.28498	67.15059	1.43563	0.04642	0	1.13999	3.78245	0.01529	
Healthy	81.27551	0.41786	0.066		81.27551	9.21369	0.60994	0.41786	0	0.13624	0	0.066	
Healthy	13.21373	10.18708	0.73443		13.21373	6.314	1.52229	10.18708	43.4397	0.17547	0	0.73443	
Healthy	53.02912	1.36805	0		53.02912	27.46917	0	1.36805	1.87694	0	0	0	
Healthy	12.07781	1.84029	0.02349		12.07781	63.16396	9.51811	1.84029	0	2.54003	0	0.02349	
Healthy	3.61561	0	0		3.61561	75.1473	21.2371	0	0	0	0	0	
Healthy	65.94451	0.11483	0.31288		65.94451	7.72351	0.39039	0.11483	10.5195	0.07386	0	0.31288	
Healthy	77.56292	0	1.50048		77.56292	9.8679	0.63218	0	0	0.30044	0.09708	1.50048	
Healthy	29.81266	0.04694	0		29.81266	39.85001	3.10523	0.04694	0	10.42887	0.67796	0	
Healthy	22.77193	3.91711	0		22.77193	22.14707	36.33299	3.91711	0	1.86789	0	0	
Healthy	76.63304	0.39918	0.01044		76.63304	6.85786	0.57632	0.39918	0	0.09797	0	0.01044	
Healthy	45.48252	1.00813	0		45.48252	24.07003	23.77029	1.00813	0	0.71156	0	0	
Healthy	10.42839	0.41904	0.00355		10.42839	52.22403	2.50785	0.41904	6.51919	2.37947	0	0.00355	
Healthy	66.78557	0.0414	0.08483		66.78557	10.76554	0.36374	0.0414	0.63345	0.03241	0	0.08483	
Healthy	44.35637	2.88335	0.01117		44.35637	38.38682	0.437	2.88335	0.00699	0.87812	1.82276	0.01117	
Healthy	50.42891	0.29535	0		50.42891	40.68505	0.33473	0.29535	0	0	0	0	
Healthy	63.94943	0.48382	0		63.94943	26.29315	0.25051	0.48382	0	0.12761	0	0	
Healthy	30.0198	2.9113	0		30.0198	4.44671	20.8616	2.9113	0	32.73426	0	0	
Healthy	61.69048	0	0		61.69048	10.27166	0.13008	0	0	0.24703	0	0	
Healthy	57.9843	0.81232	0		57.9843	26.52187	0	0.81232	0	2.60774	0	0	
Healthy	5.40398	0.09599	0.19699		5.40398	64.31868	2.64138	0.09599	0	0.96391	3.42295	0.19699	
Healthy	19.00735	0.6764	0		19.00735	41.09663	4.03175	0.6764	0	14.02652	3.06148	0	
Healthy	0	4.21267	0		0	35.21632	0.03904	4.21267	0	1.64296	0	0	
Healthy	45.86689	1.47275	0.01015		45.86689	27.91366	8.49309	1.47275	0	0.17983	0	0.01015	
Healthy	72.28686	0.02892	0		72.28686	19.18823	0	0.02892	0	0	0	0	
Healthy	22.0643	2.59823	0		22.0643	31.40078	0.36123	2.59823	0	0.29067	0	0	
Healthy	44.13677	0.2694	0.13413		44.13677	11.44158	6.21017	0.2694	7.1259	0.18017	0	0.13413	
D001943	81.94191	1.15129	0.10691		81.94191	7.87286	0.00488	1.15129	0.00195	0.07811	0	0.10691	
Healthy	15.68105	0.24799	0		15.68105	66.50543	0.63076	0.24799	0.00548	1.94967	0	0	
Healthy	92.17976	0.59653	0		92.17976	3.09498	0.20647	0.59653	1.8733	0	0	0	
Healthy	45.26359	0.35924	0.66408		45.26359	6.64172	1.92278	0.35924	0.13239	0.54845	0	0.66408	
Healthy	61.21567	7.45975	0		61.21567	13.51689	0.67161	7.45975	0	0.02539	0	0	
Healthy	18.16766	2.71161	0		18.16766	9.18061	3.89802	2.71161	0	21.27618	0	0	
Healthy	45.81514	3.19333	0.1381		45.81514	13.41177	2.844	3.19333	0	0.15116	0.07196	0.1381	
Healthy	63.72663	0.07952	0.06978		63.72663	18.60734	0.55591	0.07952	0	0.17892	0	0.06978	
