group	Bacteroidaceae	Rikenellaceae	Enterobacteriaceae	Burkholderiaceae	Marinifilaceae	Acidaminococcaceae	Selenomonadaceae	Desulfovibrionaceae	Pasteurellaceae	Lactobacillaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae
Healthy	14.09378	0.57703	0.03375	0.08772	1.447	0	0	0	0.12773	0	17.31738	0.03375	0.08772	0	0.27012	0	1.14247	0.0363	0.12773	0
Healthy	9.11642	1.20878	10.2181	0.28406	0	0	0	0.45505	0	0	0.38881	10.2181	0.28406	0	0	0	0.13551	0	0	0
Healthy	53.17229	9.70905	0	0.09557	1.07194	0.80514	0	0.33848	0	0	3.13409	0	0.09557	0	0.05589	0.80514	0.0128	0	0	0
Healthy	31.38157	10.36282	0.06381	2.51045	0.62491	0	0.03243	0.00124	0	0	8.78889	0.06381	2.51045	0	0.45117	0	0.40667	0	0	0
Healthy	54.35535	14.5598	0.06157	0.11666	0.60288	0	0	0	0	0	1.4222	0.06157	0.11666	0	0	0	0.02247	0	0	0
Healthy	29.52946	4.97954	0	0.27735	0	0	0	0.1094	0	0	4.3198	0	0.27735	0	0	0	0.17455	0.02424	0	0
Healthy	27.07981	1.25534	0	0.00491	1.44036	0	0	0	0.0175	0	38.69933	0	0.00491	0.02465	0.01403	0	1.34329	0.00465	0.0175	0
Healthy	16.90852	1.26871	0	0	0	0	0	0	0	0	24.09166	0	0	0	0	0	0	0	0	0
Healthy	39.98426	1.04566	0	0	0	2.18475	0	0	0	0.00794	37.42848	0	0	0	0	2.18475	1.12109	0	0	0.00794
Healthy	51.95529	7.21136	0	0.17416	0	0	0.00475	0.05044	0	0	14.87514	0	0.17416	0	0	0	0.04651	0	0	0
Healthy	92.81289	0	4.2841	0	0	0	0	0	0	0	0.64545	4.2841	0	0	0.01292	0	0	0	0	0
Healthy	33.16603	10.80823	0	2.54517	0.92049	0.00113	0	0.10707	0.01667	0.01283	20.44622	0	2.54517	0	0.34776	0.00113	0.14758	0	0.01667	0.01283
Healthy	51.54426	0	0.27184	2.10393	0	0	0	0	0.20553	0	11.94382	0.27184	2.10393	0	0.10367	0	0	0.52418	0.20553	0
Healthy	36.08333	11.04018	2.0968	0.34626	0	0	0	0.03142	0	0	2.68635	2.0968	0.34626	0	0	0	0	0	0	0
Healthy	24.83972	0.61666	0	0	0	0	0	0	0	0	32.47023	0	0	0	0	0	0	0	0	0
Healthy	6.66863	5.54226	0.09698	0.63021	0.39279	1.31009	0	0.08154	0	0.18466	51.48479	0.09698	0.63021	0.18576	0.01797	1.31009	0.12328	0.00396	0	0.18466
Healthy	26.98137	16.91879	0.02507	0.51464	1.30125	0	0	0.55816	0	0	4.28305	0.02507	0.51464	0	0	0	0	0.46112	0	0
Healthy	14.8924	4.64923	1.49435	0	0	1.07483	0	0	0	0	38.09029	1.49435	0	0.11191	0.34649	1.07483	0	0	0	0
D014607	68.03095	17.0826	0.16906	0.00661	0.82941	0	0.0546	0.01529	0	0.00729	6.5321	0.16906	0.00661	0	0	0	0	0	0	0.00729
Healthy	0.35748	0	0	0	0	0	0	0	0	0	6.73804	0	0	0	0.45334	0	0	0	0	0
Healthy	30.08327	0.94071	0	0	0	0	0	0	0	0	12.91336	0	0	0	0	0	0.53907	0	0	0
