group	Agathobacter_rectalis	Butyrivibrio_A_crossotus	Phocaeicola_dorei	Barnesiella_intestinihominis	Methanobrevibacter_A_smithii_A	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Anaerostipes_hadrus	Coprobacter_fastidiosus	Paraprevotella_clara	Barnesiella_intestinihominis	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Coprobacter_fastidiosus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0	0	0.29036	2.67909	0	1.58347	0.02937	0	0	0.15503	2.67909	0.02937	0	0	0	0.15503	0	0	0	0
Healthy	0.12807	0.00956	0.52076	3.83289	0	0.08101	3.90154	0.39887	0.00357	0.31873	3.83289	3.90154	1.28674	0	1.05475	0.31873	0.01042	0.00357	0.04023	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.15075	0	0	0	0	0	0	0
Healthy	0.33764	0	0.23769	0.76415	0	0.44748	0	0	0.01321	0.22886	0.76415	0	0	0	0	0.22886	0	0.01321	0.03031	0
Healthy	1.35048	0	0.72668	1.78582	0	1.0055	0.48446	0.17231	0.02264	0.70897	1.78582	0.48446	0.20733	0	0.22893	0.70897	0.20734	0.02264	0.0214	0
Healthy	0.81193	0	28.1758	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0
Healthy	3.22329	0	1.16128	5.12769	0	0.13488	0.07101	0	0	0	5.12769	0.07101	0.08157	0	0.01205	0	0	0	0	0
Healthy	0.68407	24.607	0.11532	0.39095	0.02465	0.23326	0.36709	0.00777	0	0	0.39095	0.36709	0.25761	0	0.36276	0	0.01155	0	0	0
Healthy	9.75385	0	1.21569	0	0	1.7945	2.07775	0	0	0	0	2.07775	0.53567	0	0	0	0	0	0	0
Healthy	0	29.4299	3.80322	0.7484	0	1.30835	1.01417	0.19982	0.49074	0.72559	0.7484	1.01417	0.43257	0	0.42913	0.72559	0.32629	0.49074	0.11626	0
Healthy	5.10639	0	0.01626	2.78245	0	1.87986	0	0	0	0	2.78245	0	0	0	0.01714	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	12.82	0	5.49765	1.35632	0	0.37782	0.16832	0.04337	0.07048	0	1.35632	0.16832	0.32221	2.84518	0.10267	0	0.10029	0.07048	0	0
D050177	12.7187	0	5.61078	0	0	1.65974	0.30846	0.13722	0	0.06053	0	0.30846	0.08857	0	0.03986	0.06053	0.10337	0	0	0
Healthy	9.55614	0	0	0	0	0.23798	0	0	0	0	0	0	0	0	0.00131	0	0	0	0	0.00319
Healthy	0	0	0	3.09629	0	0	0	0	0	0	3.09629	0	0	20.8589	0	0	0	0	0	0
Healthy	22.3249	0	16.8335	1.05966	0	1.33746	0.82993	0.14314	0	0	1.05966	0.82993	0.88487	0	0.89458	0	0	0	0	0
Healthy	7.50067	36.5836	0.12658	0.15532	0.18137	0.69388	0.1047	0.01909	0	0.79195	0.15532	0.1047	0.26133	0	0.09499	0.79195	0.00271	0	0.16692	0
Healthy	2.17687	0	1.1589	1.08183	0	0.82931	0	0	0	0	1.08183	0	0.01581	0.32892	0.01103	0	0	0	0	0
Healthy	11.9018	9.83402	0	1.28148	0.11191	1.55615	0	0	0	0	1.28148	0	0.83816	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.09504	0	0	0	0	1.72676	0	0	0	0	0	0	0.02511	0	0	0	0.04991	0	0	0.02374
Healthy	18.3483	0	0.25063	0	0	0	0.03732	0.00066	0	0	0	0.03732	0.00858	0	0	0	0.0054	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.73815	0	0.05446	0	0	3.69719	0	0	0.07552	0.7239	0	0	0	0	0	0.7239	0	0.07552	0.09654	0
Healthy	13.0256	0	0	1.3095	0.20726	0.57393	0.26443	0.66597	0	0	1.3095	0.26443	0.34818	0	0.45702	0	0.40163	0	0	0
Healthy	7.97763	0	0	0.78884	0	1.59286	0.17258	0.02036	0.03296	5.19566	0.78884	0.17258	0.18999	0	0.13819	5.19566	0.08509	0.03296	0.17314	0
Healthy	10.4535	6.79222	12.7261	0.42416	2.44739	1.99986	2.54507	0.08494	0	0	0.42416	2.54507	0.60366	6.37725	0.13797	0	0.23759	0	0	0
Healthy	1.4496	0	0.02352	1.96991	0.00825	0.26369	0	0	0	0.12392	1.96991	0	0.02905	0.02588	0.0541	0.12392	0	0	0.00524	0
Healthy	4.3973	43.5642	2.21468	1.05127	0.21268	3.21586	0.60179	0.04396	0.04616	0.15027	1.05127	0.60179	0.29519	0.00882	0.14741	0.15027	0.21148	0.04616	0	0
Healthy	1.80195	0	1.91942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	7.74604	0	0	0	0	2.43684	0.45317	0.33342	0	0	0	0.45317	0.4357	0	0.07974	0	0.01471	0	0	0
Healthy	1.10025	0	0.02851	2.89475	0	0.13283	3.01429	0.06616	0	0.10488	2.89475	3.01429	0.71833	0	0.23069	0.10488	0.06382	0	0.02173	0.00209
Healthy	1.25576	0	0.081	0	0	0.18626	0.0073	0	0	0.82104	0	0.0073	0	0	0	0.82104	0	0	0.07473	0
Healthy	38.7322	0	0	0.52702	0	0.81492	0.19956	0.0936	0.00196	0.05402	0.52702	0.19956	0.38947	0	0.49999	0.05402	0.14624	0.00196	0	0
Healthy	0.38192	0	0.13629	0.79806	0	0.45198	0	0	0.01366	0.23692	0.79806	0	0	0	0	0.23692	0	0.01366	0.01357	0
Healthy	7.33956	0	2.01135	0.83378	0.77623	2.25801	0.16639	0.13148	0.03313	0.18368	0.83378	0.16639	2.27022	0.21617	0.59673	0.18368	0.37734	0.03313	0.04315	0.00226
Healthy	7.07654	0	0	0	0	1.54296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	2.03364	0	0	0.01332	0	0.33205	0	2.03364	0.01332	0.04375	0	0	0	0	0.33205	0	0
Healthy	0.58116	12.3068	0	2.7135	0	1.50279	0.0201	0	0.10525	0	2.7135	0.0201	0.04747	0	0.08596	0	0	0.10525	0	0
Healthy	0.83227	0	0.63537	4.25885	0.07517	0.01342	0.39557	0.02834	0.03318	0	4.25885	0.39557	0.06503	0	0.00404	0	0.01721	0.03318	0	0
Healthy	0	0	0	0	0	0.39841	0.00928	0	0	0	0	0.00928	0	0	0	0	0.01594	0	0	0.0023
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21244
Healthy	2.04603	0	0	5.56533	0.17643	0.15912	0.04734	0	0.40654	1.18681	5.56533	0.04734	0.1027	0.06277	0	1.18681	0	0.40654	0.41199	0
Healthy	0.05495	0	1.06537	8.0343	3.08044	0.02034	0.01762	0.02022	0	0	8.0343	0.01762	0.11723	0	0.00505	0	0.03669	0	0	0.02238
Healthy	1.22578	0	0.13823	0	0	0.18489	0.01828	0	0	0.64304	0	0.01828	0.00329	0	0	0.64304	0	0	0.12832	0
Healthy	3.37257	0	0.75154	7.4203	0	1.63574	0.6216	0.03316	0.06417	0.84451	7.4203	0.6216	0.24514	0	0.50902	0.84451	0.04129	0.06417	0.21743	0
Healthy	10.1396	0	2.77604	0.11893	1.58479	5.24745	1.08564	0.15664	0	0	0.11893	1.08564	0.57152	0.04616	0.68709	0	0.01205	0	2.04582	0
Healthy	6.52916	0.36103	0	0.59791	0.42914	0	1.43622	0.40681	0.39662	0.18981	0.59791	1.43622	0.50349	0	0.05316	0.18981	0.22131	0.39662	0	0
Healthy	1.38735	0	0.94637	0	0	3.35396	0	0	0	0	0	0	0.11172	0	0	0	0	0	0.42302	0
D050177	15.3218	0.082	0.02037	7.25903	0.16537	0.97313	0.26731	0.27725	0.24612	0	7.25903	0.26731	0.17184	0	0.18613	0	0	0.24612	0	0
Healthy	0	0	0.12398	1.35529	0	0.4172	0.97938	0.53383	0	0	1.35529	0.97938	0.66603	0	0.70136	0	0.50929	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2032
Healthy	5.65203	0	3.7033	1.7098	0.18105	0.90242	1.09596	0.13132	0	0.9108	1.7098	1.09596	0.65927	0	0.4027	0.9108	0.00599	0	0.11731	0
D050177	3.00336	5.22873	3.00476	3.11892	0	0.38197	0.13799	0.02379	0	0	3.11892	0.13799	0.17191	1.06161	0.06079	0	0.05128	0	0	0
Healthy	2.82233	4.74036	2.03901	3.28842	0	0.38136	0.12368	0.0136	0	0	3.28842	0.12368	0.17479	1.07733	0.07206	0	0.0336	0	0	0
