group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.44587	0.22579	0.53306	0.26968	0.01693	0	0	0	0	0	0	0.00932	4.25365	0	1.77715	0	0	0	0	0
Healthy	0.0557	0.01556	0.01221	0	0	0	0	0	0	0	0	0	6.31044	0.2985	0.18227	0.76034	0	0.99432	0.29889	0.08478
Healthy	1.94333	1.87818	4.10101	0.67153	0	0	0	0	0	0	1.15056	0	2.39552	17.4742	0	0.06462	0	0	0	0
Healthy	0.56239	0.90362	0.32815	0.33065	0.03581	0.05886	0	0	0	0	5.14852	0	0	1.59247	0	0.11371	8.85718	0.59341	0.13187	0
D003093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95023	0	0	0	0	0
Healthy	0	0.06159	0.17257	0.09228	0	0	0	0	0	0	9.82837	0	6.35013	0	0	1.64924	0	0	0.12857	1.70662
Healthy	0	0.01801	0	0	0	0	0	0	0	0	17.8616	0	0	0.46944	0	2.90099	5.92629	0.75776	0.0276	0.01813
Healthy	0.0884	0.41483	0.08257	0	0	0	0	0	0	0	5.02799	0.54368	11.5958	0	4.76676	0.64943	0.29073	2.25825	0.00574	0
Healthy	0.04157	0.45183	0.24782	0.03044	0.04922	0.01853	0.01613	0	0.0036	0.0032	0	1.91855	0.22524	0	2.28599	16.5611	1.38231	2.31492	0	0
Healthy	0.91156	0	0.00032	0	2.12399	0.04834	0	0.01138	0	0.02991	0	0	0	0	0	0	0.0035	0	0	0.00315
Healthy	1.94611	0.51145	0.04304	0.55159	0.00638	0.33727	0.08609	0	0.01863	0.01774	5.43494	0	4.06746	0	0	0	0	0	0.00678	0.07731
Healthy	1.40044	0.17196	0.35495	0.67246	0.11637	0.27015	0	0.00317	0.13544	0	3.7792	0.87446	0	0	15.5655	0.39962	0	0.58748	0.00396	0
