group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0.06453	0.33602	1.37665	0	0	0.17847	0	0.04377	0	0.13412	0.06453	0.76527	0.04396	0	0.07178	0	0.13021	0	0.03988	0.02348
Healthy	0	23.11237	0.04487	0.03503	0	0.01862	0	0	0	0	0	1.42142	0	0	0	0	0	0	0	0
Healthy	0	28.77168	0.36631	1.45795	8.79663	0.20337	0.013	0.00721	0	0	0	0.22834	0	0	0.03836	0.23479	0	0.013	0	0
Healthy	0.01157	8.7859	2.12948	1.36225	0	0.0424	0.00147	0.04091	0	0	0.01157	0.76747	3.49856	0	0.5729	0	0.08154	0.00147	0.00814	0.00482
Healthy	0	2.49326	1.06216	0	0	0	0.01997	0.02904	0	0	0	0.00976	0.0105	0	0.02584	0	0.17583	0.01997	0	0
Healthy	2.41062	7.99269	0	1.54784	0.01433	0	0	0.04335	0.00464	0	2.41062	0.86068	0.29161	0.19254	0.2837	0.01462	0.01682	0	0	0
Healthy	2.1963	0	0	0	0	0	0	0	0.40462	0	2.1963	5.6824	2.37613	0.2624	4.65973	0	0	0	0	0
Healthy	0	0	0.42965	0	0	0	0.11156	0	0	0	0	0.06426	0.00425	0	0.01228	0	0.20572	0.11156	0.43633	0
Healthy	0	3.7531	0	0	0	0	0.03569	0	0	0	0	0.17702	0.87265	0	0.33867	0.04188	0	0.03569	0	0
Healthy	0	0.63812	0	0.9632	0	0	0	0	0	0	0	0.14695	0	0	0.06136	0.07776	0.15639	0	0	0.06952
Healthy	0	0.89891	0	1.07873	0	0	0	0	0	0	0	0.17457	0	0	0.08017	0.06544	0.23769	0	0	0.08949
Healthy	0	0.87139	0.04705	0.587	0	0	0	0	0.03996	0	0	0.22845	0.08798	0	0.27957	0.02787	0.081	0	0	0
Healthy	0	24.34596	0	0.79485	0	0.08903	0.38392	0	0	0	0	0.00558	0.02841	0	0.08851	0	0.1543	0.38392	0	0
Healthy	0	2.45469	0	1.04245	0	0.00312	0.05957	0	0	0	0	0.4621	0	0	0.04586	0	0.0264	0.05957	0	0
Healthy	0	17.06665	0.04178	0	0	0	0.02873	0.20722	0	0	0	0.08284	0	0	0	0	0.04991	0.02873	0	0
Healthy	0	0.15948	78.7042	0	0	0.04022	0.02799	0	0	0	0	0.67689	0.46926	0	0.11858	0	0.05913	0.02799	0.00113	0.0059
Healthy	0	0	0.36158	0	0	0	0.17411	0	0	0.0228	0	0.00667	0.12008	0	0.0048	0.04462	0.04607	0.17411	0.08828	0.00265
Healthy	0	0	2.27843	0	0	0	0.04242	0	0.24849	0	0	0.03479	0	0	0	0.62055	0.1339	0.04242	1.87455	0.56096
Healthy	0	0.23084	0	0	0	0	0	0	0	0	0	1.66588	0.57718	1.40591	0.72437	0	0	0	0	0
Healthy	0	0.61624	0	0	0	0	0	0	0	0	0	0.01181	0.60249	0	0.90537	0	0	0	0.05149	0
Healthy	46.7432	0.03482	0	0	0	0	0	0	0.01677	0	46.7432	1.953	0.79118	0	0.66445	0	0	0	0	0
Healthy	6.74233	15.1618	0	1.80602	1.42518	0.07651	0.00222	0.04203	0	0	6.74233	0.09344	0.9126	1.52523	0.29839	0.06709	1.53569	0.00222	0	0
Healthy	10.3598	2.85475	0.29883	0.70656	0.22733	0.01553	0	0.03232	0	0	10.3598	0.03854	0.13232	6.00307	0.1194	0.12678	0	0	0	0
Healthy	0.03398	19.6794	1.00992	0.79541	0	0.32215	0.0042	0	0.13386	0	0.03398	0.01505	0.00178	0	0.04908	0	0.16651	0.0042	0.00519	0.02914
Healthy	0	14.31076	0.1118	0	0	0.36706	0	0	0	0	0	0.0062	0.15205	0	0.32589	0	0.15037	0	0	0
Healthy	0	0.42444	0	0	0	0	0	0	0	0	0	0.10502	4.4287	0	2.75113	0	0.08746	0	0.00485	0.00396
Healthy	0	13.99989	0	1.94002	0	0	0.01784	0.09289	0	0	0	0.74578	0	0	0.23815	0	0.09268	0.01784	0	0
Healthy	1.16567	8.47845	0.61563	2.21731	0	0	0	0	0	0	1.16567	0.36996	0.31153	0	0.38828	0.01449	0.03116	0	0	0
Healthy	0	0	83.838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	20.26434	0	0.83263	0	0.0063	0.20827	0	0	0	0	0.1845	0	0	0.1208	0.11696	0.14498	0.20827	0	0
Healthy	0	0.01919	3.89743	0	0	0	0	0	0	0	0	0	0	0	0	0.00589	0.25159	0	0	0
Healthy	0	1.42524	0.09795	0	0	0	0.58962	0	0	0	0	0	0	0	0	0	0.08128	0.58962	0.38907	0.06906
Healthy	0	15.98344	0	0.67172	0	0	0	0.03182	0	0	0	0.01772	0	0	0	0	1.25366	0	0.02266	0
