group	Agathobacter	Collinsella	Enterocloster	Anaerobutyricum	Bariatricus	Holdemanella	Blautia_A	Dorea	Eubacterium_I	Coprococcus_A	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	7.28422	0.23323	0.03017	0.87265	0	0.43867	0.33867	0	0	0.09662	4.29314	7.28422	3.02639	2.44644	0.17702	0.03017	0.23323	0	0.33867	0
Healthy	0	0	0.3291	0	0.0036	0	0.06136	0	0	0	6.5334	0	0	0.45853	0.14695	0.3291	0	0.0036	0.06136	0
D009765	23.6834	2.22626	0.29602	0	0.96163	0.45686	0	0.26662	0.14408	0	19.9372	23.6834	2.65915	0.61125	0.2436	0.29602	2.22626	0.96163	0	0.26662
Healthy	0	0	0.40561	0	0	0	0.08017	0	0	0	8.03705	0	0	0.60269	0.17457	0.40561	0	0	0.08017	0
Healthy	16.7736	0	0.05507	0.08798	0.07222	0	0.27957	0.17733	0.06815	0.03205	12.2367	16.7736	2.56626	2.4417	0.22845	0.05507	0	0.07222	0.27957	0.17733
Healthy	1.1377	0.07736	0	0.02841	0	0	0.08851	0.07619	0.00264	0.01057	3.55185	1.1377	0.27637	6.11913	0.00558	0	0.07736	0	0.08851	0.07619
Healthy	0.77652	0.03571	0	0	0.0202	0	0.04586	0	0.00389	0	4.68188	0.77652	0	3.37977	0.4621	0	0.03571	0.0202	0.04586	0
D009765	0.1378	0	0.62683	1.00706	0.66579	0	0.3716	0.13655	0	0	0.66214	0.1378	5.80304	0.02064	0.52383	0.62683	0	0.66579	0.3716	0.13655
D009765	21.9695	27.9536	2.03367	0.01003	3.81916	0	0.40483	0.45848	0.73218	1.30865	0.80998	21.9695	1.67221	0.74378	0.1287	2.03367	27.9536	3.81916	0.40483	0.45848
Healthy	0	0	0.65934	0	0	0	0	0	0	0	4.42579	0	1.06684	0	0.08284	0.65934	0	0	0	0
Healthy	3.13531	1.46902	0.04138	0.46926	0	0	0.11858	0.02334	0	0	0	3.13531	0	0	0.67689	0.04138	1.46902	0	0.11858	0.02334
Healthy	0.99371	0	0.09799	0.12008	0	0	0.0048	0	0	0	6.63595	0.99371	1.5587	11.11801	0.00667	0.09799	0	0	0.0048	0
Healthy	14.3866	0	1.01141	0	0	0	0	0	0	0	9.28592	14.3866	0.0013	2.83763	0.03479	1.01141	0	0	0	0
Healthy	1.73722	3.88243	2.16324	0.57718	0.49361	11.3576	0.72437	0.9074	0	0.28184	24.6591	1.73722	11.9056	1.7108	1.66588	2.16324	3.88243	0.49361	0.72437	0.9074
Healthy	0	0.00219	0.09151	0.60249	0	0	0.90537	1.51285	0	0	16.0886	0	17.0343	1.29313	0.01181	0.09151	0.00219	0	0.90537	1.51285
Healthy	2.49676	0.10638	0.79534	0.79118	0.62703	0	0.66445	0.68194	0.46258	0.29771	2.59441	2.49676	0.55983	1.83208	1.953	0.79534	0.10638	0.62703	0.66445	0.68194
Healthy	0.55787	0	2.08235	0.9126	0.78451	0	0.29839	0	0.06265	0.3148	7.91572	0.55787	3.29959	0.7731	0.09344	2.08235	0	0.78451	0.29839	0
Healthy	0.56277	0.07817	0.50451	0.13232	0.27715	0.11145	0.1194	0.08105	0.00727	0.21873	4.06832	0.56277	0.10202	0.96719	0.03854	0.50451	0.07817	0.27715	0.1194	0.08105
Healthy	0.0614	0.96563	0.06154	0.00178	0	0.07177	0.04908	0.01672	0	0	1.13008	0.0614	0.68619	0.0468	0.01505	0.06154	0.96563	0	0.04908	0.01672
Healthy	0	1.24073	0	0.15205	0	0.1802	0.32589	0.07593	0	0	0.82616	0	5.08415	0.09596	0.0062	0	1.24073	0	0.32589	0.07593
Healthy	0.00314	0	10.72712	4.4287	5.67344	0	2.75113	0.02256	0	0	10.0244	0.00314	0	1.13283	0.10502	10.72712	0	5.67344	2.75113	0.02256
D009765	12.4101	2.93896	1.35233	0.84891	1.44409	0	0.7265	0.20974	0.09829	0.44774	6.88795	12.4101	7.92532	2.53953	1.04059	1.35233	2.93896	1.44409	0.7265	0.20974
Healthy	5.39703	0.38018	0.39147	0	0.02105	0	0.23815	0.04307	0	0	3.84259	5.39703	0.63357	1.93799	0.74578	0.39147	0.38018	0.02105	0.23815	0.04307
Healthy	1.25286	0.22602	1.36094	0.31153	0.59005	0.18984	0.38828	0.13667	0	0.09934	3.94491	1.25286	7.85793	0.08468	0.36996	1.36094	0.22602	0.59005	0.38828	0.13667
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.91598	0.02688	0	0	0	0	0.1208	0.02254	0.04133	0.023	3.79106	2.91598	0	7.49386	0.1845	0	0.02688	0	0.1208	0.02254
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D009765	39.0245	1.88832	0.2286	0.18651	0.48144	0.0588	0.55221	0.18206	1.76725	0.07957	4.2938	39.0245	2.9452	3.49323	1.10875	0.2286	1.88832	0.48144	0.55221	0.18206
Healthy	0	0	1.07384	0	0	0	0	0	0	0	1.07413	0	0	0	0	1.07384	0	0	0	0
Healthy	0.04479	0.11605	1.09337	0	0	0	0	0	0	0	0.74249	0.04479	0	0	0.01772	1.09337	0.11605	0	0	0
Healthy	3.07213	0.571	0.04741	0	0	0	0.0369	0.18785	0.16552	0	0.81966	3.07213	0	0.33464	0.03468	0.04741	0.571	0	0.0369	0.18785
Healthy	2.7855	0.14202	0.58052	0.9071	0.27043	0	0.57222	0.16507	0.11937	0	10.6545	2.7855	0.06967	1.21237	2.18279	0.58052	0.14202	0.27043	0.57222	0.16507
Healthy	8.97331	0.01375	0.47482	0.22621	0.15252	0	0.1772	0.09942	0.02382	0.06872	2.10815	8.97331	0.07529	2.08953	0.58787	0.47482	0.01375	0.15252	0.1772	0.09942
Healthy	3.48417	0	0.04264	0.02999	0.01423	0	0.03083	0	0	0	2.37578	3.48417	0.96809	1.06926	0	0.04264	0	0.01423	0.03083	0
Healthy	0.796	0.13383	0.00963	0	0.08845	0	0.00565	0.06279	0.00918	0	0.93393	0.796	0.65772	0.00922	0.26184	0.00963	0.13383	0.08845	0.00565	0.06279
D009765	4.29567	2.08858	2.88593	1.81322	2.12817	1.26657	1.52439	1.23159	1.72227	0.76272	1.49575	4.29567	3.53868	3.72022	0.48892	2.88593	2.08858	2.12817	1.52439	1.23159
Healthy	12.8683	0.24	0.14049	0.42331	0.19765	0	0.29976	0.27478	0.03984	0.11152	17.91	12.8683	2.3538	5.82136	0.00798	0.14049	0.24	0.19765	0.29976	0.27478
Healthy	0.30974	0	0.30085	0.4936	0.50109	2.64033	0.13302	0.1677	0	0	0.12429	0.30974	0	0.06896	0.31804	0.30085	0	0.50109	0.13302	0.1677
Healthy	5.80391	0.23481	0.30949	0.32437	0.62476	0.15335	0.42806	0.51624	0.10661	0.23379	5.23795	5.80391	1.63394	1.68837	1.24791	0.30949	0.23481	0.62476	0.42806	0.51624
Healthy	3.5014	0.17433	0.36316	0.18274	0.5826	1.06366	0.21301	0.2229	0	0.07185	2.62326	3.5014	5.97462	0.5252	0.67365	0.36316	0.17433	0.5826	0.21301	0.2229
Healthy	12.1476	0	0	0	0	0	0	0	0	0	62.9997	12.1476	0	0	0	0	0	0	0	0
Healthy	0.33691	0.24373	0.04387	0	0.05664	0	0	0	0	0	3.43183	0.33691	0	1.37492	0.27629	0.04387	0.24373	0.05664	0	0
Healthy	1.98558	0.63218	0.37487	0	0.04993	0.19497	0	0.00989	0	0	1.84929	1.98558	0.00984	0.52164	1.10457	0.37487	0.63218	0.04993	0	0.00989
Healthy	7.84389	0.3371	0.28899	1.40782	0	0.86835	0.2328	0.01748	0	0.19834	5.51072	7.84389	1.33345	2.89841	0.03261	0.28899	0.3371	0	0.2328	0.01748
Healthy	0.41305	1.97032	1.12486	3.00802	0.79959	0	0.39242	0.04477	2.57306	0	0.17685	0.41305	13.6181	9.34309	0.04471	1.12486	1.97032	0.79959	0.39242	0.04477
Healthy	8.17556	0	0.98337	0.15216	0.81399	0	1.00121	0	1.21381	0	6.71157	8.17556	4.71234	1.55626	0.11433	0.98337	0	0.81399	1.00121	0
Healthy	23.3399	0.31569	0.41058	0.39885	0.51643	0	0.12754	0.13158	0.14387	0	5.37472	23.3399	6.0794	1.56946	0.15385	0.41058	0.31569	0.51643	0.12754	0.13158
Healthy	0.96796	0	0.07476	0	0.02666	1.5817	0	0	0	0	0.53665	0.96796	4.21521	1.6611	5.77681	0.07476	0	0.02666	0	0
Healthy	0	3.24867	2.01212	5.83452	0.26241	0	2.84013	2.54844	0.55361	0.59075	2.67302	0	0	5.87948	0.25898	2.01212	3.24867	0.26241	2.84013	2.54844
Healthy	0	0	0.44703	0	0	0	0	0	0	0	0	0	0	0	0.35605	0.44703	0	0	0	0
Healthy	0	0	1.09541	0	0	0	2.43898	0	0	0	8.95456	0	0	0	1.25114	1.09541	0	0	2.43898	0
D009765	5.25399	0	0.62551	0.48076	0.83209	7.41206	0	0.08878	0	0	0	5.25399	0.21483	4.45494	0.64194	0.62551	0	0.83209	0	0.08878
Healthy	0	0.6914	0.08203	0.08323	0	0.12129	0.13568	0.01852	0	0	2.46552	0	2.11964	0	0.1005	0.08203	0.6914	0	0.13568	0.01852
Healthy	2.0672	2.27129	0.19451	0.86242	0	1.19138	0.40834	0.79977	0.26117	0	0.77987	2.0672	1.28553	1.95372	0.36132	0.19451	2.27129	0	0.40834	0.79977
Healthy	0.02483	0	0.11559	0.27006	0.33604	0	0.23597	0.17601	0.33744	0.05872	8.27035	0.02483	0	1.08866	1.07663	0.11559	0	0.33604	0.23597	0.17601
Healthy	0	1.0791	0.05055	0.02937	2.12341	0	0	0	0	0	0.71987	0	5.52631	1.58347	2.25541	0.05055	1.0791	2.12341	0	0
Healthy	0.12807	4.32512	3.12286	3.90154	0.98779	1.13844	1.28674	1.05475	0.55074	0.07321	13.8765	0.12807	0.00231	4.14852	0.50233	3.12286	4.32512	0.98779	1.28674	1.05475
D009765	3.90311	5.27964	1.50798	1.56184	0.22089	0	0.96668	0.15728	0	0	5.34283	3.90311	3.94719	0.53721	1.85834	1.50798	5.27964	0.22089	0.96668	0.15728
Healthy	0	1.19682	0.08032	0	0	0	0.15744	0	0	0	0.11471	0	1.95838	0	0.00737	0.08032	1.19682	0	0.15744	0
Healthy	0.33764	0.28366	0.04111	0	0.09443	0	0	0	0	0.02139	3.3535	0.33764	0	1.42881	0.31177	0.04111	0.28366	0.09443	0	0
D009765	26.0605	1.61696	0.53419	0.14979	1.53723	1.17628	0.11804	0.44083	0.37426	0.27426	17.0847	26.0605	3.50158	0.78112	0.49896	0.53419	1.61696	1.53723	0.11804	0.44083
Healthy	1.35048	0.7939	0.28181	0.48446	0.36895	0.40667	0.20733	0.22893	0.10424	0.22769	16.6374	1.35048	0.07926	1.89802	0.41848	0.28181	0.7939	0.36895	0.20733	0.22893
Healthy	0.81193	0	0.01072	0	0	0	0	0.00637	0	0	1.67666	0.81193	0	0	0.03975	0.01072	0	0	0	0.00637
