f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	1.50960986887521	0.826166189386517	0.822214515000215	1.14014147204914	-0.299330889371745	0.365081579699462	-1.75300930075845	-5	-0.703576151496223	-1.24192117775039	-5	-1.68131073005225	-0.528605596307167	-0.812310106474816	-1.48558507941963	-2.03715731879876	-5	-5	-0.413401444321602	-0.726790316599669	-5
Healthy	1.55211106172449	1.33867697157123	0.594813380000131	0.7957702138193	-0.587875593826683	-0.00465882137147871	-0.251145532354061	-5	-1.09436599867305	-1.01475320919714	-5	-5	-0.753501419204199	-1.03123695180275	-5	-2.18708664335714	-5	-5	-5	-1.15187248943213	0.310272618148416
Healthy	1.53531349193017	1.2825602605898	1.04842587653765	0.407458890457392	-0.328716051374985	-0.0736112448204073	0.0209162281357402	-5	-0.47336353939984	-0.997315687010271	-5	-1.2958494831602	-5	-5	-1.30980391997149	-1.38658105496543	-1.57528166266843	-5	-5	-5	-5
Healthy	1.44856611752775	0.969957045245668	0.604968687935136	0.249310892365619	0.768325030057909	-0.340958972003924	-1.78041547378575	-5	-0.0396719494698569	-2.04383156952464	-5	-5	-0.838242804738273	-2.91721462968355	-1.68319124794698	-1.6267201067225	-5	-5	1.01102501303179	-5	-5
Healthy	1.59364864015416	1.13142200053863	0.650962842283374	0.794343722588347	0.749569366032057	0.51923059217666	-1.05359686610095	-5	0.157099998467163	-2.03574036980315	-5	-2.70774392864352	-1.91080163319485	-1.23121395309199	-5	-0.551154604488859	-1.87095494011204	-5	-5	-0.276363751548955	-3.09691001300806
Healthy	1.74614522573484	0.464564059655464	0.326407554571499	0.937929925210487	-0.181859917724294	0.017016635343629	-5	-5	-0.844998163768747	-1.13745123047521	-5	-1.63808338133136	-5	-1.10325338439259	-0.627972207342595	-5	-5	-5	0.795363420938209	-5	-5
Healthy	0.955752192332405	-0.7247577694441	-2.43297363384094	-5	1.72695611069928	-5	0.0871458327523663	-5	-0.920782564253433	1.211283704902	-5	-0.715185902618769	-5	-0.879919865870547	0.505247683586904	-5	-5	-0.475694771155077	-5	-5	-1.77211329538633
Healthy	1.42186919318945	1.11621643709677	1.00051997338741	0.920074256594067	-0.00137890022102005	0.314941086692983	-0.721863993284522	-5	-5	-5	-5	-5	-0.774354787024547	-1.05276239212933	-5	-5	-5	-5	-5	0.459439232218998	-5
Healthy	1.93358142540017	0.0459094670350095	-0.0436634570789661	-5	-5	-5	-0.63339028960757	-5	-0.81121208736253	-0.423232628157107	-5	-5	-5	-2.59859945921846	-1.46495918674884	-5	-5	-5	0.521718499145115	-5	-5
D037841	1.66566249565988	1.04500359624496	-0.0808172709574994	-0.330552943597457	0.0335564363089934	-0.171623711732703	-0.847497619538874	-5	-5	-0.616076971047839	-5	-5	-5	-0.871439193440679	-5	-0.895512888687605	-2.99139982823808	-1.94846160948467	-5	-5	-5
