group	Enterobacterales	Lactobacillales	Erysipelotrichales	Actinomycetales	Veillonellales	Coriobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Verrucomicrobiales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	1.49435	0.34649	0	0.40697	0	1.54102		22.14347	38.09029	0.40697	1.49435	0	0	0	0	1.54102	0
Healthy	0	0.45334	0	25.6546	0	1.31584		0.35748	6.73804	25.6546	0	0	0	0	0	1.31584	0
Healthy	0	0	0.53907	0	0	0		80.38068	12.91336	0	0	0	0	0	0.53907	0	0
Healthy	0	0	0.1903	0.19456	0	3.69281		20.33218	21.6924	0.19456	0	0	19.023	0.00056	0.1903	3.69281	0
Healthy	55.0788	0.00765	0	7.18306	0.03501	0.0026		28.87276	0.0105	7.18306	55.0788	0.03501	0.00039	0	0	0.0026	0.23549
Healthy	0.57325	0	1.18442	10.5799	0	0.78351		38.75978	14.063	10.5799	0.57325	0	11.9695	0	1.18442	0.78351	0
Healthy	0.91179	0.7126	1.65472	0.58931	0.46493	0.4209		29.53286	41.68406	0.58931	0.91179	0.46493	2.81759	0.06954	1.65472	0.4209	4.42379
Healthy	33.3132	0	0.73283	0	0	0.00433		33.23081	11.91339	0	33.3132	0	0	0	0.73283	0.00433	0
Healthy	5.37164	0.02733	1.85933	0.13293	0	0		41.87328	26.02128	0.13293	5.37164	0	0.49181	0	1.85933	0	0
Healthy	0	0.04903	0.17372	0.74931	0	0.64273		69.54234	3.89694	0.74931	0	0	0	2.99685	0.17372	0.64273	0
Healthy	0.09139	0.34273	0	0	0.38925	0		28.72289	57.26534	0	0.09139	0.38925	0	0.03267	0	0	0
Healthy	1.15581	0	0	0.1845	11.06571	0		65.70584	2.30841	0.1845	1.15581	11.06571	0	0	0	0	0
Healthy	0.05193	0.0318	0.02408	0.0008	0.21678	0.47668		7.75441	64.4011	0.0008	0.05193	0.21678	0	0	0.02408	0.47668	0
Healthy	26.87573	1.51516	0.04376	2.78263	0.01516	1.11166		25.16801	11.56562	2.78263	26.87573	0.01516	0.00032	0	0.04376	1.11166	0.20169
Healthy	0	0	0.00174	1.21132	0	0.1628		75.927	1.72941	1.21132	0	0	3.84496	0.7445	0.00174	0.1628	0
Healthy	0.76155	0.4968	0.00415	2.04031	0.13564	0.59299		27.96087	46.51861	2.04031	0.76155	0.13564	0.79342	0.06486	0.00415	0.59299	0.1088
D065626	2.44624	0.67079	0.17006	3.00284	0.00915	0.15953		3.14315	14.35127	3.00284	2.44624	0.00915	0.05303	0.08128	0.17006	0.15953	0
Healthy	0	0.05237	0.00808	0.11984	0	0.22282		66.09812	3.10588	0.11984	0	0	10.3809	0.11834	0.00808	0.22282	0
Healthy	2.10237	8.14983	0.13303	1.03523	0.2242	1.03937		25.51014	25.5392	1.03523	2.10237	0.2242	0	0.20459	0.13303	1.03937	0.07247
Healthy	0	0	0	0	0	1.79807		18.16758	12.06107	0	0	0	0	0	0	1.79807	0
Healthy	0.09832	0.03648	0.03735	0.12056	0	0.03568		78.57875	0.68422	0.12056	0.09832	0	0	0.0657	0.03735	0.03568	0
Healthy	0	0	0.06825	0	0	0.12192		64.93079	18.72938	0	0	0	0	1.07337	0.06825	0.12192	0
Healthy	9.39904	0.01927	0.8809	6.99607	0.22665	0.65339		39.03604	5.48461	6.99607	9.39904	0.22665	0.3477	0.21451	0.8809	0.65339	0.0581
Healthy	0.38656	0.20842	0.02311	0	3.58941	0.13178		88.7654	1.21892	0	0.38656	3.58941	0	0.11966	0.02311	0.13178	0
Healthy	2.90482	0.07356	0.01034	0	0	0		79.91048	11.90134	0	2.90482	0	0	0.07877	0.01034	0	0
Healthy	0.13452	0.00636	0.02486	0.57014	0.38466	0.1822		64.14272	6.58367	0.57014	0.13452	0.38466	0	1.39314	0.02486	0.1822	0
Healthy	5.3394	0.01559	0.51579	0.01179	2.03817	0.0593		38.36526	3.07898	0.01179	5.3394	2.03817	1.4567	0.03034	0.51579	0.0593	0.00271
Healthy	0.00402	0	0	1.06722	0	0.1128		80.84169	1.71238	1.06722	0.00402	0	3.57301	0.70225	0	0.1128	0
Healthy	0.00781	0.75851	1.03495	1.57348	0.01218	0.29588		25.1195	13.19326	1.57348	0.00781	0.01218	0.69873	0.88008	1.03495	0.29588	0.08429
Healthy	0	1.65013	7.32767	0	0	0.03785		55.82578	23.45088	0	0	0	0.01236	0.08336	7.32767	0.03785	0.08412
Healthy	1.88746	0	0	29.09458	0	1.00364		27.29133	12.8256	29.09458	1.88746	0	1.26245	1.38138	0	1.00364	0
Healthy	0	0	0.43276	0	0	0		78.2146	11.33591	0	0	0	0	0	0.43276	0	0
Healthy	1.46273	0.43462	0.07146	1.11818	0	0.42331		64.69453	17.3938	1.11818	1.46273	0	0	0.56976	0.07146	0.42331	0.00613
Healthy	2.74832	0.09803	0.00254	0	0	0		79.61067	11.91696	0	2.74832	0	0	0.06262	0.00254	0	0
Healthy	0.3539	0.75909	0	0.05685	6.72967	0		46.96026	28.14546	0.05685	0.3539	6.72967	0.6796	0	0	0	0.04315
