group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0.00195	0	0	0	0	0	0	0	0	0	6.74233	3.29959	0.10558	0.09344	0.9126	0.29839	0.00222	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	10.3598	0.10202	0.16735	0.03854	0.13232	0.1194	0	0	0	0
Healthy	0.04975	0	0.00519	0.01167	0.02914	0	0	0	0	0	0.03398	0.68619	2.88154	0.01505	0.00178	0.04908	0.0042	0.00519	0.02914	0
D015212	1.89109	0.30403	0.03135	0.08027	0.01139	0.04829	0.05495	0.00448	0.02541	0.00138	0.00061	0	0	3.76436	1.13404	2.82085	0.28709	0.03135	0.01139	0.02382
Healthy	0.29215	0	0	0	0	0.28653	0	0	0	0	0	5.08415	1.9336	0.0062	0.15205	0.32589	0	0	0	0
Healthy	0.22287	0.13052	0.00485	0.52614	0.00396	0.0152	0.14715	0.01785	0.00992	0.0011	0	0	0	0.10502	4.4287	2.75113	0	0.00485	0.00396	0.00163
Healthy	0.02321	0	0	0	0	0	0	0	0	0	0	0.63357	0	0.74578	0	0.23815	0.01784	0	0	0.03156
Healthy	0	0	0	0	0	0.032	0	0	0	0	1.16567	7.85793	3.19204	0.36996	0.31153	0.38828	0	0	0	0
Healthy	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.09358	0	0	0	0	0	0	0	0	0	0	0	2.48727	0.1845	0	0.1208	0.20827	0	0	0
Healthy	0.00367	0	0	0.02798	0	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0
D015212	0.64422	0.00389	0	0.00067	0	0.00614	0	0.0024	0.0299	0	0	2.79864	0	0.6692	0.1385	0.33604	0	0	0	0.00717
Healthy	0	0	0.38907	0	0.06906	0	0	0	0	0	0	0	1.99692	0	0	0	0.58962	0.38907	0.06906	0
Healthy	0	0	0.02266	0	0	0	0	0	0	0	0	0	3.44508	0.01772	0	0	0	0.02266	0	0
Healthy	0.25024	0	0	0	0	0.26045	0	0	0	0	0	0	12.6988	0.03468	0	0.0369	0	0	0	0
Healthy	0	0	0.02605	0	0	0	0	0	0	0	0	0.06967	4.55688	2.18279	0.9071	0.57222	0	0.02605	0	0
