group	Enterobacteriaceae	Veillonellaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Micrococcaceae		Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	0	0.08778	0.10779	0	0		0.6796	0	0.18105	0	0	0	0	0.08778	0.3539	0.04315
Healthy	0.07617	0.01651	0	0	0		0	1.2693	0	0.27859	0.26395	0.1551	0	0.01651	0.17004	0.03226
Healthy	0	0	0	0.56566	0		0	0.0624	0.02876	0.14886	0	0	0.56566	0	0	0
Healthy	0.04198	0	0	0	0		0	0.07281	0	0.05215	0	0.0243	0	0	0	0
Healthy	0	0.0072	0	0	0		0.6598	0.05142	0	0	0	0	0	0.0072	0.03656	0
Healthy	0.13218	0.00213	0	0	0		0	0.0078	0.1953	1.20806	0	0.00486	0	0.00213	0	0
Healthy	0.20678	0.0216	0	0	0		0	0.0461	0	0.06525	0	0	0	0.0216	0.08566	0.33346
Healthy	0	0	0	0	0		0	0.11856	0	0.06576	0	0	0	0	0	0
Healthy	2.24934	0	0	0	0		0	0.38935	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.95059	0.06109	0	0.61175	0		0	0	1.04804	2.23707	1.78486	11.72467	0.61175	0.06109	0	0.62159
Healthy	0	0.00798	0	0	0		0	5.13042	0	0.03354	0	0.01058	0	0.00798	0.06129	0
Healthy	0	0	0	0	0		0	5.22325	0	0.021	0	0.04521	0	0	0.08635	0
Healthy	6.53906	0	0	0	0		0.79293	1.43392	0	0.02368	0	0	0	0	0	0
Healthy	0	0.15883	0	0	0		5.96611	2.31024	0	0	0.26823	0.07757	0	0.15883	0.80726	0
Healthy	0	0	0	0	0		0.05654	2.72043	0	0.00925	0	0	0	0	0	0
Healthy	2.62146	0.56786	0	0.12614	0		0	0	0	0	0	0.19375	0.12614	0.56786	0.43647	0
Healthy	0	0	0	0	0		0	0.18887	0	1.21596	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0.00816	0	0	0		0	5.04198	0	0	0	0.02511	0	0.00816	0.10077	0
