group	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Streptococcus_sp001556435	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Ruminococcus_C_callidus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0.00483	0.01668	0.00139	0.00977	0	0	0.00512	0	0.00709	0	0.45317	0.4357	0.01668	0	0.07974	0	0.01471	0	0	0
Healthy	26.8642	1.19925	0.04336	0.02066	0.33886	0	0.00281	0.01325	0.00183	0.02999	3.01429	0.71833	1.19925	0	0.23069	0.10488	0.06382	1.76167	0.02173	0.00209
Healthy	0	0	0	0	0	0	0	0	0	0	0.0073	0	0	0	0	0.82104	0	0.03379	0.07473	0
Healthy	0.18994	0.03093	0.06803	0	0.01117	0	0.02274	0.00101	0	0.00037	0.19956	0.38947	0.03093	0	0.49999	0.05402	0.14624	0.30472	0	0
D065626	2.01774	0.0759	0.15392	0.68739	0.32298	0.2092	0	0	0.14449	0.0512	0	0.00674	0.0759	0	0	0	0.02451	0	0	0.07824
Healthy	0	0.05237	0	0	0	0	0	0	0	0	0	0	0.05237	0	0	0.23692	0	0	0.01357	0
Healthy	1.82775	6.23177	1.33864	0.27636	0.01793	0.1951	0.06246	0.02079	0	0.00088	0.16639	2.27022	6.23177	0.21617	0.59673	0.18368	0.37734	0	0.04315	0.00226
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.09832	0.03116	0.00532	0.08189	0.10545	0	0	0	0	0	0.01332	0.04375	0.03116	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.0201	0.04747	0	0	0.08596	0	0	0	0	0
Healthy	9.34072	0.01656	0	0.00957	0.08739	0	0	0.00982	0.00059	0.00513	0.39557	0.06503	0.01656	0	0.00404	0	0.01721	0	0	0
