group	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Gammaproteobacteria	Verrucomicrobiae	Bacilli	Methanobacteria	Desulfovibrionia	
Healthy	2.63804	0		26.65492	51.16439	2.63804	0	5.52076	0.49771	0	
Healthy	5.77806	0		70.48564	11.76986	5.77806	0	0.01705	0	0	
Healthy	0	0		56.2617	36.05002	0	0	0	0	0	
Healthy	7.16181	0		58.09122	17.22405	7.16181	0	0.01666	0	0	
D001528	1.09727	0.86982		67.09634	12.805	1.09727	0.0118	0	0	0.86982	
Healthy	1.01497	0		51.67547	21.97814	1.01497	0	13.79911	0	0	
Healthy	0.07492	0		40.21055	37.46857	0.07492	0	0.0209	0	0	
Healthy	1.03159	0.14777		20.97575	39.34834	1.03159	0	0.03143	0	0.14777	
Healthy	2.9757	0.55153		64.56848	27.58574	2.9757	0	0.05412	0	0.55153	
Healthy	6.33312	0		69.88918	10.26022	6.33312	0	0.5783	0	0	
Healthy	1.28372	0		0.04408	0.00731	1.28372	0	5.73863	0	0	
Healthy	0.08661	0.02767		58.29294	25.13019	0.08661	0.95693	0.16256	0	0.02767	
Healthy	4.27323	0		0.01473	14.02966	4.27323	0.00118	1.22604	0	0	
Healthy	0.01982	0.03927		64.8518	9.7834	0.01982	0.83121	0	0	0.03927	
Healthy	0.10498	1.61864		41.95701	10.83038	0.10498	17.199	0	0	1.61864	
D001528	0.56499	0.06726		64.81464	11.10481	0.56499	0	0.07187	0	0.06726	
Healthy	79.37352	0		1.9337	5.25678	79.37352	3.52859	0.13494	0	0	
Healthy	0.37601	0		68.21432	18.4072	0.37601	0.39632	0	0	0	
Healthy	0.19767	0		69.01303	7.64376	0.19767	0	0.27498	0	0	
Healthy	2.0449	0		63.27551	28.57554	2.0449	0	0.29747	0	0	
Healthy	0	0		48.7416	3.15258	0	0	0	0	0	
Healthy	8.99744	0		50.98894	30.75896	8.99744	0	0	0	0	
Healthy	24.79156	0		28.85223	1.72361	24.79156	0	0.3683	0	0	
Healthy	0	0		18.80818	56.05054	0	0	12.13916	0	0	
Healthy	1.47449	0.00203		58.72881	16.26935	1.47449	0.64191	0.0557	0	0.00203	
Healthy	3.29189	0		38.48591	20.99596	3.29189	3.66082	2.66476	0	0	
Healthy	0.06974	0		7.42578	43.5593	0.06974	0	1.18962	0	0	
Healthy	0	0		68.09654	21.61926	0	0.06765	0	0	0	
Healthy	8.85496	0.04203		43.75014	22.89486	8.85496	3.04604	0.00195	0.57278	0.04203	
Healthy	0.49793	0.02619		29.64285	19.84158	0.49793	1.26041	0.47247	0	0.02619	
Healthy	1.89139	0.03232		17.56695	41.40638	1.89139	1.83008	0.70186	0.1514	0.03232	
Healthy	1.01412	0.40307		67.09431	4.3901	1.01412	0.00437	0.34257	0	0.40307	
Healthy	0.1118	0.80581		31.28267	8.00504	0.1118	0.51673	0.85543	0	0.80581	
Healthy	0	0		20.36905	36.32618	0	25.358	0.81985	0	0	
Healthy	0.87177	0.1864		31.96207	40.10315	0.87177	0.08939	0.53851	0	0.1864	
Healthy	0.21568	0		29.88316	37.86333	0.21568	0.09638	2.02063	0.83654	0	
Healthy	0.29636	0.11779		56.71029	11.99392	0.29636	0	0.23359	0.17766	0.11779	
Healthy	5.94144	0		68.24682	10.23874	5.94144	0	0.53944	0	0	
Healthy	0.16545	0		80.64045	1.74591	0.16545	0	0	0	0	
Healthy	0.01784	0.09289		67.23166	15.69856	0.01784	0.53875	0.02321	0.0264	0.09289	
Healthy	1.76516	0.29804		42.56931	18.33249	1.76516	5.195	1.26624	0.50179	0.29804	
Healthy	86.41751	0		0.05164	0.00094	86.41751	0	0.22892	0	0	
Healthy	5.29922	0.16147		61.38019	25.54598	5.29922	0	0.16088	0	0.16147	
Healthy	10.19161	0.60646		13.55565	6.32645	10.19161	44.3916	0.13626	0	0.60646	
Healthy	4.54672	0		0.01931	0.27516	4.54672	0.00841	3.62578	0	0	
Healthy	2.15726	0.03459		26.91606	42.90183	2.15726	12.5439	0.11076	0.00886	0.03459	
Healthy	2.2408	0		30.46926	21.25992	2.2408	0	0.40769	0	0	
D001528	1.44024	0.38276		40.828	12.50058	1.44024	0	0.31717	0	0.38276	
Healthy	0.68757	0		92.92764	2.87818	0.68757	1.66666	0	0	0	
Healthy	0.11326	0.03182		43.38378	3.35109	0.11326	0	0	0	0.03182	
Healthy	0.29207	0.01125		56.61767	5.29405	0.29207	0	0.25024	0	0.01125	
Healthy	2.18888	0		13.19024	6.25322	2.18888	0	0.08299	0	0	
Healthy	0.47565	0.01352		20.1959	42.38918	0.47565	0	0.4464	0	0.01352	
Healthy	3.38383	0.11973		22.26482	36.57424	3.38383	0.87286	0.35671	1.43462	0.11973	
Healthy	0.59902	0.20998		52.15726	23.98365	0.59902	1.05654	0.10518	0	0.20998	
Healthy	0.11734	0		61.05334	28.72613	0.11734	0.01073	0.00441	0	0	
