s	Clostridium_A_leptum	Enterocloster_sp900540675	Clostridium_Q_symbiosum	Muricomes_sp000509105	Bifidobacterium_sp002742445	Enterocloster_clostridioformis_A	Anaerotruncus_colihominis	Enterocloster_citroniae	Enterocloster_sp000155435	Longicatena_innocuum	Bacteroides_uniformis	Alistipes_putredinis	Phocaeicola_vulgatus	Phocaeicola_dorei	Bacteroides_ovatus	Lachnospira_eligens_B	Barnesiella_intestinihominis	Bacteroides_cellulosilyticus	Alistipes_shahii	Alistipes_obesi	Odoribacter_splanchnicus	Parasutterella_excrementihominis
Healthy	-5	-5	-5	-5	-2.2020403562628	-5	-5	-5	-5	-5	0.537714600062506	0.711683247678272	0.708080810468231	-1.40793432956775	0.991553888591571	-0.832446378803175	-5	-5	-0.944163148981595	-0.688542831618969	-0.226637820770666	-0.879821061528885
Healthy	-0.219027778954588	-1.4367562988596	-5	-5	-5	-5	-5	-5	-5	-5	1.42985091338422	0.992481939496354	-5	1.41480644660159	0.375961574885145	-5	-5	-5	0.21728649275249	-5	-5	-0.890826578574528
Healthy	-5	-5	-5	-5	-5	-5	-5	-2.30891850787703	-5	-5	1.21337721940907	1.25192060251458	1.03692058898733	-0.810088790307194	0.2316479611536	-5	0.251956829472245	-0.0248992086423592	0.462547728802664	-0.0172540169524582	-0.120462592373718	-1.55893359336074
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0191516000238053	0.70139526901392	0.97639583661188	0.101647422166451	-0.706438577324199	-1.21709759402536	-0.0477404634091795	0.842006674984557	-0.18746096602679	-0.967743974109547	0.353773942046363	-2.24033215531037
Healthy	-1.26217149410422	-5	-3.38721614328026	-2.83564714421556	-5	-5	-2.6458915608526	-5	-5	-2.49349496759513	0.930282057987578	-5	0.467994137917604	-1.64531544604527	-0.135103446054885	0.205393852614679	-5	-5	1.21908944179182	-0.954794413964943	0.364537863140856	-5
Healthy	-5	-0.987500222461691	-0.528517593372337	-0.975309137644569	-5	-0.827367883313707	-5	-5	-1.81730009666396	-1.52403841080758	-5	-5	-5	-5	1.27735956647451	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.00656376950238827	-1.4279420100737	-1.12971317100741	-2.14266750356873	-5	-1.51130830168306	-1.4145392704915	-1.76472412331295	-2.20481541031758	-1.75080164260889	0.537893359373848	0.735195553054516	-5	0.680007175128202	0.0743153238343697	0.438893439529866	-5	-5	-5	-5	-5	-2.1681302257195
Healthy	-1.03254563181726	-2.32422165832591	-1.91613919913343	-5	-5	-5	-2.05502409158795	-1.49281902273976	-1.50891858657681	-5	0.630983863435366	0.577401025102312	0.047048897575721	0.27732493914452	-0.829034593689159	0.841185467495207	0.590723719144111	0.722705476525124	-0.39834191697906	-1.08905559425002	-0.23099952136564	-2.40120949323688
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.949987360515655	1.014923984765	0.172392737861285	-0.358555636712043	-0.115969713142589	0.559995149874551	0.98004475264662	0.941712632320193	0.58230545438893	0.278847307020475	0.275523266187393	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.15164590880567	0.764016886804553	0.430231515347259	-5	-2.01144104312138	0.00153901527207287	0.0441750821728493	0.376027354654577	-0.130404564265568	-0.466507565804809	-5	0.0322116708328178
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.657498531012474	1.17912676742507	-5	-0.205086929227266	0.0991106440937158	-5	0.129219258988712	-1.47288588836019	-5	-5	-0.982215646903322
Healthy	-5	-1.39179499229567	-1.39913596369016	-1.62911698322239	-5	-5	-5	-1.71987710369769	-3.52287874528034	-5	0.861417906342299	-5	0.850293878845634	0.103328130463386	-1.11690664142431	-2.60906489289662	-5	-2.84163750790475	-0.498488868275975	-5	-5	-5
Healthy	-1.2951633937886	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.233230345132159	1.25479475977255	-0.0658855135638426	0.0270803841024117	-1.35842674682182	-0.251680153604796	0.208758361685043	-0.617604691329591	0.141528158831941	0.142370692176375	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0738942314791951	1.30893367360983	0.602458273830937	0.261743301508037	-0.273647766054769	0.139866497972942	0.44306105227313	-5	-0.0380049724146412	0.544653326921122	0.163745609017912	-1.88572270343841
Healthy	-1.64244628025692	-0.141853963870512	-2.08884239126002	-2.31605286924849	-5	-5	-1.51798442354929	-1.60240756596188	-1.72839069862117	-2.7851561519523	0.237581435680497	0.92039676219917	1.01219627301531	-0.414731079236608	0.938372100005861	-0.964490214910441	0.453769221661935	-5	-5	-0.393489655682813	0.134260004631847	-2.82973828460504
Healthy	-1.43794517034362	-0.667581740297515	-5	-5	-5	-1.4068247365219	-1.07717078033335	-5	-1.72908836058952	-2.55284196865778	1.12920345491545	0.245453441801116	-0.195676525802456	-5	-0.657202408540632	-1.51060407827287	-5	-5	-0.134588040278472	-5	-5	-1.69940451611004
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.606565197437011	0.774704511247851	0.872028588891106	-0.768479439029749	0.55014393268369	0.0792065791535274	-0.291451634869439	-0.694390710433807	-0.0335766540563069	0.0178677189635057	0.189728871509213	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.165561841672486	-5	-5	-5	-5	-5	-5
Healthy	-0.428407616638693	-1.33526403148129	-0.360174972704213	-5	-5	-5	-0.41947416587067	-5	-1.90587840415944	-5	1.04552677548952	-5	0.9775164660035	-5	0.774215409594811	-5	-5	-5	-5	-5	-5	-0.952452566921365
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.3416364888475	-5	-5	1.14784660847547	-1.00502332635031	0.657380973694551	-5	0.584249786517137	0.448004080951392	-0.143464440868166	-5	-1.44733178388781
Healthy	-5	-0.691841259640312	-5	-1.15782777061438	-5	-5	-5	-5	-1.92154318194671	-5	1.10307849371244	-5	-5	1.49350977287595	-0.288369898028336	0.203065539507633	-5	-5	-0.196904947300362	-5	-0.016279017238374	-5
Healthy	-5	-0.556314661183027	-5	-1.04817696468409	-5	-5	-5	-5	-1.85047298624565	-5	1.17709794414435	-5	-5	1.08041758577002	-0.160899217292847	0.267497913624362	-5	-5	-0.0627178745145732	-5	0.032916782799791	-5
Healthy	-5	-1.93404701968613	-5	-5	-5	-5	-5	-5	-5	-5	0.779911637167357	-5	0.137021615898142	1.41548768224896	0.14742278300467	0.336689828945852	0.0952181850134257	-5	-3.08092190762393	-5	-0.231354500272272	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.28332902443986	1.25812487697849	0.87053733375855	-5	-1.09221255688938	0.178202580412846	0.0427132993461132	0.692066602827102	0.536882779809035	0.393266261779125	-0.0997093576097716	-0.415747951114134
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.0719265386097	-0.304220723635515	0.898748211746831	-5	-1.39072582759541	-0.245949961864031	0.575844565061737	0.550623320210383	-0.100650147031666	-0.036816829183588	0.0180593997488588	-1.22489950112098
Healthy	-0.0103677813619981	-0.461941794091605	-5	-5	-5	-5	-5	-5	-1.3829996588791	-5	0.872420266857949	1.08258827793917	-0.0721729952128367	-1.70071066591232	-0.0639690752272029	-5	0.79922679076308	0.165057269084438	0.318893546714187	0.351051881993707	-5	-1.54151323620179
Healthy	-1.2673650324608	-1.43711261870612	-2.94309514866353	-2.22841251911874	-5	-2.31425826139774	-1.6959405337824	-5	-5	-5	-1.11719095860756	-5	-5	-0.101488728213257	-1.45062884766682	-5	-5	-5	-1.84771165561694	-5	-5	-1.55284196865778
Healthy	-5	-1.40274371707486	-1.05408848318073	-2.57511836336893	-5	-5	-2.25649023527157	-1.88605664769316	-2.28066871301627	-2.70996538863748	1.39193512724077	-5	1.26282612970281	-5	1.23703852680183	0.736685670017578	-5	-5	-5	-5	-5	-0.759151341514639
Healthy	-1.10946720807226	-0.0503124328063712	0.272899345665486	-0.251060363668677	-5	-2.24718356881173	-5	-1.94962024373854	-1.54363396687096	-5	1.02525300922944	-5	0.498400160866406	-5	1.05732028002028	-0.956166345866853	-5	-5	-5	-5	-5	-1.37232696823338
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.110395797681096	-0.63667012111284	0.63121844567664	-0.720972194377279	-5	0.455348958469403	0.0367725719734856	-5	-5	-5	-5	-5
Healthy	-0.90622821850127	-1.03848398855105	-1.28819277095881	-5	0.285798016950149	-5	-5	-5	-5	-5	0.209943735684952	-0.381251318540714	-5	0.0922889421366088	-0.437219571692313	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.448853120627996	-5	0.255884910887459	-5	-2.77728352885242	0.656173933299303	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.92336423626178	0.812738267269767	-1.51999305704285	-0.146910470148134	-0.193250388251677	0.478354346480657	-0.976377210120993	-0.577574323628795	0.807798771718598	-5	0.256724960111621	-2.65169513695184
Healthy	-0.42485835907067	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.309741882333797	0.253478546645704	-0.166311155163587	-0.480605204618982	-1.13960209487269	-0.453568391922657	-0.77634833281282	-5	-0.192586753812181	-0.385894089041969	-0.150844806062009	-5
Healthy	-5	-2.62708799702989	-2.2839966563652	-1.53536144090497	-5	-5	-5	-5	-5	-1.93255715722362	1.32987178484157	1.11006116551662	0.149437744906596	-5	0.251779312820723	-5	0.459626159761796	-5	-0.0877832592220495	0.772591589689166	-0.0994034933344006	-2.37571790416433
Healthy	-0.267839535048396	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.839861892064739	0.917433558799483	-0.394608750110711	-5	0.144785855131754	-1.13306318226836	0.286368883434756	-5	-0.2411864781194	-0.0490853225520574	-5	-5
Healthy	-0.164030555184257	-0.629043035583546	-2.31336373073771	-2.40120949323688	-5	-1.817870785947	-2.7851561519523	-1.99610883376309	-1.11838712752165	-2.73282827159699	0.447153378162128	-0.37217346208207	0.280065928442069	-1.77728352885242	-1.7582045687048	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.50072541810778	-5	-5	-5	1.40157129523721	1.07371138691886	-1.81360878430451	0.912691181313588	-5	-0.177661898848993	-5	-5	0.252884570774634	-5	0.28780844577235	-1.74836177955179
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.375295162858697	0.826912118543145	-1.52914867547388	0.747893227146498	-5	0.19798313297479	0.504069685483838	1.16527430714284	-0.141595156094712	-5	0.345828374307749	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-2.05012229596312	-5	-2.16685288808721	-5	-2.03763066432998	-5	-5	-2.01412464269161	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.60015328728708	1.10948101372696	1.00904318157393	-5	-0.758976780840857	0.111705993588766	0.395724677754903	0.746904964836022	0.608922707668188	0.497323653773914	-0.0795427294545266	-0.681352430996345
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.55299710153384	-3.88605664769316	-3.3767507096021	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.496686077184115	-0.409961092796556	-1.16071054399385	-5	-0.487502379896877	-5	-1.55237690223971	-0.9313318567141	-5	1.22448670431068	0.0774805528404524	0.914291842803317	-5	-0.218675544333012	-0.719398868463086	0.300362841462312	0.0602897895515299	-0.674381727189971	-5	-5	-0.229420427959381
Healthy	-0.753476800033426	-0.00592932547653829	-1.64454847987348	-5	-5	-5	-5	-5	-5	-5	-5	1.18788464245824	1.0768664509663	-5	-5	-5	0.537200571959992	0.629406540680105	-5	-0.40749015209932	-0.17280525532865	-5
Healthy	-5	-1.67080558491155	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.14845179764106	1.13970627835086	-2.85387196432176	-5	-5	1.1037630253144	0.923281331111741	-5	-0.896264677261667	-0.100825402695233	-5
