group	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Anaerobutyricum	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0	0	0.13667	0	0.07293	0.0182	0	0	0	0	1.25286	7.85793	0.08468	0.36996	1.36094	0.31153	0.22602	0.59005	0.38828	0.13667
Healthy	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.02254	0	0	0	0.1511	0	0	0	2.91598	0	7.49386	0.1845	0	0	0.02688	0	0.1208	0.02254
Healthy	0	0	0	0.02798	0	0.02357	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07384	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04479	0	0	0.01772	1.09337	0	0.11605	0	0	0
Healthy	15.1182	0	0.18785	0	0.081	0	0	0	0	0	3.07213	0	0.33464	0.03468	0.04741	0	0.571	0	0.0369	0.18785
Healthy	0	0	0.16507	0	0.50664	0	0.00602	0	0	0	2.7855	0.06967	1.21237	2.18279	0.58052	0.9071	0.14202	0.27043	0.57222	0.16507
Healthy	3.44835	0	0.09942	0	0.089	0	0	0	0	0	8.97331	0.07529	2.08953	0.58787	0.47482	0.22621	0.01375	0.15252	0.1772	0.09942
Healthy	2.88164	0	0	0	0	0	0.00226	0	0	0	3.48417	0.96809	1.06926	0	0.04264	0.02999	0	0.01423	0.03083	0
Healthy	0	0.00185	0.06279	0.00235	0.00253	0	0	0	0	0	0.796	0.65772	0.00922	0.26184	0.00963	0	0.13383	0.08845	0.00565	0.06279
Healthy	0	0.0157	0.27478	0.01801	0.01153	0.00354	0	0	0.00348	0	12.8683	2.3538	5.82136	0.00798	0.14049	0.42331	0.24	0.19765	0.29976	0.27478
Healthy	0	0	0.1677	0	0	0	0	0	0	0	0.30974	0	0.06896	0.31804	0.30085	0.4936	0	0.50109	0.13302	0.1677
Healthy	0	0	0.51624	0	0.3205	0	0.03483	0	0	0	5.80391	1.63394	1.68837	1.24791	0.30949	0.32437	0.23481	0.62476	0.42806	0.51624
Healthy	0	0	0.2229	0	0	0	0	0	0	0	3.5014	5.97462	0.5252	0.67365	0.36316	0.18274	0.17433	0.5826	0.21301	0.2229
Healthy	0	0	0	0	0	0	0	0	0	0	12.1476	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.33691	0	1.37492	0.27629	0.04387	0	0.24373	0.05664	0	0
