group	Prevotella	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Clostridium_Q	Longicatena	Anaerotruncus	Eggerthella	Bacteroides	Parabacteroides	Dialister	Barnesiella	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	0	2.17787	0	0	0	0	0	0	0	0	17.02277	1.76152	0	0.1394	4.84916	0	0	0	0	0
Healthy	0	0	0.04255	0	0	0.02306	0.00351	0	0	0	39.29822	1.69946	0.0024	2.68902	0	0	0	0.04008	0.00799	0
Healthy	0	0	0	0	0	0	0	0.00061	0.01096	0	27.70954	4.03444	0	0	10.3731	0	1.39468	0.12367	0	1.28454
Healthy	0	0	0.12522	0	0	0	0	0	0.04342	0	20.4639	1.95304	3.23865	0	0	0	0	0.01668	0.24095	0.26069
Healthy	7.42671	6.343	0	0	0	0	0	0	0	0	9.16337	2.08417	0	0.67267	0.00489	0.54614	0	0.66922	0.00624	0.00459
Healthy	0.6025	0	0	0	0	0	0	0	0	0	40.71017	1.16581	0	0.98973	0	0	1.1273	0	0	0.01474
Healthy	0	0	0	0	0	0	0.02064	0	0	0	11.75805	0	0	3.37828	0	0	0	1.66202	0	0
Healthy	0	0	0.07063	0	0	0	0	0	0	0	12.93179	2.05761	0.59117	4.44353	0	15.6428	1.03345	0.0234	0	0
Healthy	0	16.4109	5.39169	0	0	0	0	0	0	0	20.1568	1.90474	0	4.1818	0	0.32705	0	0	0	0.04035
Healthy	0	0.45378	0	0	0	0.09698	0.17587	0	0	0	70.91809	8.83823	0	2.56053	0	0	0	0.59111	0.04504	0.08025
Healthy	0	0	0	0	0	0	0	0	0	0	4.39804	0.90553	4.25365	0.46476	1.77715	3.21156	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	9.90196	1.56111	0	7.54657	2.26474	0.11285	1.1161	0.01676	0.01655	0
Healthy	0	0	0.06041	0	0	0.01375	0.00171	0	0	0	39.28236	1.80397	0	2.77145	0	0	0	0.04544	0	0
Healthy	0	0.02833	0.00483	0.01062	0	0	0	0	0.05406	0	45.09603	5.15553	6.31044	6.22598	0.18227	0	0.99432	0.14654	0.02679	0.29889
Healthy	0	1.75061	0	0	0.84621	0	0	0	0	0	6.87234	0.24212	2.39552	0	0	1.04718	0	0	0	0
Healthy	0.0022	0.14333	0.01648	0.03449	0	0	0	0	0	0	23.31325	0.50003	0	0	0	0	0.59341	0.00299	0.26567	0.13187
Healthy	0	0.43307	0	0.24747	0	0	0	0.00813	0	0	9.9529	16.59372	1.6894	1.04793	0.57146	0.14447	1.76986	0.06442	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52824	0	0	0	0	0
Healthy	0	0	0.0054	0.40379	0	0	0	0	0	0	16.41439	1.73068	5.34705	1.42232	15.0678	0.1448	0.74523	0	0.01845	0
Healthy	0	0	0.00686	0	0	0	0	0.24099	0	0	29.28272	1.43325	6.35013	0	0	0	0	1.74357	0.1613	0.12857
Healthy	0	0	0	0.01729	0	0	0	0	0	0	22.97864	2.34465	0	1.7863	0	0	0.77418	0.02547	0.05469	0.0276
Healthy	0.06139	0.6727	0.8581	0	1.83701	0.26193	0.1206	0.00207	0	0	19.89403	0.44147	0	0	0	0	0.78479	0.00454	0	0.04209
Healthy	0	12.8542	0	0	0	0	0	0	0	0	10.87271	3.29162	11.5958	0.89589	4.76676	0.60936	2.25825	0	0	0.00574
Healthy	0.15669	0.00825	0.00091	0	0	0.00145	0.0004	0.0032	0.00225	0	19.89786	6.53852	0.22524	0	2.28599	0.01981	2.31492	0.03175	0	0
Healthy	8.48422	0.00409	0.00557	2.02288	0.221	0.10584	0.29612	0.03527	0	0.00368	41.7997	0	0	0	0	0	0	0.00521	0	0
Healthy	0	0.02165	0.14116	0.19393	0.0264	0.00719	0.07417	0.02503	0.03849	0.00018	7.83739	2.10613	4.06746	0	0	0	0	0.13195	0	0.00678
Healthy	0	0.73045	2.0423	0	0	0	0	0	0	0	3.04364	55.4244	0	0	0	0	0	0	0	0
Healthy	66.7552	4.12779	0	0	0	0	0.00262	0	0	0	15.97225	0	0	0	0	0	0	0.04909	0	0
Healthy	0	0	0.11141	0	0	0	0.01212	0	0.0088	0.00095	16.97089	4.63046	0	3.89693	15.5655	0	0.58748	0.01037	0.08978	0.00396
Healthy	0	1.83545	0.03041	0	0	0	0	0	0	0	7.03082	1.44981	1.29797	1.73556	1.09653	3.06931	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	21.12726	2.52603	0	9.5509	0.22622	0.54243	1.88591	0.14019	0.05238	0
Healthy	0	0	0	2.77557	0	0	0	0	0	0	42.67203	4.22958	4.47702	1.10706	0	0	0	0.04626	0	1.07698
Healthy	0	0	0	0	0	0	0	0	0	0	24.39536	6.37429	0	1.03639	0	0	0	0.14537	0.04842	0.35965
Healthy	0	0	0	0.12423	0	0	0	0	0	0	13.289	1.26783	0	0	0.51705	0	0	0.0164	0.18968	0.10417
Healthy	0	0	0	0	0	0	0	0	0	0	23.86922	6.43809	0	1.14784	0	0	0.81242	0.17001	0.06401	0.433
Healthy	0	0	0.01715	0.01484	0	0.01059	0.02428	0.07849	0.02042	0.00032	6.80061	2.33747	0	0.54001	8.8993	0	3.1263	0.09093	0.02107	0.14252
Healthy	0	0.04559	0	0	0	0	0	0.00503	0	0	5.00373	0.34158	0	0.92087	0.6262	0	0.24283	0	0	0
Healthy	0.06453	1.37665	0.05311	0	0.13412	0.02348	0.03988	0	0	0.00026	50.35663	0.08399	0	0	0	0	0	0.13021	0.17847	0
Healthy	0	0.04487	0	0	0	0	0	0	0	0	10.66841	15.63019	0	1.61717	0.05143	0	0.03503	0	0.01862	0
Healthy	0	0.09711	0.15084	0.06684	0	0	0	0	0	0	3.80237	1.50426	0	2.19014	0.0654	1.70278	0.3186	0.01003	0	0.04103
Healthy	0	2.02806	0.37323	0.28217	0.0815	0.0108	0	0.00302	0	0.00087	15.14737	1.82479	0	0.85979	2.3893	0.79412	0.52544	0.00713	0	0
Healthy	28.73911	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03315	9.23471	0	0	0	0
Healthy	0	0	0.01757	0	0	0	0	0	0	0.00142	9.67636	1.31999	0	4.72075	0.07187	0	1.13762	0.01162	0.10156	0.04026
Healthy	0	0	0.1535	0	0	0	0.02469	0.07882	0	0.00547	43.0888	2.36362	0	3.46952	0	0	4.36243	0.00911	0	0
Healthy	35.4315	8.48243	0.17791	0.00258	0.02327	0	0	0	0	0	3.9422	1.19501	0	1.7547	0.75835	0	0.84118	0.02344	0.02471	0.00114
Healthy	0	0.02486	0	0.03965	0	0	0	0	0	0	14.45132	2.10844	0	2.42318	0.0919	0.88267	1.06521	0	0	0.02046
Healthy	0	0	0	0.74286	0	0	0	0	0	0	33.62182	1.85882	0	0	0.06507	0	0.7931	0.0685	0	0
Healthy	0	0.36631	0	0.23479	0	0	0	0	0	0	7.84251	5.22934	2.48965	2.7737	0	0	1.45795	0	0.20337	0.013
Healthy	0	0.47299	0.00483	0	0.0107	0.00474	0.02525	0.00749	0.03418	0.04941	5.36384	0.38155	4.71543	0.1857	0.03796	0	0.52809	0.1098	0.06156	0.18365
Healthy	0.01157	2.12948	0.05193	0	0	0.00482	0.00814	0.0072	0.03033	0.00056	13.27297	1.46835	0.14204	2.84294	0.05591	0.00715	1.36225	0.08154	0.0424	0.00147
Healthy	45.34911	0	0	0	0	0	0	0	0	0	5.531	0.89272	0	0.78865	0	0	1.05331	1.2697	0.02117	0
Healthy	0	1.06216	0.01119	0	0	0	0	0.00279	0.08371	0	49.62456	1.75228	9.30256	0	2.67228	0	0	0.17583	0	0.01997
Healthy	2.41062	0	0.05435	0.01462	0	0	0	0	0	0	7.42691	1.40721	0.26986	0.51114	27.6619	0.05897	1.54784	0.01682	0	0
Healthy	2.1963	0	0.0266	0	0	0	0	0	0	0	0	0	0	0	0	1.97108	0	0	0	0
Healthy	40.07286	0	0	0.24052	0	0	0	0	0	0	0	0	0	0	0.10538	0.25758	0	0	0	0
Healthy	0.03222	0.02631	0.24991	0	0	0.08751	0	0	0	0.00763	44.14174	2.47829	0	0	0	0	0	0.27357	0.00478	0.39081
Healthy	0	0.42965	0.01424	0	0	0	0.43633	0	0.38064	0	76.31918	3.17839	3.34381	0	0	0	0	0.20572	0	0.11156
Healthy	0	15.6337	0	0	0	0	0	0.18018	0	0	0.0175	0.00463	0.00048	0	0	0	0	0	0	0
Healthy	0	1.31886	0.8125	0	0	0	0	0	0	0	83.40261	2.44765	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.04188	0	0	0	0	0	0	27.78982	0.27114	1.41269	0	0.61967	0	0	0	0	0.03569
Healthy	0	2.36877	0.28342	0	0	0	0	0	0	0	14.02877	1.18699	0	0.77206	2.96698	0.49771	0	0	0	0
Healthy	0	0	0	0.07776	0	0.06952	0	0	0	0	31.70646	5.80673	0	0	2.4149	0	0.9632	0.15639	0	0
Healthy	17.7119	0	0	0	0	0	0	0	0	0	18.06008	0.06004	0	0.44166	0	0	0	0	0	0
D001943	0	0.05459	0.0055	0	0	0.01623	0.02165	0.20643	0	0	26.36718	3.7368	0	0	0	0	0	0.09421	0.00196	0.06646
Healthy	0	0	0	0.06544	0	0.08949	0	0	0	0	37.14727	6.68856	0	0	3.31537	0	1.07873	0.23769	0	0
Healthy	43.95133	0	0	0.1676	0	0	0	0	0	0	2.94878	1.45644	0	0.00144	0	0	2.11166	0.01289	0	0.01552
Healthy	0	0.04705	0.00935	0.02787	0	0	0	0	0	0	10.10225	0.00304	5.34871	1.24513	0	0	0.587	0.081	0	0
Healthy	0.62459	0.78469	0.03273	0	0.6648	0.03289	0.01367	0.00754	0	0.00335	2.12968	0.76233	0	0	0	0	0	0.00321	0	0.24481
Healthy	0	0	0	0	0	0	0	0	0	0	24.40483	6.3337	0	1.10334	0	0	0.79485	0.1543	0.08903	0.38392
Healthy	0	0	0	0	0	0	0	0	0	0	41.147	6.04427	4.62199	3.76568	0.17968	0	1.04245	0.0264	0.00312	0.05957
Healthy	0.0019	0	0	0	0	0	0	0	0	0	0.02396	0	0	0	0	0	0	0	0	0
Healthy	0	0.07817	0.08233	0.00767	0	0.00489	0	0	0.00859	0	18.3019	1.24461	0	0.56206	0.82189	0	1.41887	0.04191	0.18727	0.00077
Healthy	0.0049	4.27323	12.7376	0	0	0.14393	0	0.17237	0	7e-05	0.00717	0	0	0	0.00263	0	0	0.07233	0	0
D001943	0.00353	0.42745	0.03246	0.17735	0.01965	0	0	0.00194	0	0	1.30239	0.55549	0	0	0	0	0	0	0	0.0048
