ID	Group
ERR505106	Healthy
ERR719801	Healthy
SRR5763483	Healthy
ERR720066	Healthy
ERR719486	Healthy
ERR480664	Healthy
ERR720201	Healthy
ERR1809156	Healthy
ERR720023	Healthy
SRR6474224	Healthy
ERR209232	Healthy
SRR5813358	Healthy
ERR209215	Healthy
ERR720191	Healthy
ERR209719	Healthy
ERR209901	Healthy
SRR5275471	Healthy
ERR480765	Healthy
ERR526029	Healthy
ERR719241	Healthy
ERR719508	Healthy
ERR011272	Healthy
ERR720202	Healthy
ERR321368	Healthy
ERR479404	Healthy
SRR5813302	Healthy
ERR480708	Healthy
ERR720198	Healthy
ERR209735	Healthy
ERR719542	Healthy
ERR479022	Healthy
ERR719108	Healthy
SRR5813426	Healthy
SRR6474246	Healthy
ERR011133	Healthy
ERR525808	Healthy
SRR6474228	Healthy
ERR479198	Healthy
SRR053031	Healthy
SRR5813203	Healthy
SRR5275433	Healthy
ERR525716	Healthy
ERR719156	Healthy
SRR5813455	Healthy
ERR719356	Healthy
ERR719652	Healthy
SRR5275441	Healthy
ERR720149	Healthy
SRR1930144	Healthy
ERR321076	Healthy
ERR719415	Healthy
ERR719706	Healthy
SRR5813381	Healthy
SRR5813383	Healthy
ERR719335	Healthy
ERR480463	Healthy
ERR209528	Healthy
ERR719876	Healthy
ERR719192	Healthy
ERR720173	Healthy
SRR5983372	Healthy
ERR720180	Healthy
SRR3313038	Healthy
ERR321645	Healthy
ERR719279	Healthy
SRR5947871	Healthy
SRR053027	Healthy
SRR961723	Healthy
ERR321603	Healthy
SRR3313081	Healthy
ERR209239	Healthy
ERR209723	Healthy
SRR5813461	Healthy
ERR209236	Healthy
ERR209656	Healthy
ERR719527	Healthy
SRR5813359	Healthy
ERR209778	Healthy
ERR478993	Healthy
ERR719916	Healthy
ERR719544	Healthy
SRR5275395	Healthy
ERR321443	Healthy
ERR525694	Healthy
SRR5813275	Healthy
ERR209138	Healthy
ERR719969	Healthy
ERR525691	Healthy
ERR525863	Healthy
SRR5813447	Healthy
ERR209424	Healthy
SRR5651417	Healthy
ERR209136	Healthy
ERR525855	Healthy
ERR719451	Healthy
ERR480904	Healthy
ERR525951	Healthy
ERR526085	Healthy
ERR525937	Healthy
SRR5813218	Healthy
ERR209169	Healthy
ERR719722	Healthy
ERR209227	Healthy
SRR2175765	Healthy
ERR209296	Healthy
ERR719855	Healthy
SRR5650024	Healthy
SRR5813268	Healthy
ERR525724	Healthy
ERR695603	Healthy
SRR6474273	Healthy
ERR719438	Healthy
ERR479211	Healthy
ERR480596	Healthy
ERR1809151	Healthy
ERR719150	Healthy
SRR5275479	Healthy
ERR719453	Healthy
SRR5091559	Healthy
ERR719470	Healthy
SRR3313077	Healthy
ERR525999	Healthy
ERR720206	Healthy
SRR961778	Healthy
SRR5813190	Healthy
ERR480900	Healthy
ERR011250	Healthy
ERR719035	Healthy
ERR209382	Healthy
ERR526049	Healthy
ERR719968	Healthy
ERR480541	Healthy
ERR719104	Healthy
ERR321255	Healthy
ERR505093	Healthy
ERR525774	Healthy
ERR719814	Healthy
ERR719578	Healthy
ERR719458	Healthy
ERR209303	Healthy
SRR5813229	Healthy
ERR1809126	Healthy
SRR5275467	Healthy
ERR719845	Healthy
ERR525706	Healthy
ERR719806	Healthy
SRR1930138	Healthy
SRR6474289	Healthy
ERR479372	Healthy
ERR480548	Healthy
ERR525755	Healthy
SRR5813365	Healthy
ERR011222	Healthy
ERR719052	Healthy
ERR719573	Healthy
ERR480516	Healthy
ERR525865	Healthy
SRR6474259	Healthy
ERR481098	Healthy
SRR5903356	Healthy
ERR209270	Healthy
ERR011337	Healthy
ERR321250	Healthy
ERR720116	Healthy
ERR719315	Healthy
ERR1809136	Healthy
ERR480482	Healthy
ERR479205	Healthy
SRR5091546	Healthy
ERR011320	Healthy
SRR5813327	Healthy
ERR719029	Healthy
ERR719231	Healthy
SRR053025	Healthy
ERR719189	Healthy
SRR5903343	Healthy
ERR719219	Healthy
ERR209192	Healthy
ERR011207	Healthy
ERR011266	Healthy
SRR6474295	Healthy
ERR719204	Healthy
SRR5763456	Healthy
ERR1809123	Healthy
ERR719260	Healthy
SRR6474303	Healthy
ERR525878	Healthy
SRR3313052	Healthy
ERR209515	Healthy
SRR5903355	Healthy
ERR209082	Healthy
SRR961798	Healthy
ERR525974	Healthy
ERR719799	Healthy
ERR209273	Healthy
ERR719175	Healthy
ERR209314	Healthy
ERR479584	Healthy
ERR719341	Healthy
SRR5813403	Healthy
ERR209393	Healthy
ERR505101	Healthy
ERR719739	Healthy
ERR321583	Healthy
ERR480893	Healthy
SRR6474290	Healthy
ERR209841	Healthy
ERR719045	Healthy
ERR720038	Healthy
ERR209408	Healthy
ERR525889	Healthy
ERR479185	Healthy
SRR5091500	Healthy
SRR961712	Healthy
ERR719956	Healthy
ERR209476	Healthy
SRR6474297	Healthy
ERR480897	Healthy
ERR209357	Healthy
ERR209507	Healthy
ERR719112	Healthy
ERR719938	Healthy
ERR209152	Healthy
ERR525720	Healthy
ERR209306	Healthy
SRR1929484	Healthy
ERR719606	Healthy
ERR011211	Healthy
ERR719489	Healthy
SRR5651429	Healthy
SRR5651460	Healthy
ERR719247	Healthy
SRR5813392	Healthy
ERR719823	Healthy
SRR5813477	Healthy
SRR961849	Healthy
ERR719139	Healthy
SRR2673279	Healthy
ERR209109	Healthy
ERR525880	Healthy
ERR525965	Healthy
ERR719143	Healthy
SRR5813438	Healthy
ERR719531	Healthy
ERR478996	Healthy
ERR209207	Healthy
ERR719420	Healthy
SRR5813305	Healthy
ERR525821	Healthy
SRR5983433	Healthy
ERR321248	Healthy
ERR479265	Healthy
ERR525867	Healthy
ERR719535	Healthy
ERR209669	Healthy
ERR321299	Healthy
ERR719598	Healthy
ERR209343	Healthy
ERR209070	Healthy
ERR209374	Healthy
ERR209328	Healthy
ERR209284	Healthy
ERR525801	Healthy
ERR720178	Healthy
ERR011241	Healthy
ERR719759	Healthy
ERR719306	Healthy
ERR719068	Healthy
SRR5813248	Healthy
ERR479046	Healthy
SRR5813328	Healthy
ERR719085	Healthy
ERR719022	Healthy
ERR719558	Healthy
ERR479107	Healthy
ERR719947	Healthy
ERR478980	Healthy
ERR719057	Healthy
ERR526063	Healthy
SRR5813345	Healthy
ERR209506	Healthy
ERR719385	Healthy
ERR209832	Healthy
ERR209159	Healthy
ERR719280	Healthy
ERR719164	Healthy
SRR961802	Healthy
ERR526012	Healthy
SRR5813193	Healthy
ERR209321	Healthy
ERR209662	Healthy
ERR719659	Healthy
ERR011298	Healthy
ERR479587	Healthy
ERR525760	Healthy
ERR209322	Healthy
ERR479150	Healthy
SRR5813254	Healthy
ERR209140	Healthy
SRR5813234	Healthy
ERR480555	Healthy
ERR478974	Healthy
ERR719695	Healthy
ERR1398263	Healthy
SRR5651465	Healthy
ERR719378	Healthy
ERR719025	Healthy
ERR321549	Healthy
ERR525846	Healthy
ERR209149	Healthy
ERR525738	Healthy
ERR719699	Healthy
ERR719939	Healthy
ERR209350	Healthy
ERR719161	Healthy
SRR961761	Healthy
ERR479272	Healthy
SRR5651439	Healthy
ERR525915	Healthy
ERR209674	Healthy
SRR5813310	Healthy
ERR209222	Healthy
ERR718992	Healthy
ERR720132	Healthy
SRR5813287	Healthy
ERR478958	Healthy
ERR720048	Healthy
ERR209220	Healthy
ERR525907	Healthy
ERR719725	Healthy
ERR719346	Healthy
SRR5651453	Healthy
ERR719783	Healthy
SRR6474230	Healthy
ERR719839	Healthy
SRR6474287	Healthy
ERR209752	Healthy
SRR2175772	Healthy
ERR719360	Healthy
ERR720030	Healthy
ERR720122	Healthy
ERR719066	Healthy
ERR719996	Healthy
ERR720168	Healthy
SRR3313057	Healthy
ERR719195	Healthy
ERR209413	Healthy
ERR209400	Healthy
ERR479315	Healthy
SRR5813416	Healthy
ERR209147	Healthy
ERR480512	Healthy
SRR5813433	Healthy
ERR210095	Healthy
ERR011343	Healthy
ERR209436	Healthy
ERR525957	Healthy
ERR321206	Healthy
ERR525712	Healthy
ERR525892	Healthy
ERR1809145	Healthy
ERR719891	Healthy
SRR961736	Healthy
ERR011156	Healthy
ERR525905	Healthy
ERR719447	Healthy
SRR5763466	Healthy
ERR695600	Healthy
ERR480869	Healthy
ERR719006	Healthy
ERR719054	Healthy
SRR5763469	Healthy
ERR719072	Healthy
SRR5813422	Healthy
ERR209190	Healthy
ERR719430	Healthy
ERR719273	Healthy
ERR719216	Healthy
ERR209496	Healthy
ERR719660	Healthy
ERR719746	Healthy
ERR479341	Healthy
ERR479101	Healthy
ERR719608	Healthy
SRR6474270	Healthy
ERR1809147	Healthy
ERR209158	Healthy
SRR961812	Healthy
SRR5763472	Healthy
ERR719242	Healthy
ERR526058	Healthy
SRR2726141	Healthy
ERR719019	Healthy
SRR5813227	Healthy
ERR720068	Healthy
ERR209121	Healthy
ERR719758	Healthy
ERR480667	Healthy
ERR719467	Healthy
ERR321530	Healthy
ERR525879	Healthy
ERR719552	Healthy
ERR719513	Healthy
ERR719267	Healthy
ERR720172	Healthy
ERR695599	Healthy
ERR209665	Healthy
ERR720226	Healthy
ERR695607	Healthy
SRR961691	Healthy
SRR5275476	Healthy
ERR720165	Healthy
SRR5813442	Healthy
SRR5813334	Healthy
ERR719518	Healthy
ERR719733	Healthy
ERR525697	Healthy
ERR011234	Healthy
ERR480458	Healthy
ERR719093	Healthy
ERR480767	Healthy
ERR719155	Healthy
ERR719877	Healthy
ERR481073	Healthy
ERR719965	Healthy
SRR5983420	Healthy
ERR209317	Healthy
SRR5275435	Healthy
ERR525781	Healthy
ERR720062	Healthy
ERR719262	Healthy
ERR480468	Healthy
SRR6474231	Healthy
ERR719370	Healthy
ERR209474	Healthy
ERR719504	Healthy
ERR719615	Healthy
ERR209095	Healthy
ERR719491	Healthy
ERR720106	Healthy
SRR961787	Healthy
ERR525773	Healthy
ERR525995	Healthy
ERR719116	Healthy
ERR719797	Healthy
ERR210096	Healthy
ERR209658	Healthy
ERR526061	Healthy
ERR719773	Healthy
ERR209713	Healthy
ERR719762	Healthy
ERR525882	Healthy
ERR526003	Healthy
ERR720071	Healthy
SRR1929574	Healthy
ERR719462	Healthy
ERR478970	Healthy
ERR525710	Healthy
ERR720182	Healthy
SRR5091574	Healthy
ERR719671	Healthy
ERR719667	Healthy
SRR5813355	Healthy
ERR719697	Healthy
SRR5813354	Healthy
ERR720150	Healthy
SRR5813207	Healthy
SRR5651437	Healthy
ERR479408	Healthy
ERR719367	Healthy
ERR719361	Healthy
ERR719925	Healthy
ERR011173	Healthy
ERR480707	Healthy
ERR719528	Healthy
ERR720124	Healthy
ERR719882	Healthy
SRR5983280	Healthy
ERR479168	Healthy
ERR011341	Healthy
ERR209181	Healthy
SRR5763448	Healthy
ERR209174	Healthy
ERR526037	Healthy
SRR5813308	Healthy
ERR481089	Healthy
ERR209451	Healthy
ERR719638	Healthy
ERR479375	Healthy
ERR720166	Healthy
SRR5813189	Healthy
SRR5813317	Healthy
SRR5651472	Healthy
ERR719787	Healthy
ERR209728	Healthy
ERR719239	Healthy
SRR5091512	Healthy
SRR5983438	Healthy
ERR526053	Healthy
ERR719580	Healthy
SRR5903371	Healthy
SRR5651467	Healthy
ERR525810	Healthy
ERR720061	Healthy
ERR719290	Healthy
ERR719203	Healthy
ERR525690	Healthy
SRR5813247	Healthy
ERR480545	Healthy
ERR719923	Healthy
SRR5091538	Healthy
ERR479034	Healthy
ERR209784	Healthy
ERR209237	Healthy
ERR719906	Healthy
ERR480874	Healthy
ERR209481	Healthy
ERR719213	Healthy
SRR5903351	Healthy
ERR719325	Healthy
SRR1931170	Healthy
SRR5813398	Healthy
ERR719626	Healthy
ERR719644	Healthy
ERR209458	Healthy
ERR1809130	Healthy
SRR5275445	Healthy
SRR1930133	Healthy
SRR5813264	Healthy
ERR209419	Healthy
ERR011220	Healthy
ERR478988	Healthy
SRR5650029	Healthy
ERR719728	Healthy
SRR5813363	Healthy
ERR525923	Healthy
SRR5813409	Healthy
ERR011319	Healthy
ERR525783	Healthy
ERR209336	Healthy
ERR719100	Healthy
ERR720020	Healthy
SRR5091619	Healthy
ERR719764	Healthy
SRR5813410	Healthy
ERR719775	Healthy
