group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Coriobacteriaceae	Peptostreptococcaceae	Lactobacillaceae	Pasteurellaceae	Eggerthellaceae	Rikenellaceae	Ruminococcaceae	Bifidobacteriaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	1.72277	1.07413	0.11834	0	0	0	0	0	0	0	1.42524	1.07413	0.11834	0	1.66666	1.99692	0.58962	0	0	0.08128
Healthy	1.17854	0.74249	0	0	0	0.11605	0	0	0	0	15.98344	0.74249	0	0	0	3.44508	0.11326	0	0.67172	1.25366
Healthy	4.22058	0.81966	0.43511	0.25024	0	0.571	0	0	0	0	15.10948	0.81966	0.43511	15.1182	0	12.6988	0.26844	0	0.79281	0.25381
Healthy	12.86174	10.96303	1.32525	0	0.10518	0.14202	0	0	0	0.00602	5.89204	10.96303	1.32525	0	1.05654	4.55688	0.51581	0	0	0.08686
Healthy	26.41081	2.1399	0.01689	0.00441	0	0.01375	0	0	0	0	0.8965	2.1399	0.01689	3.44835	0.01073	0.04919	0.11734	0	0	0.10013
Healthy	5.7435	3.55799	4.34504	0.00552	0	0	0	0	0	0.00226	16.07393	3.55799	4.34504	2.88164	0.14766	3.20915	0.23778	0.0539	0.77438	0.02179
Healthy	1.35877	0.93393	0.06193	0.04713	0.00711	0.13383	0	0	0	0	6.16719	0.93393	0.06193	0	0.83505	4.11412	1.5313	0	0.14977	0.12854
Healthy	26.62906	18.12004	0.0216	0.04653	0.02471	0.24	0.00354	0	0	0.05421	5.44351	18.12004	0.0216	0	0.00071	0.52356	0	0	0.67975	0.48259
Healthy	46.55662	0.12429	0	0	2.64033	0	0	0	0	0	0	0.12429	0	0	0	0.15386	0.04874	0	0	0
D003093	46.87624	6.36024	3.05261	0.08645	0	0.0384	0	0	0	0	1.08507	6.36024	3.05261	0.52019	0	0	0.02804	0	0	0
Healthy	25.0635	5.30787	0.33771	2.29794	0.15335	0.23481	0	0.52882	0.08119	0.03483	20.28008	5.30787	0.33771	0	0	5.44263	0.46186	0	0.7634	0.01974
Healthy	56.88681	4.28916	1.2613	0	1.06366	0.17433	0	0	0	0	0.36649	4.28916	1.2613	0	0	0.24568	0.04642	3.78245	0	0
Healthy	12.1476	62.9997	21.2371	0	0	0	0	0	0	0	0	62.9997	21.2371	0	0	0	0	0	0	0
Healthy	2.9794	3.43183	0.14666	0.04301	0.03085	0.24373	0	0	0	0	10.3322	3.43183	0.14666	0	10.5195	0.74068	0.11483	0	1.11619	1.31228
Healthy	4.23484	2.17847	0	0	0.19977	0.63218	0	0	0	0	9.98651	2.17847	0	0	0	3.25057	0	0.09708	0.87961	3.44475
Healthy	13.98492	5.66478	35.90039	0.9221	0.86835	0.3371	1.16392	0	3.85851	0.0955	1.62392	5.66478	35.90039	0.19855	0	0	0.0586	0	0	0
Healthy	22.45504	14.94631	0.03459	0.15545	0.98615	1.97032	0	0	0.00058	0.49385	5.21067	14.94631	0.03459	0	6.51919	0.62205	0.09116	0	0.23793	0.12738
D003093	16.26683	5.41612	0.23521	0.26024	0.62533	0.40334	0	2.26145	0.17424	0	0.00464	5.41612	0.23521	0	0.00375	0.02055	1.84167	0	0.16738	0.0047
Healthy	25.21853	8.10271	0.24421	0.38092	0.07916	0	0.28618	0.00868	0.14273	0.18648	6.3769	8.10271	0.24421	0	0.00699	0	1.77066	1.82276	0	0.06706
Healthy	29.12875	5.37472	0	0	0	0.31569	0.05986	0	0.19515	0.01904	4.58862	5.37472	0	0	0	0	0.1002	0	0	0.02712
Healthy	20.95243	1.35423	0	0.8025	1.5817	0	0	0	0.81232	0	0	1.35423	0	0	0	0.20778	0	0	0	0
Healthy	38.42361	2.67302	0.26781	0.20201	0.05851	3.24867	0	2.24067	0	0.51527	4.0178	2.67302	0.26781	0	0	4.13991	0.16065	3.06148	0	0
Healthy	35.15934	0	0	1.28005	0.07394	0	0.01366	0	0.32966	0.03904	0	0	0	0.05242	0	0	0.00158	0	0	0.04332
Healthy	22.27209	8.95456	0.18712	0.23032	0.00254	0	0.17413	0	0.44799	0.13451	0	8.95456	0.18712	0	0	0	1.67502	0	0	0
Healthy	0.65685	2.58941	1.20908	0.0582	0.49025	0.6914	0	0	0	0.0223	21.39859	2.58941	1.20908	2.97255	0.13239	2.14547	0.01275	0	0	1.13938
Healthy	6.95679	0.93829	1.62673	16.77604	1.19138	2.27129	0	0.39151	0	0	2.14488	0.93829	1.62673	0	0	0	0	0	0	0
Healthy	10.2726	8.27035	0.43785	0.17892	0	0	0	0	0	0.11806	0.92332	8.27035	0.43785	0	0	0	0	0	0.85088	0.06439
Healthy	6.52439	0.71987	35.20264	0	0	1.0791	0	0	0	0	8.27981	0.71987	35.20264	12.9858	0.03307	2.67909	0.0234	0	0	0.07299
Healthy	17.31738	17.86356	5.45267	0.27012	1.14247	4.32512	0.25	0	0.12773	0.00776	0.57703	17.86356	5.45267	4.58123	0	3.83289	0.08772	0	1.447	0
Healthy	0.38881	3.93808	0.0103	0	0.13551	1.19682	0	0	0	0.15215	1.20878	3.93808	0.0103	2.60171	43.9894	0	0.28406	0	0	0.10104
Healthy	3.13409	3.3535	0.13383	0.05589	0.0128	0.28366	0	0	0	0	9.70905	3.3535	0.13383	0	10.41	0.76415	0.09557	0	1.07194	1.33726
Healthy	8.78889	17.47799	2.43475	0.45117	0.40667	0.7939	0	0	0	0.04004	10.36282	17.47799	2.43475	5.94604	0.10078	1.78582	2.51045	0	0.62491	0.05911
Healthy	1.4222	1.67666	0.27682	0	0.02247	0	0	0	0	0.00233	14.5598	1.67666	0.27682	5.89113	0	0	0.11666	0	0.60288	0.00889
Healthy	4.3198	1.132	5.34259	0	0.17455	0.67999	0.00258	0	0	0.02894	4.97954	1.132	5.34259	17.7048	7.09147	5.12769	0.27735	0	0	1.06876
Healthy	38.69933	3.44451	0.1995	0.01403	1.34329	0.05868	0	0	0.0175	0.00077	1.25534	3.44451	0.1995	0	0	0.39095	0.00491	0.02465	1.44036	0.08893
Healthy	24.09166	18.91641	5.93464	0	0	1.71217	0.92052	0	0	0	1.26871	18.91641	5.93464	5.0839	0	0	0	0	0	0
Healthy	37.42848	0.23802	0	0	1.12109	0	0	0.00794	0	0	1.04566	0.23802	0	0	0	0.7484	0	0	0	0
Healthy	14.87514	1.42733	0.92934	0	0.04651	0.20882	0	0	0	0.02643	7.21136	1.42733	0.92934	0.01411	0	2.78245	0.17416	0	0	0.04979
Healthy	0.64545	1.45529	0	0.01292	0	0	0	0	0	0	0	1.45529	0	0	0.55019	0	0	0	0	0.08548
Healthy	20.44622	11.38099	0.61728	0.34776	0.14758	0.12154	0	0.01283	0.01667	0.00714	10.80823	11.38099	0.61728	1.21706	0.38836	1.35632	2.54517	0	0.92049	0.08577
Healthy	11.94382	31.38395	0.01142	0.10367	0	0	0	0	0.20553	0	0	31.38395	0.01142	0.62783	0	0	2.10393	0	0	0.24252
Healthy	2.68635	0.55691	0	0	0	0	0	0	0	0	11.04018	0.55691	0	0	0	3.09629	0.34626	0	0	0.2224
Healthy	32.47023	7.30624	10.94462	0	0	0	0	0	0	0	0.61666	7.30624	10.94462	5.62249	0	1.05966	0	0	0	0
Healthy	51.48479	16.07999	0.53641	0.01797	0.12328	0.15766	0	0.18466	0	0.00932	5.54226	16.07999	0.53641	0	0.09373	0.15532	0.63021	0.18576	0.39279	0.10294
Healthy	4.28305	4.35091	0.49856	0	0	0.09721	0	0	0	0.15579	16.91879	4.35091	0.49856	0	8.71159	1.08183	0.51464	0	1.30125	0
Healthy	38.09029	10.34978	0.40697	0.34649	0	0	0	0	0	1.54102	4.64923	10.34978	0.40697	0	0	1.28148	0	0.11191	0	0
Healthy	6.73804	0.39654	25.6546	0.45334	0	1.31584	0	0	0	0	0	0.39654	25.6546	0	0	0	0	0	0	0
Healthy	12.91336	1.46969	0	0	0.53907	0	0	0	0	0	0.94071	1.46969	0	0	0	0	0	0	0	0.26918
Healthy	21.6924	25.29761	0.19456	0	0.1903	3.60873	0	0	0	0.08408	9.92768	25.29761	0.19456	0	19.023	0	0.00056	0	0	0.0678
Healthy	0.0105	0.00433	7.07153	0.00532	0	0	0.23549	0.00233	0	0.0026	0	0.00433	7.07153	0	0.00039	0	0	0	0	0
Healthy	14.063	3.22833	10.5799	0	1.18442	0.78351	0	0	0	0	21.54638	3.22833	10.5799	0	11.9695	0	0	0	0	2.41601
Healthy	41.68406	7.11176	0.58348	0.7126	1.65472	0.41707	4.42379	0	0.91179	0.00383	5.53874	7.11176	0.58348	0	2.81759	1.3095	0.06954	0.20726	0	0
Healthy	11.91339	1.23252	0	0	0.73283	0.00433	0	0	0	0	0.00185	1.23252	0	0	0	0.78884	0	0	0	0.04376
Healthy	26.02128	1.69264	0.13293	0.02733	1.85933	0	0	0	0	0	0.57648	1.69264	0.13293	0	0.49181	0.42416	0	2.44739	0	0
