group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	2.47447	0	0	0	0	0	0	0	0.43714	0.00562	31.5429	0	0.05958	0	0	0	0.04504	0.15397	0.08025	0.43714
Healthy	1.19569	0	0	0.03558	0.37173	1.47976	0	0	0	0	1.48994	4.25365	0	0	0	0	0	0	0	0
Healthy	2.64489	0	0	0	0	0	0.65635	0	0	0	3.63927	0	0.28267	1.15039	1.1161	4.91021	0.01655	0.01676	0	0
Healthy	1.38269	0	0	0	0	5.73941	0	0.06041	0	0	23.8213	0	1.14932	0.19017	0	3.6468	0	0.04544	0	0
Healthy	1.96391	0	0	0	0	0	0	0.00483	0.08478	0	32.5786	6.31044	0.76034	0	0.99432	0	0.02679	0.06176	0.29889	0.08478
Healthy	2.60289	0	0	0	0	0.19643	1.17619	0	0	0	4.35016	2.39552	0.06462	0	0	0	0	0	0	0
Healthy	2.1367	0.0022	6.41657	0	0	6.38856	1.64255	0.01648	0	0	3.44916	0	0.11371	8.85718	0.59341	0	0.26567	0.00299	0.13187	0
Healthy	7.82754	0	0	0	0	0	0	0	0	0	4.18117	1.6894	0.50845	2.86579	1.76986	0	0	0.06442	0	0
Healthy	1.24235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.26741	0	0	0	0	4.81957	0	0.0054	0	0	7.98509	5.34705	0.04782	0	0.74523	0.31115	0.01845	0	0	0
Healthy	2.03873	0	0	0	0	0	0	0.00686	1.70662	0	26.9061	6.35013	1.64924	0	0	0	0.1613	0.03695	0.12857	1.70662
Healthy	1.74819	0	0	0	0	14.2983	0	0	0.01813	0.0049	16.3447	0	2.90099	5.92629	0.75776	0.77957	0.05469	0.00734	0.0276	0.01813
Healthy	1.01248	0.06139	0	0	0	22.344	0	0.8581	0.00454	0	0.9136	0	0	0	0.78479	0.29232	0	0	0.04209	0.00454
Healthy	0.39347	0	0	0	0	0	0	0	0	0	0.95685	11.5958	0.64943	0.29073	2.25825	0	0	0	0.00574	0
Healthy	5.54289	0.15669	0.82009	0	0	0	0	0.00091	0	0	8.5169	0.22524	16.5611	1.38231	2.31492	0	0	0.03175	0	0
Healthy	8.98741	0	0	0	0	0	0	0.00557	0.00315	0	0	0	0	0.0035	0	0	0	0.00206	0	0.00315
Healthy	8.79006	0	0.00132	0	0	0	0.00456	0.14116	0.07731	0.01718	3.45058	4.06746	0	0	0	0	0	0.05464	0.00678	0.07731
Healthy	0	0	0	0	0	0	0	2.0423	0	0	0.60075	0	0	0.77874	0	0.00489	0	0	0	0
Healthy	1.42962	66.7552	0	0	0	0	0	0	0.04909	0	1.32405	0	0	0	0	0	0	0	0	0.04909
Healthy	2.05589	0	0.00351	1.31915	0	0	0	0.11141	0	0.03214	4.27546	0	0.39962	0	0.58748	0	0.08978	0.01037	0.00396	0
Healthy	10.7971	0	1.66756	5.68304	0	0	0.27508	0.03041	0	0	3.73586	1.29797	0.15614	0	0	0	0	0	0	0
Healthy	4.49347	0	0.15933	0	0	0.56203	0	0	0	0	8.91224	0	3.82212	1.16431	1.88591	0	0.05238	0.14019	0	0
Healthy	3.4988	0	20.3259	0	0	8.441	0	0	0	0	14.179	4.47702	0.74061	0	0	0	0	0.04626	1.07698	0
Healthy	3.6521	0	2.69875	0	0	0	0	0	0	0	0.04347	0	3.57185	2.82169	0	0	0.04842	0.14537	0.35965	0
Healthy	3.96119	0	0	0	0	23.8925	0	0	0	0	0	0	0.03365	0	0	0	0.18968	0.0164	0.10417	0
Healthy	3.53311	0	2.59553	0	0	0	0	0	0.02194	0	0.01984	0	3.33967	2.57858	0.81242	0	0.06401	0.14807	0.433	0.02194
Healthy	7.37689	0	0	0	0	0	0	0.01715	0.0101	0.00426	5.36449	0	0.2961	0	0.35517	0.2265	0.02107	0.08083	0.14252	0.0101
Healthy	10.4525	0	2.68119	0	4.17995	4.02156	0	0	0	0	0.82194	0	0.0723	0	0.24283	0.01192	0	0	0	0
Healthy	2.57906	0.06453	12.624	0.00777	0.03358	17.1072	0	0.05311	0.13021	0.01905	7.26804	0	0.31732	0	0	0	0.17847	0	0	0.13021
Healthy	8.32939	0	8.65806	0	0	0	0	0	0	0	0.58447	0	1.38524	0	0	0	0.01862	0	0	0
Healthy	13.1738	0	2.40987	0	0	2.36658	0.14046	0.15084	0	0	1.23097	0	0.26058	0	0.3186	0	0	0.01003	0.04103	0
Healthy	7.96898	0	4.83854	0	0	0	0.16545	0.37323	0	0.00087	4.19175	0	0.51666	0.21396	0.52544	3.47921	0	0.00713	0	0
Healthy	23.1938	27.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.5812	0	0	0	0	0	0	0.01757	0	0	0.31148	0	1.03979	0	1.13762	0	0.10156	0.01162	0.04026	0
Healthy	3.68747	0	26.4721	0	0	4.17569	0	0.1535	0	0	1.72072	0	3.4966	0	4.36243	0	0	0.00911	0	0
Healthy	7.98751	35.4315	1.70405	1.78435	0	0.18963	0	0.17791	0.02112	0	0.09439	0	0.86694	0.30764	0.84118	0	0.02471	0.00232	0.00114	0.02112
Healthy	1.11355	0	0.01353	0	0	6.98125	0	0	0	0	4.74226	0	0.15677	0.37442	1.06521	0.00946	0	0	0.02046	0
Healthy	4.47299	0	0	0	0	0	0.87671	0	0	0	12.3903	0	5.45003	2.38969	0.7931	0	0	0.0685	0	0
Healthy	4.26482	0	0	0	14.4597	0	0	0	0	0	1.18547	2.48965	0.9162	0	1.45795	0	0.20337	0	0.013	0
Healthy	5.49425	0	0	0	8.92544	0	0.80667	0.00483	0.05684	0	3.99831	4.71543	0.28689	0	0.52809	0	0.06156	0.05296	0.18365	0.05684
D001172	0.13066	0.45311	0.15396	0.11903	0.0792	0.07719	0.00068	0.02674	0	0	0.247	0	0.00163	0	0	0	0	0	0	0
