group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	56.05054	6.45428	12.13916	0		18.80818	56.05054	6.45428	0	1.40591	0	12.13916	0	0	
Healthy	43.5593	5.2127	1.18962	0		7.42578	43.5593	5.2127	0.06974	1.99584	0	1.18962	0	0	
Healthy	21.61926	0.10638	0	0.06765		68.09654	21.61926	0.10638	0	0	0.06765	0	0	0	
Healthy	22.89486	0	0.00195	3.04604		43.75014	22.89486	0	8.85496	1.52523	3.04604	0.00195	0.57278	0.04203	
Healthy	41.40638	0.39077	0.70186	1.83008		17.56695	41.40638	0.39077	1.89139	7.67233	1.83008	0.70186	0.1514	0.03232	
Healthy	4.3901	1.30219	0.34257	0.00437		67.09431	4.3901	1.30219	1.01412	0.06379	0.00437	0.34257	0	0.40307	
Healthy	8.00504	2.44506	0.85543	0.51673		31.28267	8.00504	2.44506	0.1118	0.63761	0.51673	0.85543	0	0.80581	
Healthy	36.32618	5.37526	0.81985	25.358		20.36905	36.32618	5.37526	0	4.75712	25.358	0.81985	0	0	
D009765	38.5082	9.49433	0.10503	7.5385		21.46383	38.5082	9.49433	8.96767	0	7.5385	0.10503	0.02873	0.12689	
Healthy	15.69856	1.7566	0.02321	0.53875		67.23166	15.69856	1.7566	0.01784	0.01308	0.53875	0.02321	0.0264	0.09289	
Healthy	18.33249	3.44779	1.26624	5.195		42.56931	18.33249	3.44779	1.76516	1.83723	5.195	1.26624	0.50179	0.29804	
Healthy	0.00094	0.02275	0.22892	0		0.05164	0.00094	0.02275	86.41751	0	0	0.22892	0	0	
Healthy	25.54598	0.17798	0.16088	0		61.38019	25.54598	0.17798	5.29922	0	0	0.16088	0	0.16147	
Healthy	0.27516	90.99881	3.62578	0.00841		0.01931	0.27516	90.99881	4.54672	0.04244	0.00841	3.62578	0	0	
D009765	55.72178	3.45958	0.85105	1.32382		21.49485	55.72178	3.45958	0	0	1.32382	0.85105	0	0.06785	
Healthy	2.87818	0.11834	0	1.66666		92.92764	2.87818	0.11834	0.68757	0	1.66666	0	0	0	
Healthy	3.35109	0.11605	0	0		43.38378	3.35109	0.11605	0.11326	0	0	0	0	0.03182	
Healthy	5.29405	1.00611	0.25024	0		56.61767	5.29405	1.00611	0.29207	15.1182	0	0.25024	0	0.01125	
Healthy	23.98365	1.47329	0.10518	1.05654		52.15726	23.98365	1.47329	0.59902	0	1.05654	0.10518	0	0.20998	
Healthy	28.72613	0.03064	0.00441	0.01073		61.05334	28.72613	0.03064	0.11734	3.44835	0.01073	0.00441	0	0	
Healthy	10.29137	4.3473	0.00552	0.14766		70.56182	10.29137	4.3473	0.38901	2.88164	0.14766	0.00552	0.0539	0.07482	
Healthy	3.07896	0.19576	0.05424	0.83505		83.56988	3.07896	0.19576	1.5313	0	0.83505	0.05424	0	0	
D009765	33.7744	3.1362	1.35556	0		10.46237	33.7744	3.1362	10.16927	0.02878	0	1.35556	0	0	
Healthy	47.58903	0.31581	0.07124	0.00071		37.34462	47.58903	0.31581	2.8125	0	0.00071	0.07124	0	0.05661	
Healthy	46.68091	0	11.24847	0		20.76636	46.68091	0	0.04874	0	0	11.24847	0	0	
Healthy	32.10056	0.60735	3.8281	0		49.42088	32.10056	0.60735	0.54305	0.25302	0	3.8281	0	0.01742	
Healthy	67.15059	1.43563	1.13999	0		7.28498	67.15059	1.43563	0.04642	8.81102	0	1.13999	3.78245	0.01529	
Healthy	75.1473	21.2371	0	0		3.61561	75.1473	21.2371	0	0	0	0	0	0	
Healthy	7.72351	0.39039	0.07386	10.5195		65.94451	7.72351	0.39039	0.11483	0.86272	10.5195	0.07386	0	0.31288	
Healthy	9.8679	0.63218	0.30044	0		77.56292	9.8679	0.63218	0	0.06803	0	0.30044	0.09708	1.50048	
Healthy	22.14707	36.33299	1.86789	0		22.77193	22.14707	36.33299	3.91711	1.49325	0	1.86789	0	0	
Healthy	52.22403	2.50785	2.37947	6.51919		10.42839	52.22403	2.50785	0.41904	0	6.51919	2.37947	0	0.00355	
Healthy	38.38682	0.437	0.87812	0.00699		44.35637	38.38682	0.437	2.88335	1.28575	0.00699	0.87812	1.82276	0.01117	
Healthy	40.68505	0.33473	0	0		50.42891	40.68505	0.33473	0.29535	0	0	0	0	0	
Healthy	26.52187	0	2.60774	0		57.9843	26.52187	0	0.81232	3.19845	0	2.60774	0	0	
Healthy	41.09663	4.03175	14.02652	0		19.00735	41.09663	4.03175	0.6764	0	0	14.02652	3.06148	0	
Healthy	35.21632	0.03904	1.64296	0		0	35.21632	0.03904	4.21267	6.5513	0	1.64296	0	0	
Healthy	31.40078	0.36123	0.29067	0		22.0643	31.40078	0.36123	2.59823	1.21693	0	0.29067	0	0	
D009765	12.68821	0	7.41206	0		62.51051	12.68821	0	0	0	0	7.41206	0	0	
Healthy	6.64172	1.92278	0.54845	0.13239		45.26359	6.64172	1.92278	0.35924	3.04086	0.13239	0.54845	0	0.66408	
Healthy	9.18061	3.89802	21.27618	0		18.16766	9.18061	3.89802	2.71161	7.94031	0	21.27618	0	0	
Healthy	18.60734	0.55591	0.17892	0		63.72663	18.60734	0.55591	0.07952	0.05662	0	0.17892	0	0.06978	
Healthy	12.84356	36.28174	0.02407	0.03307		31.15761	12.84356	36.28174	0.10428	12.9858	0.03307	0.02407	0	0.00756	
Healthy	35.43325	9.87513	5.08692	0		21.40224	35.43325	9.87513	0.31866	4.61753	0	5.08692	0	0	
D009765	20.37234	13.72899	0	18.9474		29.70074	20.37234	13.72899	0.16152	0	18.9474	0	0	0	
Healthy	6.40872	1.35927	0.13551	43.9894		13.2891	6.40872	1.35927	10.50216	2.60171	43.9894	0.13551	0	0.45505	
Healthy	7.82485	0.41749	0.06869	10.41		65.75268	7.82485	0.41749	0.09557	0.80514	10.41	0.06869	0	0.33848	
D009765	51.81292	6.80722	5.44829	0.00379		5.84782	51.81292	6.80722	0	0.19078	0.00379	5.44829	0	0	
Healthy	26.40525	3.26869	0.85784	0.10078		46.11877	26.40525	3.26869	2.57426	5.97847	0.10078	0.85784	0	0.00124	
Healthy	3.28311	0.27915	0.02247	0		70.63059	3.28311	0.27915	0.17823	5.89113	0	0.02247	0	0	
