group	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Verrucomicrobiales	Erysipelotrichales	Methanobacteriales	Peptostreptococcales	Pseudomonadales		Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	46.55662	0.12429	0	0	0	11.24847	0	0	0		46.55662	0.12429	0	0	0	11.24847	0	0	0	0
Healthy	25.0635	7.03706	2.82676	0.26964	0	1.00134	0	0	0		25.0635	7.03706	0.33771	0	0	1.00134	0.26964	0	0.01742	0
Healthy	56.88681	10.26378	0	0.17433	0	1.13999	3.78245	0	0		56.88681	10.26378	1.2613	0	3.78245	1.13999	0.17433	8.81102	0.01529	0
Healthy	12.1476	62.9997	0	0	0	0	0	0	0		12.1476	62.9997	21.2371	0	0	0	0	0	0	0
Healthy	2.9794	4.74411	0.04301	0.24373	10.5195	0.03085	0	0	0		2.9794	4.74411	0.14666	10.5195	0	0.03085	0.24373	0.86272	0.31288	0
Healthy	4.23484	5.63306	0	0.63218	0	0.30044	0.09708	0	0		4.23484	5.63306	0	0	0.09708	0.30044	0.63218	0.06803	1.50048	0
D008545	11.81337	4.655	56.47141	1.84454	0	0	0	0	0.04028		11.81337	4.655	6.07237	0	0	0	1.84454	0.20031	0	0
Healthy	13.98492	6.99823	0.9221	0.4326	0	0.86835	0	1.16392	0		13.98492	6.99823	35.90039	0	0	0.86835	0.4326	0	0	1.16392
D008545	36.73839	8.27991	4.59151	2.71102	0	0	0	0	0		36.73839	8.27991	0	0	0	0	2.71102	0	0	0
Healthy	22.45504	29.68041	0.15545	2.46417	6.51919	2.20829	0	0	0.32517		22.45504	29.68041	0.042	6.51919	0	2.20829	2.46417	0	0.00355	0
Healthy	25.21853	12.88211	0.75708	0.18648	0.00699	0.12104	1.82276	0.28618	0.0872		25.21853	12.88211	0.25052	0.00699	1.82276	0.12104	0.18648	1.22966	0.01117	0.28618
Healthy	29.12875	11.49644	0	0.33473	0	0	0	0.05986	0		29.12875	11.49644	0	0	0	0	0.33473	0	0	0.05986
Healthy	20.95243	5.56944	0.8025	0	0	1.80524	0	0	0		20.95243	5.56944	0	0	0	1.80524	0	3.19845	0	0
D008545	16.55165	20.5276	0.09822	0.34881	3.28479	0.09569	0	0	0		16.55165	20.5276	0.00699	3.28479	0	0.09569	0.34881	0	0	0
Healthy	38.42361	2.67302	13.96801	3.76394	0	0.05851	3.06148	0	0.42465		38.42361	2.67302	0.26781	0	3.06148	0.05851	3.76394	0	0	0
Healthy	35.15934	0.04332	1.56902	0.03904	0	0.07394	0	0.01366	0.06891		35.15934	0.04332	0	0	0	0.07394	0.03904	0	0	0.01366
Healthy	22.27209	8.95456	0.23032	0.13451	0	0.06035	0	0.17413	0		22.27209	8.95456	0.22672	0	0	0.06035	0.13451	0	0	0.17413
Healthy	0.65685	5.98487	0.0582	0.7137	0.13239	0.49025	0	0	0		0.65685	5.98487	1.20908	0.13239	0	0.49025	0.7137	0.06831	0.66408	0
Healthy	6.95679	2.22382	17.16755	2.27129	0	4.10863	0	0	0		6.95679	2.22382	1.62673	0	0	4.10863	2.27129	2.97004	0	0
Healthy	10.2726	8.33474	0.17892	0.11806	0	0	0	0	0		10.2726	8.33474	0.43785	0	0	0	0.11806	0	0.06978	0
Healthy	6.52439	6.31917	0	1.0791	0.03307	0.02407	0	0	0		6.52439	6.31917	35.20264	0.03307	0	0.02407	1.0791	0	0.00756	0
Healthy	17.31738	17.86587	0.27012	4.33288	0	4.8168	0	0.25	0.06946		17.31738	17.86587	5.54225	0	0	4.8168	4.33288	0	0	0.25
Healthy	0.38881	6.01991	0	1.34897	43.9894	0.13551	0	0	0		0.38881	6.01991	0.0103	43.9894	0	0.13551	1.34897	0	0.45505	0
Healthy	3.13409	4.69076	0.05589	0.28366	10.41	0.0128	0	0	0		3.13409	4.69076	0.13383	10.41	0	0.0128	0.28366	0.80514	0.33848	0
Healthy	8.78889	17.61636	0.45117	0.83394	0.10078	0.40667	0	0	0		8.78889	17.61636	2.43475	0.10078	0	0.40667	0.83394	0	0.00124	0
Healthy	1.4222	1.86091	0	0.00233	0	0.02247	0	0	0		1.4222	1.86091	0.27682	0	0	0.02247	0.00233	0	0	0
Healthy	4.3198	6.73183	0	0.70893	7.09147	0.17455	0	0.00258	0		4.3198	6.73183	5.34259	7.09147	0	0.17455	0.70893	0	0.1094	0.00258
Healthy	38.69933	3.63925	0.01403	0.05945	0	5.19517	0.02465	0	0		38.69933	3.63925	0.1995	0	0.02465	5.19517	0.05945	0	0	0
Healthy	24.09166	30.65601	0	1.71217	0	0	0	0.92052	0		24.09166	30.65601	5.93464	0	0	0	1.71217	0	0	0.92052
Healthy	37.42848	3.37303	0.00794	0	0	1.95468	0	0	0		37.42848	3.37303	0	0	0	1.95468	0	2.18475	0	0
Healthy	14.87514	1.47712	0	0.23525	0	0.04651	0	0	0		14.87514	1.47712	0.92934	0	0	0.04651	0.23525	0	0.05044	0
Healthy	0.64545	1.54077	0.01292	0	0.55019	0	0	0	0		0.64545	1.54077	0	0.55019	0	0	0	0	0	0
Healthy	20.44622	11.96651	0.36059	0.12868	0.38836	0.14758	0	0	0		20.44622	11.96651	0.61728	0.38836	0	0.14758	0.12868	0.00113	0.10707	0
Healthy	11.94382	31.88632	0.10367	0	0	0	0	0	0		11.94382	31.88632	0.01142	0	0	0	0	0	0	0
Healthy	2.68635	0.77931	0	0	0	0	0	0	0		2.68635	0.77931	0	0	0	0	0	0	0.03142	0
Healthy	32.47023	13.63179	0	0	0	0	0	0	0		32.47023	13.63179	10.94462	0	0	0	0	0	0	0
Healthy	51.48479	17.91611	0.20263	0.16698	0.09373	1.34631	0.18576	0	0		51.48479	17.91611	0.53641	0.09373	0.18576	1.34631	0.16698	1.31009	0.08154	0
Healthy	4.28305	4.47132	0	0.253	8.71159	0	0	0	0		4.28305	4.47132	0.49856	8.71159	0	0	0.253	0	0.55816	0
Healthy	38.09029	21.15368	0.34649	1.54102	0	0	0.11191	0	0.22899		38.09029	21.15368	0.40697	0	0.11191	0	1.54102	1.07483	0	0
Healthy	6.73804	0.39654	0.45334	1.31584	0	0	0	0	0		6.73804	0.39654	25.6546	0	0	0	1.31584	0	0	0
Healthy	12.91336	1.73887	0	0	0	0.53907	0	0	0		12.91336	1.73887	0	0	0	0.53907	0	0	0	0
Healthy	21.6924	25.92229	0	3.69281	19.023	0.1903	0	0	0		21.6924	25.92229	0.19456	19.023	0	0.1903	3.69281	0	0.19041	0
Healthy	0.0105	0.00433	0.00765	0.0026	0.00039	0	0	0.23549	0		0.0105	0.00433	7.18306	0.00039	0	0	0.0026	0	0	0.23549
Healthy	14.063	5.64434	0	0.78351	11.9695	1.18442	0	0	0		14.063	5.64434	10.5799	11.9695	0	1.18442	0.78351	0.01608	0	0
Healthy	41.68406	7.35678	0.7126	0.4209	2.81759	1.65472	0.20726	4.42379	0		41.68406	7.35678	0.58931	2.81759	0.20726	1.65472	0.4209	0	0	4.42379
Healthy	11.91339	3.242	0	0.00433	0	0.73283	0	0	1.74985		11.91339	3.242	0	0	0	0.73283	0.00433	0	0	0
Healthy	26.02128	4.27652	0.02733	0	0.49181	1.85933	2.44739	0	2.00314		26.02128	4.27652	0.13293	0.49181	2.44739	1.85933	0	0	0	0
Healthy	3.89694	7.01832	0.04903	0.64273	0	0.17372	0.00825	0	0		3.89694	7.01832	0.74931	0	0.00825	0.17372	0.64273	0	1.21704	0
Healthy	57.26534	0.76115	0.34273	0	0	0	0.21268	0	0		57.26534	0.76115	0	0	0.21268	0	0	0	0	0
Healthy	2.30841	0.10838	0	0	0	0	0	0	0		2.30841	0.10838	0.1845	0	0	0	0	0	0	0
Healthy	64.4011	14.55616	0.0318	0.47668	0	0.02408	0	0	0		64.4011	14.55616	0.0008	0	0	0.02408	0.47668	0.00015	0	0
Healthy	11.56562	8.83526	1.51516	1.11166	0.00032	0.04376	0	0.20169	6.4544		11.56562	8.83526	2.78263	0.00032	0	0.04376	1.11166	0	0.0392	0.20169
Healthy	1.72941	3.83581	0	0.1628	3.84496	0.00174	0	0	0		1.72941	3.83581	1.21132	3.84496	0	0.00174	0.1628	0	0.0151	0
Healthy	46.51861	9.83849	0.4968	0.59299	0.79342	0.00415	0	0.1088	0.33242		46.51861	9.83849	2.04031	0.79342	0	0.00415	0.59299	0	0	0.1088
Healthy	3.10588	4.70989	0.05237	0.22282	10.3809	0.00808	0	0	0		3.10588	4.70989	0.11984	10.3809	0	0.00808	0.22282	0.87857	0.33033	0
Healthy	25.5392	20.96904	8.14983	1.03937	0	0.13303	0.79834	0.07247	0		25.5392	20.96904	1.03523	0	0.79834	0.13303	1.03937	0	0.07805	0.07247
Healthy	12.06107	47.80958	0	1.79807	0	0	0	0	0		12.06107	47.80958	0	0	0	0	1.79807	0	0	0
Healthy	0.68422	7.98813	0.03648	0.03568	0	0.03735	0	0	0		0.68422	7.98813	0.12056	0	0	0.03735	0.03568	0	0.0016	0
Healthy	18.72938	4.49598	0	0.12192	0	0.06825	0	0	0		18.72938	4.49598	0	0	0	0.06825	0.12192	0	0.40904	0
Healthy	5.48461	6.84934	0.01927	0.65339	0.3477	0.8809	0.07517	0.0581	4.54617		5.48461	6.84934	6.99607	0.3477	0.07517	0.8809	0.65339	0	0.18958	0.0581
Healthy	1.21892	1.32719	0.20842	0.13178	0	0.02311	0	0	0		1.21892	1.32719	0	0	0	0.02311	0.13178	0	0.00253	0
Healthy	11.90134	0.49666	0.07356	0	0	0.01034	0	0	0		11.90134	0.49666	0	0	0	0.01034	0	0	0.0383	0
Healthy	6.58367	6.98856	0.00636	0.1822	0	0.02486	0.17643	0	0		6.58367	6.98856	0.57014	0	0.17643	0.02486	0.1822	0	0.13826	0
