group	Prevotella_copri_A	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phytobacter_ursingii	Ruminococcus_B_gnavus	Streptococcus_parasanguinis_D	Veillonella_atypica	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Prevotella_copri_A	Bacteroides_eggerthii	Bifidobacterium_longum	Phocaeicola_sp900554435	Bacteroides_sp900066265	Anaerostipes_hadrus	Intestinibacter_bartlettii	Anaerostipes_hadrus_A	Streptococcus_parasanguinis_D	Parasutterella_excrementihominis
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.57628	0	0	1.63723	0	0	0	0	0
Healthy	0	0	0	0.04705	0.00935	0	0	0	0	0	0	0	0.98401	0	0	0.0473	0	0.00159	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71196	0	0	0	0	0.38392
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.23312	7.51156	3.74217	0	0	0	0	0.05957
Healthy	0	0	0	0.04178	0	0	0	0	0	0	0	1.35819	2.49822	0.2573	0	0	0	0	0	0.02873
Healthy	0	0	0	78.7042	0.07356	0	0	0	0	0	0	0	0.87108	0	0	0.05741	0	0.02719	0	0.02799
Healthy	0	0	0	0.36158	0.09022	0.00135	0.00183	0.00344	0	0	0	0	0.74589	0	0	1.2924	0.25312	0	0.00135	0.17411
Healthy	0	0	0	2.27843	0.00665	0	0.64826	0	0	0	0	0	0	0	0	0	0	0	0	0.04242
Healthy	0	0	4.33903	0	0	0	0	0	0	0	0	0.22843	0.73009	3.92234	0	0	0	0	0	0
Healthy	0	0	0	0	0.09717	0.12591	0	0	0	0	0	0	3.06429	0	0	0.57632	0.01342	2.72891	0.12591	0
Healthy	46.7432	0	0	0	0	0	0	0	0	0	46.7432	0	0	0	0	0.07734	0	0	0	0
Healthy	6.74233	1.30531	1.59059	0	0	0	0	0	0	0	6.74233	2.12965	0	0.48798	0	0.10758	0	0.18991	0	0.00222
Healthy	10.3598	0	0.17438	0.29883	0	0	0	0	0	0	10.3598	0	0.13239	0	0.00616	0	0.39724	0	0	0
Healthy	0	0	0	1.00992	0	0.04645	0	0	0	0.00171	0	0	0.32681	5.17118	0	0	0	0	0.04645	0.0042
Healthy	0	0	0	0.1118	0	0.22326	0	0	0	0	0	0	1.20433	0.66787	0	0	0	0	0.22326	0
Healthy	0	0	0	0	0.13052	0.04704	0	0.05627	0	0	0	0	5.29069	0	0.43717	0.00906	0	0.17703	0.04704	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.23583	2.39481	0	0	0	0	0	0.01784
Healthy	0	0	0	0.61563	0	0	0	0	0	0	0	0	1.44506	0	0	0.07293	0.0182	0	0	0
Healthy	0	0	0	83.838	0.00094	0	0	0	0	0	0	0.01675	0.02017	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.01215	0	0	0	0	0	0	0	0	7.18368	0	0	0	0.01215	0.20827
Healthy	0	0	0	3.89743	0	0	0	0	0	0	0	0	24.5736	0	0	0	0.02357	0	0	0
Healthy	0	0	0	0.09795	0	0	0	0	0	0	0	0	0.11834	10.7648	21.8225	0	0	0	0	0.58962
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.02658	0	0	0.081	0	0	0	0
