group	Enterobacterales	Lactobacillales	Veillonellales	Pseudomonadales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	0.13452	0.00636	0.38466	0		0.13452	0	0.00636	1.39314	0.17643	0.02486	0.1822	0	0	0
Healthy	5.3394	0.01559	2.03817	0.05478		5.3394	1.4567	0.01559	0.03034	3.08044	0.51579	0.0593	0	0.05478	0.00271
Healthy	0.00402	0	0	0		0.00402	3.57301	0	0.70225	0	0	0.1128	0	0	0
Healthy	0.00781	0.75851	0.01218	0.00368		0.00781	0.69873	0.75851	0.88008	0	1.03495	0.29588	22.5247	0.00368	0.08429
Healthy	0	1.65013	0	0		0	0.01236	1.65013	0.08336	1.90301	7.32767	0.03785	1.47114	0	0.08412
Healthy	1.88746	0	0	0		1.88746	1.26245	0	1.38138	0.42914	0	1.00364	0	0	0
Healthy	0	0	0	0		0	0	0	0	0	0.43276	0	0	0	0
Healthy	1.46273	0.43462	0	0		1.46273	0	0.43462	0.56976	0	0.07146	0.42331	0	0	0.00613
Healthy	2.74832	0.09803	0	0		2.74832	0	0.09803	0.06262	0	0.00254	0	0	0	0
Healthy	0.3539	0.75909	6.72967	0		0.3539	0.6796	0.75909	0	0.18105	0	0	0	0	0.04315
Healthy	0.24621	0.03125	0.01651	0		0.24621	0	0.03125	1.2693	0	0.1551	0.27859	0.26395	0	0.03226
Healthy	0	0	0	0		0	0	0	0.0624	0.02876	0.56566	0.14886	0	0	0
Healthy	0.04198	0.02956	0	0		0.04198	0	0.02956	0.07281	0	0.0243	0.05215	0	0	0
Healthy	0.03656	0.0161	0.0072	0.30313		0.03656	0.6598	0.0161	0.05142	0	0	0	0	0.30313	0
Healthy	0.13218	0.29615	0.00213	0		0.13218	0	0.29615	0.0078	0.1953	0.00486	1.61836	0	0	0
Healthy	0.29244	0.31688	0.0216	0		0.29244	0	0.31688	0.0461	0	0	0.08121	0	0	0.33346
Healthy	0	0.02025	0	0		0	0	0.02025	0.11856	0	0	0.06576	0	0	0
Healthy	2.24934	0	0	0		2.24934	0	0	0.38935	0	0	0	0	0	0
Healthy	0	0	0.31288	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.95059	0.56117	0.06109	0		0.95059	0	0.56117	0	1.04804	12.33642	2.23707	1.78486	0	0.62159
Healthy	0.06129	0.08341	0.00798	0		0.06129	0	0.08341	5.13042	0	0.01058	0.16171	0	0	0
Healthy	0.08635	0.05612	0	0		0.08635	0	0.05612	5.22325	0	0.04521	0.19611	0	0	0
Healthy	6.53906	0	9.44246	0		6.53906	0.79293	0	1.43392	0	0	0.02368	0	0	0
Healthy	0.80726	0.47816	0.15883	0		0.80726	5.96611	0.47816	2.31024	0	0.07757	0	0.26823	0	0
Healthy	0	0	0.23887	0		0	0.05654	0	2.72043	0	0	0.00925	0	0	0
Healthy	3.05793	9.5205	0.56786	0		3.05793	0	9.5205	0	0	0.31989	0	0	0	0
Healthy	0	0.58813	0	0		0	0	0.58813	0.18887	0	0	1.21596	0	0	0
Healthy	0	0	10.1396	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.10077	0.06844	0.00816	0		0.10077	0	0.06844	5.04198	0	0.02511	0.13351	0	0	0
Healthy	1.79721	0.09177	0	0		1.79721	0	0.09177	0.06696	0	0.02595	0	0	0	0
Healthy	0	0.06962	0.21553	0		0	0.69377	0.06962	0.00362	0	0	0.21112	0	0	0.20544
Healthy	0.03177	0	0	0		0.03177	12.3504	0	0.11739	0	0.00781	0.13067	0	0	0
Healthy	5.34661	0	0	0		5.34661	5.12023	0	5.95538	0.54418	0	0	0.29827	0	0
Healthy	0.50252	0.08386	3.0011	0		0.50252	0.14545	0.08386	0.00293	0	0.52419	0.76566	0.06687	0	0
Healthy	0.16732	0.31316	9.7945	0		0.16732	0	0.31316	0.00066	0	0.21681	0	0	0	0
Healthy	0	0.01933	0	0		0	1.67518	0.01933	6.45037	0.24888	0	0	1.68323	0	0
Healthy	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.16819	0.14173	7.60652	0		0.16819	0.87803	0.14173	0.14799	0.94585	0.00557	0	0	0	0
Healthy	0	0.29047	8.39761	0		0	0	0.29047	0.86213	0	0.03077	0.70297	1.61096	0	0.14257
Healthy	0.77609	0	10.51246	0		0.77609	0	0	0	0	0	0	0	0	0
Healthy	0.01246	0.04004	0.00199	0		0.01246	0.00032	0.04004	0.22029	0	0.02119	0.16427	0	0	0
Healthy	0	0.03766	0	0		0	0	0.03766	0.03347	0	0.00749	0	0	0	0
Healthy	0.32653	0.02304	0.00441	0		0.32653	1.83282	0.02304	1.81278	0	1.48201	0.48756	3.84463	0	0.0005
Healthy	0.7776	0.36114	0.08596	0		0.7776	5.82674	0.36114	2.33934	0	0.06644	0	0.26043	0	0
Healthy	0.96041	0	0	0		0.96041	0	0	1.44712	0	0.18432	0.60333	0	0	0.02075
Healthy	0	0	0	0		0	0	0	0	0.64383	7.68274	0	0.13631	0	0
Healthy	0.32129	0	0.03605	0		0.32129	0	0	0.06726	0	0.06627	0.00539	0	0	0.15627
Healthy	0	0.14373	0	0		0	0	0.14373	0.10798	0	0.13293	3.05251	0	0	0
Healthy	10.2792	0	2.79994	0		10.2792	43.4724	0	0.30043	0	0.13948	1.49991	0	0	0
Healthy	0.10061	0	0.02171	0.00483		0.10061	0.03469	0	2.817	0	0.00218	0.04025	0	0.00483	0.0079
Healthy	0.22162	1.6223	0.12942	0		0.22162	0	1.6223	0	0	2.63695	0.12091	2.27477	0	0
Healthy	0.33885	0.78659	0.05867	0.00523		0.33885	0	0.78659	0.32375	0	0.02658	0.14055	0	0.00523	0
Healthy	0.1535	0.3917	0.00416	0		0.1535	0.63493	0.3917	0.63109	0.68638	6.99111	0.27317	2.65359	0	0
Healthy	0.60552	0.34481	0.35834	0		0.60552	0.03989	0.34481	0.04169	0	0.17487	0.07765	0	0	0.01532
Healthy	0.11169	0.18325	0.04909	0		0.11169	0	0.18325	0.36764	0	0.04409	0.19543	0	0	0
Healthy	0	0.39844	0	0		0	0.04755	0.39844	0.83322	0	1.27333	0.10602	3.62986	0	0.06537
Healthy	0	0.00784	12.7095	0		0	0.89222	0.00784	2.23462	0	0.02267	0.04102	0	0	0.0115
Healthy	0.03779	0	0.21227	0		0.03779	0.00828	0	0	0.65232	1.6906	0	0	0	0.09801
Healthy	4.06115	0.15997	0	0.16498		4.06115	0	0.15997	0	0	0.13657	0.0029	0.94659	0.16498	0
Healthy	0.06093	0	0	0		0.06093	0	0	0.02525	0.01411	0.52483	0.1261	0	0	0
Healthy	1.64715	0.02753	0	0		1.64715	10.2982	0.02753	0.25774	0.58046	0.63958	0.24638	0	0	0.03777
Healthy	0.40844	0.8535	0.09326	0		0.40844	0	0.8535	0	3.28183	9.54612	1.21051	5.59783	0	2.2151
Healthy	0	0.43095	4.82061	0		0	0	0.43095	6.01844	0	0	0.02509	0	0	0
Healthy	0.21949	0.23069	0	0		0.21949	0	0.23069	0.08297	0.20356	0.02318	1.74519	0	0	0
Healthy	0.102	0.00191	0.12044	0		0.102	0.03792	0.00191	1.54425	0.07783	1.27484	0.38301	0	0	0
Healthy	0.0753	4.45262	0.09329	0		0.0753	0	4.45262	0	0.0354	12.93595	2.10498	0.32028	0	1.24703
Healthy	0.09194	0	0	0		0.09194	12.3729	0	0.13831	0	0	0.14463	0	0	0
Healthy	1.75907	0.01432	0	0.20194		1.75907	0	0.01432	0.98994	0	0.02979	0	1.28601	0.20194	0.03032
Healthy	0	0.19114	3.85088	0		0	0.00277	0.19114	1.49689	0	0	1.24155	0	0	0
Healthy	0.06126	0.01997	0	0		0.06126	0.70351	0.01997	0	0	0	0	0	0	0
Healthy	0	0.37943	12.1143	0		0	1.23746	0.37943	0	0	0	1.80325	0.27572	0	0
Healthy	0.03357	0.08935	0.02405	0		0.03357	0	0.08935	0	0	0.73564	0.01862	3.9126	0	0.37331
Healthy	0	0	0	0		0	0	0	0	0.09233	0.20685	0.58449	0.07944	0	0
Healthy	3.11775	2.60608	1.7791	0		3.11775	0	2.60608	0	6.53455	0	0	0	0	0
Healthy	0.1379	0.00661	0.02851	0		0.1379	0.10576	0.00661	0.56031	0	0.18382	0.05074	0	0	0.05455
Healthy	0.8832	0.87776	0.04973	0		0.8832	0	0.87776	2.29366	0	0.01604	0.10742	3.90432	0	0
Healthy	0.25725	0.00317	9.23712	0		0.25725	0	0.00317	0.02592	0	0.08464	0.23506	0	0	0
Healthy	0.01154	0.17678	1.89676	0		0.01154	0.11581	0.17678	0.89833	6.73	0.22791	0.01832	0	0	0.01811
Healthy	0	0	6.04788	0		0	0	0	0.1559	0	0.29707	0	0	0	0
Healthy	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.4381	0.04242	0.03376	0.16908		0.4381	0	0.04242	0.38966	0	0.17387	0	0	0.16908	0.00252
Healthy	0.12452	0.00396	0.37411	0		0.12452	0	0.00396	1.51147	0.20474	0.01542	0.22944	0	0	0
Healthy	1.34731	0.27112	2.31376	0		1.34731	0.2178	0.27112	0.01562	0	0.76407	0.2881	0	0	0.31638
Healthy	0	0	2.63703	0		0	0	0	0.00297	0	0	0.44203	0	0	0.2142
Healthy	0.09307	0	0	0		0.09307	0	0	0.0279	0.01774	0.49986	0.16083	0	0	0
Healthy	0	0.09454	0	0		0	22.8919	0.09454	0.01838	1.96453	0.299	0.45095	2.43258	0	0
Healthy	1.68824	0	0.04896	6.47865		1.68824	0	0	0.0386	0	0.23297	0.09204	0.02727	6.47865	0.13173
Healthy	0.47148	0	0	0		0.47148	0.31809	0	0	3.37489	7.41531	0	0	0	0.60065
