group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0.0235	0	0		0	0	0.33257	0.21268	0	0.25544	0	0	0.00138	0
Healthy	0.89971	0	0		0	0	0.02275	0	0	0	0	0	0	0
Healthy	0.00247	0.00029	0		0.0586	0	0.44734	0	0.46959	0.34813	0	0	0	0
Healthy	0.01516	0.03372	0.01325		0	0.00032	0.25967	0	0.8622	0.12998	0.33886	0.20169	0	0.20868
Healthy	0	0	0		0	3.84496	0.0491	0	0.1628	0	0	0	0.01241	0
Healthy	0.13564	0.00275	0.00101		21.8334	0.79342	2.00065	0	0.59158	0.23984	0.01117	0.1088	0	0
Healthy	0	0	0		45.2425	10.3809	0.05866	0	0.22282	0	0	0	0	0
Healthy	0.2242	0.00088	0.02079		0	0	2.04222	0.77623	1.02795	0.50882	0.01793	0.07247	0	0.01142
Healthy	0	0	0		0	0	0	0	0.90246	0	0	0	0	0.89561
Healthy	0	0	0		0	0	0.4271	0	0.03568	0	0.10545	0	0.00305	0
Healthy	0	0	0		0	0	0	0	0.0603	0	0	0	0.12849	0.06162
Healthy	0.00044	0.02312	0.00982		0.00981	0.3477	1.15285	0.07517	0.58354	0.04555	0.08739	0.0581	0.00271	0.02265
Healthy	0.02526	0	0		0	0	0.12766	0	0.13178	0.01594	0.39264	0	0.11966	0
Healthy	0	0	0		0	0	8.90162	0	0	0	0.04091	0	0.07877	0
Healthy	0.03051	0	0		0	0	0	0.17643	0.15204	0	0	0	0.00641	0.03016
Healthy	0.00921	0.08912	0.00036		0.00378	1.4567	0.70583	3.08044	0.00031	0.05691	0.04056	0.00271	0.01428	0.04885
Healthy	0	0	0		0	3.57301	0.05462	0	0.1128	0	0	0	0.00873	0
Healthy	0.01218	0.00529	0		5.62755	0.69873	0.87992	0	0.29588	0.07445	0.0976	0.08429	0.00842	0
Healthy	0	0	0		26.4025	0.01236	0.72787	1.58479	0.03785	0.16869	0.00058	0.08412	0.08336	0
Healthy	0	0	0		0	1.26245	0.04296	0.42914	1.00364	0.62812	0	0	0	0
Healthy	0	0	0		64.6746	0	0.10527	0	0	0	0	0	0	0
Healthy	0	0	0		19.2902	0	0.17693	0	0.38453	1.04312	0	0.00613	0	0.03878
Healthy	0	0	0		0	0	8.3973	0	0	0	0.04359	0	0.06262	0
Healthy	0.08778	0	0		0	0.6796	0.20308	0.18105	0	0.13731	0	0.04315	0	0
Healthy	0.01651	0	0		0	0	0.26895	0	0.27859	0.0472	0.01383	0.03226	0	0
Healthy	0	0	0		33.229	0	0.65803	0.02876	0.14886	0	0.07405	0	0.0624	0
Healthy	0	0	0		0	0	0.39428	0	0.05215	0	0.12658	0	0.00294	0
Healthy	0.0072	0	0		1.63861	0.6598	0.02566	0	0	0	0.00883	0	0.04305	0
