group	Bacteroidales	Enterobacterales	Burkholderiales	Acidaminococcales	Pseudomonadales	Selenomonadales	Desulfovibrionales		Lachnospirales	Actinomycetales	Enterobacterales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	25.16801	26.87573	0	0	6.4544	0	0.0392		11.56562	2.78263	26.87573	1.51516	0	0	0.04376	0	6.4544	0.20169
Healthy	75.927	0	0.7445	0	0	0	0.0151		1.72941	1.21132	0	0	0.7445	0	0.00174	0	0	0
Healthy	27.96087	0.76155	0.06486	0	0.33242	0	0		46.51861	2.04031	0.76155	0.4968	0.06486	0	0.00415	0	0.33242	0.1088
Healthy	66.09812	0	0.11834	0.87857	0	0	0.33033		3.10588	0.11984	0	0.05237	0.11834	0	0.00808	0.87857	0	0
Healthy	25.51014	2.10237	0.20459	0	0	0	0.07805		25.5392	1.03523	2.10237	8.14983	0.20459	0.79834	0.13303	0	0	0.07247
Healthy	18.16758	0	0	0	0	0	0		12.06107	0	0	0	0	0	0	0	0	0
Healthy	78.57875	0.09832	0.0657	0	0	0	0.0016		0.68422	0.12056	0.09832	0.03648	0.0657	0	0.03735	0	0	0
Healthy	64.93079	0	1.07337	0	0	0	0.40904		18.72938	0	0	0	1.07337	0	0.06825	0	0	0
Healthy	39.03604	9.39904	0.21451	0	4.54617	0	0.18958		5.48461	6.99607	9.39904	0.01927	0.21451	0.07517	0.8809	0	4.54617	0.0581
Healthy	88.7654	0.38656	0.11966	0	0	0	0.00253		1.21892	0	0.38656	0.20842	0.11966	0	0.02311	0	0	0
Healthy	79.91048	2.90482	0.07877	0	0	0	0.0383		11.90134	0	2.90482	0.07356	0.07877	0	0.01034	0	0	0
Healthy	64.14272	0.13452	1.39314	0	0	0	0.13826		6.58367	0.57014	0.13452	0.00636	1.39314	0.17643	0.02486	0	0	0
Healthy	38.36526	5.3394	0.03034	0	0.05478	0	0.35495		3.07898	0.01179	5.3394	0.01559	0.03034	3.08044	0.51579	0	0.05478	0.00271
Healthy	80.84169	0.00402	0.70225	0	0	0	0.02838		1.71238	1.06722	0.00402	0	0.70225	0	0	0	0	0
Healthy	25.1195	0.00781	0.88008	22.5247	0.00368	0	0.37016		13.19326	1.57348	0.00781	0.75851	0.88008	0	1.03495	22.5247	0.00368	0.08429
Healthy	55.82578	0	0.08336	1.47114	0	0	0		23.45088	0	0	1.65013	0.08336	1.90301	7.32767	1.47114	0	0.08412
Healthy	27.29133	1.88746	1.38138	0	0	0	0.05407		12.8256	29.09458	1.88746	0	1.38138	0.42914	0	0	0	0
Healthy	78.2146	0	0	0	0	0.39408	0		11.33591	0	0	0	0	0	0.43276	0	0	0
Healthy	64.69453	1.46273	0.56976	0	0	0	0.03475		17.3938	1.11818	1.46273	0.43462	0.56976	0	0.07146	0	0	0.00613
Healthy	79.61067	2.74832	0.06262	0	0	0	0.04609		11.91696	0	2.74832	0.09803	0.06262	0	0.00254	0	0	0
Healthy	46.96026	0.3539	0	0	0	0	0		28.14546	0.05685	0.3539	0.75909	0	0.18105	0	0	0	0.04315
Healthy	33.30529	0.24621	1.2693	0.26395	0	0	0		20.27504	0.50648	0.24621	0.03125	1.2693	0	0.1551	0.26395	0	0.03226
Healthy	69.58044	0	0.0624	0	0	0	1.64987		1.00013	0.11493	0	0	0.0624	0.02876	0.56566	0	0	0
