group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0	0	0	0.02061	0	0	0	0	2.80683	3.32457	1.15908	0.04311	0	0.71018	0	0	0.24334	0
Healthy	0	0	0	3.66252	0.02082	0	0	0	0	0	0.386	0.41235	1.73905	0.18758	1.44167	2.31782	3.66252	0	0.01697	0.0386
Healthy	1.87074	17.7284	0.00127	0	0	0	0	0.00045	0	0	0	0	3.48437	0	0	0.69215	0	0	0.06115	0.0178
Healthy	7.92981	0	0	13.66	0	0.0342	0	0	0	0	0	0	0.50096	0.07048	2.12136	0.98932	13.66	0.5457	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	6.52691	0	0	0	0	0	0	0	0	0
Healthy	0	4.33873	0	0	0.05059	0	0	0	0	0	0	0.31304	3.9656	0	0	0.84408	0	0.01507	0.08967	0
Healthy	1.35237	0	0	0.4474	0	0	0	0	0	0	0	0.14517	0.01794	2.20838	0	0	0.4474	0	0	0.0029
Healthy	0	0	0	0	0	0.04662	0	0	0	0	7.61668	1.91331	0.83211	0.91984	0	1.23081	0	0	0.11188	0
Healthy	0	0	0	0	0	0.0273	0	0	0	0	2.84921	3.49853	1.25899	0.06314	0	0.77326	0	0	0.26229	0
Healthy	0	0	0	0.07713	0	0	0	0	0	0	0	0	0	0	0.04924	0	0.07713	0	0	0
Healthy	0	0	0.00805	0	0.01136	0	0	0	0.00032	0	0.82615	0	0	0	0	0	0	0.00155	0	0
