group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	0.2867	1.26394	0.68619	0.32681	0.00437	0	0.96563	0.04975	0	0	37.01449	0.2867	1.00992	0.0042	0	0.04975	0.79541	0.02808	0.29282	0
Healthy	1.01616	0.82616	5.62385	1.20433	0.51673	0	1.24073	0.29215	0	0	10.67673	1.01616	0.1118	0	0	0.29215	0	0.02259	0.56328	0
Healthy	25.34291	10.02603	0.68543	5.29069	25.358	0	0	0.22287	0	0.01785	18.87722	25.34291	0	0	0	0.22287	0	0	0.57913	0
D015179	14.79117	4.12206	0.07787	1.84546	6.18209	1.17672	1.68231	0.48214	0	0.86522	16.2041	14.79117	0.17891	0	1.17672	0.48214	0.45946	0.99219	0.24409	0
Healthy	9.43879	5.53352	0.63357	1.37642	0.53875	0.0264	0.38018	0.02321	0	0	46.32682	9.43879	0	0.01784	0.0264	0.02321	1.94002	0	0	0
Healthy	6.33331	4.09189	7.85793	3.22177	5.195	0.50179	0.22602	0	0.0182	0.98088	27.71683	6.33331	0.61563	0.67731	0.50179	0	2.21731	0	0.28536	0
Healthy	0.00094	0	0	0.02275	0	0	0	0	0	0	0.05164	0.00094	86.41751	0	0	0	0	0	0	0.22892
Healthy	21.55607	3.79106	0	0	0	0	0.02688	0.09358	0	0	34.59584	21.55607	0	5.18226	0	0.09358	0.83263	0	0.0673	0
Healthy	0	0	0	89.8523	0.00841	0	0	0.00367	0.02357	0	0.00012	0	3.966	0	0	0.00367	0	0	0.02798	3.58269
Healthy	1.72277	1.07413	0	0.11834	1.66666	0	0	0	0	0	83.77259	1.72277	0.09795	0.58962	0	0	0	0	0	0
Healthy	1.17854	0.74249	0.1764	0	0	0	0.11605	0	0	0	23.28354	1.17854	0	0.11326	0	0	0.67172	0	0	0
Healthy	4.22058	0.81966	0	0.43511	0	0	0.571	0.25024	0	0	28.01658	4.22058	0	0.26844	0	0.25024	0.79281	0	0	0
Healthy	12.86174	10.96303	0.07202	1.32525	1.05654	0	0.14202	0	0	0	39.59788	12.86174	0.08321	0.51581	0	0	0	0	0.10518	0
Healthy	26.41081	2.1399	0.07529	0.01689	0.01073	0	0.01375	0.00441	0	0	57.95917	26.41081	0	0.11734	0	0.00441	0	0	0	0
D015179	3.48431	1.06471	5.58658	3.70713	54.695	6.40475	0	0.67865	0.66106	0	8.025	3.48431	0	0	6.40475	0.67865	0	0	2.70439	0
Healthy	5.7435	3.55799	0.96809	4.34504	0.14766	0.0539	0	0.00552	0	0	45.98027	5.7435	0.15123	0.23778	0.0539	0.00552	0.77438	0	0	0
D015179	21.11907	10.70593	3.27708	0.00974	0	0.01398	0.72642	0.00806	0	0	31.08967	21.11907	0.23465	2.50479	0.01398	0.00806	1.13477	0	0.87816	0.02719
Healthy	1.35877	0.93393	0.65772	0.06193	0.83505	0	0.13383	0.04713	0	0	64.4191	1.35877	0	1.5313	0	0.04713	0.14977	0	0.00711	0
Healthy	26.62906	18.12004	2.3538	0.0216	0.00071	0	0.24	0.04653	0.00354	0	28.08373	26.62906	2.8125	0	0	0.04653	0.67975	0	0.02471	0
