group	Faecalibacterium_sp900539885	Enterocloster_aldenensis	Mediterraneibacter_torques	Blautia_A_wexlerae	Bariatricus_comes	Dorea_formicigenerans	Streptococcus_thermophilus	Coprococcus_A_catus	Muricomes_sp000509105	Lactococcus_lactis_E	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	2.59441	0.79534	0.49574	0.66445	0.62703	0.68194	0	0.29771	0	0	0	0	0	0.79118	0	0	0	0	0	0
D015179	8.23773	0.23981	0.30568	0.02987	0.997	0.27714	0	0.07916	0.00052	0	2.625	6.15665	0	0.02447	0	0	0	0.0071	0.24223	0
Healthy	7.91572	2.08235	0.09135	0.29839	0.78451	0	0	0.3148	0	0	2.12965	0.48798	1.30531	0.9126	1.52523	0.8471	0	0.00222	0	0
Healthy	4.06832	0.50451	0.03854	0.1194	0.27715	0.08105	0	0.21873	0	0.03976	0	0	0	0.13232	6.00307	0	0	0	0	0
Healthy	1.13008	0.05919	0.01505	0.04908	0	0.01672	0	0	0.02914	0	0	5.17118	0	0.00178	0	0	0.00235	0.0042	0.00519	0.07836
Healthy	0.82616	0	0.0062	0.32589	0	0.07593	0	0	0	0	0	0.66787	0	0.15205	0	0	0	0	0	0
Healthy	10.0244	10.319	0.10502	2.57677	5.67344	0	0	0	0.00396	0	0	0	0	4.4287	0	0.12081	0.23493	0	0.00485	0.05252
D015179	2.61818	0.68033	0.21686	1.29226	2.13253	0.55579	0.04872	0.20861	0.124	0.21477	1.22958	2.95848	0	0.81741	0.99219	0	0.03427	0	0.00411	0.01349
Healthy	3.84259	0.39147	0.74578	0.23815	0.02105	0.04307	0	0	0	0	0	2.39481	0	0	0	3.81337	0	0.01784	0	0
Healthy	3.94491	1.36094	0.07929	0.38828	0.59005	0.13667	0	0.09934	0	0	0	0	0	0.31153	0	4.51473	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.01675	0	0	0	0	0	0	0	0	0
Healthy	3.79106	0	0.1845	0.1208	0	0.02254	0	0.023	0	0	0	0	0	0	0	2.14474	0	0.20827	0	0.01664
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25159
Healthy	1.07413	0	0	0	0	0	0	0	0.06906	0	0	10.7648	0	0	0	0	0.31864	0.58962	0.38907	0.039
Healthy	0.74249	0	0.01772	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98643	0	0.02266	1.17769
Healthy	0.81966	0.02608	0.03468	0.0369	0	0.18785	0.25024	0	0	0	0	0	0	0	0	0	0.02133	0	0	0.10917
Healthy	10.6545	0.58052	0.43797	0.57222	0.27043	0.16507	0	0	0	0	0	0.38557	0	0.9071	0	1.17	0	0	0.02605	0.00252
Healthy	2.10815	0.47482	0.58787	0.1772	0.15252	0.09942	0	0.06872	0	0	0	0	0.47009	0.22621	0	0	0	0	0	0
D015179	1.06471	1.18162	0	0.50491	0	0	0.61692	0.29919	0	0	0	0	0	0	0	0	0	0	0.3257	0
Healthy	2.37578	0.04264	0	0.03083	0.01423	0	0	0	0	0	0	0	0	0.02999	0	0	0	0.23778	0	0
D015179	0.80449	1.12356	0.076	0.06004	0	0.2136	0	0	0.01044	0.00806	0	0	0	0.66573	0	0	13.8276	0	0.36112	0.21765
Healthy	0.93393	0	0.0951	0.00565	0.08845	0.06279	0.04713	0	0	0	1.504	11.3558	17.3552	0	0	0.84124	0	0	0	0.01706
Healthy	17.91	0.08359	0.00798	0.29976	0.19765	0.27478	0	0.11152	0	0	0.01107	3.14765	4.26576	0.42331	0	0	0.01131	0	0.01224	0.00382
Healthy	0.12429	0.30085	0	0.13302	0.50109	0.1677	0	0	0	0	0	0	0	0.4936	0	0	0	0.04874	0	0
Healthy	5.23795	0.30949	0.65831	0.42806	0.62476	0.51624	0	0.23379	0	0.13	0	0	0	0.32437	0	0	0	0	0	0
Healthy	2.62326	0.36316	0.28385	0.21301	0.5826	0.2229	0	0.07185	0.01663	0	0.32132	0	0.11315	0.18274	8.28949	0	0	0	0	0
Healthy	62.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.43183	0.04387	0.03624	0	0.05664	0	0	0	0	0	0	2.09355	0	0	0.86272	0	0	0	0	0
D015179	4.17588	1.80901	0.08777	0.94629	1.12859	1.17863	0.17662	0.29121	0.00669	0.15108	0	4.54673	11.7962	0.57546	0	0.27453	0.00085	0.00152	0	0
Healthy	1.84929	0.37487	0.70411	0	0.04993	0.00989	0	0	0	0	0	3.49499	0	0	0.06803	0	0	0	0	0
Healthy	5.51072	0.28899	0.03261	0.2328	0	0.01748	0	0.19834	0	0	0	0	1.74234	1.40782	0	0	0	0.0586	0	0
Healthy	0.17685	0	0.04471	0.31212	0.79959	0	0.01339	0	0.00591	0	0	0	0	3.00802	0	0	1.04231	0	0.00579	0.03893
Healthy	6.71157	0.89985	0.0162	0.99415	0.81399	0	0.1143	0	0.06166	0	0	0	0	0.15216	1.22966	0	0.04571	0	0	0
Healthy	5.37472	0.41058	0.15385	0.12754	0.51643	0.13158	0	0	0	0	0	17.3947	0	0.39885	0	0	0	0.1002	0	0
Healthy	0.53665	0.07476	3.84915	0	0.02666	0	0	0	0	0	0	0	0	0	3.19845	0	0	0	0	0
Healthy	2.67302	2.01212	0.11555	2.84013	0.26241	2.54844	0	0.59075	0	0.20201	0	0.82445	0	5.83452	0	0	0	0	0	0
Healthy	0	0	0.35605	0	0	0	0	0	4.07451	0	0	0	0	0	0	0	0	0	0.17018	0.04332
D015179	0.61855	0	0.11711	0.41667	0	0	0	0	0.01039	0	0	0	0	0.02855	0	1.5059	0.96627	0	0.04993	0.00238
Healthy	8.95456	0	1.25114	2.43898	0	0	0	0	0	0.02047	0	0	0	0	0	0	1.09541	0	0.92036	0
D015179	7.30561	0.52934	0.09119	0.74938	0.52682	0.06444	0.04333	0.5446	0.1609	0	0	0	0	0.08271	0.0392	0	0	0	0.00574	0
Healthy	2.46552	0.06701	0.02691	0.13568	0	0.01852	0	0	0	0	0	0.73884	0	0.08323	0	0	0.01502	0.01275	0.02305	0.10445
D015179	1.9523	0	4.45246	0.22191	0	0	0	0	0	0	0	0	0	0	0	3.33978	0	0	0	0
Healthy	0.77987	0.19451	0.36132	0.40834	0	0.79977	0.06187	0	0	0	0.1129	0.36726	0	0.86242	1.01512	0	0	0	0	0
Healthy	8.27035	0.08633	1.07663	0.23099	0.33604	0.17601	0	0.05872	0.00123	0	0	0	0	0.27006	0	1.66759	0.01869	0	0	0.00594
Healthy	0.71987	0.05055	0.99917	0	2.12341	0	0	0	0	0	1.2508	1.85912	7.30243	0.02937	0	0	0	0.0234	0	0.05866
Healthy	13.8765	3.12286	0.50233	1.28674	0.98779	1.05475	0	0.07321	0.00189	0.01771	0	0	0	3.90154	0	0	0	0	0	0
Healthy	0.11471	0	0.00737	0.15075	0	0	0	0	0.04164	0	0	0	0	0	0	0	0.08032	0.00705	0.01988	0.01393
Healthy	3.3535	0.04111	0.08777	0	0.09443	0	0	0.02139	0	0	0	1.96435	0	0	0.80514	0	0	0	0	0
D015179	6.28907	0	0.07856	0.68948	1.00622	0.03931	0.05429	0.14126	0.04195	0	0	0.60524	0	0.03064	0	0	0.20392	0	0	0
Healthy	16.6374	0.26654	0.20555	0.20733	0.36895	0.22893	0.37988	0.22769	0	0	0	3.03237	0	0.48446	0	0	0	0	0	0.00771
Healthy	1.67666	0.01072	0	0	0	0.00637	0	0	0	0	0	0	0	0	0	0	0	0.11666	0	0
Healthy	0.82745	0.07853	0.1428	0.08157	0.07025	0.01205	0	0.02476	0.01123	0	0	0	0	0.07101	0	0	0.07188	0.27735	0	0.08755
Healthy	3.30743	0.4664	0.18777	0.25761	0.7908	0.36276	0	0.17589	0	0	0	0	0	0.36709	0	0	0	0.00491	0	0
D015179	4.1418	8.40465	0.16136	3.11089	0	5.62523	0.55365	0.56293	0	0	0	0.2864	0	4.27327	0	0	0.01242	0.0101	0	0.07562
Healthy	9.70149	0.66465	0.4069	0.53567	2.37879	0	0	0	0	0	0.09981	0.57855	0	2.07775	0	0	0	0	0	0
Healthy	0.23802	0.79934	0.08099	0.43257	0.70173	0.42913	0	0.0507	0	0	2.45756	0	0	1.01417	2.18475	0	0	0	0	0
Healthy	1.4141	0	1.01673	0	0.20999	0.01714	0	0	0.02943	0	0	5.86584	0	0	0	0	0.01282	0	0	0
Healthy	1.45529	0	0	0	0	0	0.01292	0	0	0	0	0	0	0	0	0	0.61109	0	0.03436	0.08548
Healthy	11.1457	0.14405	0.00203	0.32221	0.26633	0.10267	0.23288	0.15632	0	0	2.29387	8.05185	0	0.16832	0.00113	0	0	0.01433	0	0.01783
Healthy	31.1106	0	0.10179	0	0	0.00131	0	0	0.14875	0	0	0	0	0	0	0	0.43082	0.01751	0.40084	0.2382
D015179	6.45876	0.11335	0.13056	0.5061	1.31631	0.41966	0	0.35433	0	0	0	0	0	0.28607	0	0	0	0.07943	0.00599	0
D015179	10.8982	0	0	0.02734	0.51936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.55691	0	0.02376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34626	0.63302	0.12848
Healthy	7.30624	0.07968	2.98779	0.88487	0.05153	0.89458	0	0	0	0	0	0	0	0.82993	0	0	0	0	0	0
Healthy	3.13912	0.36575	0.2029	0.26133	0.40466	0.09499	0	0.16394	0	0	0	0	0.42546	0.1047	1.31009	0.84994	0	0.00946	0	0
Healthy	4.21366	0	0	0.01581	0.05616	0.01103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	10.2684	2.0934	1.06834	0.83816	1.21033	0	0.08387	0.49605	0	0	0.2694	1.34618	0	0	1.07483	0	0	0	0	0
Healthy	0.39654	0	0	0	0	0	0.45334	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.37565	0	0.10634	0.02511	0.21317	0	0	0	0.03884	0	0	0	0	0	0	0	0.08853	0	0.15742	0
Healthy	22.7591	0	0.02141	0.00858	0.05127	0	0	0	0.00592	0	0	0	0	0.03732	0	0	1.26311	0.00056	0.00845	0.00188
D015179	6.62706	0.18616	1.19181	5.02316	0	0	0	0.80635	0	0	0	0.43152	0	2.13262	0	0	0	0	0	0
Healthy	0.00433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.87864	1.22495	0.41708	0	0.31106	0	0	0	0	0	0	0	2.14077	0	0	0	0	0	0	0
Healthy	7.02649	5.10983	1.53919	0.34818	0.15486	0.45702	0	0.85949	0	0	0.08027	0.15159	0	0.26443	0	0	0	0.06954	0	0
D015179	0	0.34557	0.17632	0	0.41889	0	0	0.03936	0	0	0	0	0	0	0	0	0	0	0.78033	0
