group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phytobacter_ursingii	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Bacteroides_salyersiae	Parasutterella_excrementihominis	Ruminococcus_C_callidus	Enterocloster_citroniae	Bacteroides_uniformis	Lachnospira_eligens_B	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Mediterraneibacter_torques	Blautia_A_wexlerae	Streptococcus_thermophilus	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	11.1457	0	0.05543	0	0	2.65692	0	0.01433	0.054	0	6.26392	3.1851	0.37782	0.16832	0.00203	0.32221	0.23288	0	0.15632	0.00714
Healthy	31.1106	0	0	0.24207	0	0	0	0.01751	0.27168	0	12.0879	0.22327	0.23798	0	0.10179	0	0	0	0	0
D006973	42.0951	0	4.85616	13.5339	0	0	0	0.00165	0	0.0206	0.39095	0	0.30946	0	0.01894	0	0	0.01325	0	0
D006973	0.90803	0.1111	0.94529	0	0	0	0.00632	0.00104	0.00839	0.00463	0.50226	0	0.11993	0	0.00524	0	0	0.00673	0.0054	0
Healthy	0.55691	0	0.71618	2.0968	0	0	0	0.34626	0	0	0	0	0	0	0.02376	0	0	0.26641	0	0
Healthy	7.30624	0	0	0	0	0	0	0	0	0	3.98874	1.22114	1.33746	0.82993	2.98779	0.88487	0	0	0	0
Healthy	3.13912	0	0	0.09698	0.42546	0	0.84994	0.00946	0	0	0.93616	2.277	0.69388	0.1047	0.2029	0.26133	0	0.01816	0.16394	0.00932
Healthy	4.21366	0	7.27125	0.02507	0	0	0	0	0	0	11.1385	0.01957	0.82931	0	0	0.01581	0	0.00472	0	0.15579
Healthy	10.2684	0	0	1.49435	0	0	0	0	0	0	7.54894	2.92155	1.55615	0	1.06834	0.83816	0.08387	0	0.49605	1.41636
Healthy	0.39654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45334	0	0	0
Healthy	1.37565	0	0	0	0	0	0	0	0	0	0	10.1209	1.72676	0	0.10634	0.02511	0	0	0	0
Healthy	22.7591	0	0	0	0	0	0	0.00056	0	0.00389	4.43025	0	0	0.03732	0.02141	0.00858	0	0	0	0.04992
Healthy	0.00433	0	10.2882	55.0788	0	0	0	0	0	0	0.1714	0	0	0	0	0	0	0	0	0
Healthy	2.87864	2.12059	0	0.57325	2.14077	0.99546	0	0	0.00839	0	8.44377	0	3.69719	0	0.41708	0	0	0	0	0
Healthy	7.02649	6.79792	0	0	0	0	0	0.06954	0	0	1.65333	4.40925	0.57393	0.26443	1.53919	0.34818	0	0	0.85949	0.00383
Healthy	1.23252	0	0	33.3132	3.26995	0	0	0	0	0	1.31026	0	1.59286	0.17258	0.00717	0.18999	0	0	0.00888	0
Healthy	0.36953	0	0.02488	5.37164	0	0	0	0	0	0	5.35842	0.65103	1.99986	2.54507	0.25141	0.60366	0	0	0.12536	0
D006973	3.32781	59.277	0.70252	0.53022	0	0	0.00072	0.04937	0.15821	0	0.36031	0.0033	0.09045	0	0.03492	0.0023	0	0.16181	0.00165	0
Healthy	1.44314	27.3794	2.87328	0	0	0	0	0	0	0	7.51717	0.76122	0.26369	0	0.03155	0.02905	0.03426	1.94449	0	0
Healthy	0.66465	0	0.03586	0	0.06923	2.77506	0.57246	0.00138	0	0	4.90994	3.11006	3.21586	0.60179	0.1793	0.29519	0	0	0.09282	0
Healthy	0.10161	0	0	1.15581	0	0	0	0	0	0	10.632	0	0	0	0.20743	0	0	0	0	0
Healthy	14.5544	0	0	0.00483	0	0	0	0	0	0	2.3252	13.9746	2.43684	0.45317	0.15802	0.4357	0	0	0	0
Healthy	6.69399	0	0	26.8642	0	0	0	0	1.76167	0.03897	7.44974	0.08444	0.13283	3.01429	0.02281	0.71833	0	0.41728	0.15931	0.20868
Healthy	1.72603	0	0	0	0	0	0	0.01241	0.03379	0	7.89914	0.13279	0.18626	0.0073	0.02991	0	0	0.02694	0.00937	0
Healthy	9.43876	21.8334	0.19882	0.18994	0	0	0	0	0.30472	0	0.55906	0.56648	0.81492	0.19956	0.10851	0.38947	0	0.00668	0.39206	0
Healthy	3.42137	37.0762	0.78242	0	0	0	0	0	0	0	1.45175	0.75463	0.45198	0	0.06401	0	0	0.02943	0.00195	0
Healthy	7.64183	0	4.77427	1.82775	0	0	0	0	0	0.00043	4.18926	5.15313	2.25801	0.16639	0.04036	2.27022	0.1951	0.00079	0.21618	0.01142
Healthy	44.3123	0	0	0	0	0	0	0	0	0	4.07815	0	1.54296	0	1.99748	0	0	0	0	0.89561
Healthy	5.06867	0	14.1167	0.09832	0	15.8139	0	0.00305	0	0	1.96079	0	0	0.01332	0.00668	0.04375	0	0	0	0
Healthy	3.78617	0	3.43418	0	0	0	1.53536	0.12849	0	0	0.04291	0.55978	1.50279	0.0201	0.02481	0.04747	0	0.26179	0	0.06162
Healthy	0.82079	0	0	9.34072	0	0	0	0.00271	0	0	8.4556	0.52755	0.01342	0.39557	0.06565	0.06503	0	0.11803	0.12609	0.02265
Healthy	0.46508	0	0	0.38656	0	0	0	0.11966	0	0	11.2962	0	0.39841	0.00928	0.14083	0	0.20842	0	0	0
Healthy	0	0	0	2.74432	0	0	0	0.07877	0	0.18014	25.5043	0	0	0	1.25518	0	0.07356	0	0	0
Healthy	4.43563	0	0.03032	0.09232	0	0	0	0.00641	0	0	2.37081	3.29176	0.15912	0.04734	0.17724	0.1027	0	0.02118	0	0.03016
Healthy	0.4021	0	0.00793	5.3394	0	0	0	0.01428	0	0.00865	3.3072	0.03934	0.02034	0.01762	0.55596	0.11723	0	0	0	0.04885
Healthy	1.65404	0	0	0	0	0	0	0.00873	0.01788	0	16.2921	0.13869	0.18489	0.01828	0.03631	0.00329	0	0.02461	0	0
Healthy	6.05802	5.61313	0.96243	0.00681	0	0	0	0.00842	0.0004	0	0.20652	0.42926	1.63574	0.6216	0.02615	0.24514	0	0.89575	0.33369	0
Healthy	1.00071	26.4025	0	0	0	0	0	0.08336	0	0	5.18718	2.17445	5.24745	1.08564	0.05191	0.57152	1.50261	0.04706	0.11822	0
Healthy	13.6637	0	1.58346	1.88746	0	0	0	0	0.11252	0	6.65653	1.02259	0	1.43622	0.81629	0.50349	0	0	0.16628	0
Healthy	3.19307	64.6746	0.65139	0	0	0	0	0	0	0	0.7642	4.63416	3.35396	0	0.79942	0.11172	0	0	0	0
Healthy	7.34323	19.2902	0	0	0	0	0	0	0	0	7.84088	4.59816	0.4172	0.97938	0.06038	0.66603	0	0	0.35481	0.03878
