group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	16.88011	2.3527	0	0	0	0	0	0.07931	0		16.88011	10.55098	0.23943	0	0.19327	0.18038	1.48318	0.05935	0	0
Healthy	29.92045	1.46189	0	0	0	0	0	0	0		29.92045	1.06491	50.7413	0	0	0	0	0.30319	0	0
Healthy	40.12699	9.42381	0	0	0	0	0	0.27818	0		40.12699	13.90556	2.8454	0	0.002	0.08119	0	0.21886	0	0
D001172	26.41398	14.95759	5.75284	0.04765	0.39099	0.05607	0	0.41827	0.00687		26.41398	0.45545	0.07154	0	12.37239	0	0	0	0.04765	0.39099
Healthy	42.92261	6.22563	0	0	0	0	0	0.06189	0		42.92261	3.22808	2.0217	0	4.30761	0	0	0	0	0
Healthy	34.79275	4.19445	0.36426	0.14732	0.23996	0	0	0	0		34.79275	29.34344	4.8622	2.47331	0.00901	0	2.0658	0	0.14732	0.23996
Healthy	24.58404	0.00068	0.91721	7.29344	0	0	0.29223	0.03312	0		24.58404	0	0.10923	0	0	0	0	0.04847	7.29344	0
Healthy	46.90884	3.30467	0.14705	0	0	0	0	0	0		46.90884	15.4521	4.39784	2.80683	0.24334	0.04311	0.71018	0	0	0
Healthy	32.3303	6.6407	0.05728	0.03268	0.02082	0	0	0.00917	0		32.3303	13.80833	9.50977	0.386	1.45864	0.18758	2.31782	0.16032	0.03268	0.02082
Healthy	30.68269	11.28753	0.18304	0	0	0.31151	0.05257	0.03859	2.79265		30.68269	6.87355	2.35053	0.00036	0.09001	0	0.69215	0.08495	0	0
Healthy	35.65422	3.9338	0.09665	0	0	0	0	0.00649	0		35.65422	6.24841	6.40451	0	2.12136	0.07048	0.98932	0.02795	0	0
Healthy	27.85964	1.53945	0	0	0	0	0	0	0		27.85964	0.62418	0.42982	6.52691	0	0	0	0.30461	0	0
Healthy	34.30152	11.17958	0.10061	0.04899	0.05059	0.02658	0	0.04105	0		34.30152	2.55539	1.44495	0	0.14328	0	0.84408	0.08893	0.04899	0.05059
