group	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
D015179	6.45876	0.11335	0.25126	0.5061	1.31631	0.41966	0.10766	0.35433	0	0	0	1.26434	0.11335	0.28607	0	0.5061	0.07943	0.00599	0	0
D015179	10.8982	0	0.1469	0.02734	0.51936	0	0	0	0	0	0	0.71895	0	0	0	0.02734	0	0	0	0
Healthy	0.55691	1.99695	0	0	0	0	0	0	0	0	0	0.02376	1.99695	0	0	0	0.34626	0.63302	0	0
Healthy	7.30624	0.07968	0	0.88487	0.05153	0.89458	0.25493	0	0	0	0	3.65165	0.07968	0.82993	0	0.88487	0	0	0	0
Healthy	3.13912	0.36575	0.15766	0.26133	0.40466	0.0981	0.0451	0.16394	0	0	0	0.58388	0.36575	0.1047	1.31009	0.26133	0.00946	0	0	0
Healthy	4.21366	0	0.09721	0.01581	0.05616	0.01103	0	0	0	0	0	0.31967	0	0	0	0.01581	0	0	0	0
Healthy	10.2684	2.0934	0	0.83816	1.21033	0	0	0.49605	0	0	0	1.06834	2.0934	0	1.07483	0.83816	0	0	0	0
Healthy	0.39654	0	1.31584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.37565	0.14842	0	0.02511	0.21317	0	0.14375	0	0.03884	0	0	0.10634	0.14842	0	0	0.02511	0	0.15742	0.03884	0.09404
Healthy	22.7591	1.267	3.60873	0.02943	0.05127	0	0	0	0.00592	0	0	0.02141	1.267	0.03732	0	0.02943	0.00056	0.00845	0.00592	0.01138
D015179	6.62706	0.18616	3.51881	5.02316	0	0	0	0.80635	0	0	0	1.19181	0.18616	2.13262	0	5.02316	0	0	0	0
Healthy	0.00433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.87864	1.22495	0.78351	0	0.31106	0	0.06169	0	0	0	2.12059	3.4149	1.22495	0	0	0	0	0	0	0
Healthy	7.02649	5.10983	0.41707	0.34818	0.15486	0.45702	2.46665	0.85949	0	0	6.79792	9.01518	5.10983	0.26443	0	0.34818	0.06954	0	0	0
D015179	0	3.41904	0	0	0.41889	0	0	0.03936	0	0	0	0.17632	3.41904	0	0	0	0	0.78033	0	0
Healthy	1.23252	0.4649	0.00433	0.18999	0.31742	0.13819	0	0.00888	0	0	0	0.55036	0.4649	0.17258	0	0.18999	0	0	0	0
