group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Burkholderiaceae	Coriobacteriaceae	Desulfovibrionaceae	Micrococcaceae		Lachnospiraceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Methanobacteriaceae	Streptococcaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	44.30969	5.37472	0	0.1002	0.31569	0	0		29.12875	1.5306	6.0946	0	0	0	0.31569	0.02712	0	0.01904
Healthy	57.65788	1.35423	0	0	0	0	0		20.95243	0.11864	4.21521	0.20778	0	0.8025	0	0	0	0
Healthy	10.76303	2.67302	0.0911	0.16065	3.24867	0	0		38.42361	0.08661	0	4.13991	3.06148	0.20201	3.24867	0	0	0.51527
Healthy	0	0	3.81252	0.00158	0	0	0		35.15934	0	0	0	0	1.28005	0	0.04332	0	0.03904
Healthy	22.0643	8.95456	0.47522	1.67502	0	0	0.0396		22.27209	0	0	0	0	0.23032	0	0	0	0.13451
Healthy	15.46975	2.58941	0.34649	0.01275	0.6914	0.66408	0		0.65685	6.13296	2.25608	2.14547	0	0.0582	0.6914	1.13938	0.66408	0.0223
Healthy	15.45515	0.93829	2.71161	0	2.27129	0	0		6.95679	0.56763	1.28553	0	0	16.77604	2.27129	0	0	0
Healthy	58.28202	8.27035	0.07952	0	0	0.06978	0		10.2726	3.67041	0	0	0	0.17892	0	0.06439	0.06978	0.11806
Healthy	19.05947	0.71987	0.08088	0.0234	1.0791	0.00756	0		6.52439	1.13924	5.52631	2.67909	0	0	1.0791	0.07299	0.00756	0
Healthy	14.09378	17.86356	0.03375	0.08772	4.32512	0	0.04553		17.31738	1.44797	0.00231	3.83289	0	0.27012	4.32512	0	0	0.00776
Healthy	9.11642	3.93808	10.2181	0.28406	1.19682	0.45505	0		0.38881	2.9639	1.98079	0	0	0	1.19682	0.10104	0.45505	0.15215
Healthy	53.17229	3.3535	0	0.09557	0.28366	0.33848	0		3.13409	1.02204	0	0.76415	0	0.05589	0.28366	1.33726	0.33848	0
Healthy	31.38157	17.47799	0.06381	2.51045	0.7939	0.00124	0		8.78889	1.94101	0.07926	1.78582	0	0.45117	0.7939	0.05911	0.00124	0.04004
Healthy	54.35535	1.67666	0.06157	0.11666	0	0	0		1.4222	1.11256	0.17536	0	0	0	0	0.00889	0	0.00233
Healthy	29.52946	1.132	0	0.27735	0.67999	0.1094	0		4.3198	4.77866	4.53107	5.12769	0	0	0.67999	1.06876	0.1094	0.02894
Healthy	27.07981	3.44451	0	0.00491	0.05868	0	0		38.69933	6.14159	0.10581	0.39095	0.02465	0.01403	0.05868	0.08893	0	0.00077
Healthy	16.90852	18.91641	0	0	1.71217	0	0		24.09166	0	11.7396	0	0	0	1.71217	0	0	0
Healthy	39.98426	0.23802	0	0	0	0	0		37.42848	0.23185	3.13501	0.7484	0	0	0	0	0	0
Healthy	51.95529	1.42733	0	0.17416	0.20882	0.05044	0		14.87514	1.73586	0	2.78245	0	0	0.20882	0.04979	0.05044	0.02643
Healthy	92.81289	1.45529	4.2841	0	0	0	0		0.64545	0	0	0	0	0.01292	0	0.08548	0	0
Healthy	33.16603	11.38099	0	2.54517	0.12154	0.10707	0		20.44622	3.41828	0.49975	1.35632	0	0.34776	0.12154	0.08577	0.10707	0.00714
Healthy	51.54426	31.38395	0.27184	2.10393	0	0	0		11.94382	0	0.25985	0	0	0.10367	0	0.24252	0	0
D006973	7.27555	42.17287	13.72825	0.00165	0.50967	0.00631	0		3.85114	0.67941	0	0.01087	0	0	0.50967	0.24603	0.00631	0.03639
D006973	1.89802	0.91642	0.39174	1.56698	0.02083	0.00179	0.00107		0.43794	0.06668	0.00031	0.02266	0	0	0.02083	0.004	0.00179	0
Healthy	36.08333	0.55691	2.0968	0.34626	0	0.03142	0		2.68635	20.8589	0	3.09629	0	0	0	0.2224	0.03142	0
Healthy	24.83972	7.30624	0	0	0	0	0		32.47023	0	6.32555	1.05966	0	0	0	0	0	0
Healthy	6.66863	16.07999	0.09698	0.63021	0.15766	0.08154	0		51.48479	1.4179	1.73318	0.15532	0.18576	0.01797	0.15766	0.10294	0.08154	0.00932
Healthy	26.98137	4.35091	0.02507	0.51464	0.09721	0.55816	0		4.28305	11.76542	0.12041	1.08183	0	0	0.09721	0	0.55816	0.15579
Healthy	14.8924	10.34978	1.49435	0	0	0	0		38.09029	1.32036	10.8039	1.28148	0.11191	0.34649	0	0	0	1.54102
Healthy	0.35748	0.39654	0	0	1.31584	0	0		6.73804	0	0	0	0	0.45334	1.31584	0	0	0
Healthy	30.08327	1.46969	0	0	0	0	0		12.91336	49.3567	0	0	0	0	0	0.26918	0	0
Healthy	9.97773	25.29761	0	0.00056	3.60873	0.19041	0		21.6924	0.42677	0.55688	0	0	0	3.60873	0.0678	0.19041	0.08408
Healthy	19.51684	0.00433	55.0788	0	0	0	0.11153		0.0105	9.35592	0	0	0	0.00532	0	0	0	0.0026
Healthy	15.59111	3.22833	0.57325	0	0.78351	0	0		14.063	1.50099	0	0	0	0	0.78351	2.41601	0	0
Healthy	20.84947	7.11176	0	0.06954	0.41707	0	0.00583		41.68406	1.83515	0.24502	1.3095	0.20726	0.7126	0.41707	0	0	0.00383
Healthy	32.40716	1.23252	33.3132	0	0.00433	0	0		11.91339	0	1.96572	0.78884	0	0	0.00433	0.04376	0	0
Healthy	34.49539	1.69264	5.37164	0	0	0	0		26.02128	6.37725	2.58388	0.42416	2.44739	0.02733	0	0	0	0
D006973	61.44572	3.48602	0.53022	4.24834	0.04138	0.12266	0		0.31023	0.48616	0	0.40664	0	0	0.04138	0.00152	0.12266	0
Healthy	47.92944	2.88207	0	2.99685	0.64273	1.21704	0		3.89694	3.65243	1.49656	1.96991	0.00825	0.04903	0.64273	2.63969	1.21704	0
Healthy	23.88824	0.76115	0	0.03267	0	0	0		57.26534	2.13859	0	1.05127	0.21268	0.21686	0	0	0	0
Healthy	65.70584	0.10161	1.15581	0	0	0	0		2.30841	0	0	0	0	0	0	0.00677	0	0
Healthy	7.7264	14.5544	0.00483	0	0.46959	0	0		64.4011	0	0	0	0	0.0318	0.46959	0.00176	0	0.00709
Healthy	14.2738	8.48485	26.8642	0	0.8622	0.0392	0.01325		11.56562	0.01779	0.33886	2.89475	0	1.27155	0.8622	0.01155	0.0392	0.2489
Healthy	43.115	1.79093	0	0.7445	0.1628	0.0151	0		1.72941	6.20307	2.00529	0	0	0	0.1628	0.03959	0.0151	0
Healthy	24.94261	9.8181	0.18994	0.06486	0.59158	0	0.00101		46.51861	0.92997	0.01538	0.52702	0	0.4968	0.59158	0.00501	0	0.00141
Healthy	53.20443	3.42493	0	0.11834	0.22282	0.33033	0		3.10588	0.95668	0	0.79806	0	0.05237	0.22282	1.28496	0.33033	0
Healthy	19.65803	9.96325	1.84899	0.20459	1.02795	0.07805	0.02079		25.5392	1.63737	10.99563	0.83378	0.79834	8.13615	1.02795	0.01016	0.07805	0.01142
Healthy	11.22645	44.3123	0	0	0.90246	0	0		12.06107	0.07931	3.49728	0	0	0	0.90246	0	0	0.89561
Healthy	54.59408	5.07443	0.09832	0.0657	0.03568	0.0016	0		0.68422	3.13906	0.10545	2.03364	0	0.03648	0.03568	2.80825	0.0016	0
Healthy	19.53527	3.78617	0	1.07337	0.0603	0.40904	0		18.72938	9.16059	0.35928	2.7135	0	0	0.0603	0.35053	0.40904	0.06162
