c	Negativicutes	Coriobacteriia	Actinomycetia	Gammaproteobacteria
Healthy	0.597043255132234	-0.968874424268435	0.122530422981802	0.501999443521579
Healthy	0.965537055768076	-0.628802792677705	-0.456751684088406	-0.547937422579577
Healthy	0.278014672065929	-1.73683753503778	0.394122332740608	-0.0410158810572654
Healthy	0.781603883546812	-5	-0.461262933824195	-0.807126028457478
Healthy	-5	-5	-5	-5
Healthy	-1.47146893936459	-5	-0.495325291230117	-0.00137018679696171
Healthy	-0.426989074326613	-0.639311937969322	-0.218309235944093	0.213783299335304
Healthy	0.364320185775914	-0.540441667545867	1.44570241432509	0.134476737534991
Healthy	0.421116717448923	-0.354538429761157	-0.107488007097764	-2.52578373592374
Healthy	-5	-0.793605935569126	-0.922632094715843	-0.917286419828668
Healthy	0.386068917092623	-0.345861978187868	-0.923359556329658	-1.73541827076192
Healthy	-1.11781711236973	-1.03597620715997	-1.12441789567211	0.91410504981628
Healthy	-5	-5	-5	-0.32652751393593
Healthy	-0.276363751548955	-0.863120960124483	-0.44073991388689	-0.484232094691555
Healthy	0.770695932022493	-5	-0.597154218344275	-0.611667852142784
Healthy	-5	-0.290484121553302	0.031432703267206	-0.138716560793675
Healthy	-1.12499664639996	0.105186472189279	0.71745746342628	0.152795744228193
Healthy	-0.104660342496373	-0.57436797644268	-0.817670959383294	-1.32376378323669
Healthy	0.224450183956584	-1.14496568332412	-0.181991968284596	-0.50619353784942
Healthy	0.721269676607568	-5	-0.321836849737658	0.615774405540379
Healthy	0.410444849855314	-1.22701854965504	-0.415759263075635	1.19040510174362
Healthy	-5	0.364648536507682	0.966653663632349	0.30496204994215
Healthy	-0.480172006224281	-5	-5	-1.48492132492408
Healthy	0.270175554788268	-0.558729156579501	0.387265215784175	-0.215247234325595
Healthy	-5	-0.859774874733552	0.409735364482449	-0.607285464323705
Healthy	-5	-1.61762269653189	-0.452286813768297	-0.0874591172093625
Healthy	0.6558757249061	-1.3082114755973	-0.648880390262328	0.761866221337698
Healthy	0.224771250660267	-0.988683356633128	0.151133789808104	-0.834458923277627
Healthy	0.955189685433538	-0.175412119479715	-1.61207653302656	0.120211868257074
Healthy	-0.344304641900412	0.27918539494919	-0.152162156740792	0.886993538765038
Healthy	-5	-5	-5	-5
Healthy	-0.931999773854828	-1.07582412969808	-5	-5
Healthy	0.171878503215528	-5	-5	-5
Healthy	1.01605130894559	-5	-1.24802842526367	-0.0288587291620607
Healthy	-5	-5	0.546896617258921	-1.06203099704855
Healthy	0.170871646707303	-0.322593818020057	1.32129761310419	1.33742032279846
Healthy	-1.4611750110621	-0.0418471949363721	1.13911399163532	-1.98927613460823
Healthy	-1.86806070478958	-0.647528048701048	-0.0133133420575451	-0.753378337304012
Healthy	-5	-1.30909544594503	-5	0.493151217795686
Healthy	-1.45050628678499	-0.797021539262935	0.195298970297093	0.561010697311624
Healthy	0.00260229774101594	-0.387258515540594	0.0856722470326413	0.298197867109815
Healthy	0.611898477051448	0.0956365334798654	0.532080126303614	-0.116389661320575
Healthy	0.502336974038757	-0.138453641726706	0.0657775854452589	-0.401373615358346
Healthy	-5	-5	-5	-5
Healthy	0.44070919767089	-1.7026772857947	0.556209600067534	0.0967536388455329
Healthy	-5	-5	-1.61600521055827	-1.85418228550817
Healthy	-5	-5	-5	-0.15793396806739
Healthy	-5	-0.50276617571487	0.62039946788876	1.03878661622049
Healthy	-5	-0.808185828001658	-5	0.068434489114242
Healthy	0.864347893323088	0.646732998537202	0.311259967573901	-5
Healthy	0.395696739866061	-5	-5	-0.708919887036473
Healthy	-0.847864603138124	0.289185236715248	1.02506201831384	1.5447992766518
Healthy	0.776570440218725	-5	-0.583442698808521	-0.686976889676762
Healthy	0.874593131257384	-1.07753405470159	-0.613091011510458	-1.0588862729629
Healthy	-5	-5	-5	-0.464832514885056
Healthy	-5	-0.746977166388663	-0.800793520838342	-0.204878053462417
Healthy	0.441008203188998	-5	1.36764100793147	1.29530644506905
Healthy	-0.369084199281594	-0.544211385181842	-5	-1.17678668671733
Healthy	-5	-0.296777426457196	0.0413413564136055	-0.121863265765277
Healthy	-5	0.0866623075369398	0.541685308668979	-0.619264302584309
Healthy	0.459522153558161	-5	0.607610483534854	-0.261663473011745
Healthy	0.586792027385235	-5	-5	0.925629186050317
Healthy	0.0358738123373223	-0.550521600812635	-0.683400697906139	-0.921869569197436
Healthy	0.850562308394363	-0.705357446397128	-5	0.531020110897529
D011236	1.7204665097739	0.954350104631653	0.780130734305371	-1.25633347855379
Healthy	-0.374862537040465	-0.922668438871009	-0.682082846433244	-0.587757914790086
Healthy	-2.49757288001557	-0.449955190435094	0.171062074706237	-0.750092670064082
Healthy	0.664296846953647	0.393918993295751	-5	-5
Healthy	-5	-5	-5	-5
Healthy	0.112578192405772	-5	-0.0863079790090918	0.302309278369985
Healthy	0.438967733160514	-5	-2.04720755695591	-0.295961075129442
Healthy	0.635468666883596	-5	-5	-0.541347045342033
Healthy	-0.421051508337888	-1.2407099669757	-1.147581007063	-0.0069431160985507
Healthy	0.908717652617084	0.500639835422511	-5	-5
Healthy	0.5541558913488	-5	-0.621874754380627	-1.23343844736247
Healthy	-1.03995754427316	-0.956637721978871	-0.760625433217922	-0.249738521213526
Healthy	-5	-1.21595358419189	0.371690212907332	-0.223545809517815
Healthy	-0.100316261699968	0.295870450391642	0.878740036824943	0.229349020167703
Healthy	-0.230246153197911	-5	-2.38090666937326	-1.47729500726525
Healthy	1.02167089201791	-0.589391457431632	-0.273484693627987	0.0376336348940759
Healthy	0.250622463210711	-1.66194212458024	-2.28149831113273	0.181634962203798
Healthy	-0.718262328293082	-0.220713829928586	0.486365294366838	0.760724725601537
Healthy	-1.18742084459095	-0.264257423690496	0.361440729131607	0.560449452855777
Healthy	-1.07232173586201	-1.92154318194671	1.95651841532167	-0.311856149451174
Healthy	0.678977013973486	-1.30303235925598	-0.588531818542082	0.774385562646841
Healthy	-0.867740310468955	-1.45854557125241	-0.238636058410786	-0.0634209172020868
Healthy	-5	-5	-0.706239800381876	0.157927980321232
Healthy	-0.0115748299936968	-0.944698135652559	0.223786584762369	-0.346536632985738
Healthy	1.04720514096898	0.595116875229412	0.634500445349993	0.264652570846897
Healthy	0.566423349403645	-1.00383870663199	-5	-0.0820798243366253
Healthy	-0.0633103636677276	-0.860656243847625	-0.154381119049558	-0.794146304535075
Healthy	-0.187755303199631	-0.10536830222681	1.2596299491519	-0.520799118887217
Healthy	0.247845658276882	-5	1.06672127020897	-5
Healthy	-0.281025246016849	-1.22279074185432	1.01581016517238	-1.04052929792489
Healthy	-5	-0.995506662452726	0.595933602799597	0.377808750839212
Healthy	-1.45308735681876	-0.964610290801323	0.769072178726933	-0.698254008974744
Healthy	-5	-0.127931177897753	0.476241642042731	-0.608817803738631
Healthy	-0.264568783112533	0.518136070943459	0.289963336676123	-0.306528076141141
Healthy	0.885925210295458	-5	0.587222529995246	-0.433692167301908
Healthy	1.34189548279479	0.1002809195485	-5	-0.284272353815048
Healthy	0.260727106907382	-5	-5	-5
Healthy	-0.36954161355392	0.236499473201891	-0.465491612404127	0.729003519824778
Healthy	0.963798212524213	-0.728902207786882	-0.476435610954306	-0.483424966318601
Healthy	1.11834608666489	0.385005352100318	1.05870913467979	-5
Healthy	-0.210687279437465	0.132064277112742	0.0913468331802714	-0.932371283271754
Healthy	0.831903032672772	-2.68613277963085	-5	-1.71805806655918
Healthy	-5	0.261895407011807	1.09930694569778	-0.541876055338938
Healthy	0.541469408465626	-0.347386260094285	-0.768632368598289	-0.220367439269799
Healthy	-1.53476590501199	-1.09761631556753	0.341002983608616	-0.709053215265694
Healthy	0.804537410020901	-0.356241451048533	0.700494305580365	-0.399953279937726
Healthy	-5	-0.286862412056968	-2.32148162095989	-0.0618606992343694
Healthy	-0.745766217349854	-0.23740395256194	0.399642575740045	-0.39293118799967
Healthy	0.641711023911854	-5	-0.0553840988440158	0.904611691591412
Healthy	-0.730276964115371	-3.79588001734407	0.609108624149117	0.799950890078026
Healthy	-5	-0.807683495297263	-0.961499056923326	-0.246961107423735
Healthy	-5	0.513149652978144	-0.754363970593797	-2.08830984124614
Healthy	-1.00309448930433	-3.20760831050175	1.64417261345754	1.4136282950715
Healthy	-0.136730686335724	-0.978727986048962	-1.03706271157	-5
Healthy	-0.0516408352936168	-5	-5	-1.17842097208799
Healthy	0.901821625379103	-0.871213141357402	0.365506704077209	-0.377931111609964
Healthy	-5	-0.21005283026249	-0.110065529316468	0.514387020681097
Healthy	-5	0.502009012776478	0.854891792310098	0.519880473321659
Healthy	0.067970517084096	-2.83268266525182	1.73011862216828	1.15529989537147
Healthy	-5	0.198503132511602	0.612791271440277	-1.01264661126421
Healthy	0.573966408242126	-5	-5	-1.67427914198059
Healthy	0.232350538425163	-5	-5	-1.20300960945431
Healthy	1.06706750671768	-0.0511128948838877	0.496506212061432	-0.293495577766724
Healthy	-0.811380832792151	0.497515688352609	-1.49025998442962	0.39223427997594
Healthy	0.0355017810629472	-1.20384212309309	0.625136433409724	-0.318785906877798
Healthy	0.252384516707471	-1.18283142761894	-0.172139838101492	0.601916650496396
Healthy	1.0635431359504	0.247386449855935	-0.153842334339257	-0.482395081074068
Healthy	-5	-0.174879099184164	-0.0578381098964866	0.501642496439225
Healthy	0.678661299407043	-5	-0.32552466203804	0.580195980523263
Healthy	0.34122870530905	-1.39523411529611	0.350026937201883	-0.813835038272585
Healthy	-0.836302054107431	-1.2099260515737	-0.181061866969181	-0.062798164672644
Healthy	-5	0.016138774198267	0.31036401567631	-0.0693361795917024
Healthy	1.44829547779539	-0.0690866099358638	0.427106178725457	-1.06228155638274
Healthy	-0.125483393748769	-0.490891607416245	1.55690550999545	0.996632049605175
Healthy	-5	-0.433444669116945	0.184680076565074	-0.788745932382128
Healthy	0.927596691603332	0.496682001962724	0.161942687634247	0.583301949173759
Healthy	-2.47495519296315	-5	0.906596294257144	1.92718094675682
Healthy	-5	-5	-0.650256366255049	0.298999271550536
Healthy	0.146484631135281	-5	-1.4299242946784	0.545804228947813
Healthy	0.594414651313418	-0.626977597211843	-0.0316571690410546	-0.398940036453717
Healthy	0.913408498297481	-1.4907974776689	-1.12609840213554	-0.196194768898458
Healthy	-0.232977783551711	-1.98547946124208	-0.916676581526475	-0.314831729477303
Healthy	0.620242272288606	-5	-2.77728352885242	-0.604167079898016
Healthy	0.466091719423924	0.233138312202406	0.656621341083086	0.19412566176021
Healthy	-0.000273691745554114	0.807666243648633	1.72549354512989	0.665242240563584
Healthy	-5	-5	-0.709231049933441	0.222198649977859
Healthy	1.0353492761776	-5	-0.695164930770994	0.0227746788159939
Healthy	-0.309157391303371	0.88269014162517	1.302245187113	1.08889446656058
Healthy	0.300595483889963	1.37279163519331	1.57981673887844	-0.475967565125609
Healthy	-5	-5	-5	0.629796825255506
Healthy	0.0791559114639147	-1.47716468633947	-5	-1.73754891026957
