group	Blautia_A_wexlerae	Streptococcus_sp001556435	Ruminococcus_B_gnavus	Anaerostipes_hadrus	Streptococcus_parasanguinis_D	Clostridium_A_leptum	Adlercreutzia_equolifaciens	Eisenbergiella_tayi	Gordonibacter_pamelaeae	Eggerthella_lenta	Faecalibacterium_sp900539885	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Bacteroides_thetaiotaomicron	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Dorea_formicigenerans
Healthy	0	0.00148	0.0105	0	0	0	0	0	0	0.0026	0.00433	0	0	0.0085	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.87864	1.73815	0	0.06969	0	1.22495	0.31106	0.41708	0	0
Healthy	0.34818	0.15442	0	0.66597	0.55818	0	0.00383	0	0	0	7.02649	13.0256	0.24502	1.06781	0.26443	5.10983	0.15486	1.53919	0.34818	0.45702
Healthy	0.18999	0	0	0.02036	0	0	0	0	0	0	1.23252	7.97763	1.96572	1.72738	0.17258	0.4649	0.31742	0.00717	0.18999	0.13819
Healthy	0.60366	0.02733	0	0.08494	0	0	0	0	0	0	0.36953	10.4535	2.58388	2.11124	2.54507	0.27615	1.36649	0.25141	0.60366	0.13797
Healthy	0.02905	0.01477	0	0	0	0	0	0	0	0	1.44314	1.4496	1.49656	0	0	0.6479	0.07711	0.03155	0.02905	0.0541
Healthy	0.29519	0.16062	0	0.04396	0.05624	0	0	0	0	0	0.66465	4.3973	0	0	0.60179	0.33257	0.28	0.1793	0.29519	0.14741
Healthy	0	0	0.27628	0	0	0	0	0	0	0	0.10161	1.80195	0	0	0	0	0	0.20743	0	0
Healthy	0.4357	0.01668	0.00977	0.33342	0.00139	0	0	0	0	0.00709	14.5544	7.74604	0	0.00088	0.45317	0.44734	1.06858	0.15802	0.4357	0.07974
Healthy	0.71833	1.19925	0.02066	0.06616	0.04336	0.33886	0.20868	0.00333	0.03839	0.00183	6.69399	1.10025	0	0.71121	3.01429	0.1399	1.91743	0.02281	0.71833	0.23069
Healthy	0	0	0	0	0	0	0	0	0	0	1.72603	1.25576	2.00529	0	0.0073	0.0491	0	0.02991	0	0
Healthy	0.38947	0.03093	0	0.0936	0.06803	0.01117	0	0	0	0	9.43876	38.7322	0.00421	0.01289	0.19956	2.00065	0.36109	0.10851	0.38947	0.49999
Healthy	0	0.05237	0	0	0	0	0	0	0	0	3.42137	0.38192	0	0.067	0	0.05866	0.12838	0.06401	0	0
Healthy	2.27022	6.23177	0.27636	0.13148	1.33864	0.01793	0.01142	0.00039	0	0	7.64183	7.33956	10.9777	0.26646	0.16639	1.32363	0	0.04036	2.27022	0.59673
Healthy	0	0	0	0	0	0	0.89561	0	0	0	44.3123	7.07654	3.49728	0.70935	0	0	0	1.99748	0	0
Healthy	0.04375	0.03116	0.08189	0	0.00532	0.10545	0	0	0	0	5.06867	0	0	0.29515	0.01332	0.09089	0	0.00668	0.04375	0
Healthy	0.04747	0	0	0	0	0	0.06162	0	0	0	3.78617	0.58116	0.35928	0.36278	0.0201	0	0	0.02481	0.04747	0.08596
Healthy	0.06503	0.01656	0.00957	0.02834	0	0.08739	0.02265	0.03731	0.04661	0.00059	0.82079	0.83227	3.5316	0.21941	0.39557	1.14079	0.20575	0.06565	0.06503	0.00404
