group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	14.02966	76.98887	1.22604	0.00118	0		0.01473	4.27323	0	
Healthy	9.7834	0.21615	0	0.83121	0		64.8518	0.01982	0.03927	
Healthy	10.83038	2.86572	0	17.199	0		41.95701	0.10498	1.61864	
Healthy	5.25678	6.93139	0.13494	3.52859	0		1.9337	79.37352	0	
Healthy	18.4072	0	0	0.39632	0		68.21432	0.37601	0	
Healthy	7.64376	0.38768	0.27498	0	0		69.01303	0.19767	0	
Healthy	28.57554	0.75631	0.29747	0	0		63.27551	2.0449	0	
Healthy	3.15258	20.79768	0	0	0		48.7416	0	0	
Healthy	30.75896	0.01296	0	0	0		50.98894	8.99744	0	
Healthy	1.72361	5.48039	0.3683	0	0		28.85223	24.79156	0	
Healthy	56.05054	6.45428	12.13916	0	0		18.80818	0	0	
Healthy	16.26935	1.77278	0.0557	0.64191	0		58.72881	1.47449	0.00203	
Healthy	20.99596	3.33831	2.66476	3.66082	0		38.48591	3.29189	0	
Healthy	43.5593	5.2127	1.18962	0	0		7.42578	0.06974	0	
Healthy	21.61926	0.10638	0	0.06765	0		68.09654	0	0	
Healthy	22.89486	0	0.00195	3.04604	0.57278		43.75014	8.85496	0.04203	
Healthy	19.84158	1.76816	0.47247	1.26041	0		29.64285	0.49793	0.02619	
Healthy	41.40638	0.39077	0.70186	1.83008	0.1514		17.56695	1.89139	0.03232	
Healthy	4.3901	1.30219	0.34257	0.00437	0		67.09431	1.01412	0.40307	
Healthy	8.00504	2.44506	0.85543	0.51673	0		31.28267	0.1118	0.80581	
Healthy	36.32618	5.37526	0.81985	25.358	0		20.36905	0	0	
Healthy	40.10315	3.15229	0.53851	0.08939	0		31.96207	0.87177	0.1864	
Healthy	37.86333	0	2.02063	0.09638	0.83654		29.88316	0.21568	0	
Healthy	11.99392	13.99658	0.23359	0	0.17766		56.71029	0.29636	0.11779	
Healthy	10.23874	0.29905	0.53944	0	0		68.24682	5.94144	0	
Healthy	1.74591	0.01614	0	0	0		80.64045	0.16545	0	
Healthy	15.69856	1.7566	0.02321	0.53875	0.0264		67.23166	0.01784	0.09289	
Healthy	18.33249	3.44779	1.26624	5.195	0.50179		42.56931	1.76516	0.29804	
D000236	50.79952	12.26592	1.35595	2.83107	0		21.18878	2.07458	0	
Healthy	0.00094	0.02275	0.22892	0	0		0.05164	86.41751	0	
Healthy	25.54598	0.17798	0.16088	0	0		61.38019	5.29922	0.16147	
Healthy	6.32645	1.49793	0.13626	44.3916	0		13.55565	10.19161	0.60646	
Healthy	0.27516	90.99881	3.62578	0.00841	0		0.01931	4.54672	0	
Healthy	42.90183	0.87359	0.11076	12.5439	0.00886		26.91606	2.15726	0.03459	
Healthy	21.25992	29.96905	0.40769	0	0		30.46926	2.2408	0	
Healthy	2.87818	0.11834	0	1.66666	0		92.92764	0.68757	0	
Healthy	3.35109	0.11605	0	0	0		43.38378	0.11326	0.03182	
Healthy	5.29405	1.00611	0.25024	0	0		56.61767	0.29207	0.01125	
Healthy	6.25322	0.20666	0.08299	0	0		13.19024	2.18888	0	
